Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000075,0.000130,0.000072,0.000072,600,1119740
Mar 30 2018,0.000141,0.000144,0.000077,0.000127,1507,2115740
Mar 29 2018,0.000158,0.000159,0.000079,0.000142,3587,2371710
Mar 28 2018,0.000147,0.000161,0.000080,0.000158,1252,2199820
Mar 27 2018,0.000163,0.000163,0.000083,0.000147,1586,2436810
Mar 26 2018,0.000150,0.000165,0.000080,0.000163,3226,2250000
Mar 25 2018,0.000155,0.000171,0.000085,0.000086,2753,2325130
Mar 24 2018,0.000178,0.000179,0.000089,0.000157,733,2667260
Mar 23 2018,0.000102,0.000176,0.000086,0.000176,2283,1523230
Mar 22 2018,0.000138,0.000179,0.000092,0.000102,792,2061470
Mar 21 2018,0.000164,0.000178,0.000104,0.000138,2282,2449180
Mar 20 2018,0.000168,0.000171,0.000088,0.000163,2047,2513930
Mar 19 2018,0.000160,0.000171,0.000085,0.000166,1094,2397660
Mar 18 2018,0.000157,0.000161,0.000080,0.000161,1421,2347990
Mar 17 2018,0.000094,0.000164,0.000081,0.000157,435,1413390
Mar 16 2018,0.000100,0.000171,0.000083,0.000094,871,1502350
Mar 15 2018,0.000164,0.000165,0.000082,0.000100,2723,2454100
Mar 14 2018,0.000096,0.000178,0.000087,0.000164,4050,1436750
Mar 13 2018,0.000162,0.000185,0.000092,0.000096,1343,2420380
Mar 12 2018,0.000188,0.000194,0.000108,0.000163,2559,2805370
Mar 11 2018,0.000174,0.000192,0.000089,0.000188,3030,2607920
Mar 10 2018,0.000184,0.000189,0.000107,0.000175,1994,2749200
Mar 09 2018,0.000127,0.000185,0.000096,0.000184,2220,1902090
Mar 08 2018,0.000106,0.000189,0.000103,0.000126,1049,1581770
Mar 07 2018,0.000206,0.000216,0.000103,0.000106,2354,3078420
Mar 06 2018,0.000152,0.000217,0.000126,0.000206,3582,2267840
Mar 05 2018,0.000168,0.000223,0.000132,0.000151,508,2508610
Mar 04 2018,0.000229,0.000229,0.000122,0.000168,1185,3420010
Mar 03 2018,0.000193,0.000229,0.000121,0.000229,6751,2888500
Mar 02 2018,0.000220,0.000223,0.000109,0.000193,6309,3288130
Mar 01 2018,0.000206,0.000221,0.000110,0.000220,7570,3078560
Feb 28 2018,0.000185,0.000217,0.000133,0.000133,1936,2772260
Feb 27 2018,0.000170,0.000216,0.000105,0.000186,1639,2535490
Feb 26 2018,0.000192,0.000208,0.000100,0.000169,2677,2873330
Feb 25 2018,0.000194,0.000198,0.000104,0.000192,3342,2896580
Feb 24 2018,0.000204,0.000209,0.000113,0.000194,3002,3042380
Feb 23 2018,0.000163,0.000209,0.000148,0.000204,4016,2431100
Feb 22 2018,0.000209,0.000214,0.000106,0.000197,7250,3127070
Feb 21 2018,0.000223,0.000224,0.000112,0.000209,7690,3335370
Feb 20 2018,0.000225,0.000340,0.000157,0.000223,7562,3365320
Feb 19 2018,0.000275,0.000289,0.000168,0.000225,6159,4108760
Feb 18 2018,0.000322,0.000328,0.000119,0.000276,8555,4809030
Feb 17 2018,0.000207,0.000322,0.000131,0.000312,15282,3098040
Feb 16 2018,0.000298,0.000299,0.000199,0.000207,4915,4458930
Feb 15 2018,0.000282,0.000300,0.000193,0.000300,13293,4207310
Feb 14 2018,0.000170,0.000282,0.000104,0.000281,16465,2545840
Feb 13 2018,0.000178,0.000262,0.000090,0.000171,18757,2659570
Feb 12 2018,0.000182,0.000263,0.000163,0.000178,4283,2714640
Feb 11 2018,0.000171,0.000241,0.000152,0.000181,1943,2558380
Feb 10 2018,0.000174,0.000269,0.000164,0.000171,15722,2602520
Feb 09 2018,0.000116,0.000251,0.000110,0.000174,10646,1737490
Feb 08 2018,0.000227,0.000253,0.000116,0.000116,14398,3393800
Feb 07 2018,0.000156,0.000257,0.000145,0.000228,24669,2326150
Feb 06 2018,0.000142,0.000236,0.000122,0.000157,14790,2118170
Feb 05 2018,0.000165,0.000244,0.000136,0.000142,9826,2459850
Feb 04 2018,0.000276,0.000280,0.000162,0.000166,10125,4129330
Feb 03 2018,0.000177,0.000280,0.000110,0.000276,97102,2649540
Feb 02 2018,0.000182,0.000269,0.000154,0.000177,20043,2716790
