Date,Open,High,Low,Close,Volume,Market Cap
Jan 25 2018,0.152886,1.60,0.144368,1.60,342,-
Jan 24 2018,0.152436,0.154063,0.130271,0.151769,347,-
Jan 23 2018,0.151028,0.157524,0.140665,0.152430,76986,-
Jan 22 2018,0.142262,0.158359,0.139333,0.151021,198756,-
Jan 21 2018,0.182693,0.182693,0.141560,0.142365,303865,-
Jan 20 2018,0.160225,0.190862,0.156862,0.184374,692037,-
Jan 19 2018,0.130344,0.177108,0.110826,0.160148,637484,-
Jan 18 2018,0.129357,0.146670,0.115666,0.130394,466930,-
Jan 17 2018,0.136230,0.136486,0.085971,0.129374,397230,-
Jan 16 2018,0.199998,0.200965,0.129797,0.136294,534369,-
Jan 15 2018,0.203945,0.229240,0.197573,0.199848,255655,-
Jan 14 2018,0.228662,0.229344,0.193055,0.203700,431844,-
Jan 13 2018,0.216907,0.228957,0.209267,0.228722,810882,-
Jan 12 2018,0.236901,0.249882,0.207837,0.216912,820526,-
Jan 11 2018,0.247294,0.256079,0.227869,0.239808,438128,-
Jan 10 2018,0.269131,0.270689,0.233759,0.248703,539455,-
Jan 09 2018,0.269824,0.281243,0.238915,0.269114,804430,-
Jan 08 2018,0.306291,0.311044,0.224372,0.267341,1398240,-
Jan 07 2018,0.286301,0.325372,0.275213,0.308427,1584410,-
Jan 06 2018,0.261557,0.298564,0.252005,0.286338,1030960,-
Jan 05 2018,0.251919,0.296888,0.246451,0.259748,1276490,-
Jan 04 2018,0.236220,0.273720,0.233173,0.251977,1424160,-
Jan 03 2018,0.243561,0.254693,0.194664,0.236198,1699030,-
Jan 02 2018,0.235114,0.245743,0.230034,0.242544,440061,-
Jan 01 2018,0.236518,0.240707,0.226926,0.234566,241589,-
Dec 31 2017,0.226502,0.237908,0.213647,0.235507,144064,-
Dec 30 2017,0.255301,0.255301,0.207261,0.225568,368574,-
Dec 29 2017,0.293053,0.297215,0.224384,0.256252,912132,-
Dec 28 2017,0.316516,0.316590,0.270206,0.292600,424138,-
Dec 27 2017,0.303367,0.333718,0.284967,0.316684,551380,-
Dec 26 2017,0.301572,0.312092,0.296929,0.303239,492195,-
Dec 25 2017,0.303943,0.338189,0.291317,0.301551,486266,-
Dec 24 2017,0.320064,0.323244,0.275903,0.303622,397234,-
Dec 23 2017,0.305019,0.340078,0.304583,0.321082,320464,-
Dec 22 2017,0.377453,0.378606,0.281040,0.304729,630629,-
Dec 21 2017,0.369949,0.386690,0.356263,0.375354,925963,-
Dec 20 2017,0.400906,0.400906,0.346813,0.374897,729972,-
Dec 19 2017,0.413340,0.492528,0.349632,0.400687,2668120,-
Dec 18 2017,0.426747,0.436608,0.356546,0.413539,1529230,-
Dec 17 2017,0.396718,0.445160,0.391205,0.426891,882002,-
Dec 16 2017,0.418654,0.454303,0.384682,0.396698,623820,-
Dec 15 2017,0.357483,0.413837,0.316600,0.413321,554162,-
Dec 14 2017,0.312781,0.371406,0.291326,0.356659,470831,-
Dec 13 2017,0.342109,0.342109,0.301604,0.312049,207939,-
Dec 12 2017,0.353096,0.363495,0.289146,0.341983,364825,-
Dec 11 2017,0.338109,0.372693,0.311421,0.361123,267371,-
Dec 10 2017,0.352025,0.357512,0.328073,0.338006,150937,-
Dec 09 2017,0.381360,0.387237,0.342324,0.351614,146842,-
Dec 08 2017,0.343708,0.389262,0.332335,0.381364,271825,-
Dec 07 2017,0.425896,0.443924,0.343170,0.343551,597633,-
Dec 06 2017,0.535479,0.545094,0.424552,0.427560,476729,-
Dec 05 2017,0.535871,0.577229,0.512833,0.529763,404618,-
Dec 04 2017,0.547510,0.719168,0.453229,0.540258,1662330,-
Dec 03 2017,0.334854,0.550980,0.316539,0.544199,1044250,-
Dec 02 2017,0.320473,0.348569,0.310517,0.334796,204551,-
Dec 01 2017,0.287996,0.325709,0.287614,0.320478,124401,-
Nov 30 2017,0.298781,0.314340,0.270934,0.302177,158027,-
Nov 29 2017,0.301236,0.347181,0.279299,0.296980,284613,-
Nov 28 2017,0.309243,0.325817,0.288133,0.301128,147407,-
Nov 27 2017,0.310670,0.331674,0.301517,0.309479,140401,-
Nov 26 2017,0.339088,0.339088,0.301668,0.310712,90168,-
Nov 25 2017,0.308421,0.350907,0.304118,0.339083,114776,-
Nov 24 2017,0.310104,0.328022,0.293753,0.308549,70181,-
Nov 23 2017,0.319611,0.330331,0.293428,0.311065,115338,-
Nov 22 2017,0.332575,0.343701,0.315722,0.318767,148430,-
Nov 21 2017,0.330559,0.346877,0.305100,0.332139,85039,-
Nov 20 2017,0.342675,0.350681,0.322103,0.330788,128081,-
Nov 19 2017,0.305832,0.352142,0.300030,0.346939,241760,-
Nov 18 2017,0.247359,0.314604,0.243983,0.306368,185426,-
Nov 17 2017,0.242291,0.259770,0.234615,0.245986,124162,-
Nov 16 2017,0.277092,0.279822,0.228504,0.242425,143723,-
Nov 15 2017,0.282576,0.286963,0.275873,0.277216,64867,-
Nov 14 2017,0.280857,0.296833,0.270694,0.282487,101207,-
Nov 13 2017,0.301818,0.302145,0.267692,0.280863,159172,-
Nov 12 2017,0.297603,0.313820,0.275812,0.294151,148710,-
Nov 11 2017,0.290260,0.313778,0.286029,0.296838,215557,-
Nov 10 2017,0.319797,0.331285,0.262135,0.290906,228156,-
Nov 09 2017,0.320515,0.344463,0.294037,0.319655,202740,-
Nov 08 2017,0.350415,0.356004,0.274855,0.323355,354708,-
Nov 07 2017,0.353125,0.378427,0.312523,0.350609,421148,-
Nov 06 2017,0.246376,0.377290,0.244296,0.352475,745317,-
Nov 05 2017,0.231298,0.297396,0.224578,0.246550,371825,-
Nov 04 2017,0.189267,0.234837,0.176258,0.230998,145856,-
Nov 03 2017,0.135774,0.189870,0.114981,0.189237,121953,-
Nov 02 2017,0.127695,0.138643,0.111193,0.134828,57512,-
Nov 01 2017,0.116923,0.136040,0.116590,0.127053,45327,-
Oct 31 2017,0.116284,0.144312,0.115554,0.117444,46957,-
Oct 30 2017,0.123600,0.143444,0.115645,0.116221,52511,-
Oct 29 2017,0.120838,0.130120,0.115106,0.123849,23813,-
Oct 28 2017,0.093514,0.120889,0.093514,0.120889,28293,-
Oct 27 2017,0.093205,0.111344,0.089148,0.093429,27648,-
Oct 26 2017,0.089025,0.093955,0.076345,0.093252,12738,-
Oct 25 2017,0.089671,0.095366,0.082660,0.089216,22270,-
Oct 24 2017,0.085205,0.094287,0.083673,0.089592,4364,-
Oct 23 2017,0.088649,0.091862,0.083390,0.085262,11339,-
Oct 22 2017,0.095855,0.097662,0.085813,0.088701,5386,-
Oct 21 2017,0.091871,0.096862,0.086253,0.095558,4581,-
Oct 20 2017,0.119635,0.120066,0.084940,0.091990,14942,-
Oct 19 2017,0.086391,0.120092,0.077843,0.119732,33558,-
Sep 07 2017,0.077184,0.078179,0.075103,0.077922,5139,-
Sep 06 2017,0.057890,0.077797,0.049382,0.077152,835531,-
Sep 05 2017,0.062816,0.077407,0.052518,0.058339,214068,-
Sep 04 2017,0.105630,0.108642,0.057670,0.062863,2259340,-
Sep 03 2017,0.095806,0.129169,0.095806,0.105616,3731230,-
Sep 02 2017,0.138613,0.138613,0.086365,0.095013,3889430,-
Sep 01 2017,0.170244,0.173035,0.127236,0.138583,3817200,-
Aug 31 2017,0.199526,0.200467,0.164607,0.170150,3292080,-
Aug 30 2017,0.185200,0.203222,0.184929,0.202489,11588500,-
