Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.105326,0.109299,0.078446,0.092034,19069,3846300
Mar 30 2018,0.085938,0.105635,0.081493,0.105355,8259,3138280
Mar 29 2018,0.095156,0.103220,0.080291,0.086173,8305,3474930
Mar 28 2018,0.096375,0.106789,0.091050,0.095007,4915,3519440
Mar 27 2018,0.102265,0.105274,0.088719,0.096338,2619,3734530
Mar 26 2018,0.095033,0.122564,0.087203,0.097693,15133,3470440
Mar 25 2018,0.091636,0.096412,0.084193,0.095163,3820,3346360
Mar 24 2018,0.095633,0.101421,0.084038,0.092859,13300,3492330
Mar 23 2018,0.101784,0.104094,0.081086,0.094506,14837,3716940
Mar 22 2018,0.107291,0.108213,0.096721,0.101844,7521,3918060
Mar 21 2018,0.110423,0.112346,0.089367,0.107363,24057,4032440
Mar 20 2018,0.124681,0.124681,0.093374,0.110121,36879,4553120
Mar 19 2018,0.114575,0.142990,0.109325,0.123419,14861,4184060
Mar 18 2018,0.132818,0.140795,0.106762,0.115051,22817,4850270
Mar 17 2018,0.163212,0.163930,0.123199,0.126311,9354,5960200
Mar 16 2018,0.130225,0.176309,0.126861,0.163018,18243,4755580
Mar 15 2018,0.129890,0.320354,0.121681,0.130365,17038,4743340
Mar 14 2018,0.170702,0.180199,0.128778,0.140198,19282,6233700
Mar 13 2018,0.148344,0.172442,0.131421,0.170661,15411,5417260
Mar 12 2018,0.175805,0.187991,0.129669,0.148963,42897,6420070
Mar 11 2018,0.192344,0.193813,0.148064,0.176254,39457,7024030
Mar 10 2018,0.198884,0.205763,0.177370,0.192104,13193,7262880
Mar 09 2018,0.189904,0.215877,0.182510,0.198895,31888,6934940
Mar 08 2018,0.205915,0.210188,0.176911,0.190636,21300,7519620
Mar 07 2018,0.247493,0.262405,0.162079,0.206228,29858,9037970
Mar 06 2018,0.279482,0.301520,0.245503,0.247456,42303,10206200
Mar 05 2018,0.301580,0.317074,0.279924,0.279924,20455,11013100
Mar 04 2018,0.303978,0.317948,0.278821,0.301630,18598,11100700
Mar 03 2018,0.330264,0.336073,0.300502,0.304299,7358,12060600
Mar 02 2018,0.318767,0.347546,0.312116,0.330606,26817,11640800
Mar 01 2018,0.297839,0.346709,0.292021,0.331282,39230,10876500
Feb 28 2018,0.347194,0.359681,0.297442,0.297575,25484,12678900
Feb 27 2018,0.335489,0.361880,0.299551,0.347168,108243,12251400
Feb 26 2018,0.348252,0.369826,0.305883,0.319546,35683,12717500
Feb 25 2018,0.356447,0.367681,0.329595,0.347861,20931,13016800
Feb 24 2018,0.390158,0.416320,0.326490,0.353130,32743,14247800
Feb 23 2018,0.416370,0.521215,0.349678,0.390175,195093,15205000
Feb 22 2018,0.330017,0.431051,0.305171,0.426273,81611,12051600
Feb 21 2018,0.362525,0.363131,0.310079,0.329314,52829,13238700
Feb 20 2018,0.434509,0.439896,0.349043,0.363088,73610,15867500
Feb 19 2018,0.415463,0.453746,0.395072,0.410425,94583,15171900
Feb 18 2018,0.447442,0.523208,0.409908,0.417150,199978,16339700
Feb 17 2018,0.485069,0.509620,0.415670,0.451114,269377,17713800
Feb 16 2018,0.514616,0.531119,0.409654,0.484965,295927,33964700
Feb 15 2018,0.580403,0.651235,0.433268,0.515878,273103,38306600
Feb 14 2018,0.600494,0.654475,0.476274,0.580133,289742,39632600
Feb 13 2018,0.739737,0.993116,0.581482,0.601940,598439,48822700
Feb 12 2018,0.615784,0.781217,0.585840,0.772911,419228,40641800
Feb 11 2018,0.563186,0.669811,0.406630,0.615472,279533,37170300
Feb 10 2018,0.488362,0.729579,0.488362,0.543019,380577,-
