Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.383463,0.410018,0.383463,0.384100,1846780,219369000
Mar 30 2018,0.379106,0.409892,0.359459,0.382213,2985100,216877000
Mar 29 2018,0.435150,0.441940,0.372232,0.379206,2954220,248938000
Mar 28 2018,0.406118,0.464515,0.401945,0.433242,4401420,232329000
Mar 27 2018,0.422850,0.433171,0.391176,0.405681,3080850,241902000
Mar 26 2018,0.469250,0.470928,0.387205,0.423541,4584660,268446000
Mar 25 2018,0.498357,0.499726,0.460643,0.470227,4376980,285097000
Mar 24 2018,0.458805,0.523745,0.457567,0.503488,8622880,262470000
Mar 23 2018,0.440436,0.462565,0.419965,0.456385,11100000,251962000
Mar 22 2018,0.404360,0.490447,0.392939,0.436257,15537700,231324000
Mar 21 2018,0.343701,0.508983,0.343701,0.407467,24672700,196622000
Mar 20 2018,0.319116,0.343075,0.307938,0.343075,1719810,182558000
Mar 19 2018,0.287707,0.322110,0.279065,0.315534,1922500,164590000
Mar 18 2018,0.285194,0.289422,0.245341,0.288565,2026640,163152000
Mar 17 2018,0.314330,0.318190,0.286479,0.288317,1147170,179820000
Mar 16 2018,0.305977,0.330895,0.296175,0.313845,1817310,175042000
Mar 15 2018,0.307967,0.326338,0.291590,0.306190,2378270,176180000
Mar 14 2018,0.336506,0.346197,0.298517,0.308670,1902010,192506000
Mar 13 2018,0.346346,0.359194,0.333701,0.337128,2754340,198136000
Mar 12 2018,0.376652,0.377374,0.338550,0.346355,3356110,215473000
Mar 11 2018,0.356591,0.383284,0.343524,0.378057,3325920,203749000
Mar 10 2018,0.397805,0.417580,0.353489,0.358236,3844140,226916000
Mar 09 2018,0.437228,0.437228,0.336756,0.398628,11645900,249227000
Mar 08 2018,0.408977,0.477856,0.354704,0.439275,16941500,232535000
Mar 07 2018,0.467637,0.487686,0.387952,0.409794,2699710,265717000
Mar 06 2018,0.547667,0.547667,0.459240,0.467055,2651710,310955000
Mar 05 2018,0.542451,0.565979,0.537767,0.546323,2180030,307839000
Mar 04 2018,0.524131,0.542178,0.507872,0.542048,1571400,297319000
Mar 03 2018,0.530719,0.546056,0.515852,0.523253,1795840,300682000
Mar 02 2018,0.545623,0.569864,0.522471,0.530029,2359030,308217000
Mar 01 2018,0.556207,0.566393,0.529397,0.544842,3988730,313407000
Feb 28 2018,0.614906,0.632915,0.551582,0.551582,3504480,345572000
Feb 27 2018,0.638712,0.648712,0.609646,0.615573,3094370,358546000
Feb 26 2018,0.619509,0.648450,0.603624,0.636320,1817100,347673000
Feb 25 2018,0.678638,0.678638,0.603281,0.620059,3279210,380857000
Feb 24 2018,0.651294,0.736435,0.639657,0.676924,11116200,365511000
Feb 23 2018,0.561910,0.785050,0.552423,0.662911,10787000,315348000
Feb 22 2018,0.601150,0.653492,0.552554,0.569815,2072610,337370000
Feb 21 2018,0.641280,0.653201,0.593762,0.602391,1591470,359891000
Feb 20 2018,0.722183,0.731776,0.635901,0.642551,2339340,405294000
Feb 19 2018,0.677942,0.799243,0.677942,0.723885,3526600,380466000
Feb 18 2018,0.769417,0.774059,0.668879,0.679050,2096690,431802000
Feb 17 2018,0.708112,0.772922,0.702830,0.768265,2172190,397397000
Feb 16 2018,0.692724,0.738498,0.671609,0.709270,2468540,388762000
Feb 15 2018,0.682652,0.702000,0.663021,0.685976,2070900,383109000
Feb 14 2018,0.629403,0.689647,0.623802,0.680280,2732930,353226000
Feb 13 2018,0.664021,0.665442,0.621858,0.631763,974596,372653000
Feb 12 2018,0.611140,0.667270,0.607998,0.661362,1539460,342973000
Feb 11 2018,0.657918,0.660492,0.598792,0.609097,1884400,369225000
Feb 10 2018,0.702912,0.740682,0.629845,0.657022,2499220,394476000
Feb 09 2018,0.637210,0.705582,0.608212,0.705582,1171380,357604000
Feb 08 2018,0.583720,0.661312,0.582478,0.635926,2444270,327585000
Feb 07 2018,0.631428,0.690928,0.560245,0.585247,2820540,354359000
Feb 06 2018,0.522661,0.648800,0.401363,0.633736,5641320,293319000
Feb 05 2018,0.675316,0.694185,0.505428,0.521561,3546640,378989000
Feb 04 2018,0.811456,0.838558,0.639261,0.680114,3273390,455391000
Feb 03 2018,0.770110,0.843778,0.708613,0.813644,2856150,432164000
Feb 02 2018,0.818495,0.820100,0.611892,0.765068,5879210,459315000
Feb 01 2018,0.933777,0.996177,0.766043,0.820087,8009750,524007000
Jan 31 2018,0.974660,0.976656,0.889693,0.926355,5016460,546950000
Jan 30 2018,1.03,1.13,0.912030,0.973292,11550200,576874000
Jan 29 2018,1.06,1.09,1.01,1.03,6378940,596836000
Jan 28 2018,1.14,1.16,1.06,1.06,7175830,639377000
Jan 27 2018,1.09,1.16,1.07,1.13,8440320,612520000
Jan 26 2018,1.08,1.11,0.948542,1.09,10099100,604136000
Jan 25 2018,1.08,1.16,1.05,1.08,7228330,607511000
