Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.451388,0.483367,0.343843,0.424030,1145,-
Mar 30 2018,0.447121,0.482683,0.381344,0.451319,977,-
Mar 29 2018,0.506898,0.526134,0.421991,0.448236,1654,-
Mar 28 2018,0.497425,0.571586,0.443690,0.506305,2386,-
Mar 27 2018,0.541435,0.560518,0.431024,0.497538,2349,-
Mar 26 2018,0.540176,0.637075,0.510641,0.542255,2216,-
Mar 25 2018,0.558453,0.573636,0.451033,0.540590,2000,-
Mar 24 2018,0.602178,0.642345,0.490340,0.566246,1633,-
Mar 23 2018,0.546880,0.756677,0.455697,0.593535,2988,-
Mar 22 2018,0.640662,0.650714,0.446857,0.546894,3937,-
Mar 21 2018,0.570686,0.715650,0.458357,0.641832,2824,-
Mar 20 2018,0.269528,0.619460,0.263269,0.569654,3022,-
Mar 19 2018,0.267136,0.314241,0.202960,0.266554,1053,-
Mar 18 2018,0.303402,0.303402,0.242608,0.268267,1338,-
Mar 17 2018,0.319577,0.321771,0.292984,0.304142,1960,-
Mar 16 2018,0.300226,0.342533,0.281395,0.319051,2094,-
Mar 15 2018,0.287477,0.303375,0.255129,0.300395,2269,-
Mar 14 2018,0.354032,0.362143,0.277426,0.287606,2271,-
Mar 13 2018,0.349855,0.359700,0.304616,0.353983,2198,-
Mar 12 2018,0.356146,0.381305,0.298703,0.351875,1949,-
Mar 11 2018,0.342793,0.367143,0.280462,0.357271,1854,-
Mar 10 2018,0.321183,0.345726,0.302815,0.343980,2486,-
Mar 09 2018,0.314261,0.322751,0.258943,0.321045,1545,-
Mar 08 2018,0.342404,0.349081,0.275001,0.316264,2641,-
Mar 07 2018,0.354642,0.385108,0.286885,0.342890,2332,-
Mar 06 2018,0.419210,0.419210,0.351555,0.355103,3074,-
Mar 05 2018,0.375334,0.451826,0.372783,0.420372,3090,-
Mar 04 2018,0.425913,0.456794,0.365439,0.375609,3555,-
Mar 03 2018,0.371495,0.429183,0.364288,0.426649,3274,-
Mar 02 2018,0.372336,0.380338,0.341501,0.371950,2984,-
Mar 01 2018,0.343210,0.375343,0.322457,0.373627,3317,-
Feb 28 2018,0.379115,0.389883,0.325950,0.342705,2613,-
Feb 27 2018,0.275928,0.419192,0.272830,0.379562,3415,-
Feb 26 2018,0.301195,0.411740,0.275133,0.275133,1749,-
Feb 25 2018,0.425851,0.433289,0.300810,0.300810,2305,-
Feb 24 2018,0.435430,0.466631,0.397381,0.426498,2461,-
Feb 23 2018,0.434323,0.467727,0.423603,0.435981,2794,-
Feb 22 2018,0.391210,0.550016,0.386751,0.434729,2903,-
Feb 21 2018,0.517229,0.572449,0.379158,0.391607,2771,-
Feb 20 2018,0.473767,0.674825,0.441076,0.517874,4972,-
Feb 19 2018,0.501900,0.594074,0.399095,0.473337,2361,-
