Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.121086,0.125488,0.117391,0.119196,157,889655
Mar 30 2018,0.121558,0.123550,0.113316,0.121068,424,892977
Mar 29 2018,0.151598,0.151833,0.118730,0.121861,247,1113230
Mar 28 2018,0.132376,0.156062,0.131640,0.151421,363,971865
Mar 27 2018,0.156928,0.161678,0.132237,0.132406,757,1151780
Mar 26 2018,0.173946,0.175154,0.150840,0.157166,562,1276300
Mar 25 2018,0.175248,0.178842,0.172634,0.174079,226,1285540
Mar 24 2018,0.183139,0.192974,0.177689,0.177694,837,1343290
Mar 23 2018,0.189254,0.216675,0.172513,0.180510,4774,1387800
Mar 22 2018,0.222833,0.224437,0.188156,0.189259,1085,1633610
Mar 21 2018,0.170696,0.325450,0.170448,0.223240,2707,1251270
Mar 20 2018,0.177552,0.234174,0.158973,0.170387,1175,1301420
Mar 19 2018,0.153322,0.175930,0.148489,0.175593,1237,1123760
Mar 18 2018,0.158756,0.171506,0.136693,0.153971,1521,1163360
Mar 17 2018,0.174496,0.194205,0.155023,0.159144,1963,1278520
Mar 16 2018,0.206515,0.208543,0.169950,0.174209,8178,1513000
Mar 15 2018,0.165373,0.206969,0.142428,0.206631,2966,1211530
Mar 14 2018,0.184999,0.205471,0.164674,0.165447,1566,1355190
Mar 13 2018,0.195408,0.229718,0.184646,0.184974,2101,1431180
Mar 12 2018,0.225342,0.254425,0.186779,0.196537,1174,1650140
Mar 11 2018,0.209553,0.246798,0.181586,0.226054,2506,1534320
Mar 10 2018,0.203713,0.232713,0.191964,0.210279,313,1491400
Mar 09 2018,0.234101,0.236862,0.183422,0.203625,798,1713720
Mar 08 2018,0.274760,0.285897,0.194217,0.235593,4638,2011180
Mar 07 2018,0.283194,0.423152,0.261624,0.275150,2716,2072720
Mar 06 2018,0.345158,0.345158,0.258202,0.283562,3138,2525990
Mar 05 2018,0.359990,0.379716,0.343984,0.346115,1630,2634270
Mar 04 2018,0.400966,0.401148,0.341749,0.360253,2545,2933830
Mar 03 2018,0.396918,0.412345,0.396918,0.401659,801,2903940
Mar 02 2018,0.393512,0.421022,0.384203,0.397404,3583,2878080
Mar 01 2018,0.387703,0.414634,0.384683,0.394526,1842,2835590
Feb 28 2018,0.393410,0.432500,0.374793,0.387133,2854,2877330
Feb 27 2018,0.412363,0.423268,0.365315,0.393875,1497,3015780
Feb 26 2018,0.373970,0.511921,0.372775,0.411175,5773,2734740
Feb 25 2018,0.394046,0.409351,0.370301,0.373492,1844,2881270
Feb 24 2018,0.401098,0.415006,0.373984,0.394644,448,2932550
Feb 23 2018,0.432191,0.456276,0.364098,0.401605,862,3159590
Feb 22 2018,0.436032,0.448457,0.349514,0.432595,5699,3187370
Feb 21 2018,0.535251,0.535251,0.346565,0.436475,4037,3912290
Feb 20 2018,0.600243,0.671351,0.531967,0.535919,3247,4386920
Feb 19 2018,0.642062,0.659881,0.564621,0.599698,1313,4692110
Feb 18 2018,0.634882,0.690828,0.585090,0.645027,1493,4639190
Feb 17 2018,0.560643,0.733078,0.553429,0.632941,5039,4096320
Feb 16 2018,0.478994,0.597018,0.476415,0.560771,2282,3499420
Feb 15 2018,0.584416,0.708336,0.474393,0.481049,4483,4269200
Feb 14 2018,0.578754,0.687777,0.508069,0.584099,2814,4227440
Feb 13 2018,0.640445,0.708943,0.550437,0.580484,3660,4677620
Feb 12 2018,0.561365,0.650594,0.561365,0.639282,5489,4099650
Feb 11 2018,0.726727,0.726727,0.557810,0.557810,3816,5306780
Feb 10 2018,0.748199,0.804353,0.663591,0.727349,4984,5463050
Feb 09 2018,0.674020,0.892590,0.658013,0.747567,9975,4920950
Feb 08 2018,0.900527,0.963721,0.668187,0.671953,5686,6574010
Feb 07 2018,1.00,1.06,0.869817,0.904143,3824,7304470
Feb 06 2018,0.709718,1.03,0.664814,1.01,12131,5180050
Feb 05 2018,1.03,1.35,0.683200,0.708821,12085,7551920
Feb 04 2018,1.21,1.21,1.00,1.04,2323,8799330
Feb 03 2018,1.24,1.31,0.696865,1.21,11709,9053530
Feb 02 2018,1.26,1.35,1.05,1.24,9308,9218440
Feb 01 2018,1.63,1.65,1.22,1.27,7369,11876500
Jan 31 2018,1.40,1.62,1.23,1.48,36290,10204000
Jan 30 2018,1.76,1.79,1.27,1.40,13668,-
Jan 29 2018,1.88,1.99,1.71,1.76,18020,-
Jan 28 2018,2.47,2.62,1.81,1.96,56464,-
Jan 27 2018,1.81,2.77,1.78,2.45,61752,-
Jan 26 2018,1.98,2.09,1.67,1.81,23288,-
Jan 25 2018,2.19,2.34,1.80,1.99,20582,-
Jan 24 2018,2.12,2.36,2.02,2.15,6268,-
Jan 23 2018,2.10,2.36,1.88,2.12,25263,-
Jan 22 2018,2.55,2.66,2.00,2.10,40202,-
Jan 21 2018,2.94,3.00,2.36,2.52,23966,-
Jan 20 2018,3.14,3.16,2.69,2.80,59048,-
Jan 19 2018,3.55,3.63,2.65,3.10,111943,-
Jan 18 2018,2.67,4.18,2.52,3.86,137216,-
Jan 17 2018,3.05,3.24,2.25,2.66,47867,-
Jan 16 2018,3.72,3.72,2.86,3.07,71756,-
Jan 15 2018,3.59,3.83,3.38,3.71,43384,-
Jan 14 2018,3.76,3.79,3.46,3.61,33682,-
Jan 13 2018,3.66,3.94,3.66,3.76,53351,-
Jan 12 2018,3.87,3.96,3.48,3.81,73414,-
Jan 11 2018,4.51,4.68,3.48,3.74,71571,-
Jan 10 2018,3.81,4.57,3.44,4.57,97704,-
Jan 09 2018,4.17,4.24,3.64,4.01,64494,-
Jan 08 2018,3.99,4.98,3.56,4.18,102810,-
Jan 07 2018,4.14,4.34,3.69,4.00,126198,-
Jan 06 2018,4.52,5.13,4.10,4.15,201752,-
Jan 05 2018,4.48,4.83,4.14,4.55,146693,-
Jan 04 2018,4.88,5.01,4.38,4.61,118968,-
Jan 03 2018,5.42,5.53,4.46,4.85,189407,-
Jan 02 2018,5.79,5.94,4.93,5.43,281299,-
Jan 01 2018,5.75,6.18,5.49,5.79,307136,-
Dec 31 2017,3.88,6.31,3.21,5.62,1923880,-
Dec 30 2017,2.89,3.97,1.89,3.46,1400520,-
Dec 29 2017,3.30,3.45,2.37,2.86,682641,-
Dec 28 2017,3.10,3.28,2.78,3.28,168611,-
Dec 27 2017,4.13,4.39,2.88,3.11,770026,-
Dec 26 2017,5.79,6.15,4.08,4.16,1180030,-
Dec 25 2017,8.88,10.24,5.66,6.06,1429110,-
Dec 24 2017,16.95,246.89,4.88,8.94,2153080,-
Dec 23 2017,12.78,29.37,12.62,19.41,28690,-
Dec 09 2017,15.42,16.97,12.20,13.62,78,-
Dec 08 2017,46.88,47.58,11.47,15.43,20542,-
Dec 07 2017,110.36,112.63,9.09,46.77,30217,-
Dec 06 2017,114.87,115.79,114.87,115.57,66069,833783000
