Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001162,0.001295,0.000754,0.000762,10,4844
Mar 30 2018,0.000992,0.001177,0.000661,0.001162,108,4133
Mar 29 2018,0.001350,0.001352,0.000990,0.000994,101,5623
Mar 28 2018,0.001324,0.001377,0.001316,0.001348,25,5511
Mar 27 2018,0.001470,0.001475,0.000969,0.001324,3532,6118
Mar 26 2018,0.001604,0.001612,0.001413,0.001473,3,6668
Mar 25 2018,0.002296,0.002320,0.000852,0.001605,386,9541
Mar 24 2018,0.002228,0.002428,0.002171,0.002328,4510,9254
Mar 23 2018,0.002175,0.002196,0.002079,0.002196,1,9030
Mar 22 2018,0.002224,0.002268,0.002130,0.002175,10,9226
Mar 21 2018,0.002242,0.002289,0.002196,0.002228,22,9302
Mar 19 2018,0.002211,0.002277,0.002198,0.002241,3,9168
Mar 18 2018,0.001814,0.002244,0.001755,0.002221,65,7519
Mar 17 2018,0.002241,0.002246,0.001782,0.001818,4,9285
Mar 16 2018,0.001983,0.002316,0.001806,0.002238,1855,8208
Mar 15 2018,0.002380,0.002395,0.001881,0.001984,16,9848
Mar 14 2018,0.002653,0.002714,0.002319,0.002381,8,10972
Mar 13 2018,0.002454,0.002671,0.001979,0.002653,37,10142
Mar 12 2018,0.002100,0.002682,0.002069,0.002468,468,8673
Mar 11 2018,0.002106,0.002140,0.001892,0.002106,44,8694
Mar 10 2018,0.002222,0.002276,0.002094,0.002113,225,9167
Mar 09 2018,0.002230,0.002532,0.002064,0.002221,8,9201
Mar 08 2018,0.002374,0.002422,0.002175,0.002245,14,9792
Mar 07 2018,0.002573,0.002611,0.002267,0.002377,8,10610
Mar 06 2018,0.003221,0.003221,0.002572,0.002576,36,13280
Mar 05 2018,0.003334,0.003334,0.002856,0.003230,20,13738
Mar 04 2018,0.003318,0.003337,0.002663,0.003337,9,13664
Mar 03 2018,0.002755,0.003325,0.002708,0.003323,6,11340
Mar 02 2018,0.002726,0.003211,0.002726,0.002758,8,11215
Mar 01 2018,0.002994,0.003086,0.002647,0.002733,12,12312
Feb 28 2018,0.003199,0.003310,0.002987,0.002990,1,13147
Feb 27 2018,0.002578,0.003242,0.002543,0.003203,39,10587
Feb 26 2018,0.002684,0.003124,0.002293,0.002570,14,11020
Feb 25 2018,0.002327,0.002711,0.002236,0.002681,23,9547
Feb 24 2018,0.002537,0.002711,0.002321,0.002331,252,10401
Feb 23 2018,0.002560,0.002861,0.002497,0.002540,19,10489
Feb 22 2018,0.002617,0.003272,0.002242,0.002562,756,10714
Feb 21 2018,0.003365,0.003371,0.002569,0.002619,121,13778
Feb 20 2018,0.003575,0.003675,0.003333,0.003369,16,14637
Feb 19 2018,0.003324,0.003592,0.002768,0.003572,180,13603
Feb 18 2018,0.003439,0.003498,0.002668,0.003339,90,14069
Feb 17 2018,0.003262,0.003472,0.003220,0.003428,1246,13344
Feb 16 2018,0.003532,0.003699,0.003022,0.003263,1851,14438
Feb 15 2018,0.002937,0.003571,0.002856,0.003547,1634,12008
Feb 14 2018,0.002723,0.003305,0.002684,0.002936,809,11127
Feb 13 2018,0.002936,0.002950,0.002602,0.002731,45,11990
Feb 12 2018,0.002837,0.002994,0.002561,0.002931,98,11580
Feb 11 2018,0.003676,0.003676,0.002475,0.002819,471,14997
Feb 10 2018,0.003041,0.003687,0.002679,0.003680,1556,12399
Feb 09 2018,0.002807,0.003314,0.002643,0.003039,110,11436
Feb 08 2018,0.002651,0.003440,0.002651,0.002798,111,10797
Feb 07 2018,0.002621,0.003596,0.002621,0.002662,49,10666
Feb 06 2018,0.002429,0.002687,0.002019,0.002647,71,9881
Feb 05 2018,0.002792,0.003468,0.002333,0.002426,95,11351
Feb 04 2018,0.003513,0.003513,0.002695,0.002820,713,14272
Feb 03 2018,0.003368,0.004159,0.003117,0.003511,14,13676
Feb 02 2018,0.003723,0.003906,0.003008,0.003356,114,15110
Feb 01 2018,0.003966,0.004691,0.003370,0.003731,80,16087
Jan 31 2018,0.003907,0.005104,0.003758,0.003957,2813,15835
Jan 30 2018,0.004368,0.004430,0.003836,0.003900,118,17704
Jan 29 2018,0.004872,0.004935,0.004307,0.004366,524,19740
Jan 28 2018,0.005252,0.005613,0.004743,0.004877,165,21266
Jan 27 2018,0.005897,0.005998,0.005007,0.005225,581,23864
Jan 26 2018,0.005915,0.006032,0.003867,0.005901,5681,23923
Jan 25 2018,0.006277,0.006426,0.005466,0.005931,1784,25371
Jan 24 2018,0.004661,0.006902,0.004293,0.006175,14144,18832
Jan 23 2018,0.004873,0.005014,0.003883,0.004664,10655,19669
Jan 22 2018,0.005804,0.005921,0.004578,0.004886,1136,23423
Jan 21 2018,0.006187,0.006488,0.005604,0.005726,205,24966
Jan 20 2018,0.004878,0.005375,0.004876,0.005347,13757,19668
Jan 19 2018,0.006879,0.007306,0.004495,0.004826,12417,27721
Jan 18 2018,0.006795,0.007195,0.006017,0.006952,1258,27369
Jan 17 2018,0.006396,0.006902,0.005212,0.006769,741,25748
Jan 16 2018,0.008336,0.008336,0.005686,0.006429,1855,33528
Jan 15 2018,0.008624,0.008929,0.007504,0.008325,4618,34683
Jan 14 2018,0.009478,0.009757,0.007633,0.008687,3938,38095
Jan 13 2018,0.007653,0.010143,0.007653,0.009472,4196,30740
Jan 12 2018,0.008232,0.010075,0.007607,0.007661,6443,33048
Jan 11 2018,0.009289,0.010101,0.007753,0.008178,15936,37265
Jan 10 2018,0.007886,0.030138,0.005360,0.009299,115290,31620
Jan 09 2018,0.011446,0.011715,0.007647,0.007876,4774,45890
Jan 08 2018,0.011074,0.011879,0.008330,0.008608,6323,44390
Jan 07 2018,0.011526,0.011526,0.007110,0.011089,7725,46191
Jan 06 2018,0.011040,0.011982,0.007791,0.011534,4863,44215
Jan 05 2018,0.009868,0.011977,0.008153,0.011031,8632,39498
Jan 04 2018,0.007910,0.011219,0.007902,0.009866,6324,31641
Jan 03 2018,0.007863,0.009320,0.007220,0.007867,6664,31433
Jan 02 2018,0.008101,0.008201,0.005680,0.007891,5548,32369
Jan 01 2018,0.008668,0.009211,0.005810,0.008101,2274,34608
Dec 31 2017,0.006993,0.009117,0.005603,0.008635,8531,27919
Dec 30 2017,0.003624,0.008889,0.002805,0.008740,15016,14468
Dec 29 2017,0.004630,0.006449,0.002943,0.003633,9397,18483
Dec 28 2017,0.011016,0.013672,0.003999,0.004582,6112,43982
Dec 27 2017,0.019004,0.021131,0.009483,0.011040,28918,75851
Dec 26 2017,0.083439,0.084739,0.012298,0.018991,86395,332861
Dec 25 2017,0.012537,0.156196,0.007446,0.083524,833563,49975
Dec 24 2017,0.003067,0.015647,0.002875,0.012408,35176,12221
Dec 23 2017,0.003172,0.003387,0.001980,0.003034,89,12626
Dec 22 2017,0.002278,0.003391,0.002062,0.003142,1445,9065
Dec 21 2017,0.002143,0.002260,0.001969,0.002037,4,8525
Dec 20 2017,0.004228,0.004280,0.002119,0.002137,9,16809
