Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,509.12,538.91,506.34,517.55,58319,314751000
Mar 30 2018,496.89,525.23,474.42,513.58,114540,307191000
Mar 29 2018,582.04,619.28,465.96,498.16,1943640,359835000
Mar 28 2018,587.05,604.70,578.20,580.03,209768,362933000
Mar 27 2018,637.88,647.75,583.50,590.98,132833,394358000
Mar 26 2018,679.49,684.30,608.78,643.26,208885,420079000
Mar 25 2018,680.44,696.67,668.16,680.64,57396,420666000
Mar 24 2018,713.15,714.77,675.89,688.72,89348,440892000
Mar 23 2018,699.57,706.50,653.75,706.50,51689,432491000
Mar 22 2018,709.68,730.79,679.16,686.59,134714,438746000
Mar 21 2018,713.46,756.25,701.31,708.19,148390,441083000
Mar 20 2018,701.15,718.61,664.73,710.57,469812,433470000
Mar 19 2018,666.50,703.07,653.39,692.24,463696,412049000
Mar 18 2018,666.82,677.01,572.83,670.43,753135,412247000
Mar 17 2018,708.48,724.07,658.89,662.71,218728,438003000
Mar 16 2018,735.94,741.94,696.47,710.60,712502,454977000
Mar 15 2018,747.03,748.63,704.88,734.20,671045,461835000
Mar 14 2018,803.39,825.74,731.71,750.18,655764,496680000
Mar 13 2018,810.08,826.93,764.48,804.29,708845,500813000
Mar 12 2018,825.42,862.59,782.82,810.51,842693,510295000
Mar 11 2018,793.49,862.83,766.64,833.43,756465,490557000
Mar 10 2018,827.33,852.11,788.38,795.99,1352570,511477000
Mar 09 2018,832.33,836.29,755.69,827.32,876707,514567000
Mar 08 2018,855.71,902.76,819.73,834.79,687914,529022000
Mar 07 2018,949.80,958.31,842.27,856.10,885248,587195000
Mar 06 2018,965.59,974.30,940.61,947.80,612383,596956000
Mar 05 2018,996.58,1003.66,963.14,968.61,900388,616113000
Mar 04 2018,1002.14,1010.03,837.91,974.04,603578,619548000
Mar 03 2018,1013.97,1033.89,987.27,1005.80,798650,626866000
Mar 02 2018,1044.55,1050.54,1005.70,1015.29,1038790,645773000
Mar 01 2018,1029.45,1057.16,1018.36,1044.70,1106640,636436000
Feb 28 2018,1054.14,1080.40,1015.28,1028.82,312214,651699000
Feb 27 2018,1037.21,1067.51,1025.52,1054.30,332902,641232000
Feb 26 2018,997.31,1054.52,997.09,1037.54,651886,616567000
Feb 25 2018,982.40,1009.67,963.35,997.77,687989,607348000
Feb 24 2018,1031.90,1055.75,949.00,986.05,1371900,637947000
Feb 23 2018,956.57,1056.67,938.00,1024.78,911752,591378000
Feb 22 2018,993.64,1028.23,939.82,959.04,1210590,614297000
Feb 21 2018,1053.89,1079.43,968.27,993.29,882767,651545000
Feb 20 2018,1111.92,1162.49,1051.98,1057.06,814543,687418000
Feb 19 2018,1074.61,1173.63,1072.96,1111.34,1206840,664356000
Feb 18 2018,1161.06,1166.15,1067.55,1077.59,1327250,717802000
Feb 17 2018,1144.35,1216.14,1118.88,1165.32,1223070,707468000
Feb 16 2018,1135.04,1173.16,1103.69,1143.95,1683010,701714000
Feb 15 2018,1122.85,1165.78,1104.90,1136.92,886075,694178000
Feb 14 2018,1008.05,1124.53,1008.05,1119.50,900798,623203000
Feb 13 2018,1074.88,1080.41,997.84,1010.04,664687,664523000
Feb 12 2018,1000.37,1104.46,998.92,1074.47,936639,618456000
Feb 11 2018,1062.90,1062.90,970.87,987.80,643665,657111000
Feb 10 2018,1086.68,1211.66,1021.71,1064.13,891114,671814000
Feb 09 2018,1014.67,1100.89,964.55,1093.80,643441,627299000
Feb 08 2018,914.30,1043.18,914.30,1008.62,751872,565244000
Feb 07 2018,913.46,1021.23,833.05,914.29,412692,564725000
Feb 06 2018,825.86,926.05,648.27,910.79,501568,510569000
Feb 05 2018,1054.28,1069.87,725.43,821.42,1266110,651786000
Feb 04 2018,1206.79,1209.65,1015.16,1061.91,579735,746069000
Feb 03 2018,1148.97,1254.39,1069.47,1212.87,543682,710327000
Feb 02 2018,1269.93,1269.93,980.25,1148.23,716121,785105000
Feb 01 2018,1387.76,1399.66,1189.36,1272.67,700913,857953000
Jan 31 2018,1280.96,1386.99,1243.83,1386.99,1062640,791923000
Jan 30 2018,1402.36,1411.09,1251.44,1277.84,1076760,866978000
Jan 29 2018,1489.39,1499.12,1307.31,1403.35,1049540,920783000
Jan 28 2018,1448.22,1587.40,1424.63,1488.36,2374320,895328000
Jan 27 2018,1464.07,1485.12,1335.97,1439.89,1847870,905129000
Jan 26 2018,1348.45,1497.72,1348.45,1472.36,1693530,833648000
Jan 25 2018,1544.26,1599.04,1321.09,1345.57,2070310,954707000
Jan 24 2018,1526.66,1590.37,1478.97,1535.29,1786450,943823000
Jan 23 2018,1515.20,1568.57,1425.90,1523.41,1562460,936737000
Jan 22 2018,1586.42,1659.13,1390.24,1524.56,1408450,980769000
Jan 21 2018,1692.21,1720.51,1537.69,1576.73,1261940,1046170000
Jan 20 2018,1573.92,1767.04,1562.56,1690.19,1254440,973043000
Jan 19 2018,1676.44,1762.73,1458.94,1560.26,1521410,1036420000
Jan 18 2018,1055.24,1773.92,1026.10,1654.82,2448320,652382000
Jan 17 2018,1070.42,1123.67,782.74,1046.27,1041520,-
Jan 16 2018,1236.23,1287.77,902.58,1063.18,1692020,-
Jan 15 2018,1387.46,1469.07,1201.05,1234.02,891849,-
Jan 14 2018,1432.76,1534.80,1267.44,1403.11,378266,-
Jan 13 2018,1326.24,1490.56,1326.24,1422.99,710161,-
Jan 12 2018,1023.57,1413.17,985.34,1327.88,976364,-
Jan 11 2018,1073.67,1133.50,958.55,1015.16,1686490,-
Jan 10 2018,1097.69,1151.85,1004.02,1076.53,1244900,-
Jan 09 2018,1112.34,1259.56,941.55,1096.44,1557700,-
Jan 08 2018,1171.07,1220.78,1015.89,1112.88,1242620,-
Jan 07 2018,1224.52,1267.32,1134.89,1169.35,1802970,-
Jan 06 2018,1105.47,1216.90,1092.42,1216.90,2040790,-
Jan 05 2018,1033.52,1117.96,1012.90,1096.78,1657580,-
Jan 04 2018,998.39,1098.15,933.83,1040.25,733011,-
Jan 03 2018,1064.77,1090.88,999.22,1074.53,809445,-
Jan 02 2018,971.17,1070.10,958.84,1063.07,660736,-
Jan 01 2018,961.02,985.59,883.00,970.09,502841,-
Dec 31 2017,907.95,994.32,902.05,959.91,814006,-
Dec 30 2017,1010.77,1012.60,869.29,918.43,528455,-
Dec 29 2017,1006.88,1044.80,970.57,1007.08,800242,-
Dec 28 2017,1041.72,1043.06,920.61,996.76,799689,-
Dec 27 2017,1065.41,1100.51,1010.77,1038.11,877151,-
Dec 26 2017,1053.56,1114.47,823.55,1064.33,943383,-
Dec 25 2017,1012.00,1054.78,918.28,1047.20,357740,-
Dec 24 2017,1001.15,1103.93,809.20,1005.60,245322,-
Dec 23 2017,830.24,1084.73,830.24,989.82,599721,-
Dec 22 2017,1098.97,1111.09,682.65,823.39,633680,-
Dec 21 2017,1278.94,1361.14,1021.46,1095.19,799675,-
Dec 20 2017,1393.45,1458.47,1118.46,1277.57,262010,-
Dec 19 2017,1221.99,1750.03,1219.75,1394.94,1282490,-
Dec 18 2017,1068.78,1229.90,992.41,1218.42,455522,-
Dec 17 2017,1082.26,1154.92,1046.66,1070.19,259197,-
Dec 16 2017,792.54,1116.57,792.54,1079.24,731649,-
Dec 15 2017,803.54,861.78,712.28,791.04,206328,-
Dec 14 2017,820.32,872.26,763.52,802.79,63565,-
Dec 13 2017,622.42,822.60,553.28,820.75,100344,-
Dec 12 2017,483.38,626.86,462.17,621.99,118742,-
Dec 11 2017,400.25,486.50,391.81,486.50,71980,-
Dec 10 2017,427.36,427.36,388.39,399.80,65534,-
Dec 09 2017,402.76,453.31,402.76,426.00,3864,-
Dec 08 2017,359.17,410.12,350.31,402.77,36391,-
Dec 07 2017,359.93,377.82,347.23,358.64,65610,-
Dec 06 2017,395.65,397.13,353.90,361.19,53172,-
Dec 05 2017,396.43,402.75,377.60,396.35,11304,-
Dec 04 2017,403.78,411.28,384.18,396.23,4042,-
Dec 03 2017,373.53,420.75,369.69,403.03,6007,-
Dec 02 2017,376.91,405.98,372.57,373.40,2612,-
Dec 01 2017,380.41,391.55,341.88,376.92,5627,-
Nov 30 2017,331.74,385.39,308.18,381.36,16339,-
Nov 29 2017,382.38,420.16,319.71,327.54,1699,-
Nov 28 2017,420.88,423.56,381.75,382.07,29741,-
Nov 27 2017,404.69,572.86,393.37,421.46,1993,-
Nov 26 2017,395.27,406.63,374.69,404.79,12132,-
Nov 25 2017,401.76,423.29,364.45,395.26,200519,-
Nov 24 2017,345.70,408.13,339.25,401.82,166167,-
Nov 23 2017,326.94,359.50,320.87,347.44,1187,-
Nov 22 2017,280.28,400.65,280.05,326.19,14577,-
Nov 21 2017,272.02,288.93,260.02,279.92,9649,-
Nov 20 2017,252.48,278.23,252.40,272.45,259174,-
Sep 09 2017,251.56,251.56,247.65,248.31,745,-
Sep 08 2017,274.72,274.72,240.82,251.15,753,-
Sep 07 2017,273.89,276.52,241.95,274.40,13711,-
Sep 06 2017,257.21,276.16,257.21,273.95,32725,-
Sep 05 2017,248.69,598.50,218.27,256.06,341784,-
Sep 04 2017,292.51,292.51,227.09,248.49,313606,-
Sep 03 2017,291.71,307.33,280.54,292.38,1102,-
Sep 02 2017,309.51,309.64,274.38,290.98,26845,-
Sep 01 2017,298.90,345.04,298.90,309.36,28212,-
Aug 31 2017,295.71,300.06,293.55,298.90,168815,-
Aug 30 2017,316.73,335.72,295.73,295.73,182599,-
Aug 29 2017,285.85,318.74,285.85,316.92,4371,-
Aug 28 2017,291.42,295.87,280.19,286.03,19215,-
Aug 27 2017,288.00,291.09,288.00,290.85,75657,-
Jan 31 2017,24.30,24.49,24.25,24.45,62919,-
Jan 30 2017,22.67,24.64,21.06,24.31,62568,-
Jan 29 2017,22.10,24.61,22.05,22.65,13325,-
