Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001372,0.001429,0.001334,0.001341,158,61927
Mar 30 2018,0.001504,0.001518,0.001364,0.001368,1330,67908
Mar 29 2018,0.001676,0.001678,0.001414,0.001428,2276,75649
Mar 28 2018,0.001662,0.001791,0.001633,0.001675,1734,75031
Mar 27 2018,0.001721,0.001794,0.001644,0.001662,2232,77713
Mar 26 2018,0.001885,0.001923,0.001712,0.001723,2593,85088
Mar 25 2018,0.001866,0.002004,0.001783,0.001886,1893,84216
Mar 24 2018,0.001960,0.001963,0.001817,0.001885,3862,88497
Mar 23 2018,0.001985,0.001985,0.001817,0.001949,1886,89629
Mar 22 2018,0.001871,0.001986,0.001869,0.001986,1942,84479
Mar 21 2018,0.001986,0.002243,0.001859,0.001874,2100,89666
Mar 20 2018,0.002142,0.002145,0.001800,0.001983,6447,96707
Mar 19 2018,0.002051,0.002385,0.001807,0.002140,9111,92587
Mar 18 2018,0.001839,0.002054,0.001526,0.002054,6237,83039
Mar 17 2018,0.001828,0.001966,0.001732,0.001842,1155,82533
Mar 16 2018,0.002013,0.002042,0.001782,0.001826,1062,90890
Mar 15 2018,0.001829,0.002162,0.001748,0.002015,2607,82567
Mar 14 2018,0.001819,0.002129,0.001720,0.001829,4472,82110
Mar 13 2018,0.002078,0.002078,0.001767,0.001819,1336,93798
Mar 12 2018,0.001773,0.002086,0.001741,0.002086,1312,80035
Mar 11 2018,0.001583,0.001915,0.001542,0.001777,380,71472
Mar 10 2018,0.001577,0.001916,0.001563,0.001587,591,71184
Mar 09 2018,0.001625,0.001753,0.001457,0.001576,703,73366
Mar 08 2018,0.001748,0.001917,0.001555,0.001634,224,78911
Mar 07 2018,0.002221,0.002321,0.001463,0.001750,4692,100262
Mar 06 2018,0.002471,0.002597,0.002029,0.002223,2858,111543
Mar 05 2018,0.002284,0.002746,0.002242,0.002446,5206,103096
Mar 04 2018,0.002409,0.002463,0.002091,0.002285,4105,108739
Mar 03 2018,0.002448,0.002521,0.002340,0.002411,767,110497
Mar 02 2018,0.002514,0.002639,0.002378,0.002450,2718,113487
Mar 01 2018,0.002313,0.002677,0.002298,0.002519,4737,104395
Feb 28 2018,0.002357,0.002615,0.002247,0.002310,4579,106399
Feb 27 2018,0.002528,0.002744,0.002277,0.002359,2665,114141
Feb 26 2018,0.002448,0.002951,0.002359,0.002524,1287,110529
Feb 25 2018,0.002568,0.002720,0.002306,0.002446,2555,115931
Feb 24 2018,0.002375,0.004287,0.002372,0.002570,5338,107218
Feb 23 2018,0.002441,0.002722,0.002373,0.002377,3288,110189
Feb 22 2018,0.002619,0.002831,0.002144,0.002443,4139,118226
Feb 21 2018,0.002936,0.002946,0.002511,0.002621,4051,132521
Feb 20 2018,0.002894,0.003003,0.002798,0.002934,6866,130652
