Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.031614,0.033084,0.011933,0.013857,6076,-
Mar 30 2018,0.034320,0.035895,0.030829,0.032016,8559,-
Mar 29 2018,0.038553,0.038786,0.033628,0.034409,13752,-
Mar 28 2018,0.035590,0.038903,0.034067,0.038506,7230,-
Mar 27 2018,0.031049,0.037553,0.027885,0.035594,24512,-
Mar 26 2018,0.030473,0.041674,0.024647,0.030504,21936,-
Mar 25 2018,0.042923,0.044140,0.026790,0.040505,24839,-
Mar 24 2018,0.048051,0.057170,0.025000,0.043518,31686,-
Mar 23 2018,0.069251,0.072663,0.037363,0.047958,29788,-
Mar 22 2018,0.044564,0.074354,0.037657,0.043276,30164,-
Mar 21 2018,0.042199,0.083621,0.036042,0.066242,52419,-
Mar 20 2018,0.064467,0.082195,0.028555,0.058626,28835,-
Mar 19 2018,0.071040,0.078114,0.029250,0.041161,12511,-
Mar 18 2018,0.026882,0.088535,0.021701,0.074084,47010,-
Mar 17 2018,0.030819,0.032236,0.021309,0.028210,16268,-
Mar 16 2018,0.032853,0.043013,0.015227,0.028776,9458,-
Mar 15 2018,0.045517,0.045801,0.027914,0.032042,14104,-
Mar 14 2018,0.039574,0.059880,0.024816,0.045538,17547,-
Mar 13 2018,0.051901,0.061457,0.030689,0.041537,20698,-
Mar 12 2018,0.062663,0.065107,0.033924,0.052200,42655,-
Mar 11 2018,0.056126,0.065378,0.052224,0.062861,55595,-
Mar 10 2018,0.060919,0.062793,0.053833,0.056320,39853,-
Mar 09 2018,0.057375,0.062793,0.050268,0.060893,49108,-
Mar 08 2018,0.063223,0.067901,0.054104,0.057738,46012,-
Mar 07 2018,0.083200,0.084091,0.056455,0.063313,38679,-
Mar 06 2018,0.099181,0.099181,0.066633,0.083331,17314,-
Mar 05 2018,0.120187,0.203519,0.059023,0.099480,88224,-
Mar 04 2018,0.089265,0.200646,0.064901,0.177891,132438,-
Mar 03 2018,0.092237,0.111242,0.062023,0.089419,80486,-
Mar 02 2018,0.079170,0.095797,0.058037,0.092366,61366,-
Mar 01 2018,0.060771,0.094958,0.057187,0.079374,53142,-
Feb 28 2018,0.072109,0.095036,0.056415,0.060683,44513,-
Feb 27 2018,0.077337,0.094199,0.056484,0.063572,53737,-
Feb 26 2018,0.087333,0.088617,0.077115,0.077115,12877,-
Feb 25 2018,0.081447,0.088561,0.080120,0.087221,287,-
Feb 24 2018,0.101162,0.104670,0.078509,0.081570,7325,-
Feb 23 2018,0.081220,0.104448,0.079216,0.101290,6627,-
Feb 22 2018,0.106862,0.107491,0.079845,0.081296,1284,-
Feb 21 2018,0.117998,0.118216,0.089400,0.106971,1927,-
Feb 20 2018,0.111715,0.125426,0.097887,0.118145,16230,-
Feb 19 2018,0.108032,0.112573,0.105235,0.111613,67,-
Feb 18 2018,0.110935,0.117596,0.104789,0.108531,9381,-
Feb 17 2018,0.111925,0.119606,0.106084,0.110596,1852,-
Feb 16 2018,0.110995,0.113009,0.098209,0.111950,18046,-
Feb 15 2018,0.103846,0.112227,0.097530,0.111471,1285,-
Feb 14 2018,0.106288,0.106822,0.088313,0.103789,1146,-
Feb 13 2018,0.106770,0.109615,0.087816,0.106606,6131,-
Feb 12 2018,0.097276,0.112116,0.094852,0.106577,7856,-
Feb 11 2018,0.088148,0.106099,0.072614,0.096660,12013,-
Feb 10 2018,0.086020,0.100647,0.079836,0.088223,58981,-
Feb 09 2018,0.075368,0.086331,0.066394,0.085957,17086,-
Feb 08 2018,0.064843,0.084184,0.064843,0.075137,681,-
Feb 07 2018,0.069297,0.082079,0.062470,0.065103,750,-
Feb 06 2018,0.061769,0.070643,0.053067,0.069998,2130,-
Feb 05 2018,0.082208,0.083718,0.056589,0.061691,3059,-
Feb 04 2018,0.084123,0.108007,0.079527,0.083013,10329,-
Feb 03 2018,0.071877,0.086356,0.069055,0.084080,969,-
Feb 02 2018,0.074559,0.080153,0.062619,0.071632,12217,-
Feb 01 2018,0.084618,0.092802,0.069829,0.074713,9389,-
Jan 31 2018,0.084942,0.090812,0.079150,0.084422,17464,-
Jan 30 2018,0.100686,0.102497,0.081042,0.084809,21011,-
Jan 29 2018,0.127598,0.127682,0.087394,0.100653,35510,-
Jan 28 2018,0.105038,0.128358,0.099580,0.127720,27969,-
Jan 27 2018,0.121826,0.134002,0.104503,0.104503,49999,-
Jan 26 2018,0.103568,0.125563,0.095450,0.121907,14789,-
Jan 25 2018,0.103848,0.112195,0.089853,0.103844,59462,-
Jan 24 2018,0.097558,0.112382,0.095444,0.102167,32223,-
Jan 23 2018,0.097455,0.122695,0.081744,0.097614,51780,-
Jan 22 2018,0.125947,0.127579,0.092923,0.097714,82121,-
Jan 21 2018,0.147870,0.147870,0.090703,0.124248,150410,-
Jan 20 2018,0.150992,0.172830,0.118788,0.147526,51359,-
Jan 19 2018,0.116264,0.183971,0.111382,0.149369,96460,-
Jan 18 2018,0.125873,0.175006,0.088770,0.117500,131239,-
Jan 17 2018,0.101505,0.127851,0.082127,0.125389,17846,-
