Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.015382,0.016278,0.015381,0.015812,611307,45629100
Mar 30 2018,0.015277,0.015690,0.014340,0.015377,661197,45316600
Mar 29 2018,0.017341,0.017634,0.015065,0.015366,600315,51439400
Mar 28 2018,0.016961,0.018114,0.016392,0.017340,603609,50312800
Mar 27 2018,0.017628,0.017820,0.016218,0.017070,965258,52290000
Mar 26 2018,0.020233,0.020254,0.016631,0.017707,1211480,60019200
Mar 25 2018,0.020453,0.020952,0.019987,0.020257,876567,60671400
Mar 24 2018,0.020293,0.021611,0.020193,0.020697,1090100,60196000
Mar 23 2018,0.019770,0.020029,0.017066,0.020027,1407380,58645800
Mar 22 2018,0.021107,0.021547,0.018923,0.019771,979720,62610100
Mar 21 2018,0.019433,0.021565,0.019433,0.021115,1286100,57645800
Mar 20 2018,0.017575,0.019871,0.017261,0.019354,931780,52134100
Mar 19 2018,0.015485,0.017634,0.015220,0.017496,986457,45935000
Mar 18 2018,0.015812,0.015832,0.011615,0.015554,857644,46903900
Mar 17 2018,0.018685,0.018697,0.015784,0.015857,662467,55425700
Mar 16 2018,0.018780,0.019721,0.017845,0.018688,721408,55708700
Mar 15 2018,0.020007,0.020179,0.017014,0.018752,828152,59349300
Mar 14 2018,0.021048,0.023113,0.019359,0.019998,1018030,62436600
Mar 13 2018,0.021596,0.021802,0.019841,0.021090,986981,64060600
Mar 12 2018,0.022559,0.023363,0.020730,0.021677,1002050,66917800
Mar 11 2018,0.020050,0.023778,0.019241,0.022578,674810,59476600
Mar 10 2018,0.020884,0.022083,0.020123,0.020296,1370720,61950900
Mar 09 2018,0.020077,0.021353,0.016058,0.020866,6012090,59555800
Mar 08 2018,0.024112,0.024776,0.018591,0.020169,11280600,71526400
Mar 07 2018,0.029813,0.031186,0.022420,0.024135,8546210,88435700
Mar 06 2018,0.032817,0.032817,0.028523,0.029810,6926670,97346600
Mar 05 2018,0.034352,0.035305,0.032124,0.033223,5403990,101900000
Mar 04 2018,0.033296,0.035107,0.032113,0.034377,873743,98770000
Mar 03 2018,0.033488,0.035116,0.031976,0.033351,974660,99339900
Mar 02 2018,0.029649,0.035847,0.026092,0.033516,2140650,87950000
Mar 01 2018,0.030156,0.031307,0.028739,0.029706,972355,89454700
Feb 28 2018,0.032267,0.032912,0.029301,0.029993,1095480,95717400
Feb 27 2018,0.032039,0.033800,0.031822,0.032385,868881,95039100
Feb 26 2018,0.031288,0.033095,0.030143,0.032267,759689,92813700
Feb 25 2018,0.031328,0.032869,0.030148,0.031236,299668,92929500
Feb 24 2018,0.034734,0.035175,0.030897,0.031363,362180,103034000
Feb 23 2018,0.033042,0.036479,0.031155,0.034863,558219,98015700
Feb 22 2018,0.034189,0.035301,0.031766,0.033034,869237,101418000
