Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.015862,0.018743,0.015862,0.018364,95,586391
Mar 30 2018,0.015866,0.017329,0.014785,0.015860,24,586452
Mar 29 2018,0.021832,0.023674,0.015440,0.015905,692,806941
Mar 28 2018,0.022266,0.023844,0.019676,0.021807,1222,822872
Mar 27 2018,0.020902,0.024584,0.016310,0.022271,1677,772396
Mar 26 2018,0.020297,0.021571,0.016208,0.020934,1451,749961
Mar 25 2018,0.019250,0.021592,0.018463,0.020312,1150,711215
Mar 24 2018,0.018690,0.019813,0.018120,0.019519,211,690427
Mar 23 2018,0.019831,0.019831,0.016308,0.018421,500,732523
Mar 22 2018,0.018320,0.022366,0.018292,0.019831,265,676654
Mar 21 2018,0.018521,0.020786,0.017351,0.018354,938,684004
Mar 20 2018,0.017735,0.018742,0.016976,0.018488,447,654914
Mar 19 2018,0.017451,0.018967,0.016982,0.017539,285,644374
Mar 18 2018,0.017610,0.020460,0.016510,0.017525,593,650180
Mar 17 2018,0.021094,0.021128,0.016720,0.017653,3926,778720
Mar 16 2018,0.020091,0.021750,0.019047,0.021059,264,741617
Mar 15 2018,0.021010,0.021764,0.018313,0.020102,757,775483
Mar 14 2018,0.022908,0.024238,0.019829,0.021020,205,845433
Mar 13 2018,0.022245,0.024819,0.021558,0.022905,558,820899
Mar 12 2018,0.023293,0.024291,0.021739,0.022374,371,859485
Mar 11 2018,0.023781,0.024251,0.022431,0.023367,413,877413
Mar 10 2018,0.021216,0.028205,0.021184,0.023863,2173,782706
Mar 09 2018,0.023234,0.024495,0.019964,0.021206,461,857044
Mar 08 2018,0.026217,0.028625,0.019914,0.025159,6557,967015
Mar 07 2018,0.022266,0.026344,0.020822,0.026255,3565,821172
Mar 06 2018,0.025429,0.026645,0.021478,0.022295,2689,937759
Mar 05 2018,0.028744,0.030694,0.023531,0.025500,6637,1059910
Mar 04 2018,0.031246,0.031271,0.027507,0.028765,827,1152060
Mar 03 2018,0.027961,0.039521,0.022242,0.031300,11352,1030810
Mar 02 2018,0.028927,0.033024,0.027223,0.027995,3348,1066360
Mar 01 2018,0.032370,0.032370,0.022065,0.029002,15406,1193150
Feb 28 2018,0.037280,0.037312,0.031153,0.032322,2765,1374000
Feb 27 2018,0.033340,0.041797,0.029733,0.037324,6323,1228670
Feb 26 2018,0.034547,0.037702,0.030848,0.032382,1860,1273030
Feb 25 2018,0.038823,0.042590,0.033881,0.035946,1965,1430430
Feb 24 2018,0.038025,0.066632,0.036391,0.038876,7749,1400880
Feb 23 2018,0.032309,0.052270,0.031203,0.038017,24192,1190210
Feb 22 2018,0.034504,0.035744,0.031135,0.032339,1540,1270930
Feb 21 2018,0.043408,0.046629,0.034162,0.034539,4526,1598760
Feb 20 2018,0.045692,0.049707,0.042997,0.043462,1839,1682730
Feb 19 2018,0.040466,0.045663,0.039531,0.045651,585,1490100
Feb 18 2018,0.043265,0.044588,0.038989,0.040653,3674,1592990
Feb 17 2018,0.038314,0.043282,0.038018,0.042690,2629,1410560
Feb 16 2018,0.038194,0.039388,0.037052,0.038322,279,1406010
Feb 15 2018,0.036472,0.039626,0.035921,0.038358,923,1342490
Feb 14 2018,0.033360,0.036833,0.031345,0.036452,3857,1227830
Feb 13 2018,0.036711,0.037474,0.031263,0.033460,1954,1351020
Feb 12 2018,0.032588,0.037509,0.031178,0.036644,3173,1199180
Feb 11 2018,0.036723,0.040621,0.032382,0.032382,1363,1351210
Feb 10 2018,0.035531,0.040354,0.033569,0.036754,4597,1307230
Feb 09 2018,0.038210,0.038468,0.033440,0.035505,1706,1405670
Feb 08 2018,0.033945,0.040542,0.033945,0.038093,2854,1248640
Feb 07 2018,0.033508,0.039640,0.031924,0.034082,954,1232420
Feb 06 2018,0.030150,0.036090,0.023412,0.033846,4491,1108800
Feb 05 2018,0.038265,0.040213,0.029660,0.030111,3279,1407140
Feb 04 2018,0.044882,0.045867,0.036883,0.038640,8229,1650310
Feb 03 2018,0.045213,0.048724,0.040775,0.044859,6760,1662310
Feb 02 2018,0.040344,0.045723,0.033043,0.045038,16743,1483150
Feb 01 2018,0.072807,0.090575,0.039400,0.045027,18723,2676320
Jan 31 2018,0.069657,0.087464,0.055099,0.072638,6343,2560280
Jan 30 2018,0.085331,0.190851,0.045937,0.069548,58846,3136070
Jan 29 2018,0.086996,0.110756,0.079292,0.085303,15508,3196830
Jan 28 2018,0.085204,0.184284,0.081719,0.087088,8786,3130390
Jan 27 2018,0.084285,0.092543,0.081001,0.084770,3991,3096020
Jan 26 2018,0.084167,0.094687,0.079439,0.084341,9674,3091090
Jan 25 2018,0.095652,0.103606,0.079563,0.084391,8860,3512180
Jan 24 2018,0.089536,0.099606,0.083414,0.094103,17002,3286990
Jan 23 2018,0.100434,0.102977,0.081611,0.089760,8237,3686420
Jan 22 2018,0.111299,0.126730,0.092082,0.100701,19559,4084400
Jan 21 2018,0.142196,0.144706,0.098868,0.109798,58325,5216940
Jan 20 2018,0.122313,0.149026,0.115833,0.141884,36589,4487050
Jan 19 2018,0.132657,0.133739,0.113036,0.119696,22437,4865570
Jan 18 2018,0.116320,0.149068,0.114358,0.134067,18827,4265500
Jan 17 2018,0.120272,0.138051,0.084322,0.115581,42110,4409600
Jan 16 2018,0.189029,0.212611,0.116357,0.121602,95048,6929190
Jan 15 2018,0.221186,0.463206,0.159938,0.190107,409088,8106250
Jan 14 2018,0.129277,0.425163,0.109157,0.204180,369806,4736860
Jan 13 2018,0.125087,0.162486,0.121475,0.127641,44741,4582460
Jan 12 2018,0.113537,0.160878,0.110437,0.125230,110186,4158490
Jan 11 2018,0.134846,0.138839,0.109046,0.112796,47477,4937990
Jan 10 2018,0.147996,0.148276,0.107259,0.133051,123035,5418540
Jan 09 2018,0.153269,0.155791,0.133843,0.147771,58014,5610420
