Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.171408,0.191011,0.171408,0.184130,91393,-
Mar 30 2018,0.175394,0.180501,0.163431,0.171382,65953,-
Mar 29 2018,0.198531,0.199348,0.166259,0.175831,98393,-
Mar 28 2018,0.189998,0.201492,0.185861,0.198299,118101,-
Mar 27 2018,0.183804,0.199088,0.176034,0.189886,122723,-
Mar 26 2018,0.181457,0.190167,0.173612,0.184083,107256,-
Mar 25 2018,0.176779,0.187867,0.127986,0.181597,450722,-
Mar 24 2018,0.190803,0.192807,0.179164,0.179246,139147,-
Mar 23 2018,0.185512,0.191723,0.178470,0.188065,103454,-
Mar 22 2018,0.190097,0.198709,0.176745,0.185517,155880,-
Mar 21 2018,0.196519,0.200058,0.186965,0.190445,101870,-
Mar 20 2018,0.194971,0.199731,0.184620,0.195897,56734,-
Mar 19 2018,0.186165,0.206139,0.186165,0.192820,93993,-
Mar 18 2018,0.181312,0.186953,0.162253,0.186953,178830,-
Mar 17 2018,0.187031,0.187857,0.176409,0.181754,187173,-
Mar 16 2018,0.202385,0.204624,0.176281,0.186723,215220,-
Mar 15 2018,0.119249,0.207464,0.118387,0.202499,310796,-
Mar 14 2018,0.150415,0.155844,0.117377,0.119302,197451,-
Mar 13 2018,0.169051,0.177125,0.139007,0.150394,283966,-
Mar 12 2018,0.175139,0.186715,0.163996,0.170118,74707,-
Mar 11 2018,0.160324,0.177701,0.145213,0.175692,158804,-
Mar 10 2018,0.164081,0.184824,0.160429,0.160879,130231,-
Mar 09 2018,0.167281,0.168972,0.144804,0.161974,361248,-
Mar 08 2018,0.186240,0.200449,0.157854,0.168908,375726,-
Mar 07 2018,0.246428,0.252253,0.146364,0.186504,976210,-
Mar 06 2018,0.240575,0.283098,0.235570,0.246748,577576,-
Mar 05 2018,0.289050,0.299626,0.238412,0.240550,665092,-
Mar 04 2018,0.250761,0.289991,0.238525,0.289261,978708,-
Mar 03 2018,0.185346,0.251547,0.185346,0.251194,1003820,-
Mar 02 2018,0.148617,0.186402,0.148038,0.184801,495782,-
Mar 01 2018,0.143827,0.150019,0.138713,0.148125,200688,-
Feb 28 2018,0.145569,0.155792,0.140166,0.143615,294851,-
Feb 27 2018,0.126833,0.165974,0.124739,0.146916,733893,-
Feb 26 2018,0.090689,0.127315,0.086519,0.126468,189703,-
Feb 25 2018,0.075629,0.091600,0.075629,0.090573,78043,-
Feb 24 2018,0.072853,0.092820,0.072021,0.075744,83624,-
Feb 23 2018,0.069308,0.075446,0.067730,0.072945,63965,-
Feb 22 2018,0.073265,0.079514,0.068637,0.069373,56944,-
Feb 21 2018,0.079413,0.082164,0.072815,0.073340,67568,-
Feb 20 2018,0.074960,0.086517,0.074960,0.079512,83348,-
Feb 19 2018,0.069182,0.080558,0.068968,0.074893,57369,-
Feb 18 2018,0.077655,0.079362,0.068323,0.069501,28801,-
Feb 17 2018,0.071253,0.079428,0.070883,0.077417,52870,-
Feb 16 2018,0.071440,0.075057,0.067177,0.071269,43695,-
Feb 15 2018,0.063293,0.074882,0.062812,0.071747,58729,-
Feb 14 2018,0.049527,0.066541,0.049527,0.063258,49586,-
Feb 13 2018,0.053563,0.058479,0.048490,0.049675,29874,-
Feb 12 2018,0.055529,0.060461,0.049763,0.050890,41626,-
Feb 11 2018,0.065747,0.065747,0.053920,0.055177,38074,-
Feb 10 2018,0.064906,0.069614,0.058231,0.065804,49455,-
Feb 09 2018,0.065132,0.066394,0.043988,0.061646,61715,-
Feb 08 2018,0.040375,0.066434,0.040375,0.064932,90859,-
Feb 07 2018,0.036152,0.045631,0.034062,0.040537,66305,-
Feb 06 2018,0.027553,0.037066,0.024226,0.036517,48334,-
Feb 05 2018,0.032522,0.034847,0.025328,0.027518,34199,-
Feb 04 2018,0.042524,0.042784,0.028771,0.032840,48583,-
Feb 03 2018,0.039882,0.044034,0.034580,0.042872,49903,-
Feb 02 2018,0.042229,0.042756,0.027908,0.039747,67128,-
Feb 01 2018,0.049123,0.049464,0.038164,0.042316,110151,-
Jan 31 2018,0.042672,0.050281,0.035336,0.049009,195488,-
Jan 30 2018,0.048159,0.048159,0.037199,0.041404,66739,-
Jan 29 2018,0.032712,0.049590,0.031289,0.048143,149309,-
Jan 28 2018,0.034366,0.037687,0.030545,0.032743,73619,-
Jan 27 2018,0.029038,0.036340,0.022448,0.034191,168809,-
Jan 26 2018,0.013392,0.029394,0.012455,0.029057,154790,-
Jan 25 2018,0.014950,0.015671,0.012936,0.013428,2614,-
Jan 24 2018,0.013333,0.015545,0.012651,0.014708,7423,-
Jan 23 2018,0.014835,0.014995,0.010608,0.013340,32122,-
Jan 22 2018,0.017644,0.018759,0.013937,0.014874,3657,-
Jan 21 2018,0.017524,0.018848,0.016125,0.017406,6768,-
Jan 20 2018,0.016958,0.019708,0.016949,0.017484,8049,-
Jan 19 2018,0.017366,0.017859,0.014751,0.016775,8289,-
Jan 18 2018,0.016375,0.020518,0.015088,0.017551,18286,-
Jan 17 2018,0.019760,0.020265,0.013621,0.016312,3150,-
Jan 16 2018,0.025007,0.025007,0.016247,0.019861,9351,-
Jan 15 2018,0.027105,0.027524,0.024905,0.024976,4422,-
Jan 14 2018,0.030158,0.031241,0.025100,0.027303,10176,-
Jan 13 2018,0.028802,0.031887,0.026337,0.030138,5074,-
Jan 12 2018,0.029554,0.032949,0.025879,0.028834,19053,-
Jan 11 2018,0.030862,0.031226,0.026301,0.029361,8437,-
Jan 10 2018,0.035051,0.035128,0.027257,0.030897,23961,-
Jan 09 2018,0.035993,0.036996,0.030128,0.035005,13124,-
Jan 08 2018,0.042341,0.044494,0.030337,0.036091,36966,-
Jan 07 2018,0.042146,0.046428,0.038088,0.043705,105335,-
Jan 06 2018,0.030571,0.046362,0.026608,0.042177,69197,-
Jan 05 2018,0.037194,0.037728,0.026134,0.030547,36100,-
Jan 04 2018,0.040004,0.041019,0.032705,0.037186,46238,-
Jan 03 2018,0.041243,0.044773,0.039058,0.039786,33234,-
Jan 02 2018,0.042664,0.044013,0.035367,0.041390,67200,-
Jan 01 2018,0.055086,0.055086,0.039484,0.042668,36054,-
Dec 31 2017,0.052511,0.059073,0.039457,0.054874,86779,-
Dec 30 2017,0.029571,0.058357,0.029433,0.053084,295867,-
Dec 29 2017,0.020544,0.041709,0.019752,0.029501,118427,-
Dec 28 2017,0.021567,0.023048,0.017212,0.020333,17470,-
Dec 27 2017,0.020905,0.024262,0.019612,0.021612,19645,-
Dec 26 2017,0.019084,0.022333,0.018472,0.020890,15999,-
Dec 25 2017,0.017468,0.021745,0.016450,0.019103,17711,-
Dec 24 2017,0.017528,0.018510,0.014034,0.017288,13154,-
Dec 23 2017,0.016134,0.024318,0.016134,0.017336,13107,-
Dec 22 2017,0.022312,0.022532,0.013277,0.015983,17895,-
Dec 21 2017,0.020769,0.026335,0.020651,0.022235,42094,-
Dec 20 2017,0.021671,0.023897,0.019249,0.020715,6255,-
Dec 19 2017,0.025448,0.027822,0.020517,0.021692,34659,-
Dec 18 2017,0.017601,0.025594,0.015975,0.025426,33203,-
Dec 17 2017,0.015192,0.018921,0.014683,0.017548,17286,-
Dec 16 2017,0.015000,0.015701,0.013847,0.015190,8286,-
Dec 15 2017,0.012938,0.015688,0.009792,0.014979,35969,-
Dec 14 2017,0.012445,0.014410,0.009492,0.014410,24708,-
Dec 13 2017,0.010884,0.011993,0.009941,0.011993,4540,-
Dec 12 2017,0.010944,0.012294,0.008471,0.010875,8634,-
Dec 11 2017,0.011588,0.013218,0.011077,0.011077,1253,-
Dec 10 2017,0.012180,0.012977,0.008741,0.011672,3040,-
Dec 09 2017,0.013499,0.014129,0.011513,0.012131,8295,-
Dec 08 2017,0.015446,0.015700,0.003539,0.013513,10855,-
Dec 07 2017,0.013736,0.016173,0.012614,0.015410,5819,-
