Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.686769,0.737719,0.676136,0.682735,887179,26127700
Mar 30 2018,0.675355,0.728229,0.654079,0.683218,1159070,25687200
Mar 29 2018,0.800751,0.803234,0.664582,0.678020,1589720,30450700
Mar 28 2018,0.826853,0.853535,0.793120,0.800095,1178610,31437500
Mar 27 2018,0.878645,1.02,0.826487,0.828174,1633850,33400600
Mar 26 2018,0.988362,1.02,0.827099,0.881965,1999830,37563700
Mar 25 2018,0.983827,1.03,0.952450,0.995752,1413310,37383300
Mar 24 2018,1.01,1.10,0.986279,0.988595,2297820,38297100
Mar 23 2018,0.949071,0.988923,0.876636,0.988886,1136310,36043300
Mar 22 2018,0.959600,1.03,0.906022,0.949045,1285530,36436300
Mar 21 2018,0.994107,1.09,0.943159,0.958310,2000560,37718600
Mar 20 2018,0.824808,1.06,0.802895,0.994154,2698290,31288300
Mar 19 2018,0.801097,0.875182,0.779606,0.817808,1736710,30382600
Mar 18 2018,0.763811,0.825939,0.616662,0.798271,2210570,28963300
Mar 17 2018,0.857515,0.869519,0.750170,0.750280,1184810,32503200
Mar 16 2018,0.887966,0.927056,0.832706,0.857940,1100750,33640100
Mar 15 2018,0.953634,0.970360,0.885610,0.889930,1192530,35840600
Mar 14 2018,1.13,1.15,0.921942,0.949925,1286990,42371200
Mar 13 2018,1.14,1.17,1.09,1.12,1170690,42807800
Mar 12 2018,1.20,1.24,1.12,1.15,1668170,45142800
Mar 11 2018,1.14,1.27,1.09,1.20,1834560,42798400
Mar 10 2018,1.23,1.29,1.11,1.15,1803690,46158600
Mar 09 2018,1.23,1.26,1.09,1.23,2346100,46013000
Mar 08 2018,1.34,1.39,1.20,1.23,2052830,50281700
Mar 07 2018,1.49,1.50,1.26,1.34,1950880,55900200
Mar 06 2018,1.60,1.61,1.47,1.49,1242330,60014600
Mar 05 2018,1.68,1.68,1.60,1.61,1764770,62984200
Mar 04 2018,1.66,1.67,1.59,1.67,1865800,62094600
Mar 03 2018,1.67,1.73,1.62,1.66,1985930,62741400
Mar 02 2018,1.72,1.75,1.63,1.68,1887250,64522200
Mar 01 2018,1.60,1.74,1.58,1.74,2056280,59756100
Feb 28 2018,1.76,1.81,1.59,1.59,2962200,66079400
Feb 27 2018,1.72,1.82,1.70,1.76,2808720,64477500
Feb 26 2018,1.57,1.79,1.48,1.72,2518180,58819300
Feb 25 2018,1.60,1.66,1.50,1.57,2068630,59979100
Feb 24 2018,1.67,1.72,1.50,1.60,1911860,62460400
Feb 23 2018,1.59,1.76,1.49,1.68,2673200,59378500
Feb 22 2018,1.81,1.87,1.55,1.56,2506340,67655200
Feb 21 2018,1.91,2.04,1.78,1.81,2388920,71518700
Feb 20 2018,2.19,2.30,1.84,1.92,4100260,82003500
Feb 19 2018,2.00,2.32,1.99,2.20,2759200,74578000
Feb 18 2018,2.29,2.35,1.96,2.02,3171670,85670800
Feb 17 2018,2.27,2.39,2.23,2.30,3875320,84787200
Feb 16 2018,1.93,2.33,1.86,2.26,3285500,71912400
Feb 15 2018,1.91,2.03,1.85,1.93,2819370,71265900
Feb 14 2018,1.52,1.93,1.51,1.90,3435410,56643600
Feb 13 2018,1.57,1.57,1.46,1.51,1308060,58554800
Feb 12 2018,1.41,1.59,1.39,1.55,1781700,52541300
Feb 11 2018,1.55,1.55,1.39,1.40,2003400,57847000
Feb 10 2018,1.52,1.64,1.46,1.55,2456090,56525500
Feb 09 2018,1.48,1.57,1.34,1.51,2628460,55345100
Feb 08 2018,1.38,1.68,1.38,1.47,1575340,51431600
Feb 07 2018,1.40,1.58,1.33,1.39,2872650,52336400
Feb 06 2018,1.37,1.50,1.05,1.41,4174830,51136200
Feb 05 2018,1.82,1.86,1.28,1.33,1925340,67840400
Feb 04 2018,2.03,2.07,1.74,1.83,1712810,75713200
Feb 03 2018,1.92,2.11,1.75,2.03,3001410,71452200
Feb 02 2018,2.01,2.09,1.54,1.91,5113880,74866100
Feb 01 2018,2.57,2.60,1.87,2.02,3805770,95697100
Jan 31 2018,2.40,2.63,2.30,2.56,3721050,89191400
Jan 30 2018,2.93,2.97,2.35,2.39,3144350,109121000
Jan 29 2018,3.08,3.20,2.82,2.93,3520550,114667000
Jan 28 2018,3.03,3.26,3.02,3.10,5435060,112726000
Jan 27 2018,3.25,3.41,3.00,3.02,5313680,120737000
Jan 26 2018,2.57,3.38,2.37,3.25,14345000,95378300
