Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.010119,0.010834,0.010089,0.010495,78,-
Mar 30 2018,0.011140,0.011445,0.009793,0.010117,186,-
Mar 29 2018,0.012087,0.012106,0.010897,0.011169,33,-
Mar 28 2018,0.012337,0.013104,0.011972,0.012072,47,-
Mar 27 2018,0.013996,0.014037,0.011823,0.012340,929,-
Mar 26 2018,0.014569,0.014703,0.013471,0.014014,23,-
Mar 25 2018,0.015901,0.016023,0.013924,0.014581,134,-
Mar 24 2018,0.015699,0.016761,0.014886,0.016123,1204,-
Mar 23 2018,0.013289,0.015732,0.012752,0.015474,178,-
Mar 22 2018,0.016635,0.016635,0.012988,0.013290,1154,-
Mar 21 2018,0.014911,0.016696,0.014790,0.016665,1176,-
Mar 20 2018,0.015589,0.016143,0.014853,0.014883,10,-
Mar 19 2018,0.013918,0.015458,0.013746,0.015432,39,-
Mar 18 2018,0.014906,0.014906,0.012427,0.013977,10764,-
Mar 17 2018,0.015607,0.015722,0.014642,0.014942,30,-
Mar 16 2018,0.013809,0.016129,0.013292,0.015581,39,-
Mar 15 2018,0.013488,0.015895,0.012703,0.013817,319,-
Mar 14 2018,0.014602,0.014654,0.012771,0.013115,79,-
Mar 13 2018,0.014935,0.015598,0.014642,0.015094,24,-
Mar 12 2018,0.015748,0.017639,0.014508,0.015050,85,-
Mar 11 2018,0.016657,0.016833,0.015060,0.015798,40,-
Mar 10 2018,0.015339,0.018530,0.015258,0.016712,68,-
Mar 09 2018,0.015233,0.016338,0.013673,0.015332,77,-
Mar 08 2018,0.016323,0.016656,0.014929,0.015330,266,-
Mar 07 2018,0.018246,0.018517,0.015782,0.016346,1063,-
Mar 06 2018,0.019339,0.021053,0.018091,0.018266,851,-
Mar 05 2018,0.020536,0.020840,0.019206,0.019392,1105,-
Mar 04 2018,0.020898,0.020915,0.018311,0.020551,432,-
Mar 03 2018,0.021642,0.022313,0.020388,0.020935,51,-
Mar 02 2018,0.018048,0.021987,0.018048,0.021669,354,-
Mar 01 2018,0.018616,0.019404,0.017138,0.018095,2419,-
Feb 28 2018,0.020740,0.021478,0.017885,0.018588,913,-
Feb 27 2018,0.018237,0.020896,0.017896,0.020765,542,-
Feb 26 2018,0.016463,0.019012,0.015860,0.018185,360,-
Feb 25 2018,0.018168,0.019232,0.016420,0.016442,992,-
Feb 24 2018,0.018407,0.019835,0.017627,0.018195,223,-
Feb 23 2018,0.018446,0.021906,0.017858,0.018430,367,-
Feb 22 2018,0.016715,0.019487,0.016404,0.018464,1681,-
Feb 21 2018,0.021804,0.021968,0.016243,0.016732,1457,-
Feb 20 2018,0.021199,0.026603,0.020718,0.021831,2080,-
Feb 19 2018,0.020879,0.022340,0.020660,0.021180,591,-
Feb 18 2018,0.022528,0.022893,0.020675,0.020976,573,-
Feb 17 2018,0.021888,0.024372,0.021427,0.022459,525,-
Feb 16 2018,0.021241,0.021948,0.019930,0.021893,1102,-
Feb 15 2018,0.019910,0.021530,0.019683,0.021327,409,-
Feb 14 2018,0.017900,0.020714,0.017900,0.019899,967,-
Feb 13 2018,0.020577,0.020577,0.017821,0.017949,538,-
Feb 12 2018,0.017101,0.022719,0.017101,0.020122,1942,-
Feb 11 2018,0.019972,0.019972,0.016993,0.016993,595,-
Feb 10 2018,0.019962,0.021053,0.018055,0.019989,1120,-
Feb 09 2018,0.018512,0.021392,0.016764,0.019935,671,-
Feb 08 2018,0.018630,0.020395,0.017884,0.019120,1022,-
Feb 07 2018,0.018986,0.021755,0.017383,0.018704,1250,-
Feb 06 2018,0.017930,0.019978,0.014941,0.019196,4098,-
Feb 05 2018,0.024026,0.027128,0.017434,0.017799,9999,-
Feb 04 2018,0.037532,0.038720,0.023187,0.024261,159356,-
Feb 03 2018,0.036869,0.046045,0.033586,0.037513,284801,-
Feb 02 2018,0.025493,0.092597,0.020821,0.036563,262630,-
Feb 01 2018,0.029302,0.030605,0.025065,0.025546,334,-
Jan 31 2018,0.030152,0.030375,0.027448,0.029234,352,-
Jan 30 2018,0.032725,0.035958,0.030019,0.030104,671,-
Jan 29 2018,0.042535,0.042563,0.032294,0.032714,1792,-
Jan 28 2018,0.038627,0.042872,0.034976,0.042577,2006,-
Jan 27 2018,0.039720,0.041687,0.034716,0.038427,646,-
Jan 26 2018,0.037289,0.039872,0.034742,0.039746,1029,-
Jan 25 2018,0.039258,0.042759,0.036670,0.037389,965,-
Jan 24 2018,0.038440,0.043307,0.036758,0.038623,823,-
Jan 23 2018,0.041804,0.046186,0.035600,0.038462,3630,-
Jan 22 2018,0.038836,0.049068,0.037063,0.041915,1601,-
Jan 21 2018,0.042212,0.048127,0.037297,0.038313,2424,-
Jan 20 2018,0.040223,0.048325,0.037648,0.042114,1366,-
Jan 19 2018,0.042568,0.044382,0.038710,0.039798,2654,-
Jan 18 2018,0.033437,0.043169,0.032033,0.043015,2910,-
Jan 17 2018,0.035633,0.040397,0.028815,0.033255,2044,-
Jan 16 2018,0.048619,0.052099,0.031092,0.035809,4997,-
Jan 15 2018,0.053933,0.063076,0.048552,0.048552,6415,-
Jan 14 2018,0.060634,0.062629,0.047048,0.054303,5840,-
Jan 13 2018,0.048082,0.061271,0.047029,0.061222,6323,-
Jan 12 2018,0.048414,0.052694,0.044993,0.048137,5132,-
Jan 11 2018,0.044557,0.048443,0.039139,0.048094,8277,-
Jan 10 2018,0.050344,0.052736,0.042149,0.044608,4385,-
Jan 09 2018,0.040001,0.053213,0.039911,0.050278,10263,-
Jan 08 2018,0.043002,0.051738,0.040076,0.040108,11405,-
Jan 07 2018,0.037587,0.052322,0.036963,0.047203,22357,-
Jan 06 2018,0.054262,0.142503,0.028984,0.037615,69604,-
Jan 05 2018,0.043011,0.059254,0.039192,0.054223,2447,-
