Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,21.95,23.57,21.61,22.62,66280,78053900
Mar 30 2018,23.14,24.51,21.17,21.95,138862,82130100
Mar 29 2018,26.89,27.24,22.50,23.19,161599,95318800
Mar 28 2018,24.92,28.25,24.79,26.85,163183,88221600
Mar 27 2018,27.29,27.56,23.79,24.93,109112,96155700
Mar 26 2018,28.75,29.00,25.32,27.32,72906,101410000
Mar 25 2018,27.31,29.88,26.60,28.78,94420,96157300
Mar 24 2018,31.61,32.30,26.96,27.71,133220,111144000
Mar 23 2018,30.66,31.51,28.04,30.87,162892,107474000
Mar 22 2018,32.77,33.42,29.50,30.67,131734,114433000
Mar 21 2018,32.23,33.59,31.52,32.40,113740,112100000
Mar 20 2018,30.71,33.38,29.17,32.08,185991,106854000
Mar 19 2018,30.32,31.47,28.28,30.43,148954,105472000
Mar 18 2018,29.79,30.63,26.03,30.29,191664,103664000
Mar 17 2018,29.34,30.61,25.43,29.84,243375,102023000
Mar 16 2018,25.80,31.64,24.50,29.05,222971,89627600
Mar 15 2018,24.18,27.25,22.80,25.82,190673,83938300
Mar 14 2018,28.66,29.43,23.79,24.29,147372,99399300
Mar 13 2018,29.05,29.62,25.98,28.49,124885,100640000
Mar 12 2018,28.58,32.82,25.71,29.16,319322,98961300
Mar 11 2018,29.22,31.54,27.01,28.65,250538,101074000
Mar 10 2018,32.18,34.35,28.52,29.05,277656,111225000
Mar 09 2018,27.20,32.19,23.77,31.03,192031,93893600
Mar 08 2018,28.63,30.13,26.37,28.04,204076,98757000
Mar 07 2018,27.35,35.33,25.64,28.09,192955,94249400
Mar 06 2018,27.60,28.76,25.28,27.88,149129,94905300
Mar 05 2018,26.47,29.07,26.29,27.66,164777,90900000
Mar 04 2018,26.61,27.47,24.73,26.66,121747,91150000
Mar 03 2018,23.86,27.37,23.86,26.64,132390,81651100
Mar 02 2018,24.03,24.39,23.14,23.89,101411,82149000
Mar 01 2018,22.45,24.45,21.92,24.06,139993,76681600
Feb 28 2018,24.71,26.48,22.26,22.26,133217,84266700
Feb 27 2018,22.33,24.94,21.49,24.74,187196,76021700
Feb 26 2018,20.91,23.72,19.30,22.27,207258,71138200
Feb 25 2018,19.37,21.50,19.04,20.90,86068,65780200
Feb 24 2018,19.87,22.12,18.85,19.39,87694,67084300
Feb 23 2018,19.32,52.49,18.27,19.90,155384,65325500
Feb 22 2018,19.36,51.59,18.15,19.34,118082,65397200
Feb 21 2018,22.29,22.29,18.73,19.42,114140,66860700
Feb 20 2018,21.41,24.48,20.20,22.33,194400,64218600
Feb 19 2018,19.56,21.66,19.24,21.39,117639,58690600
Feb 18 2018,20.26,21.86,18.60,19.42,116783,60790300
Feb 17 2018,19.37,20.30,18.25,20.00,107647,58097900
Feb 16 2018,20.52,21.19,17.53,19.25,163280,61563200
Feb 15 2018,19.09,20.49,17.39,20.30,149343,57261900
Feb 14 2018,17.43,19.64,16.75,19.08,106599,52304400
Feb 13 2018,17.35,17.49,15.50,16.94,53197,52050500
Feb 12 2018,16.36,17.58,15.81,17.32,51514,49088500
Feb 11 2018,18.09,18.09,15.14,16.27,88385,54267500
Feb 10 2018,16.77,18.40,15.98,18.37,56990,50309000
Feb 09 2018,16.73,18.68,15.24,17.03,70868,50204700
Feb 08 2018,14.52,17.23,14.52,16.69,93645,43560700
Feb 07 2018,15.64,16.48,13.29,14.57,84416,46934400
Feb 06 2018,12.51,16.57,9.81,15.77,104735,37524600
Feb 05 2018,14.66,15.25,11.15,12.49,70718,43985500
Feb 04 2018,16.62,17.78,13.34,14.79,47956,49853800
Feb 03 2018,16.19,17.94,15.06,16.61,46581,48570700
Feb 02 2018,15.62,19.28,15.06,16.14,88758,46860500
Feb 01 2018,17.75,22.57,14.31,15.65,74986,53258200
Jan 31 2018,17.67,20.29,16.17,17.57,66817,53009900
Jan 30 2018,21.01,21.06,16.10,17.64,66416,63018300
Jan 29 2018,22.34,23.21,20.18,21.00,73014,67032000
Jan 28 2018,22.62,24.55,21.75,22.37,83907,67868300
Jan 27 2018,22.24,23.03,18.56,22.52,133716,66734800
Jan 26 2018,21.90,24.25,20.69,22.25,73997,65691700
Jan 25 2018,23.28,23.80,21.49,21.95,124108,69830600
Jan 24 2018,23.42,28.71,22.56,22.96,165000,70273500
Jan 23 2018,23.88,24.99,21.00,23.43,95794,71639800
Jan 22 2018,23.25,26.30,22.24,23.93,140386,69742700
Jan 21 2018,25.67,27.42,22.52,22.96,178213,77023100
Jan 20 2018,24.56,28.05,22.94,25.63,131561,73672900
Jan 19 2018,27.02,28.85,22.15,24.35,99422,81071800
Jan 18 2018,25.38,30.27,21.47,27.27,146150,76129200
Jan 17 2018,24.87,31.73,16.95,25.73,138631,74606400
Jan 16 2018,32.21,32.68,23.92,26.10,128498,96640400
Jan 15 2018,27.06,33.29,27.05,32.18,130794,81187300
Jan 14 2018,32.08,34.23,26.83,27.06,114125,96249800
Jan 13 2018,28.61,32.42,27.67,30.86,133054,85818500
Jan 12 2018,24.32,29.15,23.72,28.17,222126,72948600
Jan 11 2018,25.53,26.14,22.25,24.25,85897,76589100
Jan 10 2018,23.72,26.94,22.38,25.56,112933,71151800
Jan 09 2018,24.44,25.79,23.59,23.71,110788,73317900
Jan 08 2018,24.10,31.05,22.68,24.50,136203,72296500
Jan 07 2018,26.05,26.06,23.74,24.11,117935,78139700
Jan 06 2018,25.54,27.79,24.38,26.19,207731,76621800
Jan 05 2018,23.63,27.35,22.53,25.52,139129,70878700
Jan 04 2018,23.96,28.90,21.32,24.43,163769,71869600
Jan 03 2018,21.98,26.36,19.43,23.85,226949,65951400
Jan 02 2018,19.57,23.59,18.40,22.04,194872,58712700
Jan 01 2018,18.96,19.61,17.80,19.56,40414,56869200
Dec 31 2017,18.81,20.81,17.17,18.91,100546,56444400
Dec 30 2017,17.77,19.00,15.23,18.98,107227,53304900
Dec 29 2017,17.09,20.33,16.93,17.80,133199,51267200
Dec 28 2017,17.55,19.81,15.28,17.21,103425,52642900
Dec 27 2017,20.79,21.49,16.21,17.58,149335,62383100
Dec 26 2017,19.97,23.24,19.70,20.78,106455,59916800
Dec 25 2017,21.31,22.59,19.37,19.99,138053,63932800
Dec 24 2017,22.87,23.91,19.71,21.13,83955,68619800
Dec 23 2017,22.77,26.08,22.53,22.65,67568,68297700
Dec 22 2017,22.65,26.34,16.71,22.58,136920,67956300
Dec 21 2017,26.38,27.72,22.55,23.18,71914,79129100
Dec 20 2017,25.28,28.04,21.31,24.89,137987,75838200
Dec 19 2017,30.40,34.89,22.87,25.30,401084,91197100
Dec 18 2017,31.72,34.17,29.52,30.37,141424,95145900
Dec 17 2017,33.85,35.95,29.55,31.64,140659,101559000
Dec 16 2017,33.33,36.03,32.16,33.85,135518,99992400
Dec 15 2017,37.57,41.67,27.39,33.29,330649,112723000
Dec 14 2017,28.54,38.32,28.04,36.46,284076,85608700
Dec 13 2017,26.57,31.08,24.70,28.60,260143,79696500
Dec 12 2017,27.90,28.83,25.81,26.55,174641,83688000
Dec 11 2017,26.67,31.12,24.29,26.39,196376,80000900
Dec 10 2017,31.53,31.76,24.24,26.83,216072,94595600
Dec 09 2017,31.76,37.89,27.67,31.33,239751,95276700
Dec 08 2017,24.97,47.27,18.35,32.63,404923,74902400
Dec 07 2017,25.40,33.34,18.39,24.91,244377,76192700
Dec 06 2017,41.59,42.14,23.56,25.35,480133,124781000
