Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.036651,0.040163,0.036031,0.036795,3285,446593
Mar 30 2018,0.038800,0.039515,0.035127,0.036645,3151,472768
Mar 29 2018,0.043744,0.043869,0.037539,0.038896,3142,532989
Mar 28 2018,0.044703,0.046807,0.042466,0.043772,3970,544660
Mar 27 2018,0.045969,0.047131,0.042149,0.044267,4133,560066
Mar 26 2018,0.049966,0.050240,0.041799,0.043404,3340,608735
Mar 25 2018,0.050221,0.051400,0.049117,0.049584,4777,611821
Mar 24 2018,0.052479,0.054067,0.050626,0.050854,960,639304
Mar 23 2018,0.051151,0.051820,0.047981,0.051820,4319,623106
Mar 22 2018,0.052879,0.053934,0.049245,0.051238,2885,644138
Mar 21 2018,0.049634,0.055513,0.049507,0.052975,5146,604590
Mar 20 2018,0.050861,0.054146,0.047427,0.050881,4588,619509
Mar 19 2018,0.047551,0.050689,0.045605,0.050302,4121,579170
Mar 18 2018,0.048811,0.048894,0.042911,0.045768,3632,594504
Mar 17 2018,0.046100,0.055113,0.044857,0.047210,4780,561469
Mar 16 2018,0.046091,0.049731,0.044343,0.048702,5841,561335
Mar 15 2018,0.045196,0.047394,0.042418,0.046109,4653,550421
Mar 14 2018,0.051463,0.052639,0.044466,0.044976,3359,626724
Mar 13 2018,0.049646,0.054001,0.048553,0.051633,5374,604576
Mar 12 2018,0.051903,0.054068,0.047440,0.049660,4601,632032
Mar 11 2018,0.048128,0.054071,0.046478,0.052065,4696,586043
Mar 10 2018,0.053761,0.055555,0.047950,0.048439,3902,654615
Mar 09 2018,0.060981,0.069371,0.049034,0.053724,6488,742495
Mar 08 2018,0.051748,0.120705,0.049734,0.060847,12200,630056
Mar 07 2018,0.057188,0.067101,0.050673,0.052190,3464,696260
Mar 06 2018,0.060881,0.062365,0.055177,0.057576,5096,741194
Mar 05 2018,0.063562,0.063746,0.059776,0.062017,6083,773812
Mar 04 2018,0.063307,0.063610,0.056234,0.063610,5662,770676
Mar 03 2018,0.059827,0.064851,0.058117,0.061994,5773,728294
Mar 02 2018,0.060080,0.064618,0.057359,0.059706,7662,731344
Mar 01 2018,0.055219,0.061652,0.053294,0.061131,5501,672151
Feb 28 2018,0.061318,0.063646,0.052599,0.055765,6583,746361
Feb 27 2018,0.065247,0.066990,0.058203,0.062147,5407,794155
Feb 26 2018,0.129061,0.130346,0.064494,0.065089,7180,1570810
Feb 25 2018,0.049920,0.306286,0.048807,0.073294,20024,607561
Feb 24 2018,0.053380,0.058772,0.049057,0.050868,5140,649644
Feb 23 2018,0.059420,0.061594,0.050512,0.053447,5763,723136
Feb 22 2018,0.067986,0.069724,0.057551,0.058213,6637,827348
Feb 21 2018,0.070397,0.070583,0.065557,0.068236,7965,856661
Feb 20 2018,0.074483,0.076631,0.070417,0.071178,8237,906345
Feb 19 2018,0.074626,0.076542,0.065540,0.074560,8675,908032
Feb 18 2018,0.096819,0.098894,0.074984,0.076189,7167,1178060
Feb 17 2018,0.073552,0.097473,0.072797,0.096112,10304,894932
Feb 16 2018,0.075057,0.076331,0.070729,0.075004,7673,913212
Feb 15 2018,0.064622,0.077591,0.063781,0.074129,6251,786216
Feb 14 2018,0.057075,0.065638,0.057075,0.064659,4580,694374
Feb 13 2018,0.063312,0.063931,0.057433,0.057786,5839,770220
Feb 12 2018,0.055948,0.064575,0.055946,0.062788,5528,680613
Feb 11 2018,0.059957,0.060550,0.055594,0.055594,3912,729353
Feb 10 2018,0.058824,0.068195,0.056968,0.060008,6079,715548
Feb 09 2018,0.055535,0.063643,0.050950,0.061059,8205,675516
Feb 08 2018,0.058446,0.068059,0.054092,0.055369,7732,710896
Feb 07 2018,0.082444,0.083161,0.058041,0.058041,5601,1002760
Feb 06 2018,0.060208,0.091398,0.036087,0.083277,1089,732275
Feb 05 2018,0.064411,0.068260,0.051475,0.059815,1980,783366
Feb 04 2018,0.098407,0.098407,0.061799,0.064207,10089,1196770
Feb 03 2018,0.169727,0.183023,0.091647,0.098464,24473,2064050
Feb 02 2018,0.061030,0.178445,0.053040,0.166133,12494,742154
Feb 01 2018,0.077822,0.080174,0.055169,0.060161,7664,946322
Jan 31 2018,0.064605,0.077853,0.062065,0.077527,7821,785575
Jan 30 2018,0.109228,0.109683,0.064818,0.065089,15492,1328120
Jan 29 2018,0.068575,0.245129,0.065987,0.109192,8720,833781
Jan 28 2018,0.073772,0.074280,0.066284,0.068609,3559,896941
Jan 27 2018,0.077153,0.080388,0.070344,0.073397,7668,938003
Jan 26 2018,0.094441,0.098459,0.073172,0.078543,9466,1148150
Jan 25 2018,0.077179,0.098513,0.072626,0.094635,8628,938255
Jan 24 2018,0.095665,0.095888,0.065204,0.075560,12875,1162940
Jan 23 2018,0.090343,0.122486,0.086846,0.097093,11787,1098210
Jan 22 2018,0.083227,0.090521,0.075773,0.090497,6633,1011660
Jan 21 2018,0.090056,0.093548,0.077584,0.084206,12351,1094630
Jan 20 2018,0.138698,0.148172,0.082353,0.088719,13817,1685800
Jan 19 2018,0.088032,0.151825,0.082781,0.136011,6861,1069950
Jan 18 2018,0.102182,0.104246,0.065774,0.094987,8759,1241880
Jan 17 2018,0.099416,0.105903,0.066818,0.101892,13346,1208220
Jan 16 2018,0.273703,0.275818,0.090064,0.099081,21855,3326240
Jan 15 2018,0.313830,0.343016,0.161496,0.272552,58503,3813760
Jan 14 2018,0.110877,0.330634,0.093249,0.330634,37934,1347360
Jan 13 2018,0.088873,0.116337,0.085120,0.112123,19330,1079940
Jan 12 2018,0.071710,0.095924,0.067705,0.085883,21501,871350
Jan 11 2018,0.090898,0.090898,0.069910,0.071434,16193,1104470
Jan 10 2018,0.079494,0.110700,0.070560,0.092194,19845,965865
Jan 09 2018,0.073566,0.095807,0.070198,0.079661,7411,893810
Jan 08 2018,0.083197,0.083694,0.071032,0.073794,8805,1010790
Jan 07 2018,0.073416,0.095972,0.065087,0.082323,8860,891924
Jan 06 2018,0.079531,0.079531,0.059503,0.072002,12996,966181
Jan 05 2018,0.081021,0.081021,0.068508,0.079076,9233,984244
Jan 04 2018,0.094670,0.095681,0.061934,0.081080,9356,1150000
Jan 03 2018,0.051131,0.094191,0.051100,0.094154,20779,621100
Jan 02 2018,0.037418,0.057738,0.035543,0.051032,4815,454510
Jan 01 2018,0.042089,0.043166,0.034433,0.036758,5357,511224
Dec 31 2017,0.055366,0.057161,0.041912,0.041912,7852,672468
Dec 30 2017,0.046230,0.082733,0.041842,0.054235,29709,561479
Dec 29 2017,0.020709,0.083630,0.020589,0.046407,13113,251512
Dec 28 2017,0.021237,0.023106,0.018907,0.020497,1565,257920
Dec 27 2017,0.024814,0.027617,0.019800,0.021282,2101,301343
Dec 26 2017,0.025179,0.025786,0.023606,0.024724,1300,305767
Dec 25 2017,0.021141,0.025829,0.020324,0.025214,844,256721
Dec 24 2017,0.026094,0.026094,0.018344,0.020924,1530,316861
Dec 23 2017,0.030374,0.031248,0.023507,0.025809,2884,368808
Dec 22 2017,0.022183,0.045425,0.021423,0.030089,3467,269351
Dec 21 2017,0.015471,0.022473,0.015384,0.022107,562,187846
Dec 20 2017,0.025033,0.025033,0.015431,0.015431,475,303930
Dec 19 2017,0.022799,0.026440,0.020712,0.025058,706,276798
Dec 18 2017,0.023087,0.023087,0.020120,0.022780,397,280278
Dec 17 2017,0.023291,0.026489,0.022231,0.023247,331,282754
Dec 16 2017,0.023957,0.032532,0.022058,0.023288,591,290829
Dec 15 2017,0.020002,0.024251,0.019314,0.023924,482,242799
Dec 14 2017,0.018329,0.020056,0.017739,0.019972,797,222490
Dec 13 2017,0.020413,0.020625,0.017610,0.018354,804,247772
Dec 12 2017,0.018265,0.020714,0.017427,0.020396,173,221690
Dec 11 2017,0.020472,0.020816,0.013592,0.018206,978,248472
Dec 10 2017,0.017341,0.021188,0.013632,0.020621,2297,210469
Dec 09 2017,0.020104,0.034684,0.016336,0.017271,903,243993
Dec 08 2017,0.023171,0.037082,0.019134,0.020125,693,281202
Dec 07 2017,0.013581,0.037001,0.013401,0.023117,1994,164816
Dec 06 2017,0.014717,0.019284,0.010826,0.013605,2599,178597
Dec 05 2017,0.023314,0.023859,0.014093,0.014750,482,282909
Dec 04 2017,0.013655,0.069116,0.013640,0.023269,1382,165698
Dec 03 2017,0.013606,0.015270,0.013115,0.013610,571,165087
Dec 02 2017,0.022332,0.022504,0.013573,0.013593,1141,270961
Dec 01 2017,0.014856,0.053587,0.013466,0.022351,1247,180248
Nov 30 2017,0.015149,0.018808,0.012084,0.014930,749,183792
Nov 29 2017,0.016163,0.019118,0.014390,0.014920,1206,196097
Nov 28 2017,0.015156,0.016972,0.013990,0.016179,799,183869
Nov 27 2017,0.014938,0.016912,0.014495,0.015117,833,181220
Nov 26 2017,0.014750,0.016181,0.013978,0.014935,600,178924
Nov 25 2017,0.023809,0.029166,0.014001,0.014738,1315,288817
Nov 24 2017,0.017984,0.160431,0.010467,0.023575,4215,218140
Nov 23 2017,0.011276,0.024214,0.011211,0.018008,105,136769
Nov 22 2017,0.009619,0.011335,0.008804,0.011279,193,116670
Nov 21 2017,0.009379,0.009820,0.008873,0.009596,87,113759
Nov 20 2017,0.009505,0.009549,0.009275,0.009378,22,115279
Nov 19 2017,0.009434,0.010353,0.008500,0.009509,238,114412
Nov 18 2017,0.009701,0.010328,0.009254,0.009451,307,117651
Nov 17 2017,0.011019,0.011279,0.009458,0.009739,455,133630
Nov 16 2017,0.011832,0.011832,0.009837,0.011037,293,143484
Nov 15 2017,0.008554,0.011770,0.008554,0.011770,110,103729
Nov 14 2017,0.008428,0.009778,0.007980,0.008548,264,102203
Nov 13 2017,0.007245,0.009114,0.007245,0.008411,135,87852
Nov 12 2017,0.008852,0.009630,0.006954,0.007235,177,107326
