Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.178297,0.198004,0.177357,0.179881,1166490,-
Mar 30 2018,0.182321,0.193327,0.170579,0.179065,1081210,-
Mar 29 2018,0.209997,0.210514,0.181938,0.183174,1208330,-
Mar 28 2018,0.209547,0.213446,0.203480,0.210094,1255650,-
Mar 27 2018,0.233515,0.235788,0.208982,0.209357,1222180,-
Mar 26 2018,0.253037,0.254948,0.216488,0.233614,1439070,-
Mar 25 2018,0.247502,0.259124,0.246170,0.253668,1591250,-
Mar 24 2018,0.254553,0.255301,0.245951,0.251454,1610900,-
Mar 23 2018,0.254554,0.255288,0.237881,0.252617,992728,-
Mar 22 2018,0.261289,0.275767,0.249949,0.254629,270675,-
Mar 21 2018,0.245970,0.271962,0.244963,0.261950,270723,-
Mar 20 2018,0.257776,0.258915,0.226455,0.244962,317742,-
Mar 19 2018,0.240129,0.257952,0.221504,0.255525,260879,-
Mar 18 2018,0.252541,0.252541,0.205056,0.239588,258557,-
Mar 17 2018,0.280982,0.282953,0.250229,0.253218,184025,-
Mar 16 2018,0.274829,0.288354,0.273723,0.279914,175084,-
Mar 15 2018,0.305278,0.307384,0.259655,0.275422,420039,-
Mar 14 2018,0.337695,0.353720,0.299272,0.306040,206542,-
Mar 13 2018,0.359438,0.368591,0.310561,0.338002,664691,-
Mar 12 2018,0.352216,0.366254,0.343992,0.361154,19797400,-
Mar 11 2018,0.325198,0.353005,0.321929,0.351679,2147820,-
Mar 10 2018,0.365816,0.368485,0.318154,0.326797,913541,-
Mar 09 2018,0.323415,0.370280,0.246701,0.366097,1376930,-
Mar 08 2018,0.380126,0.396080,0.321945,0.324020,339866,-
Mar 07 2018,0.443864,0.445276,0.357357,0.384101,630945,-
Mar 06 2018,0.394341,0.492683,0.375455,0.443290,1952870,-
Mar 05 2018,0.387505,0.401694,0.380285,0.397008,316928,-
Mar 04 2018,0.382962,0.395021,0.375299,0.384979,339438,-
Mar 03 2018,0.389975,0.402568,0.381535,0.385621,361637,-
Mar 02 2018,0.397932,0.401164,0.382971,0.387019,327470,-
Mar 01 2018,0.381649,0.403435,0.381505,0.397635,235991,-
Feb 28 2018,0.389308,0.393337,0.373949,0.382270,294463,-
Feb 27 2018,0.387684,0.398054,0.348316,0.390654,372901,-
Feb 26 2018,0.372063,0.390862,0.363101,0.385471,395505,-
Feb 25 2018,0.370030,0.381309,0.358929,0.371376,253739,-
Feb 24 2018,0.381881,0.390812,0.350736,0.372667,444427,-
Feb 23 2018,0.358626,0.385574,0.350412,0.385574,325357,-
Feb 22 2018,0.365781,0.380760,0.342407,0.362446,316732,-
Feb 21 2018,0.378093,0.388607,0.358159,0.364952,437672,-
Feb 20 2018,0.381574,0.394517,0.353457,0.378829,531758,-
Feb 19 2018,0.339718,0.383312,0.339532,0.381397,451254,-
Feb 18 2018,0.373746,0.373798,0.329737,0.342483,592257,-
Feb 17 2018,0.356082,0.384928,0.352551,0.376095,661515,-
Feb 16 2018,0.356588,0.363601,0.341676,0.354979,595995,-
Feb 15 2018,0.361831,0.370783,0.344622,0.355828,459301,-
Feb 14 2018,0.347636,0.362330,0.326757,0.361763,655406,-
Feb 13 2018,0.382611,0.394539,0.333798,0.345425,430893,-
Feb 12 2018,0.316252,0.397480,0.310556,0.378329,969768,-
Feb 11 2018,0.367075,0.378263,0.304094,0.314592,667189,-
Feb 10 2018,0.322427,0.383072,0.314163,0.367444,933675,-
Feb 09 2018,0.299882,0.324572,0.275631,0.322955,428527,-
Feb 08 2018,0.292326,0.324554,0.284877,0.299430,442077,-
Feb 07 2018,0.290392,0.334310,0.252427,0.292965,580178,-
Feb 06 2018,0.256082,0.291688,0.199240,0.290339,762184,-
Feb 05 2018,0.320319,0.324222,0.234005,0.255674,487496,-
Feb 04 2018,0.359174,0.360004,0.287958,0.320990,478718,-
Feb 03 2018,0.383881,0.383881,0.315113,0.360691,597360,-
Feb 02 2018,0.406713,0.406713,0.294839,0.376581,1328700,-
Feb 01 2018,0.449825,0.451780,0.369504,0.409122,1348790,-
Jan 31 2018,0.437932,0.456989,0.388467,0.445214,1094990,-
Jan 30 2018,0.488454,0.488454,0.396851,0.436772,1229590,-
Jan 29 2018,0.514624,0.516499,0.445338,0.488293,1698200,-
Jan 28 2018,0.447502,0.520744,0.401378,0.512835,2309590,-
Jan 27 2018,0.337857,0.466995,0.332051,0.447026,1747320,-
Jan 26 2018,0.362440,0.364369,0.316551,0.337907,1326060,-
Jan 25 2018,0.379903,0.391622,0.282591,0.367439,2993160,-
Jan 24 2018,0.334668,0.411875,0.328975,0.373525,668258,-
Jan 23 2018,0.344626,0.368083,0.301010,0.334637,740276,-
Jan 22 2018,0.312355,0.345242,0.305774,0.345242,1007580,-
