Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.031565,0.031667,0.030147,0.030492,11,-
Mar 30 2018,0.029893,0.030384,0.027867,0.030024,4,-
Mar 29 2018,0.037721,0.037783,0.029096,0.029968,34,-
Mar 28 2018,0.032705,0.038467,0.032523,0.037677,4,-
Mar 27 2018,0.035535,0.035649,0.032586,0.032712,620,-
Mar 26 2018,0.035495,0.035786,0.034157,0.035589,52,-
Mar 25 2018,0.043366,0.044255,0.042719,0.043927,34,-
Mar 24 2018,0.045081,0.045081,0.043866,0.043971,34,-
Mar 23 2018,0.044725,0.044725,0.043124,0.043207,34,-
Mar 22 2018,0.039051,0.046632,0.038992,0.044726,35,-
Mar 21 2018,0.039001,0.049544,0.038755,0.039123,123,-
Mar 20 2018,0.036649,0.039466,0.035472,0.038930,29,-
Mar 19 2018,0.036283,0.038450,0.035317,0.036244,67,-
Mar 18 2018,0.042351,0.042351,0.031826,0.036436,56,-
Mar 17 2018,0.049476,0.049476,0.042189,0.042454,46,-
Mar 16 2018,0.050390,0.050715,0.042487,0.049395,940,-
Mar 15 2018,0.050063,0.053800,0.046963,0.050418,45,-
Mar 14 2018,0.056726,0.059665,0.048774,0.050086,18,-
Mar 13 2018,0.056169,0.063676,0.055374,0.056718,110,-
Mar 12 2018,0.068624,0.068730,0.054460,0.056493,471,-
Mar 11 2018,0.062129,0.069890,0.060008,0.068841,150,-
Mar 10 2018,0.066670,0.068790,0.062006,0.062344,211,-
Mar 09 2018,0.067563,0.068360,0.060396,0.066641,3317,-
Mar 08 2018,0.071212,0.072667,0.065252,0.067994,1455,-
Mar 07 2018,0.094326,0.095745,0.069668,0.071313,4782,-
Mar 06 2018,0.082838,0.096976,0.079830,0.094449,107,-
Mar 05 2018,0.106353,0.107081,0.083036,0.083068,3410,-
Mar 04 2018,0.102958,0.114134,0.099878,0.106431,353,-
Mar 03 2018,0.109533,0.113472,0.101562,0.103136,74,-
Mar 02 2018,0.096388,0.110485,0.095890,0.109667,142,-
Mar 01 2018,0.090550,0.097800,0.089845,0.096637,54,-
Feb 28 2018,0.096726,0.100071,0.090337,0.090417,384,-
Feb 27 2018,0.104251,0.109500,0.095468,0.096840,8,-
Feb 26 2018,0.084361,0.104752,0.083085,0.103950,342,-
Feb 25 2018,0.085034,0.086508,0.081723,0.084253,5,-
