Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.004379,0.004937,0.004302,0.004521,53486,6847410
Mar 30 2018,0.005084,0.005107,0.004151,0.004441,95090,7947060
Mar 29 2018,0.006031,0.006031,0.004888,0.004972,58220,9426650
Mar 28 2018,0.006073,0.006220,0.005845,0.006032,58068,9491470
Mar 27 2018,0.006378,0.006401,0.005901,0.006137,26616,9966410
Mar 26 2018,0.006926,0.007080,0.006072,0.006389,66753,10820600
Mar 25 2018,0.007071,0.007281,0.006576,0.006931,24588,11045700
Mar 24 2018,0.007294,0.007712,0.006678,0.007229,76937,11392000
Mar 23 2018,0.006623,0.007198,0.006297,0.007198,52991,10341700
Mar 22 2018,0.007113,0.007217,0.006313,0.006620,49054,11106700
Mar 21 2018,0.006857,0.007431,0.006846,0.007122,38652,10703900
Mar 20 2018,0.006986,0.007173,0.006449,0.006845,46278,10903900
Mar 19 2018,0.006033,0.007350,0.005947,0.006911,139947,9415730
Mar 18 2018,0.005769,0.006182,0.005204,0.006067,119181,9002190
Mar 17 2018,0.006459,0.006520,0.005753,0.005789,40812,10077400
Mar 16 2018,0.006610,0.006989,0.006270,0.006456,38459,10310400
Mar 15 2018,0.007397,0.007585,0.006179,0.006612,128587,11536300
Mar 14 2018,0.008387,0.008604,0.007216,0.007406,88343,13079000
Mar 13 2018,0.008473,0.008901,0.008209,0.008315,47833,13211100
Mar 12 2018,0.009128,0.009421,0.008233,0.008518,27518,14229600
Mar 11 2018,0.008252,0.009276,0.007823,0.009022,37127,12863100
Mar 10 2018,0.008697,0.009181,0.008093,0.008278,45921,13554300
Mar 09 2018,0.008545,0.009036,0.007572,0.008699,109501,13315400
Mar 08 2018,0.009114,0.009451,0.008514,0.008687,101278,14200100
Mar 07 2018,0.010849,0.011166,0.008921,0.009190,286962,16899400
Mar 06 2018,0.012067,0.012285,0.010751,0.011033,87925,18794600
Mar 05 2018,0.011959,0.012912,0.011576,0.011995,138285,18622800
Mar 04 2018,0.011783,0.012220,0.011188,0.011966,65059,18345600
Mar 03 2018,0.012249,0.012915,0.011479,0.011803,139514,19068600
Mar 02 2018,0.011891,0.012942,0.011397,0.012262,201685,18507700
Mar 01 2018,0.010724,0.012028,0.010002,0.011914,210428,16689100
Feb 28 2018,0.011417,0.011939,0.010372,0.010612,113747,17763600
Feb 27 2018,0.011362,0.012193,0.011017,0.011632,189980,17674400
Feb 26 2018,0.011705,0.012311,0.011120,0.011314,182623,18205600
Feb 25 2018,0.011844,0.012725,0.011391,0.011848,113206,18419200
Feb 24 2018,0.013997,0.014469,0.011522,0.012034,179739,21763900
Feb 23 2018,0.012040,0.015079,0.011791,0.014209,589146,18717500
Feb 22 2018,0.011715,0.013102,0.010857,0.012141,176148,18208200
Feb 21 2018,0.012555,0.013138,0.011699,0.011728,122942,19511100
Feb 20 2018,0.013745,0.015672,0.012638,0.012679,377706,21357200
Feb 19 2018,0.012524,0.013766,0.012117,0.013733,118674,19456300
Feb 18 2018,0.014526,0.014873,0.012350,0.012577,104240,22561600
Feb 17 2018,0.013017,0.014567,0.012706,0.014567,171255,20214500
Feb 16 2018,0.012526,0.013168,0.011821,0.013026,101360,19448900
Feb 15 2018,0.012933,0.013360,0.012251,0.012762,161199,20077500
Feb 14 2018,0.011244,0.012921,0.011092,0.012921,110897,17452100
Feb 13 2018,0.012175,0.012342,0.011155,0.011262,64444,18894000
Feb 12 2018,0.010944,0.012398,0.010911,0.012133,64138,16980500
Feb 11 2018,0.011968,0.011968,0.010506,0.010874,62794,18567900
Feb 10 2018,0.012266,0.013200,0.011230,0.011978,150520,19025900
