Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.104652,0.117970,0.103829,0.107113,3342,1970070
Mar 30 2018,0.106928,0.111707,0.099452,0.104637,5435,2012930
Mar 29 2018,0.124667,0.124860,0.106762,0.107195,5934,2346870
Mar 28 2018,0.128572,0.135906,0.118621,0.124521,7650,2420370
Mar 27 2018,0.152620,0.153128,0.118849,0.128600,12350,2873080
Mar 26 2018,0.165731,0.166640,0.145879,0.152836,909,3119900
Mar 25 2018,0.154461,0.170964,0.147036,0.165864,8436,2907740
Mar 24 2018,0.165073,0.177439,0.150351,0.156558,11997,3107510
Mar 23 2018,0.166330,0.175273,0.150659,0.175273,17703,3131180
Mar 22 2018,0.187603,0.191135,0.160880,0.166431,15140,3531640
Mar 21 2018,0.183864,0.213697,0.174573,0.187938,9348,3461250
Mar 20 2018,0.208387,0.213084,0.174413,0.183526,21249,3922900
Mar 19 2018,0.203447,0.217406,0.175432,0.206102,13445,3829900
Mar 18 2018,0.183642,0.205405,0.143841,0.189246,14326,3457070
Mar 17 2018,0.175323,0.207266,0.162079,0.184011,22935,3300470
Mar 16 2018,0.187993,0.191692,0.174048,0.175291,3843,3538990
Mar 15 2018,0.187696,0.195962,0.171748,0.188124,6215,3533390
Mar 14 2018,0.214196,0.220254,0.182862,0.187780,15317,4032250
Mar 13 2018,0.171166,0.220694,0.167409,0.214170,22590,3222210
Mar 12 2018,0.162262,0.182882,0.147596,0.172068,22198,3054590
Mar 11 2018,0.154818,0.206292,0.142385,0.162759,22462,2914450
Mar 10 2018,0.194558,0.213970,0.137137,0.155351,26990,3662560
Mar 09 2018,0.221686,0.247961,0.173566,0.194503,35198,4173260
Mar 08 2018,0.274743,0.281066,0.215435,0.223059,19887,5172060
Mar 07 2018,0.303546,0.310197,0.263392,0.272942,20779,5714270
Mar 06 2018,0.335512,0.371850,0.302244,0.303845,19706,6316040
Mar 05 2018,0.341177,0.366935,0.331411,0.336391,19598,6422690
Mar 04 2018,0.321947,0.347503,0.318206,0.341270,12499,6060660
Mar 03 2018,0.328517,0.369288,0.310943,0.322264,113129,6184350
Mar 02 2018,0.313449,0.351740,0.299129,0.328864,329939,5900690
Mar 01 2018,0.313026,0.337132,0.281042,0.313878,70826,5892730
Feb 28 2018,0.298813,0.322515,0.292462,0.313154,73454,5625180
Feb 27 2018,0.321189,0.330486,0.297246,0.299056,32931,6046400
Feb 26 2018,0.270825,0.358056,0.268895,0.320413,32369,5098290
Feb 25 2018,0.279239,0.291989,0.258981,0.270553,22266,5256690
Feb 24 2018,0.314893,0.350860,0.270296,0.270296,44090,5927880
Feb 23 2018,0.267146,0.324337,0.245237,0.323386,67329,5029030
Feb 22 2018,0.294682,0.358454,0.254490,0.267429,90534,5547410
Feb 21 2018,0.332538,0.332538,0.271262,0.294983,11926,6260040
Feb 20 2018,0.294102,0.389603,0.278879,0.332887,158121,5536480
Feb 19 2018,0.368826,0.385244,0.269331,0.294706,108400,6943170
Feb 18 2018,0.482010,0.482010,0.307280,0.370710,124974,9073860
Feb 17 2018,0.464091,0.515714,0.430451,0.464740,49647,8736540
Feb 16 2018,0.436210,0.534657,0.371647,0.460126,110193,8211690
Feb 15 2018,0.365424,0.438878,0.364409,0.438005,60290,6879130
Feb 14 2018,0.418728,0.503399,0.362000,0.369450,97095,7882590
Feb 13 2018,0.429917,0.433156,0.376117,0.419892,36229,8093220
Feb 12 2018,0.426714,0.468096,0.398039,0.429267,45200,8032910
Feb 11 2018,0.530298,0.530298,0.403424,0.424438,41197,9982890
Feb 10 2018,0.390787,0.609892,0.385296,0.530778,154015,7356580
Feb 09 2018,0.346439,0.396106,0.313181,0.381726,38726,6521740
Feb 08 2018,0.348396,0.437415,0.344518,0.345571,25700,6558580
Feb 07 2018,0.350847,0.403723,0.312473,0.349655,37258,6276400
Feb 06 2018,0.285084,0.374213,0.233246,0.354010,41950,5099940
Feb 05 2018,0.385310,0.392250,0.272935,0.280173,30126,6892910
Feb 04 2018,0.474862,0.506548,0.341049,0.388954,37752,8494930
Feb 03 2018,0.513153,0.540525,0.459816,0.474218,35747,9179920
Feb 02 2018,0.454038,0.532156,0.393642,0.511373,58003,8122400
Feb 01 2018,0.483448,0.567278,0.407042,0.460369,75689,8648520
Jan 31 2018,0.609508,0.619502,0.477734,0.482281,50862,10903700
Jan 30 2018,0.683440,0.761763,0.553788,0.608433,70790,12226200
Jan 29 2018,0.714332,0.749112,0.580758,0.683210,118221,12778900
Jan 28 2018,0.760951,0.818029,0.689961,0.718665,102075,13612900
Jan 27 2018,0.836395,0.883330,0.728934,0.757072,89011,14962500
Jan 26 2018,0.853448,0.953600,0.705549,0.836918,78749,15263300
Jan 25 2018,0.895658,0.976165,0.838737,0.855720,92479,16018200
Jan 24 2018,0.853392,0.969765,0.768514,0.882025,114870,15253700
Jan 23 2018,0.813082,0.865946,0.703306,0.853851,121177,14533200
Jan 22 2018,0.805135,0.910095,0.714154,0.814695,139346,14391200
Jan 21 2018,0.945703,0.945703,0.735470,0.794424,133559,16903700
Jan 20 2018,0.784647,1.12,0.741546,0.922996,175975,14025000
Jan 19 2018,0.870713,0.964244,0.730500,0.776531,108357,15563400
Jan 18 2018,0.960725,1.07,0.726278,0.879709,130630,17172200
Jan 17 2018,0.787428,1.07,0.577395,0.957181,138584,14074700
Jan 16 2018,1.23,1.23,0.722142,0.789744,203349,22039300
Jan 15 2018,1.38,1.69,1.18,1.23,294029,24587700
Jan 14 2018,1.73,1.81,1.21,1.40,293589,30940600
Jan 13 2018,1.69,1.88,1.50,1.73,413147,30272600
Jan 12 2018,1.87,2.05,1.40,1.70,332332,33353500
Jan 11 2018,2.22,2.38,1.69,1.88,427617,39726400
Jan 10 2018,2.16,3.01,1.62,2.19,1145220,38681900
Jan 09 2018,1.36,2.11,1.35,1.99,834995,24367600
Jan 08 2018,1.27,1.41,1.11,1.37,424109,22692000
Jan 07 2018,1.57,1.59,1.24,1.26,420106,28147800
Jan 06 2018,1.48,1.60,1.23,1.58,602942,26497800
Jan 05 2018,1.22,1.52,1.07,1.41,541695,21766200
Jan 04 2018,0.797712,1.23,0.771654,1.22,683586,14257900
Jan 03 2018,0.731079,0.907923,0.664926,0.795091,265262,13067000
Jan 02 2018,0.717583,0.850958,0.672385,0.746883,302739,12825700
Jan 01 2018,0.516947,1.88,0.460444,0.716233,286808,9239650
Dec 31 2017,0.514138,0.585646,0.456055,0.516524,264631,9189440
Dec 30 2017,0.508096,0.535340,0.388138,0.511069,174504,9081450
Dec 29 2017,0.412523,0.625714,0.412398,0.508459,283978,7373230
Dec 28 2017,0.368948,0.460618,0.311486,0.409429,166365,6594390
Dec 27 2017,0.346643,0.369561,0.283271,0.369561,141840,6177950
Dec 26 2017,0.340210,0.380744,0.281937,0.345516,109328,6061600
Dec 25 2017,0.227820,0.371499,0.214204,0.340128,175467,4059130
Dec 24 2017,0.220067,0.257205,0.194173,0.227295,51716,3920990
Dec 23 2017,0.263442,0.287414,0.206964,0.217585,78959,4693810
Dec 22 2017,0.233518,0.282645,0.171536,0.261290,26485,3932950
Dec 21 2017,0.256675,0.269879,0.225785,0.232637,201,4322970
Dec 20 2017,0.275097,0.275142,0.234630,0.256401,28923,4633240
Dec 19 2017,0.288950,0.293286,0.217353,0.275415,63145,4866550
Dec 18 2017,0.215033,0.289824,0.189552,0.289824,142320,3621630
Dec 17 2017,0.167641,0.241765,0.145874,0.215316,53000,2823440
