Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,7.73,8.14,7.64,7.83,8858460,100076000
Mar 30 2018,7.96,8.28,7.34,7.71,9337130,103092000
Mar 29 2018,9.67,9.81,7.86,7.98,11461700,125212000
Mar 28 2018,9.68,10.22,9.49,9.66,12312800,125299000
Mar 27 2018,11.34,11.58,9.85,9.88,10254500,146751000
Mar 26 2018,11.76,12.74,9.99,11.38,15736200,152121000
Mar 25 2018,10.73,12.65,10.37,11.79,18000400,138766000
Mar 24 2018,12.15,12.83,10.52,10.91,27593800,157183000
Mar 23 2018,9.24,11.81,8.68,11.81,24330300,119425000
Mar 22 2018,9.94,10.14,8.81,9.26,12822900,128426000
Mar 21 2018,9.66,11.04,9.44,9.98,13945800,124795000
Mar 20 2018,8.85,9.82,8.53,9.63,12259800,114332000
Mar 19 2018,8.68,9.19,8.30,8.81,9804430,112077000
Mar 18 2018,8.86,8.91,6.65,8.65,10712700,114372000
Mar 17 2018,9.83,9.90,8.79,8.88,9337750,126853000
Mar 16 2018,10.40,10.98,9.33,9.84,11627400,134300000
Mar 15 2018,9.68,10.46,8.92,10.38,8666500,124886000
Mar 14 2018,11.41,11.79,9.36,9.70,2199010,147180000
Mar 13 2018,11.85,12.34,11.26,11.45,2210290,152855000
Mar 12 2018,12.73,13.44,11.30,11.88,3715790,164202000
Mar 11 2018,11.34,13.06,10.90,12.71,3499730,146233000
Mar 10 2018,11.93,12.87,11.08,11.38,3596990,153823000
Mar 09 2018,11.82,12.07,9.35,11.97,3621810,152269000
Mar 08 2018,13.05,13.34,11.52,11.86,3001220,168170000
Mar 07 2018,15.28,15.72,11.85,13.09,6447580,196810000
Mar 06 2018,15.87,18.98,14.88,15.28,15203600,204497000
Mar 05 2018,16.44,16.58,15.92,15.95,3684860,212146000
Mar 04 2018,17.01,17.01,15.70,16.55,4977800,228200000
Mar 03 2018,15.64,18.59,15.32,17.08,11323300,201291000
Mar 02 2018,16.01,16.01,14.92,15.56,4074000,205917000
Mar 01 2018,16.13,17.79,15.43,15.96,14257000,207385000
Feb 28 2018,14.11,20.06,14.02,16.05,39374500,181360000
Feb 27 2018,13.94,15.00,13.73,14.09,3494090,179236000
Feb 26 2018,13.67,14.95,13.39,13.93,4307770,175634000
Feb 25 2018,13.11,14.99,12.92,13.66,5732600,168453000
Feb 24 2018,14.27,14.53,12.67,13.14,2625070,183261000
Feb 23 2018,13.33,14.65,12.80,14.29,3479680,171188000
Feb 22 2018,15.17,15.80,13.13,13.31,3096320,194753000
Feb 21 2018,15.37,17.63,14.42,15.02,7882850,197258000
Feb 20 2018,18.39,18.67,15.59,15.59,7469010,236034000
Feb 19 2018,16.17,19.81,16.14,18.42,19410400,207436000
Feb 18 2018,17.72,17.75,15.51,16.18,5277620,227273000
Feb 17 2018,17.94,19.04,17.31,17.75,8966690,230029000
Feb 16 2018,18.61,19.49,16.45,18.07,21028200,238531000
Feb 15 2018,15.17,22.27,14.09,18.56,83055100,194389000
Feb 14 2018,11.49,14.86,11.49,14.86,4152390,147279000
Feb 13 2018,13.55,13.65,11.30,11.50,1737860,173647000
Feb 12 2018,10.88,13.71,10.88,13.59,2909730,139317000
Feb 11 2018,11.70,12.04,10.32,10.82,2325390,149761000
Feb 10 2018,13.81,14.07,11.02,11.76,2172730,176814000
Feb 09 2018,11.54,13.89,11.05,13.80,256549,147728000
Feb 08 2018,10.49,11.96,10.43,11.52,3217800,134185000
Feb 07 2018,11.98,12.92,9.77,10.53,3084850,153291000
Feb 06 2018,8.86,12.15,6.93,12.01,3613470,113299000
Feb 05 2018,11.88,12.12,7.83,8.64,2505870,151865000
Feb 04 2018,14.07,14.32,11.07,11.99,2230170,179876000
Feb 03 2018,12.98,14.56,11.79,14.07,2578680,165888000
Feb 02 2018,14.53,14.54,10.29,12.89,4566820,185708000
Feb 01 2018,17.16,18.04,13.09,14.42,4344220,219143000
Jan 31 2018,16.35,17.38,15.44,17.16,4591030,208810000
Jan 30 2018,19.25,19.26,15.51,16.32,3546130,245819000
Jan 29 2018,20.62,20.95,18.91,19.28,3493170,263210000
Jan 28 2018,20.94,24.03,20.54,20.71,11389400,267286000
Jan 27 2018,19.95,21.77,19.42,20.85,4554200,254586000
Jan 26 2018,20.67,21.55,18.48,19.98,4449880,263640000
Jan 25 2018,21.98,22.88,20.63,20.77,4307440,280278000
Jan 24 2018,21.09,24.48,20.44,21.47,16784500,268940000
Jan 23 2018,22.17,22.71,19.40,21.06,5872280,282630000
Jan 22 2018,25.84,26.32,20.00,22.26,7241140,329294000
Jan 21 2018,30.94,31.19,23.77,25.14,9588240,394206000
Jan 20 2018,27.25,31.80,26.96,31.22,16059900,347065000
Jan 19 2018,26.04,29.67,25.14,27.00,12536700,331560000
Jan 18 2018,26.37,30.86,25.36,26.37,27568100,335720000
Jan 17 2018,23.40,33.87,22.32,26.53,93353900,297911000
Jan 16 2018,22.13,31.24,14.17,23.53,76247800,281628000
Jan 15 2018,27.65,28.92,22.09,22.09,10330000,351746000
Jan 14 2018,32.55,32.55,24.63,27.78,18080500,414006000
Jan 13 2018,36.80,37.43,29.65,32.64,24524700,468025000
Jan 12 2018,30.13,41.63,28.54,36.82,34940300,383054000
Jan 11 2018,38.28,39.84,27.58,29.94,35328800,486608000
Jan 10 2018,45.34,56.50,36.28,38.72,91383300,576140000
Jan 09 2018,44.81,64.87,40.38,44.47,222014000,569252000
Jan 08 2018,23.98,51.03,23.32,44.68,310931000,304548000
Jan 07 2018,22.15,31.38,17.44,25.09,103923000,281265000
Jan 06 2018,7.75,28.38,7.62,22.86,72246800,98452400
Jan 05 2018,8.12,8.86,7.02,7.53,3280040,103083000
Jan 04 2018,8.48,8.54,7.50,8.11,2888930,107629000
Jan 03 2018,8.31,8.89,7.99,8.43,2770880,105450000
Jan 02 2018,9.05,9.72,7.98,8.31,2407610,114757000
Jan 01 2018,8.36,9.33,7.73,9.14,2443900,105982000
Dec 31 2017,7.35,8.58,7.00,8.35,1713930,93197100
Dec 30 2017,8.44,8.58,6.77,7.44,1538800,106947000
Dec 29 2017,7.15,9.32,6.61,8.49,3289740,90638300
Dec 28 2017,7.69,8.67,6.11,6.96,1511940,97398700
Dec 27 2017,6.37,8.01,5.76,7.66,2012800,80631600
Dec 26 2017,6.82,7.11,5.44,6.36,1692320,86433200
Dec 25 2017,6.58,7.28,6.33,6.74,1261440,83281100
Dec 24 2017,7.63,7.63,6.13,6.54,1545340,96530800
Dec 23 2017,7.57,8.89,7.36,7.64,3941520,95809600
Dec 22 2017,4.83,9.92,3.90,7.51,7843310,61135300
Dec 21 2017,4.54,5.26,4.20,4.82,600706,57388900
Dec 20 2017,4.37,4.58,3.78,4.52,605108,55252700
Dec 19 2017,4.85,5.03,4.07,4.38,623820,61355100
Dec 18 2017,4.10,4.83,3.86,4.80,504052,51871200
Dec 17 2017,4.21,4.34,3.90,4.09,452794,53220700
Dec 16 2017,3.93,4.38,3.68,4.28,433080,49634500
Dec 15 2017,3.96,4.15,3.48,3.92,335296,50007200
Dec 14 2017,4.28,4.56,3.56,3.99,356777,54091900
Dec 13 2017,3.39,4.78,3.05,4.38,594952,42771100
Dec 12 2017,3.33,3.73,2.95,3.42,346566,41997500
Dec 11 2017,3.27,3.84,3.21,3.32,291876,41275400
Dec 10 2017,3.63,3.73,3.08,3.29,355318,45806400
Dec 09 2017,3.81,3.87,3.34,3.62,345927,48129000
Dec 08 2017,4.10,4.23,3.14,3.78,580263,51707400
Dec 07 2017,4.20,4.59,3.60,4.09,616727,52998500
Dec 06 2017,3.96,4.33,3.73,4.12,616653,49977200
Dec 05 2017,3.66,4.24,3.39,4.07,518455,46083400
Dec 04 2017,2.90,3.91,2.86,3.65,672699,36511000
Dec 03 2017,2.64,3.07,2.62,2.90,288911,33216800
Dec 02 2017,2.95,2.97,2.64,2.67,284357,37111500
Dec 01 2017,2.92,3.07,2.56,2.95,346399,36755500
Nov 30 2017,2.71,3.05,2.42,2.93,219988,34095400
Nov 29 2017,3.03,3.20,2.51,2.67,307601,38080600
Nov 28 2017,3.06,3.39,2.93,2.98,342147,38488100
Nov 27 2017,3.20,3.31,2.93,3.05,286401,40217200
Nov 26 2017,3.22,3.39,2.92,3.20,277734,40548900
Nov 25 2017,3.44,3.60,3.06,3.22,325835,43211200
Nov 24 2017,2.74,3.66,2.68,3.49,308611,34478200
Nov 23 2017,2.92,3.12,2.47,2.73,416008,36719500
Nov 22 2017,3.00,3.08,2.72,2.92,300506,37659600
Nov 21 2017,3.05,3.21,2.89,3.03,266378,38329600
Nov 20 2017,3.17,3.54,2.96,3.06,261967,39768500
Nov 19 2017,3.39,3.39,2.68,3.17,471144,42548800
Nov 18 2017,3.35,3.52,3.13,3.37,296049,42099100
Nov 17 2017,4.23,4.23,3.26,3.37,463203,53156000
Nov 16 2017,3.54,4.60,3.41,3.99,684305,44368000
Nov 15 2017,3.62,3.72,3.29,3.52,393762,45390000
Nov 14 2017,3.84,3.94,2.91,3.62,368012,48177500
Nov 13 2017,3.57,4.15,3.50,3.83,283372,44757200
Nov 12 2017,3.88,4.07,3.31,3.56,300980,48605400
Nov 11 2017,4.06,4.40,3.79,3.88,470746,50957600
Nov 10 2017,4.93,4.98,3.87,4.00,400021,61822100
Nov 09 2017,4.64,5.30,4.33,4.92,652781,58104500
Nov 08 2017,3.94,5.18,3.93,4.64,489596,49416000
Nov 07 2017,3.79,4.03,3.62,3.96,180467,47480200
