Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.020511,0.021028,0.018957,0.019265,202,241135
Mar 30 2018,0.028335,0.028470,0.018093,0.020508,598,332161
Mar 29 2018,0.019932,0.020306,0.018613,0.019458,102,233043
Mar 28 2018,0.022192,0.028480,0.019731,0.019909,440,258753
Mar 27 2018,0.021240,0.035893,0.019707,0.022197,1070,246950
Mar 26 2018,0.019581,0.039077,0.019471,0.021272,1076,227005
Mar 25 2018,0.019727,0.027402,0.019433,0.019595,198,228071
Mar 24 2018,0.020497,0.025579,0.019955,0.020002,87,236343
Mar 23 2018,0.019143,0.025855,0.016974,0.020203,171,220092
Mar 22 2018,0.022239,0.034390,0.018748,0.019143,326,254986
Mar 21 2018,0.016117,0.028689,0.015186,0.022279,195,184246
Mar 20 2018,0.018109,0.021005,0.006510,0.016088,923,206457
Mar 19 2018,0.017282,0.033467,0.017094,0.017909,651,196468
Mar 18 2018,0.017193,0.017683,0.015549,0.017355,221,194895
Mar 17 2018,0.018097,0.028365,0.016889,0.017235,252,204564
Mar 16 2018,0.018173,0.023030,0.017493,0.018067,234,204848
Mar 15 2018,0.018220,0.023458,0.017014,0.018184,61,204779
Mar 14 2018,0.020220,0.020768,0.017750,0.018228,78,226606
Mar 13 2018,0.019995,0.020862,0.019523,0.020217,65,223441
Mar 12 2018,0.020807,0.021763,0.019387,0.020111,314,231846
Mar 11 2018,0.018955,0.021204,0.018307,0.020872,49,210607
Mar 10 2018,0.019908,0.037285,0.018847,0.019020,653,220558
Mar 09 2018,0.023234,0.023508,0.019900,0.019900,304,256687
Mar 08 2018,0.025320,0.025837,0.023174,0.023382,234,278896
Mar 07 2018,0.027869,0.028288,0.024179,0.025356,119,306089
Mar 06 2018,0.029338,0.029454,0.027578,0.027905,22,263709
Mar 05 2018,0.028859,0.029764,0.028661,0.029420,154,259399
Mar 04 2018,0.030887,0.030912,0.028587,0.028880,114,277633
Mar 03 2018,0.029201,0.031759,0.029201,0.030941,72,262477
Mar 02 2018,0.028022,0.033346,0.028022,0.029237,335,251880
Mar 01 2018,0.025709,0.028433,0.025509,0.028095,144,231088
Feb 28 2018,0.035833,0.037071,0.025471,0.025671,214,322081
Feb 27 2018,0.033513,0.041345,0.024860,0.035875,1000,301231
Feb 26 2018,0.030102,0.040044,0.030009,0.033416,194,270570
Feb 25 2018,0.026179,0.039603,0.025346,0.030063,856,235313
Feb 24 2018,0.025874,0.031259,0.025679,0.026219,304,232569
Feb 23 2018,0.029929,0.033568,0.011010,0.025907,3409,269013
Feb 22 2018,0.036109,0.037926,0.029541,0.029956,259,324569
Feb 21 2018,0.042062,0.052162,0.035999,0.036146,250,378074
Feb 20 2018,0.043904,0.055559,0.041664,0.042114,461,394631
Feb 19 2018,0.054743,0.056422,0.042068,0.043864,969,492059
Feb 18 2018,0.044596,0.061938,0.042188,0.054996,945,400852
Feb 17 2018,0.058103,0.062661,0.042657,0.044460,456,522260
