Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.93,1.99,1.90,1.94,146571,7249710
Mar 30 2018,2.09,2.09,1.93,1.93,255196,7815540
Mar 29 2018,2.29,2.29,2.07,2.09,163771,8573000
Mar 28 2018,2.45,2.48,1.84,2.29,340360,9183160
Mar 27 2018,2.50,2.50,2.28,2.45,302050,9346140
Mar 26 2018,2.59,2.61,2.43,2.50,348390,9685460
Mar 25 2018,2.64,2.67,2.59,2.59,214904,9866750
Mar 24 2018,2.81,2.83,2.66,2.66,276046,10492000
Mar 23 2018,2.80,2.80,2.65,2.78,201778,10461600
Mar 22 2018,2.82,2.86,2.72,2.80,299137,10518200
Mar 21 2018,2.71,2.82,2.70,2.82,322656,10114700
Mar 20 2018,2.51,2.72,2.48,2.71,273727,9378730
Mar 19 2018,2.45,2.51,2.41,2.50,349017,9149360
Mar 18 2018,2.52,2.52,2.27,2.46,144339,9386930
Mar 17 2018,2.75,2.79,2.50,2.52,191611,10260800
Mar 16 2018,2.71,2.79,2.63,2.75,181638,10088600
Mar 15 2018,2.83,2.84,2.64,2.71,134594,10529100
Mar 14 2018,3.19,3.24,2.77,2.83,152903,11883000
Mar 13 2018,3.31,3.40,3.18,3.19,230103,12343000
Mar 12 2018,3.59,3.64,3.30,3.33,142326,13379600
Mar 11 2018,3.33,3.61,3.23,3.60,171994,12397100
Mar 10 2018,3.33,3.56,3.32,3.34,358253,12389400
Mar 09 2018,3.40,3.43,3.06,3.33,190291,12656100
Mar 08 2018,3.65,3.68,3.36,3.42,179152,13574800
Mar 07 2018,4.00,4.05,3.60,3.65,188952,14879700
Mar 06 2018,4.52,4.52,3.97,4.01,220396,16798000
Mar 05 2018,4.77,4.83,4.53,4.53,225867,17731400
Mar 04 2018,4.81,4.90,4.71,4.78,174437,17873200
Mar 03 2018,4.61,4.90,4.61,4.82,238388,17098500
Mar 02 2018,4.66,4.90,4.51,4.60,322078,17309700
Mar 01 2018,4.04,4.85,4.01,4.68,265379,14982100
Feb 28 2018,4.20,4.35,4.02,4.03,134155,15583500
Feb 27 2018,4.50,4.58,4.21,4.21,91778,16689500
Feb 26 2018,3.97,4.73,3.91,4.46,231356,14707700
Feb 25 2018,3.72,3.99,3.61,3.96,79386,13777800
Feb 24 2018,3.93,4.02,3.62,3.72,75460,14535500
Feb 23 2018,3.55,3.98,3.49,3.93,85324,13157900
Feb 22 2018,4.12,4.24,3.52,3.56,124594,15245100
Feb 21 2018,4.47,4.48,4.05,4.10,103609,16522800
Feb 20 2018,4.25,4.84,4.25,4.47,225569,15736100
Feb 19 2018,4.12,4.35,4.10,4.25,70275,15220800
Feb 18 2018,4.53,4.59,4.12,4.13,90832,16726400
Feb 17 2018,4.34,4.56,4.29,4.51,70470,16039400
Feb 16 2018,4.31,4.39,4.11,4.34,79905,15926000
Feb 15 2018,4.45,4.61,4.22,4.31,151417,16416700
Feb 14 2018,3.97,4.44,3.95,4.41,94298,14641600
Feb 13 2018,4.08,4.19,3.92,3.95,68220,15051100
Feb 12 2018,4.09,4.50,4.02,4.05,259243,15081600
Feb 11 2018,4.32,4.33,4.05,4.06,41524,15912600
Feb 10 2018,4.62,4.86,4.14,4.35,144796,17042100
Feb 09 2018,4.53,4.68,4.18,4.62,79260,16709000
Feb 08 2018,3.95,4.82,3.95,4.45,145906,14537600
Feb 07 2018,3.75,4.59,3.47,3.96,130971,13810900
Feb 06 2018,3.30,3.81,2.73,3.78,75692,12140300
Feb 05 2018,4.35,4.53,3.21,3.28,48700,15995500
Feb 04 2018,5.25,5.26,4.21,4.39,54224,19300500
Feb 03 2018,5.02,5.37,4.51,5.24,57334,18479200
Feb 02 2018,5.06,5.27,3.87,5.01,222264,18598100
Feb 01 2018,6.68,6.73,5.01,5.08,381662,24561600
Jan 31 2018,7.01,7.34,6.49,6.63,357722,25744300
Jan 30 2018,8.37,8.51,6.96,7.00,268667,30728600
Jan 29 2018,8.84,8.94,8.22,8.36,219064,32453900
Jan 28 2018,8.31,9.19,8.27,8.88,285552,30493200
Jan 27 2018,8.13,8.36,7.85,8.27,98974,29825300
Jan 26 2018,8.78,8.89,7.43,8.13,387919,32222800
Jan 25 2018,8.60,9.15,8.35,8.73,345626,31543600
Jan 24 2018,7.60,9.14,7.43,8.45,692723,27851800
Jan 23 2018,7.39,7.80,6.64,7.60,187613,27081100
Jan 22 2018,8.33,8.70,6.89,7.41,260241,30515600
Jan 21 2018,10.06,10.06,8.16,8.27,277634,36827500
Jan 20 2018,9.81,10.79,9.55,10.03,479088,35924400
Jan 19 2018,10.00,10.41,9.18,9.71,350324,36607600
Jan 18 2018,8.44,10.57,8.26,10.09,775743,30860100
Jan 17 2018,8.07,8.54,6.22,8.39,435664,29493800
Jan 16 2018,12.86,12.86,6.90,8.10,999933,47023700
Jan 15 2018,13.75,14.08,12.58,12.89,1052090,50238000
Jan 14 2018,16.42,16.60,13.60,13.87,1218190,59994600
Jan 13 2018,13.89,16.40,13.85,16.40,1627770,50720800
Jan 12 2018,13.07,14.30,12.53,13.83,643103,47723700
Jan 11 2018,16.00,16.18,11.82,12.97,1315810,58399900
Jan 10 2018,14.51,16.01,12.56,16.01,2347600,52928700
Jan 09 2018,16.14,17.49,14.12,14.50,2048720,58862300
Jan 08 2018,13.87,16.98,12.36,16.16,3962380,50575900
Jan 07 2018,15.17,15.35,13.15,14.02,1169840,55284300
Jan 06 2018,12.48,15.13,12.12,15.04,1562650,45469900
Jan 05 2018,12.75,13.18,11.90,12.49,1223700,46439100
Jan 04 2018,13.19,14.29,12.34,12.80,2138210,47998700
Jan 03 2018,13.84,13.84,11.45,13.17,3467430,50359600
Jan 02 2018,13.00,14.39,12.54,13.95,3296570,47277300
Jan 01 2018,15.71,15.71,12.60,12.97,2352600,57136100
Dec 31 2017,15.72,17.07,14.62,15.71,2257030,57128300
Dec 30 2017,18.14,18.57,13.87,15.83,7034840,65915600
Dec 29 2017,7.63,19.43,7.54,18.05,20457800,27720000
Dec 28 2017,7.70,7.74,6.68,7.57,607662,27946100
Dec 27 2017,7.85,9.23,7.45,7.73,658950,28487700
Dec 26 2017,8.99,9.99,6.84,7.87,2344660,32602800
Dec 25 2017,6.29,9.83,6.13,8.96,3270990,22797200
Dec 24 2017,5.88,6.32,5.30,6.21,356784,21306200
Dec 23 2017,5.21,6.90,5.01,5.77,641802,18865600
Dec 22 2017,6.43,6.50,4.10,5.16,471640,23297300
Dec 21 2017,6.40,7.12,6.08,6.44,753497,23175700
Dec 20 2017,6.68,6.79,5.78,6.40,681695,24181400
Dec 19 2017,7.27,7.75,6.56,6.73,899893,26277100
Dec 18 2017,7.08,7.83,6.85,7.27,1719910,25607800
Dec 17 2017,6.84,7.72,6.57,7.09,1439070,24709400
Dec 16 2017,6.16,7.32,6.06,6.84,1330490,22253500
Dec 15 2017,5.70,6.42,5.23,6.15,1426610,20581500
Dec 14 2017,5.77,6.39,5.07,5.72,1107670,20842800
Dec 13 2017,5.23,6.23,4.93,5.79,929100,18863800
Dec 12 2017,4.58,5.70,4.46,5.15,737729,16513700
Dec 11 2017,4.39,4.87,4.38,4.61,159935,15824700
Dec 10 2017,4.54,4.65,3.92,4.42,120345,16375500
Dec 09 2017,4.86,5.01,4.07,4.53,174193,17523800
Dec 08 2017,4.77,5.33,3.98,4.87,366806,17189500
Dec 07 2017,4.77,5.12,4.47,4.76,461866,17186500
Dec 06 2017,4.93,5.46,4.52,4.78,1021450,17727000
Dec 05 2017,4.40,5.00,4.34,4.94,439716,15842000
Dec 04 2017,4.25,4.55,4.15,4.39,287026,15264500
Dec 03 2017,3.71,4.47,3.66,4.29,454812,13348300
Dec 02 2017,3.57,3.73,3.45,3.71,155607,12821700
Dec 01 2017,3.39,3.65,3.21,3.58,93278,12179600
Nov 30 2017,3.51,3.80,3.12,3.41,102056,12607100
Nov 29 2017,3.79,4.19,3.23,3.46,384152,13608100
Nov 28 2017,3.57,3.84,3.50,3.80,178119,12813600
Nov 27 2017,3.63,3.76,3.51,3.56,180246,12995300
Nov 26 2017,3.57,3.91,3.36,3.62,375582,12784300
Nov 25 2017,3.20,3.93,3.19,3.55,510315,11468300
Nov 24 2017,3.25,3.41,3.10,3.19,293950,11633700
Nov 23 2017,3.09,3.31,2.98,3.24,269204,11066600
Nov 22 2017,2.85,3.10,2.81,3.09,190513,10210100
Nov 21 2017,3.10,3.10,2.77,2.86,329278,11072300
Nov 20 2017,3.41,3.41,2.96,3.09,654319,12174000
Nov 19 2017,2.65,3.72,2.55,3.25,2474430,9457800
Nov 18 2017,2.33,2.67,2.33,2.64,141707,8308080
Nov 17 2017,2.58,2.65,2.29,2.38,181996,9229790
Nov 16 2017,2.64,2.79,2.54,2.59,158337,9411830
Nov 15 2017,2.63,2.78,2.57,2.62,142851,9371690
Nov 14 2017,2.61,2.93,2.51,2.61,363638,9326040
Nov 13 2017,2.11,3.16,2.11,2.61,852599,7512880
Nov 12 2017,2.36,2.39,2.04,2.10,151527,8425860
Nov 11 2017,2.34,2.47,2.21,2.37,85289,8353620
Nov 10 2017,2.58,2.71,2.30,2.36,131882,9176700
Nov 09 2017,2.56,2.69,2.51,2.57,121114,9119890
Nov 08 2017,2.48,2.58,2.30,2.54,231004,8818300
Nov 07 2017,2.21,2.52,2.21,2.49,205988,7875580
Nov 06 2017,2.29,2.62,2.20,2.22,147128,8136740
Nov 05 2017,2.40,2.42,2.22,2.28,53599,8536450
Nov 04 2017,2.35,2.45,2.31,2.39,32082,8361370
Nov 03 2017,2.36,2.44,2.29,2.36,67886,8379750
Nov 02 2017,2.53,2.66,2.08,2.33,501790,8970540
Nov 01 2017,2.37,2.60,2.35,2.52,130303,8420760
Oct 31 2017,2.43,2.48,2.34,2.37,107161,8622820
Oct 30 2017,2.48,2.63,2.39,2.44,128252,8782370
Oct 29 2017,2.29,2.50,2.25,2.49,148371,8111640
