Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.086439,0.099301,0.074232,0.074862,169,-
Mar 30 2018,0.131026,0.131737,0.069757,0.086495,1514,-
Mar 29 2018,0.062316,0.158028,0.054358,0.131407,18715,-
Mar 28 2018,0.067600,0.074349,0.062207,0.062207,57,-
Mar 27 2018,0.078681,0.085313,0.067431,0.067577,104,-
Mar 26 2018,0.088287,0.093522,0.076163,0.078730,71,-
Mar 25 2018,0.078400,0.098542,0.077391,0.088768,590,-
Mar 24 2018,0.082858,0.097618,0.071695,0.079365,157,-
Mar 23 2018,0.098806,0.098936,0.081096,0.082095,59,-
Mar 22 2018,0.066930,0.099484,0.066853,0.098819,294,-
Mar 21 2018,0.077050,0.084982,0.063840,0.066821,90,-
Mar 20 2018,0.087605,0.087819,0.060027,0.076836,35,-
Mar 19 2018,0.071443,0.086804,0.067631,0.086642,37,-
Mar 18 2018,0.096734,0.117183,0.066134,0.071736,234,-
Mar 17 2018,0.068691,0.158149,0.067783,0.096879,552,-
Mar 16 2018,0.219936,0.221594,0.068566,0.068644,92,-
Mar 15 2018,0.066583,0.222034,0.063811,0.220192,2527,-
Mar 14 2018,0.078618,0.088347,0.065969,0.066582,182,-
Mar 13 2018,0.102231,0.128710,0.077511,0.078603,834,-
Mar 12 2018,0.107447,0.110715,0.099657,0.102447,201,-
Mar 11 2018,0.088620,0.108241,0.086008,0.107586,495,-
Mar 10 2018,0.097839,0.108336,0.088214,0.088909,414,-
Mar 09 2018,0.102916,0.104094,0.088716,0.097799,503,-
Mar 08 2018,0.098973,0.107050,0.095402,0.097241,908,-
Mar 07 2018,0.171713,0.174366,0.107941,0.109593,501,-
Mar 06 2018,0.171688,0.188741,0.139475,0.174305,3428,-
Mar 05 2018,0.201924,0.228228,0.115819,0.171931,11977,-
Mar 04 2018,0.165105,0.292227,0.134588,0.201940,2797,-
Mar 03 2018,0.129541,0.198361,0.122470,0.165132,355,-
Mar 02 2018,0.157872,0.178680,0.117946,0.129664,797,-
Mar 01 2018,0.168417,0.170873,0.138105,0.158152,81,-
Feb 28 2018,0.199057,0.213492,0.168213,0.168281,607,-
Feb 27 2018,0.183024,0.216061,0.179812,0.198321,1574,-
Feb 26 2018,0.177638,0.215012,0.169229,0.182518,702,-
Feb 25 2018,0.168736,0.186902,0.161317,0.177517,1273,-
Feb 24 2018,0.224136,0.239566,0.165155,0.169118,1390,-
Feb 23 2018,0.151000,0.245570,0.151000,0.224397,563,-
Feb 22 2018,0.218012,0.241952,0.148460,0.151116,2309,-
Feb 21 2018,0.207804,0.283088,0.186200,0.218298,1751,-
Feb 20 2018,0.372033,0.377244,0.206733,0.208063,4849,-
Feb 19 2018,0.352329,0.453148,0.312823,0.371899,16146,-
Feb 18 2018,0.374299,0.379662,0.348905,0.353710,288,-
Feb 17 2018,0.354752,0.377681,0.351823,0.376019,1957,-
Feb 16 2018,0.351230,0.358063,0.334952,0.354663,1060,-
Feb 15 2018,0.347485,0.372237,0.337759,0.352141,3078,-
Feb 14 2018,0.401392,0.443789,0.317125,0.348624,417621,-
Feb 13 2018,0.387114,0.416310,0.347810,0.401965,964964,-
Feb 12 2018,0.369704,0.401126,0.361551,0.386512,311852,-
Feb 11 2018,0.378921,0.386280,0.336572,0.364679,240446,-
Feb 10 2018,0.355437,0.400936,0.338055,0.379429,64475,-
Feb 09 2018,0.309055,0.374254,0.298208,0.355558,22674,-
Feb 08 2018,0.324939,0.368937,0.277152,0.308610,60309,-
Feb 07 2018,0.362972,0.378890,0.266574,0.326170,45484,-
Feb 06 2018,0.304064,0.370551,0.252804,0.370551,68201,-
Feb 05 2018,0.433919,0.447585,0.293118,0.303152,40855,-
Feb 04 2018,0.412304,0.616731,0.397970,0.439311,27920,-
Feb 03 2018,0.442389,0.498354,0.275942,0.412125,62673,-
Feb 02 2018,0.542838,0.542838,0.400714,0.440423,24805,-
Feb 01 2018,0.748383,0.748383,0.503367,0.546819,33462,-
Jan 31 2018,0.522913,0.821840,0.497424,0.740952,40587,-
Jan 30 2018,0.529689,0.586252,0.504270,0.521341,30489,-
Jan 29 2018,0.598121,0.618486,0.487578,0.529455,59187,-
Jan 28 2018,0.478889,0.601638,0.444457,0.598994,48739,-
Jan 27 2018,0.494391,0.567238,0.169919,0.475618,44736,-
Jan 26 2018,0.732787,0.791674,0.080519,0.494487,24398,-
Jan 25 2018,0.723886,0.770438,0.678190,0.735345,4662,-
Jan 24 2018,0.689311,0.737646,0.298585,0.721548,10254,-
Jan 23 2018,0.760669,0.794408,0.212046,0.292715,7357,-
Jan 22 2018,0.855723,0.883682,0.706782,0.762632,19827,-
Jan 21 2018,1.05,1.05,0.684759,0.851211,12842,-
Jan 20 2018,1.54,1.56,0.954035,1.05,54138,-
Jan 19 2018,0.785107,1.53,0.693155,1.53,131540,-
