Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.27,2.40,2.20,2.22,8391550,90637100
Mar 30 2018,2.18,2.37,2.01,2.27,10499100,87338800
Mar 29 2018,2.58,2.60,2.15,2.19,11285500,103203000
Mar 28 2018,2.51,2.68,2.50,2.58,13024900,100285000
Mar 27 2018,2.76,2.79,2.50,2.50,12105400,110343000
Mar 26 2018,2.96,3.14,2.54,2.78,12755900,118393000
Mar 25 2018,2.68,3.05,2.68,2.94,11055200,107398000
Mar 24 2018,2.70,2.94,2.70,2.73,10027500,108192000
Mar 23 2018,2.74,2.75,2.48,2.68,8964220,109651000
Mar 22 2018,2.91,2.97,2.59,2.74,10947300,116236000
Mar 21 2018,2.75,3.15,2.73,2.90,13911800,109822000
Mar 20 2018,2.66,2.87,2.39,2.72,11374000,62694800
Mar 19 2018,2.33,2.63,2.32,2.62,10343300,54981300
Mar 18 2018,2.25,2.41,1.86,2.34,9299880,53061500
Mar 17 2018,2.52,2.52,2.19,2.27,7979980,59469100
Mar 16 2018,2.55,2.63,2.35,2.52,9890550,60143300
Mar 15 2018,2.54,2.70,2.24,2.56,8468510,59949200
Mar 14 2018,3.07,3.14,2.45,2.54,5051770,72242400
Mar 13 2018,3.35,3.43,3.03,3.04,5106790,78917900
Mar 12 2018,3.44,3.60,3.18,3.37,4977940,81095800
Mar 11 2018,3.17,3.60,3.00,3.46,5684820,74750900
Mar 10 2018,3.15,3.65,3.14,3.19,7608590,74267900
Mar 09 2018,2.91,3.19,2.44,3.15,6844890,68495800
Mar 08 2018,3.65,3.65,2.77,2.94,6830040,85909200
Mar 07 2018,4.03,4.23,3.13,3.64,11730200,94937900
Mar 06 2018,3.77,4.21,3.57,4.03,17650400,88832700
Mar 05 2018,3.48,3.84,3.40,3.78,5190870,81997600
Mar 04 2018,3.52,3.59,3.28,3.49,5355450,83022200
Mar 03 2018,3.17,3.73,2.95,3.54,8886060,74748400
