Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000205,0.000967,0.000205,0.000416,202350,-
Mar 30 2018,0.000142,0.000405,0.000132,0.000205,86914,-
Mar 29 2018,0.000159,0.000159,0.000138,0.000142,54,-
Mar 28 2018,0.000156,0.000162,0.000155,0.000159,19,-
Mar 27 2018,0.000163,0.000164,0.000155,0.000156,28,-
Mar 26 2018,0.000169,0.000244,0.000157,0.000164,48,-
Mar 25 2018,0.000085,0.000174,0.000085,0.000169,82,-
Mar 24 2018,0.000089,0.000090,0.000086,0.000086,3,-
Mar 23 2018,0.000087,0.000088,0.000083,0.000088,13,-
Mar 22 2018,0.000178,0.000181,0.000086,0.000087,35,-
Mar 21 2018,0.000178,0.000182,0.000088,0.000178,722,-
Mar 20 2018,0.000172,0.000180,0.000167,0.000178,182,-
Mar 19 2018,0.000164,0.000174,0.000163,0.000171,96,-
Mar 18 2018,0.000079,0.000166,0.000075,0.000164,369,-
Mar 17 2018,0.000166,0.000166,0.000077,0.000079,200,-
Mar 16 2018,0.000165,0.000171,0.000085,0.000166,536,-
Mar 15 2018,0.000164,0.000167,0.000077,0.000165,45,-
Mar 14 2018,0.000091,0.000186,0.000080,0.000164,89,-
Mar 13 2018,0.000091,0.000190,0.000089,0.000091,66,-
Mar 12 2018,0.000095,0.000197,0.000088,0.000091,22,-
Mar 11 2018,0.000088,0.000195,0.000085,0.000096,3,-
Mar 10 2018,0.000185,0.000284,0.000087,0.000088,129,-
Mar 09 2018,0.000186,0.000188,0.000089,0.000185,445,-
Mar 08 2018,0.000099,0.000199,0.000092,0.000187,18,-
Mar 07 2018,0.000214,0.000218,0.000094,0.000099,71,-
Mar 06 2018,0.000230,0.000330,0.000212,0.000215,238,-
Mar 05 2018,0.000345,0.000347,0.000229,0.000231,119,-
Mar 04 2018,0.000229,0.000345,0.000222,0.000345,894,-
Mar 03 2018,0.000220,0.000230,0.000114,0.000229,6,-
Mar 02 2018,0.000218,0.000223,0.000111,0.000221,84,-
Mar 01 2018,0.000207,0.000322,0.000108,0.000219,155,-
Feb 28 2018,0.000320,0.000323,0.000104,0.000206,231,-
Feb 27 2018,0.000206,0.000324,0.000106,0.000320,26,-
Feb 26 2018,0.000288,0.000292,0.000191,0.000206,586,-
Feb 25 2018,0.000194,0.000294,0.000186,0.000287,767,-
Feb 24 2018,0.000203,0.000314,0.000188,0.000194,191,-
Feb 23 2018,0.000197,0.000306,0.000096,0.000203,66,-
Feb 22 2018,0.000209,0.000218,0.000098,0.000197,548,-
Feb 21 2018,0.000224,0.000225,0.000205,0.000210,229,-
Feb 20 2018,0.000223,0.000345,0.000222,0.000225,305,-
Feb 19 2018,0.000208,0.000225,0.000207,0.000223,284,-
Feb 18 2018,0.000222,0.000338,0.000204,0.000209,362,-
Feb 17 2018,0.000204,0.000324,0.000201,0.000221,986,-
Feb 16 2018,0.000202,0.000205,0.000195,0.000204,245,-
Feb 15 2018,0.000284,0.000305,0.000196,0.000203,477,-
Feb 14 2018,0.000255,0.000356,0.000184,0.000284,756,-
Feb 13 2018,0.000267,0.000268,0.000168,0.000256,1099,-
Feb 12 2018,0.000243,0.000270,0.000168,0.000266,31,-
Feb 11 2018,0.000171,0.000254,0.000157,0.000242,15,-
Feb 10 2018,0.000261,0.000358,0.000164,0.000171,539,-
Feb 09 2018,0.000330,0.000330,0.000157,0.000260,1000,-
Feb 08 2018,0.000227,0.000334,0.000227,0.000329,201,-
Feb 07 2018,0.000231,0.000337,0.000219,0.000228,815,-
Feb 06 2018,0.000208,0.000279,0.000178,0.000234,250,-
Feb 05 2018,0.000246,0.000335,0.000200,0.000208,806,-
Feb 04 2018,0.000370,0.000370,0.000240,0.000249,672,-
Feb 03 2018,0.000266,0.000380,0.000246,0.000370,196,-
Feb 02 2018,0.000272,0.000364,0.000231,0.000265,940,-
Feb 01 2018,0.000509,0.000509,0.000259,0.000273,1036,-
Jan 31 2018,0.000301,0.000507,0.000289,0.000507,1425,-
Jan 30 2018,0.000336,0.000551,0.000295,0.000300,1154,-
Jan 29 2018,0.000580,0.000588,0.000331,0.000336,1919,-
Jan 28 2018,0.000685,0.000692,0.000461,0.000581,2746,-
Jan 27 2018,0.000556,0.000806,0.000437,0.000682,3331,-
Jan 26 2018,0.000558,0.000692,0.000423,0.000557,773,-
Jan 25 2018,0.000685,0.000701,0.000547,0.000560,5888,-
Jan 24 2018,0.000759,0.000762,0.000548,0.000674,2831,-
Jan 23 2018,0.000541,0.000791,0.000500,0.000759,3558,-
Jan 22 2018,0.000696,0.000834,0.000520,0.000543,6048,-
Jan 21 2018,0.000833,0.000913,0.000679,0.000687,7718,-
Jan 20 2018,0.000929,0.001024,0.000929,0.001018,24963,-
Jan 19 2018,0.001128,0.001202,0.000887,0.000919,22531,-
Jan 18 2018,0.000780,0.001140,0.000642,0.001140,18719,-
Jan 17 2018,0.000685,0.000810,0.000372,0.000777,13728,-
Jan 16 2018,0.000957,0.001074,0.000610,0.000689,12078,-
Jan 15 2018,0.001232,0.001382,0.000830,0.000955,34463,-
Jan 14 2018,0.001292,0.001509,0.000861,0.001241,60208,-
Jan 13 2018,0.001670,0.001717,0.001134,0.001292,63063,-
Jan 12 2018,0.001080,0.001708,0.000917,0.001672,93621,-
Jan 11 2018,0.002846,0.002857,0.001071,0.001073,168543,-
Jan 10 2018,0.002191,0.003330,0.001598,0.002850,530368,-
Jan 09 2018,0.000905,0.002188,0.000754,0.002188,452907,-
