Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.551647,0.631671,0.551630,0.623081,3320,8274700
Mar 30 2018,0.542087,0.639601,0.515011,0.552867,4523,8131300
Mar 29 2018,0.606607,0.663788,0.536207,0.540541,3550,9099100
Mar 28 2018,0.615792,0.755942,0.558049,0.604819,7119,9236880
Mar 27 2018,0.783719,0.786576,0.560832,0.615627,9795,11755800
Mar 26 2018,0.683926,0.799255,0.509346,0.791900,5384,10258900
Mar 25 2018,0.913531,0.913531,0.677755,0.686386,2308,13703000
Mar 24 2018,0.800874,0.941631,0.788209,0.917889,691,12013100
Mar 23 2018,0.750543,0.813181,0.691670,0.797048,358,11258100
Mar 22 2018,0.788820,0.822887,0.717115,0.750381,442,11832300
Mar 21 2018,0.917655,0.923877,0.748192,0.787829,4452,13764800
Mar 20 2018,0.807323,0.929467,0.718850,0.916503,779,12109800
Mar 19 2018,0.680654,0.806852,0.678927,0.806748,2217,10209800
Mar 18 2018,0.681123,0.688482,0.567041,0.677274,5866,10216800
Mar 17 2018,0.750263,0.768469,0.667596,0.678912,2931,11253900
Mar 16 2018,0.752268,0.843259,0.621519,0.746957,6374,11284000
Mar 15 2018,0.657796,0.785063,0.592877,0.752971,171,9866940
Mar 14 2018,0.840970,0.917161,0.639420,0.658628,590,12614600
Mar 13 2018,0.737828,1.05,0.736243,0.841709,3573,11067400
Mar 12 2018,0.813549,1.08,0.698247,0.738051,4646,12203200
Mar 11 2018,0.888903,0.948229,0.766757,0.809593,1542,13333500
Mar 10 2018,0.804409,0.923137,0.768891,0.899184,1490,12066100
Mar 09 2018,0.804257,0.865773,0.689475,0.806552,6827,12063900
Mar 08 2018,1.22,1.24,0.561812,0.804907,7465,18344000
Mar 07 2018,0.828357,1.22,0.739382,1.22,3148,12425400
Mar 06 2018,1.15,1.15,0.818521,0.837133,1164,17197600
Mar 05 2018,0.912089,1.17,0.874157,1.15,7750,13681300
Mar 04 2018,0.923222,0.923222,0.885235,0.911405,548,13848300
Mar 03 2018,1.19,1.26,0.910646,0.924103,668,17871400
Mar 02 2018,0.845871,1.20,0.836962,1.19,1454,12688100
Mar 01 2018,1.16,1.18,0.839743,0.841835,169,17412700
Feb 28 2018,1.34,1.36,1.10,1.16,5213,20146500
Feb 27 2018,0.895613,1.36,0.720283,1.32,7588,13434200
Feb 26 2018,0.690780,1.13,0.677697,0.893863,2432,10361700
Feb 25 2018,0.983238,0.993864,0.694522,0.694522,1428,14748600
Feb 24 2018,1.04,1.08,0.949135,0.982225,619,15579300
Feb 23 2018,1.16,1.17,1.01,1.04,1267,17371300
Feb 22 2018,1.28,1.36,1.10,1.19,411,19194500
Feb 21 2018,1.41,1.44,1.26,1.28,444,21193600
Feb 20 2018,1.49,1.54,1.40,1.41,851,22357600
Feb 19 2018,1.14,1.51,1.13,1.49,2614,17090600
Feb 18 2018,1.46,1.49,1.15,1.18,118,21943100
Feb 17 2018,1.61,1.66,1.45,1.47,2916,24180800
