Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.084127,0.097084,0.066771,0.071628,45765,2103180
Mar 30 2018,0.085894,0.090049,0.078724,0.084114,16050,2147350
Mar 29 2018,0.104947,0.110522,0.080822,0.086067,93744,2623680
Mar 28 2018,0.132587,0.139394,0.104510,0.105051,29878,3314670
Mar 27 2018,0.128075,0.242730,0.123407,0.132619,53016,3201870
Mar 26 2018,0.126671,0.160831,0.116371,0.133826,40644,3166760
Mar 25 2018,0.125361,0.136284,0.124412,0.126768,7515,3134020
Mar 24 2018,0.131481,0.135365,0.122126,0.127118,15518,3287010
Mar 23 2018,0.144275,0.149945,0.126048,0.131796,12673,3606880
Mar 22 2018,0.136174,0.148620,0.133660,0.144279,9567,3404350
Mar 21 2018,0.136554,0.139165,0.128368,0.136427,10783,3413840
Mar 20 2018,0.133513,0.138955,0.122523,0.132728,18012,3337820
Mar 19 2018,0.122362,0.142609,0.119836,0.132034,20375,3059040
Mar 18 2018,0.118165,0.124870,0.108783,0.124870,26846,2954120
Mar 17 2018,0.136879,0.142896,0.113060,0.116166,20217,3421980
Mar 16 2018,0.162106,0.171608,0.136652,0.136652,25159,4052660
Mar 15 2018,0.146548,0.183507,0.138604,0.162198,15903,3663700
Mar 14 2018,0.171448,0.187420,0.141365,0.146614,27970,4286200
Mar 13 2018,0.161102,0.181228,0.160191,0.171425,13600,4027540
Mar 12 2018,0.150970,0.171650,0.148345,0.160470,12396,3774250
Mar 11 2018,0.143229,0.184366,0.134137,0.157732,31004,3580730
Mar 10 2018,0.149211,0.158295,0.138846,0.143725,6226,3730260
Mar 09 2018,0.140696,0.154115,0.127582,0.149146,27061,3517400
Mar 08 2018,0.148574,0.163158,0.141593,0.141593,13246,3714340
Mar 07 2018,0.169022,0.174552,0.141670,0.148785,48163,4225540
Mar 06 2018,0.164666,0.187572,0.157392,0.169241,29170,4116660
Mar 05 2018,0.197320,0.198753,0.154654,0.162388,77957,4932990
Mar 04 2018,0.207169,0.239099,0.187333,0.195241,52624,5179230
Mar 03 2018,0.183259,0.207530,0.171149,0.207530,61972,4581480
Mar 02 2018,0.218349,0.227248,0.181594,0.181826,53177,5458710
Mar 01 2018,0.179259,0.234214,0.156881,0.222611,126187,4481470
Feb 28 2018,0.213410,0.230816,0.162882,0.179356,130489,5335240
Feb 27 2018,0.220398,0.242087,0.205414,0.213661,68821,5509950
Feb 26 2018,0.230695,0.243311,0.225435,0.227444,58792,5767380
Feb 25 2018,0.261920,0.272963,0.216441,0.230492,196510,6548010
Feb 24 2018,0.246009,0.299400,0.234181,0.262318,151492,6150230
Feb 23 2018,0.249899,0.270335,0.234391,0.246350,71329,6247490
Feb 22 2018,0.254183,0.271110,0.225972,0.250842,72815,6354560
Feb 21 2018,0.290432,0.307999,0.238003,0.254399,141503,7260810
Feb 20 2018,0.359693,0.363855,0.230453,0.293751,328021,8992310
Feb 19 2018,0.296140,0.409877,0.293482,0.359365,282394,7403510
Feb 18 2018,0.344494,0.402084,0.223034,0.297124,440715,8612350
Feb 17 2018,0.434227,0.439327,0.275370,0.364550,281709,10855700
Feb 16 2018,0.409563,0.442205,0.393835,0.408344,87965,10239100
Feb 15 2018,0.459095,0.459095,0.378063,0.411339,70573,11477400
Feb 14 2018,0.390364,0.470664,0.378786,0.458919,58798,9759100
Feb 13 2018,0.452965,0.457734,0.387881,0.391531,57838,11324100
Feb 12 2018,0.451936,0.517040,0.439383,0.452143,55226,11298400
Feb 11 2018,0.537568,0.537568,0.445564,0.449204,34092,13439200
Feb 10 2018,0.550548,0.601676,0.496259,0.537974,79078,13763700
Feb 09 2018,0.525952,0.567449,0.459075,0.550142,34059,13148800
Feb 08 2018,0.420011,0.567116,0.420011,0.540658,68011,10500300
Feb 07 2018,0.446348,0.493168,0.383712,0.421698,51006,11158700
Feb 06 2018,0.370514,0.472865,0.218461,0.454101,123233,9262850
Feb 05 2018,0.447181,0.482077,0.354655,0.370046,52396,11179500
Feb 04 2018,0.527988,0.611610,0.425741,0.451559,50471,13199700
Feb 03 2018,0.553265,0.606350,0.506703,0.539038,111549,13831600
Feb 02 2018,0.553443,0.656664,0.424888,0.551375,84356,13836100
Feb 01 2018,0.619307,0.705880,0.500358,0.554590,171369,15482700
Jan 31 2018,0.637399,0.675915,0.503184,0.617962,263259,15935000
Jan 30 2018,0.803689,0.818958,0.611939,0.641212,315138,20092200
Jan 29 2018,0.843545,0.871402,0.792147,0.803426,158924,21088600
Jan 28 2018,0.856303,0.939436,0.804484,0.844351,278659,21407600
Jan 27 2018,0.946754,0.983809,0.845751,0.867329,85716,23668900
Jan 26 2018,1.18,1.44,0.910103,0.948122,322744,29538500
Jan 25 2018,0.848257,1.12,0.784352,1.04,313725,21206400
Jan 24 2018,0.777167,0.873879,0.758891,0.841695,190913,19429200
Jan 23 2018,0.752641,0.872307,0.729721,0.773169,169267,18816000
Jan 22 2018,0.910094,0.972289,0.733232,0.755685,203922,22752400
Jan 21 2018,1.06,1.16,0.818103,0.888968,142282,26571700
Jan 20 2018,1.04,1.25,1.02,1.08,231086,26121000
Jan 19 2018,1.04,1.14,1.02,1.03,151058,25906800
Jan 18 2018,0.977768,1.20,0.940852,1.05,206977,24444200
Jan 17 2018,0.970086,1.00,0.779514,0.974011,371272,24252100
Jan 16 2018,1.31,1.33,0.766586,0.975033,355803,32670000
Jan 15 2018,1.22,1.55,1.19,1.30,467907,30496700
Jan 14 2018,1.71,1.75,0.996401,1.23,1115000,42785900
Jan 13 2018,1.93,1.98,1.47,1.71,851959,48303900
Jan 12 2018,1.71,2.04,1.60,1.91,553509,42752100
Jan 11 2018,2.06,2.11,1.44,1.70,906430,51479600
Jan 10 2018,1.89,2.18,1.74,2.11,938693,47131000
Jan 09 2018,1.28,2.74,1.22,1.91,2058040,31909700
Jan 08 2018,1.23,1.30,1.07,1.27,970820,30848300
Jan 07 2018,1.12,1.26,0.880280,1.23,1303280,27880400
Jan 06 2018,0.796052,1.09,0.778149,1.04,1213380,19901300
Jan 05 2018,0.624847,0.806620,0.612229,0.791743,480519,15621200
Jan 04 2018,0.723028,0.760451,0.593431,0.624654,282947,18075700
Jan 03 2018,0.660133,0.746462,0.570701,0.717922,345445,16503300
Jan 02 2018,0.650197,0.662617,0.547538,0.612178,331270,16254900
Jan 01 2018,0.631337,0.677817,0.602798,0.650288,108516,15783400
Dec 31 2017,0.601734,0.675878,0.589344,0.628087,142396,15043300
Dec 30 2017,0.608716,0.697933,0.575644,0.608172,219586,15217900
Dec 29 2017,0.580551,0.688538,0.541688,0.615121,292330,14513800
Dec 28 2017,0.514317,0.589255,0.446084,0.574696,187881,12857900
Dec 27 2017,0.545158,0.577643,0.500003,0.515337,182061,13628900
Dec 26 2017,0.511944,0.581130,0.506288,0.544752,141496,12798600
Dec 25 2017,0.693026,0.709053,0.475600,0.508750,217733,17325700
Dec 24 2017,0.603156,0.686540,0.574898,0.686540,287383,15078900
