Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.243312,0.313971,0.227999,0.257324,215903,9562940
Mar 30 2018,0.211341,0.268411,0.210410,0.227048,163388,8304300
Mar 29 2018,0.275701,0.285281,0.212277,0.212626,198123,10826700
Mar 28 2018,0.267375,0.290769,0.250802,0.281538,244444,10495400
Mar 27 2018,0.319319,0.320203,0.259157,0.281931,279452,12534400
Mar 26 2018,0.297640,0.321325,0.266295,0.276497,307681,11673600
Mar 25 2018,0.304157,0.325548,0.290444,0.298068,101480,11935200
Mar 24 2018,0.285321,0.316730,0.284612,0.307187,141110,11193500
Mar 23 2018,0.295498,0.305419,0.273784,0.282565,120458,11593900
Mar 22 2018,0.293384,0.321731,0.279955,0.296565,166107,10850800
Mar 21 2018,0.299121,0.337150,0.291010,0.293241,220268,11073300
Mar 20 2018,0.307045,0.307542,0.272685,0.298127,471125,11370100
Mar 19 2018,0.291980,0.308895,0.256869,0.300107,560245,10835200
Mar 18 2018,0.287021,0.303335,0.221714,0.297437,651162,10643800
Mar 17 2018,0.330266,0.356735,0.277254,0.287315,343494,12245900
Mar 16 2018,0.336605,0.366344,0.325378,0.329231,672366,12491800
Mar 15 2018,0.326142,0.342558,0.313450,0.336856,514308,12100700
Mar 14 2018,0.323138,0.360883,0.307753,0.326772,491055,12018600
Mar 13 2018,0.367427,0.377357,0.311407,0.323052,824971,13676100
Mar 12 2018,0.351552,0.398024,0.319352,0.365324,1073420,13084400
Mar 11 2018,0.369101,0.370341,0.312425,0.352271,1039400,13737600
Mar 10 2018,0.381395,0.407447,0.352173,0.371347,1193250,14199000
Mar 09 2018,0.381126,0.386999,0.348967,0.373232,659205,14132900
Mar 08 2018,0.428056,0.435123,0.374313,0.381911,414674,15847100
Mar 07 2018,0.574178,0.575677,0.392791,0.429458,1210720,21255300
Mar 06 2018,0.598005,0.607195,0.511481,0.574234,907164,22055400
Mar 05 2018,0.653133,0.657466,0.596841,0.599857,1218600,24025900
Mar 04 2018,0.645636,0.667135,0.602735,0.651134,1341450,23751900
Mar 03 2018,0.661649,0.677681,0.622503,0.643353,969538,24337000
Mar 02 2018,0.677226,0.684561,0.634693,0.662262,1508730,24976400
Mar 01 2018,0.671951,0.707309,0.628170,0.679371,1613380,24779000
Feb 28 2018,0.703234,0.719527,0.650651,0.673193,978885,25910000
Feb 27 2018,0.710933,0.741029,0.685292,0.699317,727178,26183100
Feb 26 2018,0.715244,0.781366,0.706901,0.711031,1217900,26330300
Feb 25 2018,0.648993,0.717651,0.646769,0.711803,1174240,23898500
Feb 24 2018,0.701701,0.715194,0.614293,0.644007,1914840,25833300
Feb 23 2018,0.662333,0.715890,0.645655,0.702120,2257830,24372400
Feb 22 2018,0.717243,0.741627,0.659860,0.662218,2128370,26397400
Feb 21 2018,0.809349,0.809349,0.691577,0.717843,1457120,29790000
Feb 20 2018,0.817560,0.837371,0.791268,0.810844,1033920,30079200
Feb 19 2018,0.780728,0.863174,0.779767,0.817140,1751580,28734500
Feb 18 2018,0.911115,0.914223,0.772852,0.777668,2827630,33534300
Feb 17 2018,0.847756,0.919992,0.816045,0.907886,1404250,31190000
Feb 16 2018,0.793851,0.857496,0.777369,0.849494,2348960,29199900
Feb 15 2018,0.835105,0.846036,0.785173,0.794645,1160600,30720600
Feb 14 2018,0.701338,0.854333,0.688680,0.795638,1831360,25797000
Feb 13 2018,0.709622,0.759754,0.663559,0.695562,655893,26091900
Feb 12 2018,0.714688,0.750778,0.673046,0.705332,929224,26266700
Feb 11 2018,0.680396,0.736098,0.623755,0.702905,627472,25020500
Feb 10 2018,0.772472,0.786661,0.628154,0.689084,1268520,27554500
Feb 09 2018,0.809550,0.809550,0.626131,0.773973,1357880,28848000
Feb 08 2018,0.714428,0.794974,0.701369,0.794974,1747860,25455600
Feb 07 2018,0.697532,0.836955,0.644873,0.712031,847427,24832200
Feb 06 2018,0.620273,0.725388,0.500581,0.700060,1721810,22147400
Feb 05 2018,0.799179,0.828728,0.563391,0.614528,1490740,28518100
Feb 04 2018,0.943904,1.01,0.756164,0.816546,1493320,33675300
Feb 03 2018,0.810603,1.04,0.754632,0.928083,1607970,28902400
Feb 02 2018,0.885620,0.890805,0.732500,0.801613,1594530,31514900
Feb 01 2018,1.04,1.05,0.842650,0.881002,1697450,36630000
