Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.008683,0.010389,0.008683,0.009147,6927,238202
Mar 30 2018,0.009776,0.010245,0.008314,0.008682,5461,268172
Mar 29 2018,0.011282,0.013836,0.009754,0.009800,153681,309506
Mar 28 2018,0.010668,0.012221,0.009161,0.011428,38904,292665
Mar 27 2018,0.012826,0.012921,0.010081,0.010671,14371,351855
Mar 26 2018,0.014939,0.016114,0.010262,0.012845,23214,409808
Mar 25 2018,0.015985,0.016424,0.014898,0.014950,5784,438527
Mar 24 2018,0.015863,0.019743,0.015487,0.016209,21953,435177
Mar 23 2018,0.012270,0.019855,0.010898,0.015460,95332,336610
Mar 22 2018,0.015205,0.015437,0.010665,0.012271,9660,417116
Mar 21 2018,0.017631,0.017658,0.015020,0.015233,5343,483665
Mar 20 2018,0.018023,0.018620,0.015643,0.017599,15334,494409
Mar 19 2018,0.017118,0.019247,0.016764,0.017824,47268,469587
Mar 18 2018,0.017271,0.018962,0.013104,0.016450,47245,473805
Mar 17 2018,0.012867,0.017474,0.012580,0.017234,216890,352983
Mar 16 2018,0.013134,0.013870,0.012088,0.012846,30790,360310
Mar 15 2018,0.014857,0.016768,0.011214,0.013059,23652,407576
Mar 14 2018,0.015827,0.032285,0.014125,0.014125,256078,434190
Mar 13 2018,0.009816,0.018734,0.009540,0.015917,132715,269276
Mar 12 2018,0.010690,0.010915,0.009341,0.009598,18030,293248
Mar 11 2018,0.009562,0.011104,0.008847,0.010915,11164,262325
Mar 10 2018,0.010556,0.010608,0.009286,0.009596,5327,289580
Mar 09 2018,0.010037,0.010656,0.008721,0.010551,11440,275340
Mar 08 2018,0.010583,0.010781,0.009307,0.010101,1305,290319
Mar 07 2018,0.010612,0.011988,0.010471,0.010598,6609,291110
Mar 06 2018,0.012196,0.012660,0.010289,0.010625,3409,334559
Mar 05 2018,0.013337,0.013755,0.011112,0.012229,3371,365877
Mar 04 2018,0.012698,0.013326,0.012231,0.013117,3464,348347
Mar 03 2018,0.012452,0.015857,0.012452,0.012720,2134,341596
Mar 02 2018,0.012762,0.013247,0.011499,0.012467,5047,350111
Mar 01 2018,0.011808,0.012949,0.010630,0.012795,3055,323914
Feb 28 2018,0.010996,0.012070,0.009901,0.011790,3358,301645
Feb 27 2018,0.011961,0.011997,0.009175,0.011009,1474,328138
Feb 26 2018,0.009587,0.012642,0.009461,0.011927,2560,263000
Feb 25 2018,0.014546,0.014599,0.006845,0.010053,6978,399043
Feb 24 2018,0.015220,0.015751,0.012223,0.014762,3460,417527
Feb 23 2018,0.014571,0.015489,0.013157,0.015239,2051,399723
Feb 22 2018,0.016538,0.018304,0.012914,0.014585,9691,453695
Feb 21 2018,0.017383,0.018693,0.014611,0.016555,3134,476862
Feb 20 2018,0.021656,0.022915,0.011727,0.017405,6741,594095
Feb 19 2018,0.020326,0.024396,0.020181,0.021637,12773,557601
Feb 18 2018,0.025070,0.026574,0.020071,0.020420,5179,687751
Feb 17 2018,0.025885,0.026766,0.022543,0.024994,1263,710094
Feb 16 2018,0.023964,0.026000,0.021108,0.025891,3589,657394
Feb 15 2018,0.019135,0.027396,0.018355,0.024067,8424,524923
Feb 14 2018,0.017006,0.019173,0.016526,0.019124,888,466513
Feb 13 2018,0.016398,0.017478,0.015738,0.017056,1069,449855
Feb 12 2018,0.016524,0.017544,0.015956,0.016369,624,453295
Feb 11 2018,0.015269,0.016999,0.014245,0.016419,1643,418882
Feb 10 2018,0.015118,0.017765,0.013834,0.015282,2278,414725
Feb 09 2018,0.014858,0.016540,0.012260,0.015107,6430,407597
Feb 08 2018,0.015150,0.017201,0.014508,0.014812,2172,415612
Feb 07 2018,0.012796,0.016609,0.012129,0.015211,42,351022
Feb 06 2018,0.013739,0.014542,0.011751,0.012925,11,376911
Feb 05 2018,0.015767,0.018357,0.013196,0.013722,1199,432536
Feb 04 2018,0.020522,0.021122,0.015922,0.015922,4239,562986
Feb 03 2018,0.017725,0.021164,0.016403,0.020512,633,486258
Feb 02 2018,0.019615,0.019615,0.016147,0.017665,7342,538097
Feb 01 2018,0.022881,0.023466,0.018316,0.019656,7307,627681
Jan 31 2018,0.021337,0.023870,0.020809,0.022828,3314,585344
Jan 30 2018,0.025947,0.025947,0.020429,0.021968,4498,711787
Jan 29 2018,0.029578,0.029961,0.022367,0.025939,5004,811405
Jan 28 2018,0.029285,0.030255,0.023426,0.027865,7989,803366
Jan 27 2018,0.028543,0.030583,0.028078,0.029136,9465,783015
Jan 26 2018,0.027845,0.029912,0.026497,0.028664,3750,763856
Jan 25 2018,0.032059,0.032759,0.027416,0.027919,5756,879463
Jan 24 2018,0.027743,0.032196,0.027267,0.031540,12240,761077
Jan 23 2018,0.053059,0.054641,0.021485,0.030031,10572,1455560
Jan 22 2018,0.034718,0.053957,0.022223,0.053200,3,952417
Jan 21 2018,0.040293,0.040293,0.033521,0.034250,4676,1105360
Jan 20 2018,0.036216,0.043393,0.036216,0.040200,7572,993513
Jan 19 2018,0.034706,0.036311,0.032347,0.035486,10704,952079
Jan 18 2018,0.034272,0.042111,0.032809,0.035075,20610,940170
Jan 17 2018,0.034731,0.035333,0.027930,0.034140,17042,952765
Jan 16 2018,0.045505,0.045857,0.030470,0.032614,9607,1248340
Jan 15 2018,0.050376,0.052522,0.043393,0.045449,31797,1381960
Jan 14 2018,0.052274,0.054560,0.048159,0.050744,20601,1434020
Jan 13 2018,0.053151,0.056912,0.050094,0.052240,21671,1458070
Jan 12 2018,0.052493,0.056069,0.047650,0.053211,10721,1440040
Jan 11 2018,0.057231,0.058745,0.044560,0.050544,25093,1570010
Jan 10 2018,0.060462,0.063739,0.051531,0.057295,36924,1658650
Jan 09 2018,0.058733,0.073048,0.052036,0.060383,53889,1611210
Jan 08 2018,0.056835,0.062074,0.049565,0.058893,27105,1559130
Jan 07 2018,0.047651,0.062429,0.044672,0.056914,23473,1307200
Jan 06 2018,0.043309,0.066841,0.041440,0.047686,27804,1188090
Jan 05 2018,0.060729,0.062946,0.041678,0.043275,22447,1665970
Jan 04 2018,0.066937,0.066937,0.055906,0.061172,42045,1836260
Jan 03 2018,0.069446,0.077925,0.061096,0.067781,65215,1905110
Jan 02 2018,0.093430,0.093430,0.058751,0.077137,124447,2563040
Jan 01 2018,0.062916,0.126358,0.056916,0.090871,69981,1725960
Dec 31 2017,0.055073,0.071060,0.047068,0.062673,24095,1510800
Dec 30 2017,0.056669,0.063104,0.048437,0.055674,11532,1554600
Dec 29 2017,0.059430,0.067581,0.054466,0.056677,13426,1630320
Dec 28 2017,0.057564,0.061389,0.052939,0.058813,10022,1579140
Dec 27 2017,0.080783,0.080783,0.055600,0.057685,13619,2216100
Dec 26 2017,0.086503,0.089480,0.060760,0.080724,24833,2373020
Dec 25 2017,0.092410,0.100936,0.083874,0.088544,22828,2535070
Dec 24 2017,0.103167,0.104956,0.082120,0.091460,21222,2830160
Dec 23 2017,0.107835,0.117739,0.100609,0.102040,26415,2958220
Dec 22 2017,0.133561,0.135104,0.098549,0.106826,26956,3663950
Dec 21 2017,0.109120,0.167882,0.105496,0.133099,54392,2993460
Dec 20 2017,0.147645,0.147645,0.106736,0.115082,39599,4050320
Dec 19 2017,0.200902,0.201437,0.131733,0.147791,113524,5511310
Dec 18 2017,0.218678,0.225772,0.143037,0.200732,173931,5998940
Dec 17 2017,0.227877,0.244257,0.207117,0.218017,45876,6251320
Dec 16 2017,0.206469,0.236052,0.198391,0.226874,52849,5664020
Dec 15 2017,0.200545,0.267629,0.199760,0.205298,81207,5501500
Dec 14 2017,0.222697,0.224744,0.198145,0.200078,36875,6109220
Dec 13 2017,0.292601,0.304216,0.201551,0.219637,58815,8026880
Dec 12 2017,0.194464,0.327301,0.153680,0.295454,197945,5334700
Dec 11 2017,0.306110,0.336991,0.184914,0.193842,78351,8397470
Dec 10 2017,0.333532,0.337058,0.277738,0.308337,53234,9149730
Dec 09 2017,0.361373,0.370367,0.307046,0.332186,52353,9913470
Dec 08 2017,0.382169,0.445713,0.256272,0.361737,214323,10484000
Dec 07 2017,0.389308,0.394341,0.304441,0.381272,210748,10679800
Dec 06 2017,0.415380,0.438969,0.298472,0.352989,239666,11395000
Dec 05 2017,0.456784,0.467776,0.407528,0.415484,164026,12530900
Dec 04 2017,0.466991,0.488650,0.417551,0.466003,315257,12810900
Dec 03 2017,0.466922,0.511722,0.439526,0.465449,191974,12809000
Dec 02 2017,0.466553,0.506891,0.437629,0.454157,309298,12798900
Dec 01 2017,0.436809,0.477370,0.409910,0.466949,178606,11982900
Nov 30 2017,0.478163,0.502962,0.403998,0.438537,352374,13117400
Nov 29 2017,0.477972,0.550928,0.436019,0.471636,299021,13112100
Nov 28 2017,0.371573,0.498010,0.367984,0.495245,735764,10193300
Nov 27 2017,0.355685,0.389719,0.355276,0.368710,180582,9757430
Nov 26 2017,0.295993,0.362142,0.289515,0.355617,158347,8119920
Nov 25 2017,0.304665,0.324330,0.286275,0.296093,176612,8357830
Nov 24 2017,0.303855,0.319810,0.294026,0.305282,109731,8335600
Nov 23 2017,0.306411,0.315223,0.304271,0.304271,150510,8405720
Nov 22 2017,0.303140,0.311166,0.301628,0.306509,279221,8315970
Nov 21 2017,0.284416,0.314602,0.265577,0.302406,142214,7802340
Nov 20 2017,0.337332,0.353417,0.222724,0.281982,384776,9253980
Nov 19 2017,0.290254,0.422027,0.161590,0.339716,884035,7962470
Nov 18 2017,0.144728,0.302878,0.133706,0.288536,584615,3970290
Nov 17 2017,0.131609,0.153542,0.125153,0.145285,140521,3610400
Nov 16 2017,0.085414,0.135858,0.082302,0.131825,523910,2343140
Nov 15 2017,0.069090,0.089161,0.069090,0.084968,77737,1895330
Nov 14 2017,0.068522,0.071982,0.067387,0.069042,38514,1879740
Nov 13 2017,0.058261,0.070768,0.056981,0.068377,79952,1598250
Nov 12 2017,0.063858,0.065424,0.053461,0.058176,44044,1751820
Nov 11 2017,0.061336,0.071792,0.061262,0.063906,50695,1682620
Nov 10 2017,0.072411,0.077658,0.059863,0.061555,67862,1986420
Nov 09 2017,0.072325,0.079517,0.070645,0.072196,56384,1984070
Nov 08 2017,0.064013,0.082045,0.063704,0.072548,41323,1756050
Nov 07 2017,0.069410,0.073386,0.063733,0.064214,13507,1904100
Nov 06 2017,0.074637,0.075717,0.066807,0.069521,16332,2047500
Nov 05 2017,0.073059,0.077786,0.069212,0.074471,32940,2004220
Nov 04 2017,0.076395,0.078497,0.068992,0.073198,9569,2095730
Nov 03 2017,0.066828,0.085477,0.066480,0.076594,56625,1833270
Nov 02 2017,0.068285,0.078717,0.064346,0.066915,31717,1873250
Nov 01 2017,0.084170,0.084444,0.065280,0.068209,93628,2309010
Oct 31 2017,0.073239,0.088040,0.072138,0.084227,57941,2009150
Oct 30 2017,0.075220,0.077183,0.071149,0.073489,66778,2063500
Oct 29 2017,0.071653,0.079311,0.069376,0.075660,73840,1965630
Oct 28 2017,0.072979,0.078371,0.065384,0.071456,27131,2002010
Oct 27 2017,0.078533,0.081978,0.069773,0.071427,65320,2154390
Oct 26 2017,0.074682,0.078846,0.067355,0.078510,108620,2048740
Oct 25 2017,0.052045,0.088090,0.041017,0.074974,335587,1427750
Oct 24 2017,0.053884,0.061840,0.048992,0.052024,24808,1478200
Oct 23 2017,0.055931,0.062559,0.050463,0.054003,44340,1534350
Oct 22 2017,0.061306,0.068197,0.055953,0.055974,53946,1681790
Oct 21 2017,0.059806,0.070874,0.055565,0.061138,76543,1640640
Oct 20 2017,0.042772,0.064953,0.042084,0.059933,131474,1173360
Oct 19 2017,0.037215,0.047570,0.036874,0.042760,37007,1020910
Oct 18 2017,0.038006,0.039247,0.033783,0.037196,14583,1042610
Oct 17 2017,0.037987,0.043353,0.035908,0.038003,11011,1042100
Oct 16 2017,0.045538,0.045826,0.034429,0.037981,23284,1249240
Oct 15 2017,0.047547,0.049319,0.042538,0.045046,24203,1304360
Oct 14 2017,0.044705,0.048290,0.042833,0.047463,9253,1226390
Oct 13 2017,0.049496,0.053522,0.041427,0.044693,20409,1357810
Oct 12 2017,0.044006,0.051013,0.042581,0.049292,33788,1207220
Oct 11 2017,0.044610,0.050201,0.042171,0.043876,17662,1223790
Oct 10 2017,0.048837,0.050317,0.039717,0.044618,25093,1339730
Oct 09 2017,0.047890,0.050969,0.044724,0.048841,44008,1313750
Oct 08 2017,0.047077,0.049167,0.045402,0.047922,50163,1291440
Oct 07 2017,0.045353,0.048439,0.043360,0.046633,26686,1244160
Oct 06 2017,0.046851,0.049145,0.043912,0.045298,37808,1285260
