Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.31,2.37,2.05,2.06,37808000,557885000
Mar 30 2018,2.13,2.46,2.01,2.31,64202200,513780000
Mar 29 2018,2.33,2.44,1.98,2.14,68976200,563060000
Mar 28 2018,2.13,2.86,2.06,2.33,136957000,514201000
Mar 27 2018,1.76,2.37,1.62,2.19,93276100,423616000
Mar 26 2018,1.47,1.94,1.44,1.74,81838200,355179000
Mar 25 2018,1.40,1.51,1.35,1.51,23903500,338015000
Mar 24 2018,1.38,1.48,1.37,1.43,25723300,332807000
Mar 23 2018,1.31,1.37,1.23,1.37,25017500,316311000
Mar 22 2018,1.41,1.47,1.24,1.31,28259000,339802000
Mar 21 2018,1.38,1.50,1.35,1.41,28898900,333328000
Mar 20 2018,1.28,1.45,1.25,1.38,32469000,307611000
Mar 19 2018,1.27,1.31,1.17,1.26,29096500,306581000
Mar 18 2018,1.28,1.32,1.01,1.28,33210200,308568000
Mar 17 2018,1.37,1.49,1.25,1.28,47038200,329840000
Mar 16 2018,1.67,1.86,1.49,1.51,70498600,-
Mar 15 2018,1.47,1.71,1.27,1.69,178626000,-
Mar 14 2018,1.36,1.57,1.36,1.47,294266000,-
Mar 13 2018,1.30,1.41,1.21,1.36,89964300,-
Mar 12 2018,1.60,1.62,1.27,1.31,53359000,-
Mar 11 2018,1.48,1.63,1.41,1.60,46160400,-
Mar 10 2018,1.65,1.87,1.47,1.48,53627900,-
Mar 09 2018,2.85,2.94,1.42,1.64,182845000,-
Mar 08 2018,2.62,3.35,1.24,2.84,150428000,-
