Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001914,0.001984,0.001576,0.001594,31,-
Mar 30 2018,0.001913,0.001944,0.001720,0.001914,3,-
Mar 29 2018,0.002224,0.002227,0.001793,0.001917,3,-
Mar 28 2018,0.001869,0.002236,0.001858,0.002221,5,-
Mar 27 2018,0.002042,0.002062,0.001867,0.001869,21,-
Mar 26 2018,0.002363,0.002376,0.001963,0.002045,1,-
Mar 25 2018,0.002211,0.002430,0.002178,0.002365,12,-
Mar 24 2018,0.002406,0.002608,0.002236,0.002242,17,-
Mar 23 2018,0.002523,0.002523,0.002245,0.002372,2,-
Mar 22 2018,0.002669,0.002711,0.002301,0.002523,22,-
Mar 21 2018,0.002671,0.002822,0.002636,0.002674,5,-
Mar 20 2018,0.002587,0.002703,0.002504,0.002666,12,-
Mar 19 2018,0.002211,0.002691,0.002211,0.002558,27,-
Mar 18 2018,0.002287,0.002491,0.001901,0.002221,85,-
Mar 17 2018,0.002241,0.002412,0.002191,0.002293,3,-
Mar 16 2018,0.002148,0.002316,0.002067,0.002238,3,-
Mar 15 2018,0.002544,0.002560,0.002078,0.002149,34,-
Mar 14 2018,0.003294,0.003369,0.002382,0.002545,65,-
Mar 13 2018,0.002636,0.003370,0.002423,0.003293,172,-
Mar 12 2018,0.002863,0.003138,0.001907,0.002651,510,-
Mar 11 2018,0.002808,0.003323,0.002665,0.002872,69,-
Mar 10 2018,0.002963,0.003035,0.002792,0.002818,20,-
Mar 09 2018,0.002602,0.002978,0.002349,0.002962,41,-
Mar 08 2018,0.003660,0.003706,0.002447,0.002619,17,-
Mar 07 2018,0.003966,0.004026,0.003650,0.003665,2,-
Mar 06 2018,0.004257,0.004257,0.003154,0.003971,8,-
Mar 05 2018,0.004254,0.004814,0.002857,0.004269,138,-
Mar 04 2018,0.004919,0.004923,0.004106,0.004257,85,-
Mar 03 2018,0.004738,0.004942,0.004288,0.004928,70,-
Mar 02 2018,0.004580,0.004780,0.004541,0.004744,110,-
Mar 01 2018,0.004336,0.004647,0.004303,0.004591,164,-
Feb 28 2018,0.004372,0.004634,0.004326,0.004330,135,-
