Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.366130,0.385406,0.365059,0.371171,80,1162660
Mar 30 2018,0.373315,0.379435,0.348003,0.366074,169,1185210
Mar 29 2018,0.440580,0.441262,0.363429,0.374245,70,1398430
Mar 28 2018,0.404524,0.443022,0.402277,0.440065,411,1283700
Mar 27 2018,0.428794,0.433869,0.403138,0.404617,291,1360410
Mar 26 2018,0.451365,0.453839,0.413543,0.429444,114,1431700
Mar 25 2018,0.454744,0.467931,0.447960,0.451711,114,1442090
Mar 24 2018,0.467427,0.493409,0.455578,0.461091,599,1481970
Mar 23 2018,0.465086,0.465086,0.444455,0.460719,201,1474200
Mar 22 2018,0.489254,0.498982,0.447062,0.465097,662,1550460
Mar 21 2018,0.484841,0.521713,0.478396,0.490148,130,1536120
Mar 20 2018,0.495405,0.495405,0.446111,0.483964,463,1569230
Mar 19 2018,0.437771,0.498639,0.427992,0.489939,859,1386360
Mar 18 2018,0.437310,0.444180,0.393888,0.439623,79,1384580
Mar 17 2018,0.469030,0.469030,0.429586,0.438376,698,1484670
Mar 16 2018,0.437812,0.484721,0.421500,0.468258,312,1385530
Mar 15 2018,0.439899,0.453941,0.411887,0.446406,88,1391820
Mar 14 2018,0.490038,0.500703,0.427851,0.440097,182,1550090
Mar 13 2018,0.490792,0.530675,0.479196,0.489971,1169,1552150
Mar 12 2018,0.524939,0.534418,0.475861,0.493627,58,1659750
Mar 11 2018,0.477813,0.536014,0.461500,0.526598,66,1510410
Mar 10 2018,0.511134,0.567000,0.475110,0.479467,326,1615360
Mar 09 2018,0.506026,0.513629,0.463707,0.510914,100,1598840
Mar 08 2018,0.578203,0.590118,0.504732,0.509251,909,1826460
Mar 07 2018,0.658678,0.674837,0.567244,0.579024,116,2080190
Mar 06 2018,0.644295,0.689756,0.607533,0.659534,1793,2034320
Mar 05 2018,0.712851,0.717317,0.646076,0.646081,1274,2250250
Mar 04 2018,0.755028,0.755634,0.702954,0.713373,420,2382840
Mar 03 2018,0.771357,0.872915,0.744790,0.756333,769,2433800
Mar 02 2018,0.579637,0.893099,0.530464,0.772301,17008,1828470
Mar 01 2018,0.490437,0.583800,0.486616,0.581131,1916,1546720
Feb 28 2018,0.516371,0.534225,0.489280,0.489715,689,1628140
Feb 27 2018,0.499290,0.524428,0.492442,0.516980,436,1573900
Feb 26 2018,0.464179,0.504585,0.455603,0.497851,101,1462880
Feb 25 2018,0.460561,0.469180,0.442720,0.463586,202,1451150
Feb 24 2018,0.492215,0.501094,0.446330,0.461260,328,1550540
Feb 23 2018,0.488996,0.514363,0.476927,0.492838,103,1540040
Feb 22 2018,0.519869,0.541767,0.484259,0.489453,80,1636880
Feb 21 2018,0.557684,0.558716,0.510343,0.520397,187,1755540
Feb 20 2018,0.558573,0.591748,0.552410,0.558380,1013,1757930
Feb 19 2018,0.516060,0.566773,0.514467,0.558066,293,1623760
Feb 18 2018,0.551126,0.560876,0.507677,0.518443,181,1733710
Feb 17 2018,0.506617,0.552690,0.500098,0.549441,219,1593330
Feb 16 2018,0.501697,0.511793,0.484415,0.506733,179,1577480
Feb 15 2018,0.470906,0.508797,0.465567,0.503850,176,1480320
Feb 14 2018,0.422683,0.471836,0.422683,0.470651,103,1328410
Feb 13 2018,0.441941,0.443952,0.417003,0.423947,126,1388610
Feb 12 2018,0.401264,0.446792,0.396319,0.441138,164,1260510
Feb 11 2018,0.393373,0.413686,0.361443,0.398723,287,1235430
Feb 10 2018,0.449215,0.458420,0.376283,0.393710,116,1410480
Feb 09 2018,0.381298,0.450275,0.357607,0.448887,217,1196950
Feb 08 2018,0.343530,0.447905,0.343530,0.380129,64,1078140
Feb 07 2018,0.380479,0.460459,0.344195,0.344910,2628,1193820
Feb 06 2018,0.342505,0.390027,0.293023,0.384324,71,1074420
Feb 05 2018,0.408987,0.416584,0.328936,0.342073,432,1282660
Feb 04 2018,0.482737,0.515823,0.394789,0.412992,1142,1513600
Feb 03 2018,0.461304,0.499229,0.426962,0.482490,345,1446060
Feb 02 2018,0.533081,0.533081,0.401393,0.459735,2796,1670670
Feb 01 2018,0.593342,0.595972,0.504184,0.534185,2212,1859090
Jan 31 2018,0.586884,0.613922,0.563623,0.591966,1605,1838430
Jan 30 2018,0.662241,0.663704,0.575263,0.598466,330,2074010
Jan 29 2018,0.719307,0.728619,0.648602,0.662023,2239,2252190
Jan 28 2018,0.688913,0.728634,0.686817,0.719994,959,2156530
Jan 27 2018,0.634163,0.729626,0.598731,0.685406,5968,1984680
Jan 26 2018,0.603329,0.671021,0.597706,0.634585,679,1887740
Jan 25 2018,0.688708,0.712236,0.579468,0.604937,1283,2154380
Jan 24 2018,0.577978,0.682154,0.524917,0.677560,2092,1807590
Jan 23 2018,0.607039,0.661293,0.517045,0.578307,1967,1898050
Jan 22 2018,0.719695,0.765969,0.570297,0.608650,6751,2249760
Jan 21 2018,0.984688,1.02,0.655958,0.709990,9022,3077400
Jan 20 2018,0.849507,1.26,0.849064,0.982401,16080,2654320
Jan 19 2018,0.862567,0.898984,0.795383,0.840374,773,2694490
Jan 18 2018,0.891134,0.948646,0.805116,0.871730,1788,2783060
Jan 17 2018,0.932845,0.956669,0.725991,0.887708,2450,2912650
Jan 16 2018,1.11,1.11,0.802806,0.937604,2762,3450090
Jan 15 2018,1.02,1.12,0.984587,1.10,5365,3182780
Jan 14 2018,1.26,1.28,0.878793,1.03,10502,3939970
Jan 13 2018,1.27,1.41,1.19,1.21,11105,3969600
Jan 12 2018,1.26,1.38,1.17,1.27,54686,3943550
Jan 11 2018,1.02,1.26,0.853408,1.26,23791,3177330
Jan 10 2018,0.708462,1.11,0.682322,1.02,34068,2208420
Jan 09 2018,0.617454,0.860767,0.587898,0.707535,14430,1924290
Jan 08 2018,0.650910,0.653350,0.531066,0.619141,1808,2028060
Jan 07 2018,0.587811,0.677578,0.569128,0.651821,1587,1831040
Jan 06 2018,0.664232,0.681456,0.561847,0.588243,2015,2068610
Jan 05 2018,0.563058,0.668904,0.550894,0.663827,2034,1753110
Jan 04 2018,0.430177,0.574578,0.427430,0.562529,2178,1339070
Jan 03 2018,0.499676,0.743569,0.427991,0.427991,8183,1555040
Jan 02 2018,0.406040,0.822861,0.388795,0.500602,7601,1263340
Jan 01 2018,0.368850,0.434897,0.346564,0.406406,446,1147360
Dec 31 2017,0.378706,0.429138,0.360847,0.367817,1840,1177740
Dec 30 2017,0.442524,0.442524,0.353363,0.382402,2788,1375890
Dec 29 2017,0.428191,0.475318,0.410605,0.443722,424,1331010
Dec 28 2017,0.426383,0.463649,0.371772,0.424064,2524,1325090
Dec 27 2017,0.443671,0.461458,0.383952,0.427275,4748,1378490
Dec 26 2017,0.419688,0.454281,0.379945,0.443347,1663,1303660
Dec 25 2017,0.529886,0.529886,0.419580,0.419939,1476,1645590
Dec 24 2017,0.504136,0.565143,0.378886,0.526780,3532,1565250
Dec 23 2017,0.536338,0.552680,0.453475,0.498351,905,1664840
Dec 22 2017,0.534296,0.579550,0.380256,0.532309,384,1658100
Dec 21 2017,0.597597,0.638755,0.459828,0.532481,5810,1854110
Dec 20 2017,0.618340,0.653152,0.536009,0.596243,1351,1918030
Dec 19 2017,0.692357,0.694520,0.577855,0.618939,1156,2147110
Dec 18 2017,0.731048,0.750661,0.671228,0.687814,972,2266580
Dec 17 2017,0.676367,0.805106,0.619433,0.730356,1788,2096550
Dec 16 2017,0.584800,0.776996,0.583052,0.672439,1560,1812290
Dec 15 2017,0.695984,0.913692,0.555539,0.584186,3684,2156340
Dec 14 2017,0.863394,0.899504,0.679112,0.694776,4114,2674390
Dec 13 2017,0.508598,0.910106,0.412497,0.865957,20500,1575020
Dec 12 2017,0.419918,0.508198,0.378738,0.508164,3839,1300100
Dec 11 2017,0.390884,0.433157,0.377029,0.418574,3791,1209920
Dec 10 2017,0.378531,0.401069,0.327291,0.394276,516,1171410
Dec 09 2017,0.406491,0.439486,0.349715,0.377512,361,1257640
Dec 08 2017,0.437772,0.442855,0.354950,0.406688,82,1354100
Dec 07 2017,0.365070,0.440067,0.356950,0.436881,1112,1128950
Dec 06 2017,0.318983,0.381198,0.318983,0.365241,1049,986195
Dec 05 2017,0.323077,0.325737,0.311750,0.319898,300,998612
Dec 04 2017,0.351148,0.351148,0.311614,0.322363,279,1085120
Dec 03 2017,0.300641,0.420010,0.282650,0.349885,626,928823
Dec 02 2017,0.283587,0.300901,0.279422,0.300348,575,875921
Dec 01 2017,0.274486,0.311862,0.259832,0.283820,1077,847614
Nov 30 2017,0.275177,0.296402,0.248333,0.276567,237,849539
Nov 29 2017,0.285866,0.356605,0.260554,0.271238,202,882336
Nov 28 2017,0.314227,0.314912,0.271481,0.283005,86,969647
Nov 27 2017,0.311197,0.324270,0.259236,0.313583,926,960070
Nov 26 2017,0.295926,0.333333,0.295271,0.311082,92,912738
Nov 25 2017,0.296444,0.322479,0.287356,0.295997,375,914116
Nov 24 2017,0.288414,0.323755,0.276173,0.297213,393,889149
Nov 23 2017,0.332938,0.337471,0.289483,0.289483,427,1026170
Nov 22 2017,0.313053,0.374789,0.302239,0.344045,502,964666
Nov 21 2017,0.250407,0.350023,0.239249,0.312461,1818,771438
Nov 20 2017,0.258658,0.265529,0.249512,0.250365,275,796668
Nov 19 2017,0.264449,0.292547,0.210776,0.259134,856,814311
Nov 18 2017,0.217922,0.274655,0.197940,0.264925,1455,670881
Nov 17 2017,0.183067,0.222859,0.176747,0.218678,187,563446
Nov 16 2017,0.159086,0.226113,0.155555,0.183369,688,489522
Nov 15 2017,0.141025,0.179757,0.141025,0.158257,71,433844
Nov 14 2017,0.138064,0.158513,0.134495,0.140929,47,424632
Nov 13 2017,0.134932,0.158021,0.131727,0.137772,508,414902
Nov 12 2017,0.157942,0.157942,0.127092,0.134787,14,485539
Nov 11 2017,0.142017,0.168463,0.135974,0.158055,263,436478
Nov 10 2017,0.155617,0.175742,0.139483,0.142524,332,478165
Nov 09 2017,0.151904,0.161792,0.143596,0.154169,45,466643
Nov 08 2017,0.147157,0.159443,0.146140,0.152060,64,451952
Nov 07 2017,0.136211,0.162886,0.136211,0.147639,41,418237
Nov 06 2017,0.170494,0.170494,0.135774,0.136500,33,523375
Nov 05 2017,0.155211,0.175154,0.150628,0.170119,471,476344
Nov 04 2017,0.165408,0.170358,0.154533,0.155417,43,507520
Nov 03 2017,0.166886,0.176486,0.163476,0.165496,40,511932
Nov 02 2017,0.169949,0.176625,0.156430,0.166984,98,521202
Nov 01 2017,0.260962,0.273315,0.151794,0.169684,127,800122
Oct 31 2017,0.136200,0.278068,0.136200,0.261178,70,417499
Oct 30 2017,0.152727,0.185555,0.147962,0.168002,82,468046
Oct 29 2017,0.130037,0.153600,0.129244,0.140074,297,398418
Oct 28 2017,0.135930,0.141544,0.128899,0.130306,34,416373
Oct 27 2017,0.134415,0.148214,0.133567,0.135645,55,411630
Oct 26 2017,0.143389,0.152344,0.131850,0.134396,37,439008
Oct 25 2017,0.129193,0.153760,0.122116,0.143406,60,395452
Oct 24 2017,0.123503,0.148409,0.120320,0.128617,88,377942
Oct 23 2017,0.131934,0.132000,0.122585,0.123820,173,403646
Oct 22 2017,0.147136,0.147568,0.126288,0.132567,140,450047
Oct 21 2017,0.146361,0.160484,0.136040,0.136040,207,447572
Oct 20 2017,0.219987,0.220113,0.146367,0.146651,166,672557
Oct 19 2017,0.131177,0.237746,0.130243,0.219992,268,400945
Oct 18 2017,0.150738,1.30,0.100137,0.131151,2146,460625
Oct 17 2017,0.114084,0.163554,0.113957,0.134292,62,348533
Oct 16 2017,0.130230,0.134243,0.112524,0.114066,223,397766
Oct 15 2017,0.133462,0.154016,0.125178,0.130078,143,407537
Oct 14 2017,0.122291,0.141523,0.120206,0.133264,29,373335
Oct 13 2017,0.111422,0.130169,0.110709,0.122258,95,340072
Oct 12 2017,0.102229,0.112964,0.098716,0.111079,34,311940
Oct 11 2017,0.100411,0.102206,0.096627,0.102143,14,306319
Oct 10 2017,0.119683,0.121408,0.099737,0.100424,35,365024
Oct 09 2017,0.094397,0.125286,0.093041,0.119657,225,287834
Oct 08 2017,0.093614,0.108909,0.091254,0.094381,26,285375
Oct 07 2017,0.088845,0.104258,0.087062,0.093862,223,270772
Oct 06 2017,0.093500,0.093933,0.077305,0.088819,54,284887
Oct 05 2017,0.089847,0.094493,0.087376,0.093500,84,273696
Oct 04 2017,0.091063,0.092062,0.083497,0.089776,23,277332
Oct 03 2017,0.099002,0.099164,0.090014,0.090854,37,301438
Oct 02 2017,0.100256,0.101549,0.094101,0.098995,47,305182
Oct 01 2017,0.098217,0.102041,0.093460,0.100242,54,298903
Sep 30 2017,0.090624,0.110572,0.089300,0.098164,180,275731
Sep 29 2017,0.110556,0.110556,0.089803,0.090611,23,336295
Sep 28 2017,0.111354,0.112243,0.097424,0.110640,119,338638
Sep 27 2017,0.106529,0.111845,0.096371,0.111615,105,323890
Sep 26 2017,0.112976,0.113386,0.095038,0.106791,145,343407
Sep 25 2017,0.142012,0.142299,0.073577,0.106627,1075,431566
Sep 24 2017,0.140368,0.159557,0.126305,0.139663,315,426467
Sep 23 2017,0.143247,0.150548,0.137441,0.140260,89,435112
Sep 22 2017,0.147270,0.156110,0.136558,0.143819,46,447223
Sep 21 2017,0.141218,0.158974,0.130163,0.147474,105,428747
Sep 20 2017,0.136664,0.174934,0.135942,0.141896,121,414822
Sep 19 2017,0.130709,0.173821,0.123333,0.136826,156,396659
Sep 18 2017,0.129189,0.152015,0.129189,0.130737,54,391949
Sep 17 2017,0.125272,0.134077,0.112308,0.129415,115,379976
Sep 16 2017,0.127898,0.134691,0.113259,0.125345,276,387851
Sep 15 2017,0.103734,0.132184,0.099871,0.128384,86,314494
Sep 14 2017,0.140160,0.141941,0.102978,0.102978,213,424829
Sep 13 2017,0.185352,0.186108,0.133148,0.140121,82,561674
Sep 12 2017,0.138916,0.186207,0.138916,0.186147,86,420856
Sep 11 2017,0.158466,0.163928,0.137294,0.138801,29,479970
Sep 10 2017,0.143162,0.161033,0.136099,0.158718,12,433510
Sep 09 2017,0.167388,0.186046,0.138422,0.143908,45,506753
Sep 08 2017,0.232696,0.232696,0.133351,0.167112,961,704294
Sep 07 2017,0.207660,0.233489,0.201488,0.233042,441,628366
Sep 06 2017,0.198070,0.216078,0.197983,0.208058,1176,599203
Sep 05 2017,0.193774,0.201574,0.182561,0.197844,194,586066
Sep 04 2017,0.212125,0.212273,0.190002,0.192774,87,641412
Sep 03 2017,0.212166,0.231340,0.203869,0.212059,41,641378
Sep 02 2017,0.246685,0.248988,0.205959,0.212032,106,745549
Sep 01 2017,0.264479,0.270680,0.225761,0.246373,791,799133
Aug 31 2017,0.222265,0.284245,0.216118,0.245636,323,671422
Aug 30 2017,0.216116,0.222653,0.211487,0.222653,38,652687
Aug 29 2017,0.233648,0.243406,0.216082,0.216406,114,705462
Aug 28 2017,0.219437,0.240041,0.212070,0.233127,163,662397
Aug 27 2017,0.217240,0.241643,0.215828,0.219668,55,655606
Aug 26 2017,0.199900,0.259934,0.175489,0.217289,1808,603127
Aug 25 2017,0.201123,0.203666,0.190764,0.199831,30,606671
Aug 24 2017,0.207651,0.244533,0.192594,0.201437,290,626207
Aug 23 2017,0.233483,0.241207,0.185471,0.207557,1334,703944
Aug 22 2017,0.224841,0.254859,0.205689,0.233908,86,677722
Aug 21 2017,0.241775,0.292165,0.224129,0.224129,133,728589
Aug 20 2017,0.242771,0.267700,0.235709,0.242725,114,731415
Aug 19 2017,0.260836,0.276148,0.237831,0.243682,331,785647
Aug 18 2017,0.256716,0.289760,0.246498,0.259836,174,773055
Aug 17 2017,0.307197,0.310027,0.251764,0.257499,598,924844
Aug 16 2017,0.290713,0.307537,0.282219,0.307481,69,875001
Aug 15 2017,0.294553,0.309421,0.279342,0.298379,272,886341
Aug 14 2017,0.286600,0.303987,0.276797,0.293828,272,862198
Aug 13 2017,0.288634,0.303884,0.272581,0.286391,155,868107
Aug 12 2017,0.264495,0.318212,0.263658,0.288834,757,795314
Aug 11 2017,0.277614,0.288088,0.263281,0.264709,181,834557
Aug 10 2017,0.268512,0.278813,0.247291,0.277622,541,806998
Aug 09 2017,0.294241,0.294820,0.233616,0.268484,430,884110
Aug 08 2017,0.336318,0.355098,0.274833,0.294429,308,1010300
Aug 07 2017,0.318743,0.337864,0.239701,0.336062,652,957264
Aug 06 2017,0.290281,0.323622,0.259764,0.319270,613,871580
Aug 05 2017,0.288030,0.315607,0.276805,0.289890,362,864611
Aug 04 2017,0.268331,0.333534,0.264686,0.288131,322,805281
Aug 03 2017,0.253147,0.273090,0.224020,0.268097,750,759529
Aug 02 2017,0.219686,0.255278,0.211680,0.252680,810,658973
Aug 01 2017,0.211499,0.239566,0.188525,0.219695,641,634262
Jul 31 2017,0.256401,0.256628,0.191874,0.211284,1087,768732
Jul 30 2017,0.260849,0.261437,0.221367,0.255896,29,781878
Jul 29 2017,0.262787,0.274999,0.248699,0.260897,228,787492
Jul 28 2017,0.243197,0.264542,0.232864,0.263112,348,728618
Jul 27 2017,0.237847,0.250724,0.235276,0.242993,107,712417
Jul 26 2017,0.233302,0.240943,0.225474,0.237288,172,698630
Jul 25 2017,0.258615,0.261771,0.198442,0.233233,485,774246
Jul 24 2017,0.257519,0.261060,0.253428,0.258493,111,770778
Jul 23 2017,0.245055,0.264738,0.231739,0.257877,2052,733291
Jul 22 2017,0.230911,0.252791,0.229834,0.245145,227,690802
Jul 21 2017,0.255913,0.255913,0.226920,0.230906,70,765407
Jul 20 2017,0.210514,0.259767,0.205475,0.254425,84,629469
Jul 19 2017,0.187661,0.211139,0.173389,0.211139,839,560999
Jul 18 2017,0.194897,0.219680,0.185232,0.187532,197,582492
Jul 17 2017,0.164872,0.198140,0.164872,0.194355,95,492634
Jul 16 2017,0.177498,0.183834,0.156835,0.165040,604,530227
Jul 15 2017,0.173006,0.188604,0.150815,0.178048,2304,516683
Jul 14 2017,0.164257,0.176367,0.154169,0.173269,516,490437
Jul 13 2017,0.124441,0.178416,0.120099,0.164332,2851,371462
Jul 12 2017,0.113402,0.133145,0.112538,0.124349,1002,338430
Jul 11 2017,0.118090,0.122934,0.109041,0.113730,133,352334
Jul 10 2017,0.130777,0.131201,0.117486,0.118405,160,390097
Jul 09 2017,0.132289,0.133817,0.126390,0.130549,43,394510
Jul 08 2017,0.124811,0.132437,0.122355,0.132176,23,372116
Jul 07 2017,0.136432,0.136926,0.123567,0.124738,705,406666
Jul 06 2017,0.141083,0.141234,0.135384,0.136423,176,420425
Jul 05 2017,0.140464,0.142027,0.133810,0.141019,558,418478
Jul 04 2017,0.126286,0.196299,0.125910,0.139929,752,376147
Jul 03 2017,0.126496,0.130386,0.118304,0.126579,121,376678
Jul 02 2017,0.116188,0.126942,0.113678,0.126942,134,345907
Jul 01 2017,0.117875,0.124717,0.115202,0.116198,32,350843
Jun 30 2017,0.120608,0.124549,0.117498,0.117916,19,358888
Jun 29 2017,0.125920,0.130986,0.120353,0.120353,57,374601
Jun 28 2017,0.128875,0.129042,0.119649,0.125998,24,383300
Jun 27 2017,0.115611,0.129280,0.110976,0.128144,336,343755
Jun 26 2017,0.120113,0.123662,0.110586,0.115611,21,357061
Jun 25 2017,0.129092,0.136230,0.117298,0.120281,32,383660
Jun 24 2017,0.129183,0.144294,0.128092,0.129365,37,383832
Jun 23 2017,0.129141,0.130542,0.124549,0.129223,46,383615
Jun 22 2017,0.126252,0.141640,0.121009,0.133409,187,374945
Jun 21 2017,0.119468,0.136753,0.105604,0.126031,54,354708
Jun 20 2017,0.110354,0.138599,0.110263,0.119334,391,327567
Jun 19 2017,0.130510,0.130597,0.109684,0.110348,249,387303
Jun 18 2017,0.123644,0.143422,0.112525,0.130486,368,366837
Jun 17 2017,0.127001,0.133785,0.115966,0.123639,32,376703
Jun 16 2017,0.132220,0.140114,0.124023,0.126658,26,392087
Jun 15 2017,0.121700,0.139225,0.107619,0.132205,56,360802
Jun 14 2017,0.149209,0.169513,0.116611,0.121702,315,442246
Jun 13 2017,0.144645,0.152117,0.144645,0.149293,22,428613
Jun 12 2017,0.170345,0.170400,0.137951,0.145028,39,504641
Jun 11 2017,0.170490,0.173350,0.161704,0.170526,113,504949
Jun 10 2017,0.162226,0.170560,0.159901,0.170560,88,480353
Jun 09 2017,0.155658,0.165191,0.154777,0.161987,225,460791
Jun 08 2017,0.148440,0.156682,0.144027,0.155875,111,439314
Jun 07 2017,0.156041,0.161421,0.119156,0.147725,310,461696
Jun 06 2017,0.116314,0.446959,0.116314,0.156003,140,344067
Jun 05 2017,0.127085,0.146304,0.110470,0.116008,711,375837
Jun 04 2017,0.128144,0.139858,0.124800,0.126985,287,378874
Jun 03 2017,0.124448,0.139057,0.123036,0.128444,60,367855
Jun 02 2017,0.124219,0.129779,0.120618,0.124495,245,367086
Jun 01 2017,0.123224,0.132628,0.120248,0.124091,29,364057
May 31 2017,0.117308,0.129519,0.116932,0.123130,38,346489
May 30 2017,0.117507,0.131714,0.114675,0.116879,33,346991
May 29 2017,0.111946,0.127420,0.109555,0.117373,375,330488
May 28 2017,0.102326,0.194745,0.102326,0.112114,85,302013
May 27 2017,0.111965,0.117609,0.094346,0.101718,277,330381
May 26 2017,0.115062,0.129793,0.102760,0.111594,13,339434
May 25 2017,0.126696,0.140381,0.112947,0.115941,104,373660
May 24 2017,0.118310,0.129302,0.118310,0.126966,48,348842
May 23 2017,0.112363,0.118483,0.108558,0.118167,7,331225
May 22 2017,0.107354,0.121306,0.107081,0.112526,44,316382
May 21 2017,0.108430,0.110091,0.104221,0.107198,17,319475
May 20 2017,0.098313,0.108526,0.098313,0.108469,50,289597
May 19 2017,0.095380,0.103425,0.095380,0.098545,121,280885
May 18 2017,0.092453,0.098503,0.092101,0.095326,41,272196
May 17 2017,0.091628,0.095322,0.090664,0.092502,61,269700
May 16 2017,0.088624,0.092039,0.085289,0.091652,12,260797
May 15 2017,0.092869,0.092995,0.080537,0.088755,147,273217
May 14 2017,0.091118,0.094171,0.090408,0.092836,14,267997
May 13 2017,0.088774,0.093370,0.082729,0.090794,61,261038
May 12 2017,0.092874,0.097943,0.087094,0.088945,282,273030
May 11 2017,0.094471,0.099783,0.091546,0.092783,5288,277652
May 10 2017,0.090979,0.095331,0.090022,0.094301,12754,267324
May 09 2017,0.091664,0.095683,0.087908,0.090935,15687,269270
May 08 2017,0.086137,0.091654,0.083715,0.090721,18778,252971
May 07 2017,0.083644,0.086135,0.081123,0.086135,4464,245587
May 06 2017,0.082423,0.083607,0.077301,0.083592,16073,241944
May 05 2017,0.073578,0.087541,0.073578,0.082385,9562,215924
May 04 2017,0.077000,0.082397,0.071492,0.073873,6170,225911
May 03 2017,0.072189,0.077165,0.072189,0.076935,5594,211743
May 02 2017,0.074309,0.075494,0.070364,0.073101,8455,217909
May 01 2017,0.080112,0.082101,0.068412,0.074047,10249,234867
Apr 30 2017,0.079377,0.081162,0.077912,0.080114,3176,232653
Apr 29 2017,0.080615,0.087439,0.077754,0.079361,4042,236224
Apr 28 2017,0.081750,0.086334,0.078089,0.080637,3803,239488
Apr 27 2017,0.082101,0.086524,0.079378,0.082770,4234,240457
Apr 26 2017,0.079805,0.096415,0.076565,0.081218,3562,233675
Apr 25 2017,0.080441,0.082315,0.079776,0.079793,2049,235478
Apr 24 2017,0.078516,0.081695,0.078516,0.080453,2043,229788
Apr 23 2017,0.080852,0.081032,0.077691,0.078488,2770,236564
Apr 22 2017,0.079238,0.081083,0.078689,0.080879,4230,231785
Apr 21 2017,0.073690,0.080253,0.073269,0.078998,3686,215501
Apr 20 2017,0.076328,0.081494,0.072726,0.073518,1209,223162
Apr 19 2017,0.076333,0.078453,0.075939,0.077283,2104,223120
Apr 18 2017,0.074260,0.080198,0.074098,0.076334,1389,217008
Apr 17 2017,0.073794,0.075963,0.072983,0.074265,1748,215592
Apr 16 2017,0.072773,0.077856,0.072773,0.073810,1881,212554
Apr 15 2017,0.074714,0.075226,0.071562,0.074386,1867,218171
Apr 14 2017,0.075811,0.079133,0.075337,0.078580,4115,221319
Apr 13 2017,0.075623,0.077050,0.074968,0.075793,1356,220716
Apr 12 2017,0.076767,0.076862,0.075395,0.075653,2798,224002
Apr 11 2017,0.075354,0.077001,0.074898,0.076899,1814,219822
Apr 10 2017,0.075411,0.075886,0.074839,0.075322,1044,219936
Apr 09 2017,0.072625,0.075964,0.072246,0.075423,3026,211755
Apr 08 2017,0.072297,0.073123,0.071337,0.072609,1599,210745
Apr 07 2017,0.072591,0.073539,0.071509,0.072196,1250,211550
Apr 06 2017,0.073854,0.080106,0.070093,0.072628,2662,215176
Apr 05 2017,0.070155,0.078312,0.068354,0.073791,2980,204350
Apr 04 2017,0.068901,0.071124,0.065641,0.070127,2020,200645
Apr 03 2017,0.061364,0.070683,0.061364,0.067160,3042,178654
Apr 02 2017,0.061870,0.072048,0.059262,0.061387,2537,180080
Apr 01 2017,0.061044,0.062856,0.058379,0.061191,740,177632
Mar 31 2017,0.056467,0.061967,0.056467,0.061025,404,164272
Mar 30 2017,0.057213,0.059089,0.056125,0.056458,940,166403
Mar 29 2017,0.057674,0.058655,0.055896,0.057197,1019,167700
Mar 28 2017,0.059326,0.062458,0.056978,0.057693,2390,172464
Mar 27 2017,0.053167,0.059873,0.053167,0.059362,2236,154518
Mar 26 2017,0.053510,0.058050,0.052493,0.053067,1022,154647
Mar 25 2017,0.050671,0.055692,0.047905,0.053621,1189,146443
Mar 24 2017,0.064234,0.064234,0.050498,0.050545,1716,185640
Mar 23 2017,0.055793,0.070594,0.054633,0.064217,2654,161245
Mar 22 2017,0.059642,0.060245,0.054103,0.055805,2240,172370
Mar 21 2017,0.056149,0.060273,0.054512,0.059609,2539,162275
Mar 20 2017,0.054583,0.057190,0.053244,0.056089,2891,157749
Mar 19 2017,0.051410,0.057233,0.050539,0.054248,2826,148580
Mar 18 2017,0.056137,0.057670,0.049901,0.051509,1816,162240
Mar 17 2017,0.060805,0.060827,0.056158,0.056158,2065,175730
Mar 16 2017,0.064293,0.065230,0.059151,0.060842,2699,185810
Mar 15 2017,0.062982,0.064761,0.062191,0.064290,3193,182023
Mar 14 2017,0.059381,0.065073,0.058203,0.062985,3247,171617
Mar 13 2017,0.062938,0.065441,0.057910,0.064989,2536,181897
Mar 12 2017,0.061833,0.064220,0.061808,0.062939,1480,178702
Mar 11 2017,0.057777,0.064127,0.055863,0.061800,1105,166979
Mar 10 2017,0.062651,0.066574,0.054678,0.057761,2481,181065
Mar 09 2017,0.061283,0.064028,0.060816,0.061734,1921,177114
Mar 08 2017,0.065210,0.065832,0.061182,0.061381,1965,188462
Mar 07 2017,0.068710,0.069382,0.064268,0.065224,1413,198578
Mar 06 2017,0.066546,0.069175,0.065971,0.068704,2180,192323
Mar 05 2017,0.065682,0.067995,0.064466,0.066555,2548,189826
Mar 04 2017,0.066871,0.068614,0.064007,0.065899,1512,193225
Mar 03 2017,0.063550,0.067683,0.063535,0.066878,1906,183584
Mar 02 2017,0.062316,0.064148,0.061574,0.063575,835,179976
Mar 01 2017,0.060848,0.062465,0.060216,0.062261,553,175690
Feb 28 2017,0.060159,0.061503,0.059872,0.060836,430,173657
Feb 27 2017,0.060456,0.062009,0.059339,0.060112,474,174468
Feb 26 2017,0.059594,0.061284,0.056751,0.060475,813,171937
Feb 25 2017,0.063260,0.065236,0.055575,0.059557,9905,182468
Feb 24 2017,0.065982,0.066660,0.059923,0.063340,10762,190273
Feb 23 2017,0.060698,0.066827,0.060370,0.062582,15896,174990
