Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.108562,0.116007,0.101310,0.111832,196282,27629800
Mar 30 2018,0.111173,0.118273,0.104800,0.108341,285758,28294400
Mar 29 2018,0.131643,0.133348,0.110124,0.111321,345853,33504100
Mar 28 2018,0.144713,0.146245,0.128374,0.130251,564435,36830600
Mar 27 2018,0.171240,0.173115,0.141035,0.144678,557903,43582000
Mar 26 2018,0.176437,0.193639,0.161555,0.171262,913640,44904500
Mar 25 2018,0.168578,0.178788,0.165780,0.176827,179350,42904400
Mar 24 2018,0.167741,0.177705,0.164047,0.170624,283753,42691500
Mar 23 2018,0.166648,0.167122,0.148833,0.166299,370594,42413100
Mar 22 2018,0.167326,0.176339,0.151255,0.166676,196155,42585600
Mar 21 2018,0.168848,0.181675,0.153846,0.166923,432043,42973100
Mar 20 2018,0.161473,0.170026,0.149137,0.166716,231255,41096200
Mar 19 2018,0.144163,0.161421,0.136523,0.160194,333981,36690600
Mar 18 2018,0.153484,0.153484,0.115885,0.144743,439065,39062900
Mar 17 2018,0.173209,0.174203,0.147949,0.153454,173453,44083100
Mar 16 2018,0.172762,0.180300,0.158433,0.171498,196434,43969300
Mar 15 2018,0.176865,0.180809,0.160458,0.166771,316508,45013400
Mar 14 2018,0.202487,0.213386,0.167317,0.175728,522478,51534500
Mar 13 2018,0.196066,0.202743,0.186324,0.202410,493169,49900400
Mar 12 2018,0.192805,0.202479,0.185411,0.195093,387762,49070400
Mar 11 2018,0.179402,0.195363,0.170706,0.193555,270436,45659200
Mar 10 2018,0.189995,0.205222,0.172878,0.183379,537886,48355200
Mar 09 2018,0.177729,0.190579,0.161745,0.190090,329746,45233400
Mar 08 2018,0.187527,0.201722,0.168212,0.178058,541076,47726900
Mar 07 2018,0.209888,0.212003,0.176371,0.193742,900820,53418200
Mar 06 2018,0.224261,0.224261,0.181507,0.209684,644609,57076200
Mar 05 2018,0.232786,0.232786,0.209244,0.219645,450286,59245700
Mar 04 2018,0.215889,0.233794,0.197858,0.232542,694588,54945300
Mar 03 2018,0.218372,0.252875,0.201747,0.215925,1126800,55577300
Mar 02 2018,0.205373,0.230776,0.189349,0.218413,601696,52269100
Mar 01 2018,0.174304,0.215878,0.163363,0.203765,682956,44361700
Feb 28 2018,0.164046,0.182025,0.149233,0.179188,574142,41750800
Feb 27 2018,0.154299,0.173175,0.147082,0.168756,429090,39270300
Feb 26 2018,0.147271,0.159471,0.145240,0.151614,278285,37481600
Feb 25 2018,0.161285,0.164850,0.146281,0.147105,285702,41048200
Feb 24 2018,0.175732,0.178886,0.154634,0.160305,293568,44725100
Feb 23 2018,0.149334,0.191228,0.146279,0.175642,368147,38006700
Feb 22 2018,0.154598,0.160327,0.137818,0.152014,200214,39346400
Feb 21 2018,0.162685,0.171179,0.144554,0.153378,292808,41404500
Feb 20 2018,0.187667,0.196892,0.162049,0.162887,295314,47762700
Feb 19 2018,0.183264,0.192867,0.174547,0.187627,311682,46642000
Feb 18 2018,0.215904,0.220163,0.178120,0.183879,268443,54949100
Feb 17 2018,0.204655,0.223883,0.204194,0.222582,254939,52086300
Feb 16 2018,0.209033,0.227080,0.196113,0.206666,403906,53200400
Feb 15 2018,0.212676,0.227755,0.194654,0.211019,387720,54127600
Feb 14 2018,0.187824,0.220294,0.178513,0.219234,292681,47802500
Feb 13 2018,0.186404,0.196675,0.177029,0.187895,254881,47441200
Feb 12 2018,0.175540,0.198282,0.167447,0.186130,283834,44676300
Feb 11 2018,0.184652,0.201806,0.161886,0.185013,344008,46995400
Feb 10 2018,0.215831,0.227875,0.175871,0.179209,367582,54930600
Feb 09 2018,0.208794,0.226438,0.186177,0.215904,219422,53139700
Feb 08 2018,0.199150,0.231434,0.191978,0.205512,270839,50685200
Feb 07 2018,0.220243,0.248749,0.199527,0.201115,285226,56053600
Feb 06 2018,0.163847,0.240284,0.115841,0.226905,487902,41700200
Feb 05 2018,0.234691,0.254460,0.143567,0.162323,505583,59730700
Feb 04 2018,0.308367,0.322588,0.232436,0.245565,617808,78481900
Feb 03 2018,0.274581,0.338322,0.249424,0.308462,656309,69883100
Feb 02 2018,0.323982,0.323982,0.195672,0.272361,608531,-
Feb 01 2018,0.372327,0.406344,0.301900,0.320754,1724810,-
Jan 31 2018,0.360024,0.400253,0.344600,0.372653,2353060,-
Jan 30 2018,0.375470,0.453780,0.341734,0.359370,4861060,-
Jan 29 2018,0.423941,0.439856,0.306918,0.379257,2748560,-
Jan 28 2018,0.408594,0.478831,0.404309,0.428571,5158430,-
Jan 27 2018,0.282853,0.406924,0.282790,0.405800,4275170,-
Jan 26 2018,0.234354,0.327229,0.218393,0.287161,3770350,-
Jan 25 2018,0.141700,0.243062,0.141700,0.236430,3901170,-
