Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.029195,0.030256,0.023193,0.023562,11,26101
Mar 30 2018,0.030248,0.030744,0.028197,0.029190,1,27042
Mar 29 2018,0.034068,0.034124,0.029441,0.030323,1,30458
Mar 28 2018,0.033639,0.034778,0.033452,0.034028,1,30074
Mar 27 2018,0.035290,0.035403,0.030873,0.033647,42,31551
Mar 26 2018,0.036460,0.036660,0.033921,0.035344,1,32596
Mar 25 2018,0.033927,0.037487,0.033421,0.036488,1,30332
Mar 24 2018,0.035558,0.035883,0.034319,0.034401,6,31790
Mar 23 2018,0.037677,0.037677,0.033178,0.035048,6,33684
Mar 22 2018,0.035315,0.037854,0.034626,0.037678,1,31573
Mar 21 2018,0.035439,0.036356,0.034880,0.035380,12,31684
Mar 20 2018,0.038373,0.038468,0.033218,0.035375,19,34307
Mar 19 2018,0.031942,0.038624,0.031746,0.037950,2,28557
Mar 18 2018,0.033610,0.034304,0.028521,0.032077,11,30048
Mar 16 2018,0.036099,0.036320,0.034747,0.036050,21,32273
Mar 15 2018,0.035455,0.036736,0.033259,0.036119,21,31697
Mar 14 2018,0.043093,0.044081,0.034542,0.035471,1,38527
Mar 13 2018,0.040081,0.044948,0.038336,0.043087,41,35834
Mar 12 2018,0.042416,0.043625,0.038862,0.040313,9,37921
Mar 11 2018,0.039664,0.043963,0.038310,0.043064,4,35461
Mar 10 2018,0.035928,0.040004,0.035050,0.039801,4,32120
Mar 09 2018,0.056597,0.057264,0.033721,0.035912,111,50599
Mar 08 2018,0.060956,0.061464,0.055192,0.056958,41,54496
Mar 07 2018,0.042661,0.043303,0.041619,0.042068,12,38140
Mar 06 2018,0.044892,0.044966,0.042216,0.042717,15,40135
Mar 05 2018,0.072205,0.073302,0.071710,0.072426,72,64553
Mar 04 2018,0.044387,0.072258,0.044145,0.072258,84,39683
Mar 03 2018,0.067769,0.068111,0.042920,0.044463,110,60587
Mar 02 2018,0.068366,0.070246,0.066450,0.067852,126,61121
Mar 01 2018,0.063912,0.068542,0.063414,0.068542,7,57139
Feb 28 2018,0.066653,0.069068,0.041350,0.063818,126,59589
Feb 27 2018,0.064963,0.067909,0.049407,0.066731,37,58079
Feb 26 2018,0.043043,0.065612,0.042906,0.064776,85,38482
Feb 25 2018,0.057982,0.058550,0.041840,0.042988,2,51838
Feb 24 2018,0.044848,0.062781,0.044824,0.058070,2,40096
Feb 23 2018,0.044550,0.045165,0.043856,0.044905,2,39829
Feb 22 2018,0.065939,0.068716,0.061935,0.062685,187,58951
Feb 21 2018,0.068645,0.068772,0.064730,0.066006,197,61370
Feb 20 2018,0.061443,0.071941,0.061443,0.068730,11,54932
Feb 19 2018,0.063573,0.064010,0.060047,0.061387,6,56836
Feb 18 2018,0.055246,0.069052,0.055023,0.063866,4,49391
Feb 17 2018,0.050764,0.055403,0.050110,0.055077,1,45384
Feb 16 2018,0.049467,0.050936,0.049076,0.050775,1,44225
Feb 14 2018,0.052421,0.057191,0.052421,0.056832,6,46865
Feb 13 2018,0.055343,0.055594,0.041778,0.052577,12,49478
Feb 12 2018,0.033966,0.055877,0.033966,0.055242,3,30366
Feb 11 2018,0.036336,0.052648,0.033751,0.033751,62,32486
Feb 10 2018,0.036754,0.053863,0.035282,0.036367,159,32859
Feb 09 2018,0.036532,0.036843,0.035833,0.036727,43,32661
Feb 05 2018,0.048783,0.049791,0.046801,0.047302,7,43613
Feb 04 2018,0.050844,0.054289,0.046241,0.049260,143,45456
Feb 03 2018,0.052379,0.053940,0.048470,0.050818,49,46828
Feb 02 2018,0.056487,0.056487,0.047477,0.052200,8,50501
Feb 01 2018,0.063260,0.063533,0.053754,0.056604,83,56556
Jan 31 2018,0.039667,0.063113,0.038159,0.063113,94,35463
Jan 30 2018,0.042559,0.066667,0.039001,0.039604,9,38049
Jan 29 2018,0.068439,0.069325,0.041971,0.042545,4,61186
Jan 28 2018,0.037106,0.071410,0.037106,0.068505,224,33174
Jan 27 2018,0.068534,0.070403,0.035865,0.036917,38,61271
Jan 26 2018,0.069641,0.071013,0.066477,0.068580,12,62261
Jan 25 2018,0.071256,0.071256,0.068210,0.069826,1,63704
Jan 22 2018,0.063960,0.065671,0.062350,0.065077,107,57182
Jan 21 2018,0.070481,0.070481,0.061754,0.063098,104,63012
Jan 20 2018,0.061326,0.071665,0.061294,0.070317,371,54827
Jan 19 2018,0.035184,0.062496,0.034938,0.060667,160,31455
Jan 18 2018,0.041215,0.058383,0.035110,0.035558,315,36847
Jan 17 2018,0.042719,0.043810,0.028760,0.041057,11,38192
Jan 16 2018,0.040722,0.057527,0.031275,0.042937,66,36407
Jan 15 2018,0.038467,0.059057,0.038444,0.040671,204,34390
Jan 14 2018,0.057731,0.058332,0.038122,0.038747,268,51613
Jan 13 2018,0.054820,0.058722,0.054820,0.057693,159,49011
Jan 12 2018,0.052766,0.055948,0.036936,0.054883,26,47174
Jan 11 2018,0.058578,0.058791,0.051279,0.052420,33,52370
Jan 10 2018,0.051116,0.058644,0.047912,0.058644,7,45699
Jan 09 2018,0.051512,0.052366,0.049756,0.051049,313,46053
Jan 08 2018,0.062208,0.062442,0.060107,0.061011,2,55616
Jan 07 2018,0.037674,0.064709,0.036350,0.062296,2,33681
Jan 06 2018,0.063520,0.063941,0.035834,0.037701,4,56789
Jan 05 2018,0.060224,0.064007,0.059943,0.063469,2,53842
Jan 04 2018,0.059018,0.059967,0.055745,0.057827,2,52763
Jan 03 2018,0.058008,0.060456,0.035589,0.058696,164,51861
Jan 02 2018,0.051588,0.059281,0.051512,0.058214,4,46121
Jan 01 2018,0.032437,0.032459,0.029955,0.030580,2,28999
Dec 31 2017,0.049841,0.055440,0.029759,0.032312,6,44559
Dec 30 2017,0.056678,0.056697,0.047720,0.050385,3,50672
Dec 29 2017,0.057291,0.059746,0.043011,0.056821,34,51220
Dec 28 2017,0.062064,0.062327,0.041485,0.056704,6,55487
Dec 27 2017,0.047669,0.062266,0.047291,0.062194,74,42618
Dec 26 2017,0.056136,0.057011,0.041905,0.047635,154,50188
Dec 25 2017,0.054984,0.058713,0.042511,0.056194,13,49157
Dec 24 2017,0.059302,0.059302,0.057757,0.058532,12,53018
Dec 23 2017,0.042886,0.063571,0.042588,0.058654,28,38341
Dec 22 2017,0.041847,0.046108,0.035597,0.042485,51,37412
Dec 21 2017,0.049614,0.052334,0.048995,0.050721,5,44357
Dec 20 2017,0.051154,0.053685,0.047451,0.049485,7,45733
Dec 19 2017,0.078256,0.078537,0.076583,0.077729,35,69963
Dec 18 2017,0.077293,0.078916,0.073826,0.078190,73,69102
Dec 17 2017,0.043823,0.079540,0.042951,0.077060,124,39179
Dec 16 2017,0.071470,0.071813,0.040266,0.043817,35,63896
Dec 15 2017,0.067180,0.073202,0.061485,0.071370,37,60061
Dec 14 2017,0.056823,0.067337,0.056181,0.067079,138,50801
Dec 13 2017,0.070313,0.072954,0.055298,0.057006,107,62862
Dec 12 2017,0.078459,0.079572,0.068041,0.070255,28,70144
Dec 11 2017,0.037050,0.084858,0.036888,0.078208,1112,33124
Dec 10 2017,0.041654,0.078241,0.036670,0.037320,2411,37240
Dec 09 2017,0.032365,0.044923,0.027359,0.041486,29,28935
Dec 08 2017,0.049116,0.049848,0.030014,0.032398,8,43911
Dec 07 2017,0.037087,0.049001,0.028591,0.049001,20,33157
Dec 06 2017,0.031592,0.037203,0.031592,0.037151,59,28244
Dec 05 2017,0.031355,0.032176,0.022412,0.031662,56,28033
Dec 04 2017,0.032714,0.033725,0.022385,0.031294,14,29247
Dec 03 2017,0.033342,0.034408,0.022446,0.032606,58,29808
Dec 02 2017,0.024599,0.034145,0.024550,0.033310,55,21992
Dec 01 2017,0.024783,0.025057,0.022158,0.024620,34,22157
Nov 30 2017,0.031648,0.034426,0.023542,0.024906,25,28295
Nov 29 2017,0.026988,0.036948,0.022460,0.031170,19,24128
Nov 28 2017,0.031607,0.032334,0.031302,0.032247,4,28258
Nov 27 2017,0.030096,0.031579,0.023672,0.031526,10,26907
Nov 26 2017,0.028513,0.030735,0.020822,0.030090,20,25491
Nov 25 2017,0.026765,0.028522,0.026613,0.028522,300,23928
Nov 24 2017,0.027808,0.028853,0.026611,0.026819,164,24861
Nov 23 2017,0.026814,0.028294,0.026413,0.027846,3,23973
Nov 22 2017,0.026452,0.028608,0.026340,0.026823,22,23649
Nov 21 2017,0.026867,0.027287,0.025416,0.026388,150,24020
Nov 20 2017,0.026221,0.027874,0.026150,0.026862,44,23443
