Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.200167,0.219464,0.200167,0.212904,99538,12998100
Mar 30 2018,0.188951,0.204856,0.188746,0.200272,105711,12269800
Mar 29 2018,0.197778,0.201900,0.188485,0.188899,67391,12843000
Mar 28 2018,0.192698,0.200916,0.189590,0.198452,41411,12513200
Mar 27 2018,0.193973,0.203233,0.189395,0.190874,64461,12596000
Mar 26 2018,0.209176,0.209780,0.189292,0.194159,93501,13583200
Mar 25 2018,0.219076,0.219565,0.208155,0.209319,90906,14226000
Mar 24 2018,0.218077,0.221334,0.215850,0.219811,50177,14161200
Mar 23 2018,0.217083,0.218179,0.210173,0.217763,72653,14096600
Mar 22 2018,0.232890,0.234417,0.210592,0.217089,98338,15123100
Mar 21 2018,0.228856,0.250577,0.226844,0.232644,92950,14861100
Mar 20 2018,0.224977,0.228793,0.211692,0.228793,80351,14609300
Mar 19 2018,0.229884,0.232943,0.215334,0.224312,117813,14927900
Mar 18 2018,0.225053,0.233754,0.206975,0.231169,109937,14614200
Mar 17 2018,0.298922,0.299912,0.223943,0.225637,128407,19411000
Mar 16 2018,0.298840,0.314964,0.285648,0.298917,132034,19405700
Mar 15 2018,0.375024,0.376315,0.252372,0.301244,209922,24352800
Mar 14 2018,0.443135,0.492181,0.369727,0.374202,296491,28775700
Mar 13 2018,0.289949,0.443476,0.282805,0.443476,272490,18828300
Mar 12 2018,0.287142,0.321008,0.284316,0.293576,107646,18646000
Mar 11 2018,0.282602,0.293990,0.265536,0.287308,135503,18351200
Mar 10 2018,0.311473,0.399836,0.280820,0.285743,166297,20226000
Mar 09 2018,0.262466,0.316369,0.252191,0.311661,146994,17043700
Mar 08 2018,0.238183,0.281093,0.237175,0.263032,179855,15466800
Mar 07 2018,0.238694,0.461981,0.229984,0.238470,344453,15500000
Mar 06 2018,0.245371,0.245371,0.231578,0.238681,89214,15933500
Mar 05 2018,0.257991,0.257991,0.245960,0.246040,89320,16753100
Mar 04 2018,0.255847,0.258377,0.252914,0.257988,51834,16613800
Mar 03 2018,0.254234,0.258111,0.253373,0.256012,61456,16509100
Mar 02 2018,0.260046,0.261684,0.251998,0.253277,94422,16886500
Mar 01 2018,0.257365,0.264276,0.255581,0.260213,67824,16712400
Feb 28 2018,0.263048,0.266910,0.257046,0.257297,76106,17081500
Feb 27 2018,0.263208,0.268309,0.260215,0.263035,70821,17091800
Feb 26 2018,0.261344,0.268768,0.254902,0.263013,97418,16970800
Feb 25 2018,0.274877,0.274877,0.261730,0.261730,74376,17849600
Feb 24 2018,0.291426,0.294830,0.272460,0.275097,106776,18924200
Feb 23 2018,0.276914,0.303192,0.271902,0.292632,122411,17981900
Feb 22 2018,0.298071,0.304207,0.276675,0.276675,111637,19355700
Feb 21 2018,0.317684,0.329764,0.290339,0.293343,166453,20629300
Feb 20 2018,0.338888,0.344297,0.317170,0.317969,211840,22006300
Feb 19 2018,0.350170,0.357568,0.334607,0.338605,172195,22738900
Feb 18 2018,0.418072,0.418743,0.348521,0.350863,125840,27148200
Feb 17 2018,0.394458,0.497838,0.387324,0.417634,342195,25614800
Feb 16 2018,0.234018,0.434460,0.230697,0.394673,354190,15196400
Feb 15 2018,0.242757,0.247381,0.228921,0.234518,84133,15763800
Feb 14 2018,0.226655,0.244847,0.220299,0.244530,108511,14718200
Feb 13 2018,0.249383,0.307226,0.226374,0.226527,158755,16194100
Feb 12 2018,0.242912,0.264412,0.242046,0.249206,84313,15773900
Feb 11 2018,0.262061,0.262061,0.241442,0.242505,49100,17017300
Feb 10 2018,0.241707,0.273374,0.240915,0.261548,97187,15695600
Feb 09 2018,0.234954,0.244056,0.216867,0.241782,116843,15257100
Feb 08 2018,0.234147,0.252162,0.229595,0.232073,102374,15204700
Feb 07 2018,0.238484,0.257819,0.224678,0.234646,80939,15486300
Feb 06 2018,0.218854,0.242744,0.191350,0.242744,159324,14211700
Feb 05 2018,0.291045,0.301756,0.209464,0.215091,173473,18899500
Feb 04 2018,0.313297,0.322525,0.276908,0.295576,170104,20344500
Feb 03 2018,0.320288,0.331372,0.308415,0.317235,131335,20798400
Feb 02 2018,0.338059,0.338715,0.285373,0.320565,133115,21952400
Feb 01 2018,0.365488,0.376641,0.335411,0.337386,174318,23733500
Jan 31 2018,0.385238,0.389987,0.363377,0.364201,171640,25016000
Jan 30 2018,0.410438,0.415122,0.382764,0.385382,103054,26652500
Jan 29 2018,0.461907,0.474310,0.400487,0.407273,154338,29994700
Jan 28 2018,0.406044,0.503808,0.403451,0.462279,248953,26367100
Jan 27 2018,0.436452,0.440826,0.401182,0.405485,115289,28341700
Jan 26 2018,0.416956,0.436898,0.356876,0.434502,243767,27075700
Jan 25 2018,0.399579,0.423012,0.390745,0.417788,90353,25947300
Jan 24 2018,0.394036,0.402353,0.375383,0.395990,24616,25587400
Jan 23 2018,0.399572,0.420351,0.383024,0.394119,35058,25946800
Jan 22 2018,0.404592,0.448351,0.373215,0.400258,52188,26272800
Jan 21 2018,0.466070,0.466070,0.383285,0.399873,37780,30265000
Jan 20 2018,0.445618,0.482447,0.422571,0.471338,47963,28937000
Jan 19 2018,0.479675,0.491993,0.439332,0.442524,76596,31148500
Jan 18 2018,0.341183,0.525304,0.333280,0.488971,105851,22155300
Jan 17 2018,0.405368,0.436484,0.299401,0.339572,79233,26323200
Jan 16 2018,0.583198,0.584454,0.366148,0.414967,105169,37870900
Jan 15 2018,0.547165,0.627532,0.524184,0.585519,111225,35531000
Jan 14 2018,0.524424,0.574408,0.496441,0.557182,134431,34054400
Jan 13 2018,0.509932,0.528482,0.476561,0.521875,75386,33113300
Jan 12 2018,0.481591,0.528542,0.471571,0.510325,79923,31272900
Jan 11 2018,0.615541,0.621323,0.469559,0.479380,124628,39971200
Jan 10 2018,0.596263,0.641938,0.480197,0.616328,126144,38719300
Jan 09 2018,0.543003,0.669272,0.535536,0.595911,102633,35260800
Jan 08 2018,0.614196,0.636717,0.535461,0.576378,106661,39883800
Jan 07 2018,0.719924,0.774916,0.575192,0.613981,186771,46749400
Jan 06 2018,0.622168,0.742085,0.585863,0.720245,121208,40401500
Jan 05 2018,0.714529,0.738608,0.568320,0.624724,96546,46399100
Jan 04 2018,0.780290,0.797443,0.663170,0.714711,135254,50669400
Jan 03 2018,0.867586,0.880930,0.631024,0.777406,149708,56338100
Jan 02 2018,0.814234,0.870106,0.715157,0.866691,161244,52873600
Jan 01 2018,0.918794,0.932673,0.761748,0.813925,119070,59663400
Dec 31 2017,0.583393,1.13,0.545933,0.891930,427481,37883600
Dec 30 2017,0.619138,0.619138,0.484914,0.587177,76501,40204700
Dec 29 2017,0.555367,0.632871,0.555095,0.619935,52514,36063700
Dec 28 2017,0.584860,0.600139,0.502530,0.557037,78067,37978900
Dec 27 2017,0.632609,0.680762,0.560617,0.588450,117086,41079500
Dec 26 2017,0.597841,0.683820,0.594738,0.617147,118375,38821800
Dec 25 2017,0.658438,0.734655,0.565701,0.598001,107692,42756800
Dec 24 2017,0.628042,0.698511,0.420977,0.654306,108751,40783000
Dec 23 2017,0.415009,0.805817,0.405572,0.602480,213844,26949300
Dec 22 2017,0.639219,0.874186,0.327707,0.523362,273110,41508800
Dec 21 2017,0.347296,4.12,0.345955,0.626392,908754,22552200
Dec 20 2017,0.455155,0.455155,0.332305,0.344580,84846,29556200
Dec 19 2017,0.478392,0.529672,0.435065,0.455486,124990,31065200
Dec 18 2017,0.398751,0.544141,0.388711,0.479975,189290,25893600
Dec 17 2017,0.293899,0.431582,0.285134,0.391310,201232,19084800
Dec 16 2017,0.287722,0.312238,0.275835,0.293598,71758,18683700
Dec 15 2017,0.302662,0.357970,0.275634,0.285886,146994,19653900
Dec 14 2017,0.304712,0.328050,0.261848,0.299230,136968,19787000
Dec 13 2017,0.296873,0.309735,0.278875,0.305311,110343,19278000
Dec 12 2017,0.274284,0.299471,0.238578,0.297791,129552,17811100
Dec 11 2017,0.286778,0.308471,0.271243,0.274474,151992,18622400
Dec 10 2017,0.467614,0.467614,0.260169,0.282012,276471,30365300
Dec 09 2017,0.241325,0.430518,0.241089,0.299142,236428,15670900
Dec 08 2017,0.252154,0.269243,0.205029,0.241716,269272,16374000
Dec 07 2017,0.256519,0.279696,0.209318,0.250810,191990,16657500
Dec 06 2017,0.248397,0.264517,0.237978,0.250808,74450,16130100
Dec 05 2017,0.258953,0.276045,0.239160,0.248903,187230,16815600
Dec 04 2017,0.261853,0.275480,0.247618,0.258576,200746,17003900
Dec 03 2017,0.246138,0.282409,0.232712,0.262555,159551,15983400
