Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.104838,0.112291,0.099634,0.100839,2367,499449
Mar 30 2018,0.106500,0.110219,0.094452,0.104822,7617,507371
Mar 29 2018,0.123074,0.137298,0.104138,0.106766,8075,586328
Mar 28 2018,0.120684,0.130023,0.113636,0.122930,9485,574944
Mar 27 2018,0.126157,0.136454,0.114487,0.120712,29923,601016
Mar 26 2018,0.158439,0.167507,0.119546,0.123531,49762,754807
Mar 25 2018,0.180484,0.188320,0.156144,0.158560,49816,859830
Mar 24 2018,0.255945,0.267807,0.179930,0.183003,178203,1219330
Mar 23 2018,0.477052,0.491607,0.187817,0.247207,262221,2272690
Mar 22 2018,0.464273,0.485612,0.442886,0.485056,16165,2211810
Mar 21 2018,0.457093,0.504043,0.451354,0.465121,27395,2177600
Mar 20 2018,0.434653,0.560281,0.422866,0.456266,10790,2070700
Mar 19 2018,0.404842,0.453295,0.404842,0.429858,9546,1928680
Mar 18 2018,0.403779,0.423865,0.371002,0.406555,21068,1923620
Mar 17 2018,0.468856,0.470719,0.399563,0.404732,21475,2233640
Mar 16 2018,0.487132,0.503176,0.454540,0.468085,20387,2320710
Mar 15 2018,0.501684,0.523685,0.458134,0.499977,15638,2390030
Mar 14 2018,0.591208,0.607177,0.476243,0.501909,25402,2816530
Mar 13 2018,0.596452,0.622375,0.570867,0.591127,8196,2841510
Mar 12 2018,0.609217,0.662946,0.579576,0.611272,57897,2902330
Mar 11 2018,0.563281,0.630314,0.536328,0.611142,10553,2683490
Mar 10 2018,0.598267,0.650701,0.552865,0.565231,20159,2850160
Mar 09 2018,0.622101,0.637798,0.528282,0.598010,15695,2963700
Mar 08 2018,0.659108,0.699362,0.606432,0.616525,38622,3140010
Mar 07 2018,0.734201,0.771123,0.636078,0.660044,29719,3497760
Mar 06 2018,0.840303,0.840303,0.731111,0.735156,32699,4003220
Mar 05 2018,0.788248,0.874154,0.757242,0.842632,90005,3755240
Mar 04 2018,0.749542,0.812136,0.723244,0.788826,65723,3570840
Mar 03 2018,0.706469,0.781196,0.697639,0.763735,37732,3365640
Mar 02 2018,0.744400,0.779363,0.704223,0.707334,84246,3546340
Mar 01 2018,0.652824,0.750973,0.647750,0.746318,27550,3110070
Feb 28 2018,0.709830,0.745195,0.643386,0.664185,16465,3381650
Feb 27 2018,0.721816,0.737225,0.690290,0.710667,20659,3438750
Feb 26 2018,0.680899,0.732544,0.654637,0.719736,28219,3243820
Feb 25 2018,0.667573,0.764415,0.653010,0.680028,45580,3180340
Feb 24 2018,0.700350,0.744217,0.654209,0.668586,6058,3336490
Feb 23 2018,0.699634,0.729624,0.653893,0.701237,8480,3333070
Feb 22 2018,0.735792,0.770820,0.663908,0.700288,10645,3505330
Feb 21 2018,0.790875,0.792226,0.719535,0.736539,7500,3767750
Feb 20 2018,0.800103,0.858346,0.783396,0.791861,27643,3811710
Feb 19 2018,0.799845,0.826943,0.768839,0.799377,24029,3810480
Feb 18 2018,0.887592,0.902781,0.800594,0.803538,8443,4228510
Feb 17 2018,0.847724,0.902237,0.836816,0.884879,7830,4038580
Feb 16 2018,0.857441,0.872996,0.802419,0.847918,13052,4084870
Feb 15 2018,0.833277,0.896699,0.819690,0.861119,19004,3969750
Feb 14 2018,0.774395,0.847664,0.767222,0.832826,26933,3689240
Feb 13 2018,0.845294,0.849141,0.771903,0.776710,21092,4027000
Feb 12 2018,0.752881,0.873038,0.747363,0.843759,63734,3586740
Feb 11 2018,0.801568,0.806113,0.713858,0.748112,31548,3818690
Feb 10 2018,0.844731,0.899948,0.769861,0.802255,40506,4024320
Feb 09 2018,0.806087,0.863487,0.756997,0.844115,54445,3840220
Feb 08 2018,0.702211,0.902485,0.702211,0.803615,72361,3345350
Feb 07 2018,0.616274,0.928640,0.576482,0.705030,197151,2935950
Feb 06 2018,0.547551,0.628245,0.433361,0.622503,38379,2608550
Feb 05 2018,0.714583,0.729345,0.516935,0.546859,25647,3404290
Feb 04 2018,0.826199,0.851353,0.689643,0.721581,9336,3936040
Feb 03 2018,0.788187,0.860204,0.702556,0.825777,16394,3754940
Feb 02 2018,0.787725,0.830275,0.669142,0.785506,40099,3752740
Feb 01 2018,0.972829,0.988890,0.753510,0.789355,27972,4634580
Jan 31 2018,0.967022,1.03,0.910720,0.970573,40253,4606920
Jan 30 2018,1.13,1.15,0.949493,0.965506,39572,5365180
Jan 29 2018,1.22,1.25,1.10,1.12,72495,5798130
