Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.611311,0.658711,0.592306,0.596465,26629,11726000
Mar 30 2018,0.630597,0.644910,0.582939,0.619216,30594,12077300
Mar 29 2018,0.757515,0.769218,0.613713,0.636359,39207,14486200
Mar 28 2018,0.776188,0.793657,0.714158,0.756629,72934,14820600
Mar 27 2018,0.848112,0.875536,0.774291,0.776366,82527,16116300
Mar 26 2018,0.979026,1.03,0.786790,0.849398,132365,18603900
Mar 25 2018,0.985336,1.03,0.929844,0.980199,45878,18723800
Mar 24 2018,0.948134,1.11,0.930430,0.998311,112974,17990600
Mar 23 2018,0.944964,0.956796,0.807854,0.926620,65656,17902900
Mar 22 2018,0.986870,1.00,0.937415,0.944117,59381,18665600
Mar 21 2018,0.934777,1.04,0.932841,0.980562,47786,17653800
Mar 20 2018,0.863530,0.954250,0.843537,0.926331,45929,16282100
Mar 19 2018,0.786350,0.903515,0.745820,0.864322,85241,14803000
Mar 18 2018,0.665389,0.821376,0.604935,0.795846,128834,12506300
Mar 17 2018,0.781744,0.813954,0.663378,0.667011,68219,14671500
Mar 16 2018,0.772366,0.844033,0.743835,0.780458,25263,14471600
Mar 15 2018,0.821693,0.833454,0.766486,0.792969,53291,15372900
Mar 14 2018,0.958300,0.999381,0.803571,0.822062,95221,17897600
Mar 13 2018,0.998308,1.01,0.925475,0.958169,39195,18616800
Mar 12 2018,1.09,1.12,0.947879,1.00,46027,20356300
Mar 11 2018,1.01,1.12,0.965075,1.10,45905,18721700
Mar 10 2018,1.07,1.19,1.00,1.01,96852,19779500
Mar 09 2018,0.992629,1.07,0.874567,1.07,78853,18392800
Mar 08 2018,1.07,1.10,0.945151,0.999609,33151,19798900
Mar 07 2018,1.22,1.26,1.04,1.07,51729,22534300
Mar 06 2018,1.22,1.38,1.17,1.22,156138,22568800
Mar 05 2018,1.44,1.45,1.23,1.23,109128,26601100
Mar 04 2018,1.52,1.59,1.36,1.44,108845,27944000
Mar 03 2018,1.51,1.61,1.47,1.53,114710,27752500
Mar 02 2018,1.43,1.58,1.35,1.52,174805,26121500
Mar 01 2018,1.38,1.52,1.36,1.43,58240,25284700
Feb 28 2018,1.55,1.62,1.37,1.38,116505,28238700
Feb 27 2018,1.63,1.70,1.51,1.55,131776,29720400
