Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.399552,0.539444,0.399552,0.520469,29804,27340800
Mar 30 2018,0.347604,0.431305,0.331478,0.399918,15398,23786100
Mar 29 2018,0.205555,0.363271,0.204377,0.348619,27004,14065900
Mar 28 2018,0.206490,0.213225,0.200903,0.205190,12135,-
Mar 27 2018,0.202536,0.212355,0.190270,0.206420,21015,-
Feb 09 2018,0.692161,0.746754,0.667379,0.743601,441,47330200
Feb 08 2018,1.01,1.10,0.466646,0.691300,410,68829000
Feb 07 2018,0.466626,1.15,0.427052,1.01,974,31908000
Feb 06 2018,0.417304,0.471165,0.335506,0.467115,758,28535300
Feb 05 2018,0.496331,0.513060,0.378423,0.415823,428,33939300
Feb 04 2018,0.689647,0.689647,0.472999,0.501188,792,47158300
Feb 03 2018,0.660101,0.713041,0.493083,0.689857,473,45137900
Feb 02 2018,0.647567,0.709470,0.539684,0.656921,651,44280800
Feb 01 2018,0.842437,0.861488,0.606212,0.649858,880,57606100
Jan 31 2018,0.848723,0.865857,0.269272,0.840832,1048,58035900
Jan 30 2018,0.843395,0.900668,0.804602,0.845801,1416,57671600
Jan 29 2018,0.898081,0.904061,0.735873,0.843021,912,61411000
Jan 28 2018,0.832781,0.924390,0.829706,0.899408,2464,56945800
Jan 27 2018,0.872892,0.875981,0.658880,0.826963,2245,59688600
Jan 26 2018,0.855267,0.882601,0.811312,0.872827,1809,58483300
Jan 25 2018,0.863622,0.949565,0.634811,0.858252,10660,59054700
Jan 24 2018,0.785635,0.857313,0.755611,0.857313,2270,53721900
Jan 23 2018,0.850002,0.858000,0.576573,0.785401,3241,58123300
Jan 22 2018,0.951898,0.987841,0.782508,0.851551,1034,65091000
Jan 21 2018,0.827156,1.09,0.728930,0.947423,5595,56561100
Jan 20 2018,0.841617,1.11,0.825368,0.825368,7892,57550000
Jan 19 2018,0.877417,0.908421,0.810113,0.836226,2849,59998000
Jan 18 2018,0.814316,0.942125,0.789482,0.883977,901,55683100
Jan 17 2018,0.907744,0.958389,0.647243,0.805247,2559,62071700
Jan 16 2018,0.971462,1.01,0.747083,0.911096,3572,66428800
Jan 15 2018,1.02,1.04,0.969516,0.969516,2622,69863300
Jan 14 2018,1.13,1.13,0.972866,1.02,1136,76960600
Jan 13 2018,0.967787,1.16,0.948839,1.12,1496,66177500
Jan 12 2018,0.952679,1.12,0.929455,0.967905,15995,65144500
Jan 11 2018,1.07,1.21,0.924742,0.941838,3999,72849700
Jan 10 2018,1.11,1.18,1.04,1.07,4239,75739800
Jan 09 2018,1.03,1.12,0.988474,1.11,4290,70700900
Jan 08 2018,1.05,1.15,0.887400,1.04,3261,71820200
Jan 07 2018,0.955941,1.04,0.953585,1.04,4548,65367500
Jan 06 2018,1.33,1.37,0.941083,0.956323,4424,91203500
Jan 05 2018,1.31,1.41,1.29,1.33,4582,89913300
