Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.632321,0.713835,0.623589,0.655552,20358,52166500
Mar 30 2018,0.634074,0.682790,0.578189,0.632900,45618,52311100
Mar 29 2018,0.732849,0.767126,0.626416,0.635924,38540,60460100
Mar 28 2018,0.682300,0.736121,0.648588,0.731546,26179,56289800
Mar 27 2018,0.770690,0.794629,0.661246,0.682071,56117,63581900
Mar 26 2018,0.788905,0.794034,0.677427,0.771163,36656,65084700
Mar 25 2018,0.790337,0.853648,0.715890,0.790656,93834,65202800
Mar 24 2018,0.829417,0.850028,0.783119,0.799921,37799,68426900
Mar 23 2018,0.828507,0.846446,0.743484,0.821837,54489,68351800
Mar 22 2018,0.851692,0.877490,0.764712,0.828648,58062,70264600
Mar 21 2018,0.882611,0.907073,0.827126,0.849611,50700,72815400
Mar 20 2018,0.885950,0.893640,0.790949,0.877222,37100,73090900
Mar 19 2018,0.704223,0.879956,0.663278,0.878931,63307,58098400
Mar 18 2018,0.754583,0.764820,0.590359,0.707055,103077,62253100
Mar 17 2018,0.872610,0.904938,0.729207,0.755264,70820,71990300
Mar 16 2018,0.884949,0.921102,0.824805,0.872047,99097,73008300
Mar 15 2018,0.884993,0.908258,0.798466,0.885978,84188,73011900
Mar 14 2018,1.10,1.11,0.868604,0.884367,95058,90863700
Mar 13 2018,1.20,1.25,0.965756,1.10,161966,98832500
Mar 12 2018,1.34,1.37,1.13,1.20,171612,110280000
Mar 11 2018,1.28,1.48,1.20,1.34,211398,105476000
Mar 10 2018,1.23,1.44,1.05,1.28,361382,101558000
Mar 09 2018,0.964556,1.25,0.893071,1.23,538713,79575800
Mar 08 2018,1.03,1.09,0.712848,0.966330,402962,84745800
Mar 07 2018,1.27,1.27,0.982300,1.03,110683,104544000
Mar 06 2018,1.16,1.27,1.08,1.27,77775,95447600
Mar 05 2018,1.26,1.36,1.14,1.15,41502,104273000
Mar 04 2018,1.31,1.31,1.10,1.26,191825,107975000
Mar 03 2018,1.01,1.35,0.961861,1.31,139732,83388000
