Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000048,0.000048,0.000032,0.000045,18057,531848
Mar 30 2018,0.000051,0.000054,0.000041,0.000047,13086,565768
Mar 29 2018,0.000057,0.000059,0.000051,0.000051,12232,634603
Mar 28 2018,0.000055,0.000062,0.000053,0.000057,17067,620938
Mar 27 2018,0.000048,0.000059,0.000044,0.000055,18838,538712
Mar 26 2018,0.000049,0.000061,0.000038,0.000048,17727,546210
Mar 25 2018,0.000047,0.000051,0.000043,0.000049,11057,520056
Mar 24 2018,0.000046,0.000056,0.000022,0.000047,42317,504384
Mar 23 2018,0.000051,0.000053,0.000036,0.000045,14884,560121
Mar 22 2018,0.000061,0.000071,0.000039,0.000039,35727,670385
Mar 21 2018,0.000054,0.000072,0.000046,0.000061,36372,590859
Mar 20 2018,0.000038,0.000077,0.000035,0.000058,83296,420435
Mar 19 2018,0.000026,0.000038,0.000024,0.000038,38306,275859
Mar 18 2018,0.000022,0.000025,0.000015,0.000025,12020,242625
Mar 17 2018,0.000027,0.000029,0.000011,0.000022,12592,296107
Mar 16 2018,0.000029,0.000032,0.000024,0.000027,11035,314178
Mar 15 2018,0.000017,0.000031,0.000017,0.000026,18949,187595
Mar 14 2018,0.000017,0.000020,0.000017,0.000018,11112,178985
Mar 13 2018,0.000016,0.000018,0.000015,0.000017,4379,168001
Mar 12 2018,0.000014,0.000018,0.000013,0.000015,5831,151639
Mar 11 2018,0.000011,0.000016,0.000010,0.000014,5559,113675
Mar 10 2018,0.000011,0.000012,0.000010,0.000011,1086,122322
Mar 09 2018,0.000010,0.000014,0.000010,0.000011,1373,106321
Mar 08 2018,0.000010,0.000011,0.000008,0.000010,5325,104380
Mar 07 2018,0.000017,0.000017,0.000008,0.000010,3894,181644
Mar 06 2018,0.000010,0.000022,0.000010,0.000017,4908,-
Mar 05 2018,0.000013,0.000013,0.000010,0.000010,2835,-
Mar 04 2018,0.000012,0.000013,0.000011,0.000013,3493,-
Mar 03 2018,0.000012,0.000013,0.000011,0.000012,4327,-
Mar 02 2018,0.000016,0.000016,0.000009,0.000012,9413,-
Mar 01 2018,0.000012,0.000016,0.000012,0.000015,1788,-
Feb 28 2018,0.000017,0.000017,0.000012,0.000012,3647,-
Feb 27 2018,0.000015,0.000019,0.000014,0.000017,4965,-
Feb 26 2018,0.000020,0.000020,0.000015,0.000016,9126,-
Feb 25 2018,0.000016,0.000020,0.000014,0.000020,2253,-
Feb 24 2018,0.000019,0.000020,0.000014,0.000016,7730,-
Feb 23 2018,0.000019,0.000021,0.000017,0.000017,1428,-
Feb 22 2018,0.000020,0.000024,0.000018,0.000021,6611,-
Feb 21 2018,0.000022,0.000022,0.000017,0.000020,2854,-
Feb 20 2018,0.000018,0.000023,0.000017,0.000022,1249,-
Feb 19 2018,0.000021,0.000021,0.000018,0.000018,1354,-
Feb 18 2018,0.000017,0.000024,0.000017,0.000021,3741,-
Feb 17 2018,0.000020,0.000022,0.000017,0.000017,2269,-
Feb 16 2018,0.000017,0.000023,0.000016,0.000020,782,-
Feb 15 2018,0.000019,0.000022,0.000017,0.000017,1683,-
Feb 14 2018,0.000017,0.000021,0.000017,0.000019,2282,-
Feb 13 2018,0.000019,0.000019,0.000015,0.000017,589,-
Feb 12 2018,0.000014,0.000021,0.000014,0.000018,2264,-
Feb 11 2018,0.000014,0.000016,0.000013,0.000014,1248,-
Feb 10 2018,0.000015,0.000017,0.000012,0.000015,2925,-
Feb 09 2018,0.000015,0.000016,0.000011,0.000014,5039,-
Feb 08 2018,0.000019,0.000021,0.000014,0.000014,2846,-
Feb 07 2018,0.000035,0.000038,0.000016,0.000019,588,-
Feb 06 2018,0.000017,0.000039,0.000016,0.000035,1077,-
Feb 05 2018,0.000019,0.000030,0.000015,0.000017,1380,-
Feb 04 2018,0.000024,0.000024,0.000010,0.000019,5516,-
Feb 03 2018,0.000012,0.000032,0.000010,0.000023,1905,-
Feb 02 2018,0.000014,0.000018,0.000010,0.000012,2123,-
Feb 01 2018,0.000021,0.000023,0.000012,0.000012,3663,-
Jan 31 2018,0.000018,0.000023,0.000016,0.000023,3526,-
Jan 30 2018,0.000017,0.000025,0.000016,0.000018,2887,-
Jan 29 2018,0.000023,0.000023,0.000014,0.000017,3100,-
Jan 28 2018,0.000037,0.000039,0.000022,0.000023,2789,-
Jan 27 2018,0.000034,0.000037,0.000022,0.000034,3906,-
Jan 26 2018,0.000030,0.000034,0.000024,0.000031,4156,-
Jan 25 2018,0.000027,0.000031,0.000026,0.000029,5826,-
Jan 24 2018,0.000030,0.000030,0.000025,0.000027,4812,-
Jan 23 2018,0.000029,0.000035,0.000024,0.000029,5219,-
Jan 22 2018,0.000028,0.000034,0.000026,0.000029,5039,-
Jan 21 2018,0.000026,0.000031,0.000025,0.000028,3433,-
Jan 20 2018,0.000040,0.000044,0.000040,0.000044,8783,-
Jan 19 2018,0.000038,0.000042,0.000033,0.000040,8078,-
Jan 18 2018,0.000055,0.000059,0.000027,0.000038,7095,-
