Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,3.87,4.12,3.64,3.65,1344,15312800
Mar 30 2018,3.74,4.08,3.56,3.77,7847,14817200
Mar 29 2018,4.52,4.55,3.42,3.74,8304,17912100
Mar 28 2018,4.41,5.08,4.32,4.52,4298,17487800
Mar 27 2018,4.80,4.91,4.41,4.41,112,19002900
Mar 26 2018,4.52,4.83,3.41,4.81,9942,17893900
Mar 25 2018,4.58,4.67,4.33,4.51,944,18130500
Mar 24 2018,4.70,5.06,4.40,4.60,3182,18624400
Mar 23 2018,4.57,4.64,4.39,4.64,265,18113600
Mar 22 2018,4.49,4.91,4.33,4.57,186,17801900
Mar 21 2018,5.06,5.22,4.47,4.48,3669,20027800
Mar 20 2018,4.54,5.12,4.33,5.06,1572,17975300
Mar 19 2018,3.83,4.47,3.81,4.45,1098,15177200
Mar 18 2018,3.93,3.93,3.42,3.84,11140,15576400
Mar 17 2018,3.65,4.13,3.57,3.94,1914,14467400
Mar 16 2018,4.38,4.41,3.21,3.65,26,17365500
Mar 15 2018,4.44,4.47,3.17,4.39,264,17585100
Mar 14 2018,4.21,4.48,2.88,4.44,3024,16664700
Mar 13 2018,4.18,4.36,4.08,4.21,62,16551800
Mar 12 2018,4.79,4.96,4.05,4.20,62,18953800
Mar 11 2018,4.40,4.88,4.25,4.80,1,17425200
Mar 10 2018,4.90,5.02,4.38,4.42,473,19391500
Mar 09 2018,3.73,4.92,3.37,4.90,1603,14783600
Mar 08 2018,4.91,5.03,3.72,3.76,334,19443400
Mar 07 2018,5.32,5.40,4.69,4.92,10,21070000
Mar 06 2018,4.81,5.54,3.38,5.33,17305,19039300
Mar 05 2018,4.54,4.88,4.51,4.82,522,17975200
Mar 04 2018,5.60,6.30,3.72,4.54,3833,22179500
Mar 03 2018,5.54,5.81,3.44,5.61,2569,21923600
Mar 02 2018,5.44,7.94,5.43,5.55,1435,21528400
Mar 01 2018,5.95,7.72,3.41,5.45,7426,23554500
Feb 28 2018,7.89,8.27,5.94,5.94,69,31227500
Feb 27 2018,7.32,8.07,5.68,7.90,7855,28971500
Feb 26 2018,5.11,7.39,5.01,7.30,103,20205000
Feb 25 2018,5.15,6.88,5.07,5.10,1070,20375900
Feb 24 2018,6.80,7.03,4.99,5.16,199,26902100
Feb 23 2018,6.89,7.25,6.65,6.81,102,27255600
Feb 22 2018,5.64,7.19,5.05,6.90,3734,22301400
Feb 21 2018,6.01,6.02,5.25,5.64,341,23773500
Feb 20 2018,5.71,6.30,5.71,6.02,692,22580800
Feb 19 2018,5.90,7.25,4.76,5.70,2948,23351800
Feb 18 2018,6.32,6.61,4.25,5.93,2413,25011200
Feb 17 2018,6.74,8.59,5.97,6.30,25344,26678100
Feb 16 2018,6.68,7.19,6.45,6.75,163,26408700
Feb 15 2018,6.35,7.06,6.28,6.71,1134,25115300
Feb 14 2018,5.63,6.53,5.63,6.35,1660,22271800
Feb 13 2018,6.21,6.24,5.65,5.65,1451,24561900
Feb 12 2018,5.57,6.20,5.57,6.20,522,22032600
Feb 11 2018,5.13,8.01,4.72,5.54,14064,20284600
Feb 10 2018,6.52,7.70,5.10,5.13,14749,25774400
Feb 09 2018,6.19,6.54,5.83,6.51,94,24487400
Feb 08 2018,5.34,6.67,5.34,6.17,942,21103800
Feb 07 2018,6.17,6.85,5.35,5.36,1070,24388200
Feb 06 2018,4.39,6.32,3.75,6.23,6828,17354400
Feb 05 2018,6.31,6.48,4.20,4.38,1577,24957600
Feb 04 2018,6.94,7.04,0.658469,6.37,64922,27426500
Feb 03 2018,6.71,7.12,5.37,6.93,2363,26546400
Feb 02 2018,6.69,6.90,5.02,6.69,7191,26468900
Feb 01 2018,7.12,7.41,6.00,6.71,3711,28161700
Jan 31 2018,7.81,8.01,6.85,7.11,865,30892900
Jan 30 2018,8.96,9.46,6.56,7.80,9215,35426900
Jan 29 2018,10.72,10.86,8.84,8.96,416,42370800
Jan 28 2018,10.79,11.28,10.00,10.73,2822,42635800
Jan 27 2018,12.02,12.34,7.42,10.73,11788,47488500
Jan 26 2018,10.22,12.06,9.52,12.02,1740,40404600
Jan 25 2018,12.76,13.06,9.36,10.25,1517,50410100
Jan 24 2018,11.46,12.63,11.21,12.55,1337,45278200
Jan 23 2018,11.45,12.02,9.58,11.47,254,45226000
Jan 22 2018,11.26,11.56,8.34,11.48,1635,44481400
Jan 21 2018,11.51,11.51,10.49,11.11,1283,45478500
Jan 20 2018,10.45,12.48,9.75,11.49,1509,41292300
Jan 19 2018,8.04,12.57,7.98,10.34,2356,31748400
Jan 18 2018,8.35,13.53,7.08,8.12,1706,33002000
Jan 17 2018,9.51,9.75,6.40,8.32,2820,37551200
Jan 16 2018,11.95,11.95,6.25,9.56,6977,47206300
Jan 15 2018,12.86,13.99,11.93,11.94,1844,50808300
Jan 14 2018,13.45,15.54,12.78,12.96,3496,53122100
Jan 13 2018,14.06,14.67,12.31,13.44,1263,55530400
Jan 12 2018,13.50,14.24,11.26,14.08,5402,53294400
Jan 11 2018,18.50,18.57,7.61,13.41,10614,73021100
Jan 10 2018,18.23,18.27,13.84,17.65,7800,71925000
Jan 09 2018,16.56,18.87,13.67,18.20,3652,65355600
Jan 08 2018,20.68,20.75,13.40,16.61,5065,81585500
Jan 07 2018,19.69,21.33,16.53,20.71,5284,77668800
Jan 06 2018,15.76,19.93,15.30,19.71,5672,62155600
Jan 05 2018,20.15,21.64,15.75,15.75,10062,79455800
Jan 04 2018,21.56,21.59,13.07,20.14,2619,85016200
Jan 03 2018,14.12,21.48,12.62,21.44,8881,55657800
Jan 02 2018,14.82,15.55,11.03,14.17,3864,58424700
Jan 01 2018,11.57,16.49,10.89,14.82,2908,45618300
Dec 31 2017,11.35,20.36,10.13,11.53,12335,44754800
Dec 30 2017,12.04,12.05,9.73,11.48,5393,47470700
Dec 29 2017,10.23,12.35,10.01,12.07,4945,40322900
Dec 28 2017,10.45,10.50,8.29,10.13,5285,41198800
Dec 27 2017,12.52,12.71,8.38,10.47,9934,49285100
Dec 26 2017,9.75,12.51,8.71,12.51,13015,38395300
Dec 25 2017,6.83,10.88,6.50,9.76,30747,26902300
Dec 24 2017,6.71,6.88,5.92,6.76,1863,26403100
Dec 23 2017,7.02,7.73,6.24,6.63,4304,27639700
Dec 22 2017,6.71,7.55,5.51,6.95,4497,26416900
Dec 21 2017,7.43,8.34,5.63,7.31,17113,29268600
Dec 20 2017,6.06,7.93,4.09,7.41,17832,23849800
Dec 19 2017,5.14,6.34,3.95,6.07,22927,20229700
Dec 18 2017,4.25,5.65,4.04,5.14,3622,16252200
Dec 17 2017,3.86,6.24,3.78,4.23,2477,14755700
Dec 16 2017,4.20,6.29,3.61,3.86,6510,16057800
Dec 15 2017,2.79,6.32,2.79,4.19,4903,10684200
Dec 14 2017,3.77,4.41,2.78,2.79,1209,14425100
Dec 13 2017,4.59,4.65,3.30,3.78,319,17546500
Dec 12 2017,4.55,4.73,3.29,4.58,14650,17390000
Dec 11 2017,4.13,4.74,4.11,4.53,1065,15792700
Dec 10 2017,4.51,4.51,3.73,4.16,7220,17256500
Dec 09 2017,4.52,5.51,3.73,4.49,791,17293500
Dec 08 2017,4.51,5.01,3.83,4.53,2482,17254900
Dec 07 2017,4.12,4.71,3.60,4.50,4186,15756100
Dec 06 2017,4.18,4.57,3.78,4.13,12968,15983100
Dec 05 2017,4.89,5.32,2.94,4.19,11836,18708800
Dec 04 2017,5.54,5.75,4.14,4.88,2531,21169900
Dec 03 2017,5.47,5.83,5.22,5.52,11,20917000
Dec 02 2017,5.20,5.53,3.98,5.47,813,19898800
Dec 01 2017,4.48,5.21,3.71,5.21,548,17132000
Nov 30 2017,3.93,4.80,3.71,4.50,2912,15028400
Nov 29 2017,4.77,5.61,3.46,3.87,2732,18241900
Nov 28 2017,4.70,5.51,4.65,4.78,1126,17941000
Nov 27 2017,4.72,6.04,4.55,4.68,5988,18044300
Nov 26 2017,5.45,5.93,4.72,4.72,1067,20819900
Nov 25 2017,5.12,5.45,5.09,5.45,394,19558100
Nov 24 2017,4.05,5.20,3.97,5.13,14628,15467200
Nov 23 2017,4.41,4.81,3.46,4.05,3785,16829400
Nov 22 2017,4.55,5.49,4.23,4.41,372,17377200
Nov 21 2017,4.80,5.40,3.96,4.54,16751,18333800
Nov 20 2017,4.85,5.43,4.37,4.67,2507,18543700
Nov 19 2017,4.16,4.85,4.12,4.85,305,15907400
Nov 18 2017,4.38,5.05,4.08,4.17,1127,16742200
Nov 17 2017,4.35,4.56,4.10,4.39,2055,16599800
Nov 16 2017,4.63,4.65,4.01,4.39,794,17696000
Nov 15 2017,4.26,4.71,3.80,4.63,3553,16284600
Nov 14 2017,3.81,4.63,3.81,4.02,3209,14556200
Nov 13 2017,3.77,4.42,3.45,3.81,1314,14402900
Nov 12 2017,3.57,4.38,3.48,3.76,4276,13643700
Nov 11 2017,3.19,4.00,3.01,3.57,187,12176300
Nov 10 2017,4.56,4.58,3.06,3.20,1450,17419500
Nov 09 2017,4.99,5.22,4.37,4.55,7980,19056400
Nov 08 2017,4.67,5.16,4.11,4.98,4337,17832900
Nov 07 2017,4.46,4.86,4.20,4.64,13602,17037100
Nov 06 2017,4.07,4.92,3.76,4.76,11275,15551500
Nov 05 2017,3.70,4.45,3.43,4.07,7000,14121600
Nov 04 2017,3.48,4.32,3.42,3.70,1097,13273100
Nov 03 2017,3.47,3.84,3.03,3.49,3672,13244500
Nov 02 2017,4.26,4.58,3.30,3.46,2088,16268500
Nov 01 2017,3.74,5.38,3.67,4.24,5115,14266800
Oct 31 2017,3.86,4.62,3.49,3.75,9615,14723300
Oct 30 2017,4.02,4.37,3.83,3.87,5323,15340000
Oct 29 2017,3.92,4.22,3.29,4.04,3571,14950200
Oct 28 2017,3.84,4.44,3.29,3.91,2069,14666500
Oct 27 2017,3.75,4.41,3.75,3.85,125824,14329900
Oct 26 2017,3.83,3.96,3.66,3.76,2591,14605700
Oct 25 2017,4.33,4.37,3.56,3.83,1032,16541400
Oct 24 2017,4.35,4.61,4.17,4.34,2425,16590000
Oct 23 2017,4.31,4.39,4.08,4.35,7088,16454300
Oct 22 2017,4.21,4.34,3.80,4.30,11175,16054100
Oct 21 2017,3.63,4.31,3.58,4.25,4937,13868600
Oct 20 2017,3.39,4.28,3.39,3.65,10886,12944900
Oct 19 2017,3.31,4.08,3.18,3.39,4689,12617900
Oct 18 2017,4.40,4.95,3.30,3.32,3254,16781400
Oct 17 2017,4.79,5.17,4.24,4.39,16378,18272400
Oct 16 2017,3.94,5.59,3.07,4.79,77579,15025200
Oct 15 2017,4.50,4.61,3.80,3.94,1256,17170300
Oct 14 2017,4.84,4.91,3.50,4.50,4270,18451800
Oct 13 2017,3.63,4.94,3.55,4.84,2181,13857600
Oct 12 2017,3.13,5.62,3.13,3.63,6843,11915300
Oct 11 2017,2.88,9.12,2.76,3.12,58633,10979900
Oct 10 2017,2.40,2.97,2.22,2.88,36992,9150640
Oct 09 2017,2.77,3.06,2.29,2.40,8269,10555600
Oct 08 2017,2.78,3.00,2.65,2.77,8249,10579000
Oct 07 2017,2.87,3.02,2.74,2.78,6313,10955000
Oct 06 2017,2.67,3.01,2.02,2.87,9605,10177900
