Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.013348,0.018577,0.013348,0.014382,147,206970
Mar 30 2018,0.015716,0.015791,0.011487,0.013347,1531,243684
Mar 29 2018,0.021225,0.028343,0.015169,0.015756,694,329093
Mar 28 2018,0.017941,0.070572,0.016772,0.021200,575,278170
Mar 27 2018,0.045071,0.065017,0.016397,0.017945,405,698825
Mar 26 2018,0.024031,0.062502,0.015114,0.045053,4165,372604
Mar 25 2018,0.024564,0.027805,0.023942,0.024050,990,380875
Mar 24 2018,0.025601,0.030812,0.024874,0.024907,779,396953
Mar 23 2018,0.026874,0.030157,0.023208,0.025233,1968,416680
Mar 22 2018,0.025167,0.034250,0.024334,0.026877,1073,390214
Mar 21 2018,0.027106,0.035905,0.024414,0.025213,1864,420279
Mar 20 2018,0.027420,0.036193,0.025828,0.027057,2856,425146
Mar 19 2018,0.023452,0.040220,0.023289,0.027111,1859,363620
Mar 18 2018,0.028425,0.028490,0.020409,0.023551,584,440740
Mar 17 2018,0.052937,0.052937,0.021677,0.028494,1883,820795
Mar 16 2018,0.016916,0.054520,0.016314,0.052871,7829,262284
Mar 15 2018,0.016653,0.020688,0.015221,0.016925,1173,258201
Mar 14 2018,0.020572,0.024837,0.015243,0.016660,703,318974
Mar 13 2018,0.031149,0.031679,0.020569,0.020569,1797,482971
Mar 12 2018,0.028411,0.031599,0.026243,0.031329,2579,440512
Mar 11 2018,0.026052,0.036138,0.025128,0.028501,3654,403327
Mar 10 2018,0.031096,0.035744,0.025906,0.026143,1348,480382
Mar 09 2018,0.028658,0.033797,0.024260,0.026454,1701,441744
Mar 08 2018,0.027693,0.034359,0.026109,0.028840,1240,425940
Mar 07 2018,0.031445,0.037177,0.026413,0.028003,2320,482543
Mar 06 2018,0.032462,0.065265,0.031355,0.031486,2571,497026
Mar 05 2018,0.031478,0.044255,0.031210,0.032552,4550,-
Mar 04 2018,0.030092,0.041712,0.029398,0.031502,1613,-
Mar 03 2018,0.028979,0.036569,0.028932,0.030144,2566,-
Mar 02 2018,0.026717,0.037679,0.026717,0.029014,2475,-
Mar 01 2018,0.021799,0.045279,0.021737,0.026786,2473,-
Feb 28 2018,0.043424,0.048032,0.021747,0.021767,2705,-
Feb 27 2018,0.050187,0.055157,0.043293,0.043474,4616,-
Feb 26 2018,0.045944,0.066148,0.045944,0.050042,6927,-
Feb 25 2018,0.043236,0.074860,0.042749,0.045885,6930,-
Feb 24 2018,0.048252,0.052795,0.040934,0.043302,4478,-
Feb 23 2018,0.051166,0.070494,0.043858,0.048313,8420,-
Feb 22 2018,0.090002,0.091497,0.041973,0.051214,6028,-
Feb 21 2018,0.045830,0.090601,0.038551,0.090093,13092,-
Feb 20 2018,0.048028,0.058545,0.042020,0.045893,4490,-
Feb 19 2018,0.064493,0.076279,0.038570,0.047787,8271,-
Feb 18 2018,0.089486,0.090877,0.052775,0.064791,9847,-
Feb 17 2018,0.092301,0.106787,0.039040,0.089213,11293,-
Feb 16 2018,0.097677,0.102802,0.060457,0.092322,10311,-
Feb 15 2018,0.125167,0.131858,0.032792,0.098096,15886,-
Feb 14 2018,0.121562,0.125414,0.116461,0.125099,11694,-
Feb 13 2018,0.117812,0.128282,0.111162,0.121926,8505,-
Feb 12 2018,0.110070,0.133118,0.110070,0.117598,18411,-
Feb 11 2018,0.125873,0.127471,0.105484,0.109236,15495,-
Feb 10 2018,0.121557,0.161135,0.116377,0.135598,18090,-
Feb 09 2018,0.113227,0.146543,0.092476,0.121468,18815,-
Feb 08 2018,0.127737,0.157849,0.111316,0.112880,16967,-
Feb 07 2018,0.106037,0.188470,0.101282,0.128250,42175,-
Feb 06 2018,0.061542,0.167677,0.059909,0.107048,35061,-
Feb 05 2018,0.072431,0.098937,0.059322,0.061461,4504,-
Feb 04 2018,0.082899,0.091253,0.071048,0.073140,6988,-
Feb 03 2018,0.101478,0.101478,0.066349,0.082857,8576,-
Feb 02 2018,0.089543,0.101165,0.070947,0.101133,3570,-
Feb 01 2018,0.090618,0.091607,0.069224,0.089728,3739,-
Jan 31 2018,0.091654,0.131331,0.079804,0.090408,6815,-
Jan 30 2018,0.167996,0.167996,0.088942,0.091510,8198,-
Jan 29 2018,0.173534,0.246808,0.111943,0.167941,18677,-
Jan 28 2018,0.137006,0.196902,0.091104,0.173700,16193,-
Jan 27 2018,0.138626,0.215433,0.135976,0.136309,19512,-
Jan 26 2018,0.150665,0.221475,0.130621,0.138718,13332,-
Jan 25 2018,0.175401,0.183129,0.148662,0.151066,13991,-
Jan 24 2018,0.190130,0.198847,0.168623,0.172562,11958,-
Jan 23 2018,0.205523,0.238392,0.146703,0.190238,21041,-
Jan 22 2018,0.188049,0.286184,0.137677,0.206068,22929,-
Jan 21 2018,0.231526,0.243383,0.182130,0.185514,20033,-
Jan 20 2018,0.248673,0.353407,0.223062,0.230988,16762,-
Jan 19 2018,0.253729,0.273915,0.238245,0.246000,24668,-
Jan 18 2018,0.285720,0.328290,0.178437,0.256425,30159,-
Jan 17 2018,0.256998,0.340952,0.158212,0.284621,19335,-
Jan 16 2018,0.300633,0.341705,0.214661,0.258309,28262,-
Jan 15 2018,0.301161,0.355061,0.260234,0.300259,31509,-
Jan 14 2018,0.273288,0.422037,0.186176,0.303361,41627,-
Jan 13 2018,0.207176,0.288212,0.207176,0.273110,28499,-
Jan 12 2018,0.228068,0.232680,0.164400,0.207413,13266,-
Jan 11 2018,0.180078,0.252116,0.102978,0.226572,12467,-
Jan 10 2018,0.141517,0.218575,0.136014,0.180280,28464,-
Jan 09 2018,0.105570,0.183733,0.101923,0.141332,28060,-
Jan 08 2018,0.122137,0.195682,0.103689,0.105858,4740,-
Jan 07 2018,0.187336,0.191024,0.111091,0.122308,9386,-
Jan 06 2018,0.140192,0.217927,0.081348,0.187473,14487,-
Jan 05 2018,0.106201,0.151235,0.104656,0.140080,19461,-
Jan 04 2018,0.089896,0.130402,0.071605,0.106180,35852,-
Jan 03 2018,0.074179,0.091488,0.061223,0.089406,2653,-
Jan 02 2018,0.074180,0.087970,0.050838,0.074443,28874,-
