Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002510,0.002612,0.002084,0.002091,30,-
Mar 30 2018,0.002148,0.002580,0.001981,0.002510,101,-
Mar 29 2018,0.002290,0.002300,0.002091,0.002154,6,-
Mar 28 2018,0.002725,0.002755,0.002227,0.002287,64,-
Mar 27 2018,0.002859,0.002868,0.002716,0.002726,11,-
Mar 26 2018,0.002708,0.003163,0.002490,0.002864,24,-
Mar 25 2018,0.003581,0.003657,0.002698,0.002711,39,-
Mar 24 2018,0.002856,0.003868,0.002784,0.003631,37,-
Mar 23 2018,0.002871,0.002871,0.002744,0.002815,30,-
Mar 22 2018,0.002847,0.003336,0.002812,0.002872,42,-
Mar 21 2018,0.002690,0.002852,0.002661,0.002852,4,-
Mar 20 2018,0.002759,0.003376,0.002673,0.002685,13,-
Mar 19 2018,0.003220,0.003315,0.002250,0.002729,115,-
Mar 18 2018,0.002317,0.003240,0.002213,0.003233,153,-
Mar 17 2018,0.002121,0.003785,0.002074,0.002323,339,-
Mar 16 2018,0.002439,0.002642,0.002118,0.002118,4,-
Mar 15 2018,0.002790,0.002808,0.002001,0.002441,157,-
Mar 14 2018,0.003202,0.003357,0.001291,0.002792,551,-
Mar 13 2018,0.003168,0.003319,0.003106,0.003202,12,-
Mar 12 2018,0.003257,0.003316,0.002911,0.003186,39,-
Mar 11 2018,0.002672,0.003579,0.002581,0.003267,197,-
Mar 10 2018,0.003268,0.003597,0.002668,0.002681,326,-
Mar 09 2018,0.004173,0.004222,0.002940,0.003266,5,-
Mar 08 2018,0.003484,0.004205,0.003172,0.004199,93,-
Mar 07 2018,0.004311,0.004376,0.003436,0.003489,24,-
Mar 06 2018,0.004083,0.004317,0.003845,0.004317,27,-
Mar 05 2018,0.004511,0.004579,0.003411,0.004095,164,-
Mar 04 2018,0.004087,0.004514,0.003321,0.004514,57,-
Mar 03 2018,0.003731,0.004266,0.003731,0.004094,192,-
Mar 02 2018,0.004261,0.004555,0.003725,0.003735,201,-
Mar 01 2018,0.003274,0.004275,0.003249,0.004272,18,-
Feb 28 2018,0.004605,0.004709,0.003279,0.003282,273,-
Feb 27 2018,0.005018,0.005035,0.003509,0.004610,271,-
Feb 26 2018,0.003311,0.005043,0.003249,0.005004,211,-
Feb 25 2018,0.004653,0.005078,0.003034,0.003307,490,-
Feb 24 2018,0.004696,0.005206,0.003608,0.004660,463,-
Feb 23 2018,0.004425,0.005816,0.004314,0.004702,79,-
Feb 22 2018,0.005113,0.005513,0.004051,0.004429,221,-
Feb 21 2018,0.004854,0.005201,0.004413,0.005118,281,-
Feb 20 2018,0.004951,0.005973,0.004808,0.004860,826,-
Feb 19 2018,0.005745,0.005869,0.004411,0.004947,106,-
Feb 18 2018,0.006914,0.007025,0.005074,0.005772,79,-
Feb 17 2018,0.003874,0.007423,0.003824,0.006893,653,-
Feb 16 2018,0.004066,0.004123,0.003647,0.003874,318,-
Feb 15 2018,0.003906,0.004786,0.003861,0.004083,152,-
Feb 14 2018,0.004023,0.004789,0.003805,0.003903,136,-
Feb 13 2018,0.004275,0.004330,0.003860,0.004036,385,-
Feb 12 2018,0.002992,0.004317,0.002992,0.004267,201,-
Feb 11 2018,0.004108,0.004229,0.002973,0.002973,141,-
Feb 10 2018,0.004777,0.004950,0.003594,0.004112,549,-
Feb 09 2018,0.004702,0.005131,0.004337,0.004773,240,-
Feb 08 2018,0.004242,0.004876,0.004242,0.004687,8,-
Feb 07 2018,0.005781,0.006021,0.004246,0.004259,312,-
Feb 06 2018,0.003464,0.005893,0.003002,0.005840,212,-
Feb 05 2018,0.004106,0.004748,0.003327,0.003460,149,-
Feb 04 2018,0.005972,0.005972,0.003878,0.004147,231,-
Feb 03 2018,0.004959,0.006259,0.004161,0.005969,111,-
Feb 02 2018,0.004831,0.004975,0.003958,0.004942,1250,-
Feb 01 2018,0.006063,0.006095,0.004688,0.004841,293,-
Jan 31 2018,0.005462,0.010401,0.004922,0.006049,879,-
Jan 30 2018,0.006930,0.007256,0.005411,0.005454,835,-
Jan 29 2018,0.008559,0.009388,0.006850,0.006908,1397,-
Jan 28 2018,0.007864,0.008742,0.007864,0.008567,964,-
Jan 27 2018,0.009927,0.010431,0.007600,0.007824,1181,-
Jan 26 2018,0.008369,0.011763,0.007114,0.009933,3566,-
Jan 25 2018,0.007609,0.010466,0.007137,0.008429,3903,-
Jan 24 2018,0.015197,0.015673,0.007225,0.007486,22471,-
Jan 23 2018,0.022523,0.038099,0.014978,0.015207,118563,-
Jan 22 2018,0.004066,0.038330,0.003964,0.022366,223680,-
Jan 21 2018,0.004221,0.004523,0.003945,0.004011,289,-
Jan 20 2018,0.004411,0.004874,0.004194,0.004211,159,-
Jan 19 2018,0.003947,0.004886,0.003709,0.004363,627,-
Jan 18 2018,0.003543,0.005807,0.003481,0.003989,506,-
Jan 17 2018,0.004797,0.005396,0.003449,0.003530,1359,-
Jan 16 2018,0.008369,0.008369,0.004555,0.006410,2472,-
Jan 15 2018,0.005954,0.008953,0.005951,0.008359,8700,-
Jan 14 2018,0.006977,0.008960,0.005904,0.005998,3235,-
Jan 13 2018,0.008853,0.011966,0.006905,0.006973,11161,-
Jan 12 2018,0.027163,0.029000,0.008720,0.008863,146884,-
Jan 11 2018,0.005817,0.026987,0.004087,0.026987,865460,-
Jan 10 2018,0.006154,0.006514,0.004205,0.005843,1443,-
Jan 09 2018,0.002907,0.010167,0.002898,0.006146,6130,-
Jan 08 2018,0.002299,0.003300,0.002156,0.002915,3329,-
Jan 07 2018,0.002639,0.003410,0.001914,0.002302,2305,-
Jan 06 2018,0.002357,0.003180,0.002325,0.002641,415,-
Jan 05 2018,0.003160,0.003167,0.001867,0.002355,178,-
Jan 04 2018,0.002433,0.003159,0.001937,0.003159,2791,-
Jan 03 2018,0.002276,0.006491,0.001510,0.002420,10921,-
Jan 02 2018,0.001573,0.002295,0.001502,0.002284,121,-
Jan 01 2018,0.001678,0.001679,0.001364,0.001573,60,-
Dec 31 2017,0.001526,0.001974,0.001478,0.001671,165,-
Dec 30 2017,0.001915,0.002038,0.001510,0.001542,30,-
