Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000752,0.000864,0.000685,0.000693,81,26413
Mar 30 2018,0.000779,0.000792,0.000726,0.000752,7,27366
Mar 29 2018,0.000917,0.000917,0.000758,0.000781,22,32217
Mar 27 2018,0.000980,0.000983,0.000931,0.000953,2,34428
Mar 26 2018,0.001013,0.001018,0.000942,0.000982,2,35569
Mar 25 2018,0.000935,0.001120,0.000921,0.001014,12,32849
Mar 24 2018,0.000891,0.001259,0.000884,0.001121,59,31299
Mar 23 2018,0.001131,0.001131,0.000832,0.000878,19,39727
Mar 22 2018,0.000979,0.001137,0.000852,0.001131,51,34365
Mar 21 2018,0.001069,0.001092,0.000966,0.000980,1,37526
Mar 20 2018,0.001035,0.001113,0.000835,0.001067,1165,36342
Mar 19 2018,0.000983,0.001042,0.000977,0.001023,4,34517
Mar 18 2018,0.000946,0.001094,0.000878,0.000987,84,33237
Mar 17 2018,0.000913,0.001206,0.000868,0.000949,15,32070
Mar 16 2018,0.001239,0.001247,0.000912,0.000912,33,43517
Mar 15 2018,0.001231,0.001252,0.000879,0.001240,23,43235
Mar 14 2018,0.001372,0.001404,0.000953,0.001232,6,48199
Mar 13 2018,0.001000,0.001381,0.000976,0.001372,14,35112
Mar 12 2018,0.001241,0.001286,0.000969,0.001006,32,43576
Mar 11 2018,0.001580,0.001580,0.001187,0.001245,10,55474
Mar 10 2018,0.001204,0.001642,0.000819,0.001585,4821,42276
Mar 09 2018,0.001208,0.001277,0.000437,0.001203,1600,42430
Mar 08 2018,0.001385,0.001413,0.001088,0.001216,50,48630
Mar 07 2018,0.001501,0.001703,0.001322,0.001387,308,52703
Mar 06 2018,0.002186,0.002186,0.001485,0.001503,15,76772
Mar 05 2018,0.002185,0.002308,0.001599,0.002192,519,76721
Mar 04 2018,0.001945,0.002186,0.001340,0.002186,528,68300
Mar 03 2018,0.002094,0.002177,0.001918,0.001948,3,73530
Mar 02 2018,0.001745,0.002112,0.001730,0.002096,42,61270
Mar 01 2018,0.001858,0.002102,0.001736,0.001749,751,65270
Feb 28 2018,0.001813,0.001922,0.001668,0.001856,208,63671
Feb 27 2018,0.002165,0.002274,0.001798,0.001815,20,76051
Feb 26 2018,0.001821,0.002187,0.001694,0.002159,51,63969
Feb 25 2018,0.002327,0.002367,0.001773,0.001819,79,81726
Feb 24 2018,0.002029,0.002545,0.001699,0.002331,981,71270
Feb 23 2018,0.001575,0.002044,0.001381,0.002032,227,55320
Feb 22 2018,0.001675,0.001745,0.001365,0.001577,794,58813
Feb 21 2018,0.001907,0.001910,0.001644,0.001676,169,66967
Feb 20 2018,0.002569,0.002641,0.001889,0.001909,185,90239
Feb 19 2018,0.002181,0.002573,0.001993,0.002567,239,76611
Feb 18 2018,0.002552,0.002595,0.002043,0.002191,586,89609
Feb 17 2018,0.002141,0.002559,0.002113,0.002544,105,75179
Feb 16 2018,0.001917,0.002216,0.001577,0.002141,657,67332
Feb 15 2018,0.002084,0.002135,0.001619,0.001925,146,73207
Feb 14 2018,0.001362,0.002089,0.001362,0.002083,118,47818
Feb 13 2018,0.001513,0.001719,0.001354,0.001366,149,53122
Feb 12 2018,0.001540,0.001705,0.001451,0.001510,44,54092
Feb 11 2018,0.001881,0.001945,0.001475,0.001530,35,66059
Feb 10 2018,0.001477,0.002088,0.001470,0.001883,101,51876
Feb 09 2018,0.001899,0.002006,0.001342,0.001476,122,66681
Feb 08 2018,0.001439,0.001954,0.001262,0.001893,399,50547
Feb 07 2018,0.001387,0.001562,0.001282,0.001445,804,48728
Feb 06 2018,0.001319,0.001480,0.001186,0.001402,262,46311
Feb 05 2018,0.001889,0.001924,0.001283,0.001317,51,66338
Feb 04 2018,0.001941,0.001973,0.001665,0.001907,529,68179
Feb 03 2018,0.001861,0.002337,0.001722,0.001940,205,65364
Feb 02 2018,0.001907,0.001912,0.001619,0.001855,412,66978
Feb 01 2018,0.002848,0.003366,0.001815,0.001911,724,100012
Jan 31 2018,0.002604,0.002841,0.002074,0.002841,1013,91465
Jan 30 2018,0.002800,0.002869,0.002556,0.002600,275,98334
Jan 29 2018,0.003016,0.003055,0.002761,0.002799,178,105921
Jan 28 2018,0.003083,0.004084,0.003019,0.003019,461,108262
Jan 27 2018,0.002781,0.004331,0.002704,0.003067,1005,97683
Jan 26 2018,0.003348,0.003485,0.002711,0.002783,540,117585
Jan 25 2018,0.003424,0.003491,0.003061,0.003357,353,120236
Jan 24 2018,0.002818,0.003375,0.002757,0.003368,437,98980
Jan 23 2018,0.003465,0.003612,0.002281,0.002820,2646,121694
Jan 22 2018,0.003018,0.003572,0.002357,0.003474,1773,105995
Jan 21 2018,0.003213,0.003996,0.002914,0.002977,1154,112828
Jan 20 2018,0.004414,0.004863,0.004411,0.004838,4177,155007
Jan 19 2018,0.002594,0.004734,0.002537,0.004366,3770,91090
Jan 18 2018,0.003119,0.003281,0.002257,0.002621,1699,109538
Jan 17 2018,0.003198,0.003280,0.002124,0.003107,1177,112321
Jan 16 2018,0.004373,0.004373,0.002843,0.003215,2808,153574
Jan 15 2018,0.005476,0.005689,0.003968,0.004367,3717,192305
Jan 14 2018,0.006606,0.007118,0.003501,0.005516,4514,232004
Jan 13 2018,0.005148,0.008439,0.005148,0.006602,18370,180801
Jan 12 2018,0.003239,0.007556,0.002984,0.005154,12295,113748
Jan 11 2018,0.004794,0.006149,0.002810,0.003218,18812,168369
Jan 10 2018,0.006864,0.009786,0.004527,0.004799,40783,241067
Jan 09 2018,0.003313,0.013105,0.002407,0.006855,57413,116359
Jan 08 2018,0.005211,0.005231,0.001534,0.003322,12038,183017
Jan 07 2018,0.005505,0.005961,0.004137,0.005218,2867,193329
Jan 06 2018,0.006454,0.007578,0.003388,0.005509,9773,226661
Jan 05 2018,0.001518,0.006809,0.001493,0.006449,27801,53316
Jan 04 2018,0.001673,0.001971,0.001437,0.001518,1139,58762
Jan 03 2018,0.001632,0.001701,0.001467,0.001664,705,57314
Jan 02 2018,0.001215,0.001672,0.001091,0.001638,70,42675
Jan 01 2018,0.001258,0.001259,0.000924,0.001215,141,44192
Dec 31 2017,0.001399,0.001481,0.001148,0.001253,196,49119
Dec 30 2017,0.001305,0.001456,0.000945,0.001414,446,45818
Dec 29 2017,0.001013,0.001506,0.000856,0.001308,107,35567
Dec 28 2017,0.001086,0.001617,0.000954,0.001002,214,38144
Dec 27 2017,0.001584,0.001586,0.001088,0.001088,138,55620
Dec 26 2017,0.001254,0.002016,0.001249,0.001583,323,44029
Dec 25 2017,0.001550,0.001841,0.001230,0.001255,616,54421
Dec 24 2017,0.001899,0.001899,0.001017,0.001534,1250,66687
Dec 23 2017,0.001103,0.002018,0.001095,0.001878,364,38743
Dec 22 2017,0.000943,0.001759,0.000766,0.001093,1508,33111
Dec 21 2017,0.001156,0.001217,0.000933,0.000940,196,40581
Dec 20 2017,0.001057,0.001057,0.000962,0.001050,53,37126
Dec 19 2017,0.000957,0.001139,0.000936,0.001058,80,33599
Dec 18 2017,0.001148,0.001708,0.000930,0.000956,452,40315
Dec 17 2017,0.000974,0.001186,0.000954,0.001144,17,34201
Dec 16 2017,0.000882,0.001241,0.000880,0.000974,33,30988
Dec 15 2017,0.000829,0.001265,0.000829,0.000881,67,29128
Dec 14 2017,0.000983,0.001024,0.000823,0.000828,1325,34506
Dec 13 2017,0.001037,0.001181,0.000979,0.000986,374,36404
Dec 12 2017,0.000673,0.001061,0.000658,0.001036,143,23652
Dec 11 2017,0.000610,0.000846,0.000607,0.000671,77,21419
Dec 10 2017,0.000752,0.000938,0.000585,0.000614,239,26406
Dec 09 2017,0.000813,0.001155,0.000631,0.000749,215,28559
Dec 08 2017,0.000868,0.001185,0.000704,0.000814,219,30476
Dec 07 2017,0.000687,0.001179,0.000687,0.000866,278,24120
Dec 06 2017,0.000819,0.001060,0.000504,0.000688,1217,28765
Dec 05 2017,0.000816,0.000938,0.000580,0.000938,808,28656
Dec 04 2017,0.000899,0.000909,0.000544,0.000814,275,31585
Dec 03 2017,0.000547,0.000947,0.000543,0.000896,117,19196
Dec 02 2017,0.000762,0.000895,0.000536,0.000546,54,26758
Dec 01 2017,0.000500,0.000877,0.000473,0.000763,113,17548
Nov 30 2017,0.000786,0.000855,0.000485,0.000502,57,27615
Nov 29 2017,0.000496,0.000825,0.000455,0.000774,899,17434
Nov 28 2017,0.000780,0.000794,0.000496,0.000497,785,27409
Nov 27 2017,0.000839,0.000876,0.000664,0.000778,33,29451
Nov 26 2017,0.000525,0.000900,0.000524,0.000838,220,18430
Nov 25 2017,0.000493,0.000945,0.000492,0.000525,1241,17300
Nov 24 2017,0.000563,0.000736,0.000490,0.000494,408,19758
Nov 23 2017,0.000576,0.000579,0.000405,0.000563,303,20221
Nov 22 2017,0.000649,0.000745,0.000569,0.000576,527,22797
Nov 21 2017,0.000907,0.000907,0.000410,0.000648,1269,31838
Nov 20 2017,0.000965,0.000967,0.000492,0.000906,1990,33898
Nov 19 2017,0.000934,0.001174,0.000926,0.000966,592,32817
Nov 18 2017,0.000846,0.001090,0.000841,0.000936,211,29695
Nov 17 2017,0.000863,0.001110,0.000837,0.000849,119,30306
Nov 16 2017,0.000876,0.001166,0.000819,0.000864,1018,30778
Nov 15 2017,0.000992,0.001156,0.000865,0.000872,443,34830
Nov 14 2017,0.000980,0.001255,0.000975,0.000991,572,34405
Nov 13 2017,0.000881,0.001203,0.000874,0.000978,278,30927
Nov 12 2017,0.001145,0.001145,0.000831,0.000879,633,40213
Nov 11 2017,0.001052,0.001354,0.001051,0.001146,1428,36945
Nov 10 2017,0.001212,0.001390,0.000945,0.001056,852,42562
Nov 09 2017,0.001344,0.001504,0.001128,0.001208,1566,47206
Nov 08 2017,0.001139,0.001647,0.001132,0.001346,3918,39987
Nov 07 2017,0.001113,0.001275,0.000994,0.001142,422,39104
Nov 06 2017,0.001109,0.001336,0.000904,0.001115,667,38948
