Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.026501,0.028062,0.026187,0.026327,1920120,59277500
Mar 30 2018,0.027984,0.028358,0.024852,0.026538,2777900,62595600
Mar 29 2018,0.033124,0.033795,0.027303,0.028039,2262480,74092400
Mar 28 2018,0.031501,0.033759,0.030872,0.033016,2188280,70462600
Mar 27 2018,0.033530,0.034842,0.030810,0.031664,3068310,75000500
Mar 26 2018,0.037215,0.037413,0.030337,0.033631,2672450,83243000
Mar 25 2018,0.036272,0.038486,0.034750,0.037036,2475620,81132800
Mar 24 2018,0.036002,0.041819,0.035891,0.036776,9834460,80529600
Mar 23 2018,0.033470,0.036661,0.030402,0.035121,8047270,74866400
Mar 22 2018,0.034889,0.035693,0.031477,0.033468,4600030,78039600
Mar 21 2018,0.031700,0.037622,0.030429,0.034845,4866150,70906100
Mar 20 2018,0.032033,0.036134,0.029029,0.031661,2566070,71651100
Mar 19 2018,0.030205,0.035525,0.029899,0.031750,2321150,67563000
Mar 18 2018,0.028335,0.031115,0.023594,0.030346,2249150,63379500
Mar 17 2018,0.030330,0.031055,0.027923,0.028385,920084,67843800
Mar 16 2018,0.031032,0.032196,0.029283,0.030253,1259150,69412900
Mar 15 2018,0.030380,0.031349,0.027438,0.030929,1518060,67954500
Mar 14 2018,0.034514,0.039836,0.029879,0.030772,5330430,77201500
Mar 13 2018,0.033084,0.036024,0.032408,0.034334,1919220,74001600
Mar 12 2018,0.035088,0.036451,0.031624,0.033256,1178950,78484500
Mar 11 2018,0.031753,0.036224,0.030143,0.035256,1077270,71026300
Mar 10 2018,0.034601,0.036968,0.031314,0.031844,1619290,77396200
Mar 09 2018,0.034526,0.036243,0.029916,0.034706,1744890,77228300
Mar 08 2018,0.038352,0.039595,0.034295,0.034799,1722300,85785500
Mar 07 2018,0.045660,0.046053,0.034588,0.038369,3679660,102133000
Mar 06 2018,0.050691,0.050691,0.044025,0.046196,3427930,113386000
Mar 05 2018,0.052981,0.053147,0.049456,0.050884,2589700,118509000
Mar 04 2018,0.054382,0.054693,0.051616,0.052665,2173080,121643000
Mar 03 2018,0.057250,0.057331,0.053350,0.054473,3089950,128057000
Mar 02 2018,0.056863,0.059076,0.056255,0.057319,3261540,127192000
Mar 01 2018,0.054337,0.060195,0.053241,0.056670,4246460,120450000
Feb 28 2018,0.062849,0.062849,0.053886,0.054345,3030520,139317000
Feb 27 2018,0.063373,0.063840,0.059639,0.062813,3106880,140479000
Feb 26 2018,0.059568,0.064534,0.057296,0.063186,3872640,132045000
Feb 25 2018,0.057213,0.061851,0.056392,0.059533,2830490,126825000
Feb 24 2018,0.063408,0.066753,0.055173,0.057527,3334040,140557000
Feb 23 2018,0.059203,0.067301,0.057190,0.063540,3692000,131236000
Feb 22 2018,0.064244,0.068173,0.058342,0.059414,3957100,142410000
Feb 21 2018,0.067212,0.074045,0.062211,0.064442,10150800,148990000
Feb 20 2018,0.076549,0.077632,0.066132,0.068180,6014090,169687000
Feb 19 2018,0.073494,0.078798,0.073494,0.076476,4795490,162914000
Feb 18 2018,0.086870,0.086998,0.073674,0.073873,6665630,192566000
Feb 17 2018,0.081828,0.088279,0.080609,0.085835,9762580,181389000
Feb 16 2018,0.082974,0.083209,0.076699,0.081785,11437600,183928000
Feb 15 2018,0.075469,0.088496,0.073640,0.082952,23592800,167293000
Feb 14 2018,0.066075,0.077653,0.066011,0.075621,11556000,146470000
Feb 13 2018,0.068168,0.069792,0.063412,0.066284,9148050,151107000
Feb 12 2018,0.060313,0.073733,0.060313,0.067640,20048000,133695000
Feb 11 2018,0.058157,0.071941,0.051761,0.060047,19738600,128918000
Feb 10 2018,0.062092,0.067828,0.055471,0.058384,6815570,137640000
