Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,3.67,4.88,3.18,4.18,69056,5512810
Mar 30 2018,3.04,4.72,2.88,3.67,84541,4530570
Mar 29 2018,3.11,6.02,3.00,3.05,70550,4597390
Mar 28 2018,3.11,3.38,2.94,3.11,48307,4529910
Mar 27 2018,3.13,3.30,2.81,3.12,42282,4527970
Mar 26 2018,3.43,3.57,2.95,3.10,47420,4655860
Mar 25 2018,3.52,3.91,3.25,3.37,77975,7732270
Mar 24 2018,4.05,4.21,3.57,3.64,61893,8906920
Mar 23 2018,4.31,4.31,3.66,4.00,50838,9459880
Mar 22 2018,4.84,4.91,4.13,4.31,62176,10635000
Mar 21 2018,5.16,6.34,3.89,4.85,184544,11333400
Mar 20 2018,4.71,5.48,3.82,5.16,88246,6331220
Mar 19 2018,5.41,5.75,4.34,4.65,98912,6890370
Mar 18 2018,5.66,5.70,4.96,5.43,38658,7207170
Mar 17 2018,5.81,6.24,5.24,5.67,80593,7176210
Mar 16 2018,5.52,6.38,5.43,5.77,51015,6734940
Mar 15 2018,6.22,6.28,5.47,5.52,68924,7563920
Mar 14 2018,6.81,7.05,6.08,6.22,89037,8201920
Mar 13 2018,7.71,7.99,6.44,6.81,93187,9180910
Mar 12 2018,9.06,9.27,7.20,7.75,94753,10607400
Mar 11 2018,8.38,9.53,8.05,9.09,83758,9782540
Mar 10 2018,8.19,9.52,7.94,8.41,91728,9459030
Mar 09 2018,7.93,8.52,6.93,8.29,106030,9061320
Mar 08 2018,7.49,9.40,7.42,8.33,112455,8466370
Mar 07 2018,10.45,10.60,7.47,7.50,116149,11677000
Mar 06 2018,10.63,11.18,9.59,10.46,140174,11756600
Mar 05 2018,11.07,11.59,10.28,10.66,158671,12101300
Mar 04 2018,10.88,11.80,10.65,11.08,164303,11758400
Mar 03 2018,10.01,12.39,9.23,10.90,167072,10693200
Mar 02 2018,10.80,10.94,9.31,10.02,165833,11403000
Mar 01 2018,10.16,12.12,9.71,10.83,149630,10608700
Feb 28 2018,10.11,11.42,9.66,10.14,103948,10441600
Feb 27 2018,10.44,12.37,8.92,10.13,172505,10647700
Feb 26 2018,7.86,12.76,7.38,10.40,157901,7921450
Feb 25 2018,7.40,7.91,7.01,7.85,102255,7360540
Feb 24 2018,6.99,8.18,6.82,7.41,83956,6873830
Feb 23 2018,6.50,7.53,6.29,7.00,90993,6308820
Feb 22 2018,7.80,7.80,6.26,6.51,104438,7477260
Feb 21 2018,7.93,8.39,6.81,7.81,84578,7499670
Feb 20 2018,5.59,8.61,5.59,7.43,120190,5219150
Feb 19 2018,4.98,6.95,4.68,5.51,61042,4591340
Feb 18 2018,5.28,5.61,3.81,5.01,75838,4717300
Feb 17 2018,5.86,5.86,4.21,5.27,60736,5227000
Feb 16 2018,7.96,8.88,5.06,5.86,67898,6999450
Feb 15 2018,10.42,11.89,5.60,7.99,52400,9041240
Feb 14 2018,10.34,11.21,8.31,10.41,94028,8845650
Feb 13 2018,12.59,14.14,9.80,10.37,92768,10616000
Feb 12 2018,12.64,13.64,11.47,12.57,82369,10499000
Feb 11 2018,15.49,16.21,12.83,12.87,140064,12682900
Feb 10 2018,15.18,16.62,14.12,15.51,116875,12240700
Feb 09 2018,16.62,17.38,12.86,15.17,178603,13196100
Feb 08 2018,15.60,20.02,15.44,16.57,151094,12190900
Feb 07 2018,11.51,20.50,11.50,15.66,246537,8842140
Feb 06 2018,10.69,12.76,7.39,12.01,182236,8066010
Feb 05 2018,13.05,13.81,10.00,10.67,87925,9669020
Feb 04 2018,14.91,15.28,12.14,13.17,95126,10849800
Feb 03 2018,14.65,18.43,12.53,14.91,216941,10456700
Feb 02 2018,13.52,14.60,11.75,14.60,176609,9464120
Feb 01 2018,14.78,16.82,13.06,14.39,218389,10146100
Jan 31 2018,14.01,15.94,13.56,14.74,236376,9429210
Jan 30 2018,17.67,18.73,13.86,13.90,168427,11648800
Jan 29 2018,18.53,20.28,13.15,17.66,316035,11966800
Jan 28 2018,20.68,25.08,7.28,19.04,300771,13073900
Jan 27 2018,26.88,30.36,20.48,20.58,237226,16620300
Jan 26 2018,33.13,38.14,22.70,26.89,402473,20034500
Jan 25 2018,40.86,44.44,28.33,33.60,447786,24146800
Jan 24 2018,41.60,44.65,37.23,39.61,505398,24017900
Jan 23 2018,36.54,47.57,33.80,43.03,595259,20594200
Jan 22 2018,42.03,45.19,31.33,36.64,325222,23122300
Jan 21 2018,52.65,52.65,31.48,41.46,456852,28231500
Jan 20 2018,45.03,56.98,38.83,52.49,594721,23535300
Jan 19 2018,33.83,102.03,32.67,44.55,758206,17214200
Jan 18 2018,31.19,34.01,26.19,33.73,384427,-
Jan 17 2018,27.41,36.45,21.83,31.62,307110,-
Jan 16 2018,42.28,42.28,23.36,27.55,285981,-
Jan 15 2018,36.41,45.51,36.13,42.23,401526,-
Jan 14 2018,50.26,55.66,34.09,36.68,170393,-
Jan 13 2018,50.23,57.77,49.46,50.23,592329,-
Jan 12 2018,35.90,56.78,31.29,50.29,606574,-
Jan 11 2018,17.54,60.99,17.39,32.03,355546,-
