Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,11.86,12.72,11.76,12.22,927439,438773000
Mar 30 2018,12.74,13.12,11.29,11.98,1746840,471426000
Mar 29 2018,14.68,14.69,12.44,12.78,1272930,543350000
Mar 28 2018,15.07,15.54,14.43,14.72,1235840,557757000
Mar 27 2018,15.31,15.76,14.05,15.02,1845570,566372000
Mar 26 2018,15.46,15.72,14.15,15.22,1300170,572011000
Mar 25 2018,15.22,16.33,15.19,15.51,2149260,563339000
Mar 24 2018,15.78,16.26,14.94,15.47,1578510,583891000
Mar 23 2018,14.69,15.85,13.75,15.55,1905330,543494000
Mar 22 2018,15.49,15.94,14.47,14.69,1710830,573185000
Mar 21 2018,15.97,16.91,15.33,15.40,1869030,590898000
Mar 20 2018,15.51,16.39,14.53,16.00,1491100,574030000
Mar 19 2018,15.01,16.18,14.11,15.35,2709430,555271000
Mar 18 2018,14.12,15.28,11.43,15.25,2250130,522319000
Mar 17 2018,15.57,15.61,14.05,14.14,1154360,576107000
Mar 16 2018,16.10,16.80,15.29,15.47,1080750,595718000
Mar 15 2018,15.96,16.54,14.86,16.15,1541770,590514000
Mar 14 2018,19.01,19.45,15.15,15.96,2529050,703564000
Mar 13 2018,16.99,20.05,16.92,18.99,8985480,628678000
Mar 12 2018,16.75,17.10,15.33,16.92,1889600,619862000
Mar 11 2018,15.81,17.15,14.81,16.76,1462540,585170000
Mar 10 2018,15.66,18.27,15.66,15.74,3002340,579666000
Mar 09 2018,15.77,16.00,13.29,15.70,2583300,583634000
Mar 08 2018,17.81,18.27,15.38,15.83,2441460,659034000
Mar 07 2018,19.86,20.02,15.74,17.79,2858350,734852000
Mar 06 2018,21.10,21.67,19.14,19.85,2378700,780654000
Mar 05 2018,20.91,23.02,20.81,21.14,5000040,773866000
Mar 04 2018,20.57,21.51,20.02,20.99,2981030,761172000
Mar 03 2018,21.12,21.88,20.48,20.57,2921890,781575000
Mar 02 2018,22.48,24.34,21.13,21.13,6533470,831897000
Mar 01 2018,17.96,25.96,17.83,22.48,13183100,664615000
Feb 28 2018,21.61,22.05,17.70,17.95,5680820,799793000
Feb 27 2018,22.06,22.60,21.35,21.68,2616080,816330000
Feb 26 2018,21.62,22.33,20.76,21.85,2892080,799995000
Feb 25 2018,21.06,22.07,20.62,21.61,2335780,779480000
Feb 24 2018,23.25,24.11,20.53,21.12,3275860,860357000
Feb 23 2018,21.88,24.60,21.03,23.29,3496160,809510000
Feb 22 2018,23.41,26.64,21.56,21.87,4412880,866316000
Feb 21 2018,24.77,25.03,21.83,23.31,5009300,916478000
Feb 20 2018,27.73,28.62,24.44,24.76,4858160,1026200000
Feb 19 2018,26.97,29.30,26.61,27.72,4348660,997920000
Feb 18 2018,30.43,30.57,26.57,27.04,5377530,1126170000
Feb 17 2018,30.28,31.03,29.02,30.41,8986340,1120660000
Feb 16 2018,26.44,33.43,25.70,30.82,21977100,978380000
Feb 15 2018,26.08,26.90,23.14,26.63,11981900,965126000
Feb 14 2018,26.52,27.54,25.08,26.23,9392710,981292000
Feb 13 2018,29.85,30.08,25.82,26.52,6117800,1104500000
Feb 12 2018,24.39,33.41,24.36,29.67,23598600,902390000
Feb 11 2018,25.88,26.40,22.81,24.13,11475600,957595000
Feb 10 2018,31.63,34.82,25.27,26.00,14802400,1170300000
Feb 09 2018,33.47,38.64,30.31,31.98,2991380,1238540000
Feb 08 2018,32.99,36.81,32.99,33.40,10354100,1220690000
Feb 07 2018,39.44,42.99,32.98,33.05,8227980,1459390000
Feb 06 2018,36.34,40.10,23.52,39.68,11227000,1344620000
Feb 05 2018,46.40,46.80,32.06,36.19,4932840,1716940000
Feb 04 2018,59.02,59.22,43.35,46.90,6508120,2184060000
Feb 03 2018,54.32,62.27,50.91,59.27,7163180,2010170000
Feb 02 2018,63.06,63.08,42.79,53.35,6424200,2333590000
Feb 01 2018,70.55,71.99,53.29,62.88,8382490,2610550000
Jan 31 2018,67.41,75.46,63.24,70.89,22437500,2494270000
Jan 30 2018,69.02,69.89,62.55,66.83,8059110,2553880000
