Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.010187,0.010940,0.008565,0.008940,167,24992
Mar 30 2018,0.010555,0.010728,0.009839,0.010186,112,25894
Mar 29 2018,0.012944,0.012965,0.010273,0.010581,28,31755
Mar 28 2018,0.011291,0.013038,0.011228,0.012929,14,27699
Mar 27 2018,0.012254,0.012293,0.011279,0.011293,16,30061
Mar 26 2018,0.015951,0.016039,0.006437,0.012272,590,39133
Mar 25 2018,0.015986,0.017690,0.015747,0.015964,9,39217
Mar 24 2018,0.018448,0.018519,0.016170,0.016209,3,45256
Mar 23 2018,0.017925,0.018183,0.015968,0.018183,23,43974
Mar 22 2018,0.018325,0.018689,0.017555,0.017925,1,44955
Mar 21 2018,0.016206,0.018499,0.016182,0.018358,13,39757
Mar 20 2018,0.015694,0.016399,0.015190,0.016177,44,38502
Mar 19 2018,0.014743,0.015797,0.014652,0.015521,103,36167
Mar 18 2018,0.015221,0.015221,0.013265,0.014805,29,37341
Mar 17 2018,0.015856,0.015889,0.014952,0.015258,12,38898
Mar 16 2018,0.015612,0.017673,0.015028,0.015830,24,38301
Mar 15 2018,0.015101,0.015720,0.014347,0.015621,2,37046
Mar 14 2018,0.016835,0.018190,0.014712,0.015108,31,41300
Mar 13 2018,0.018723,0.019534,0.016568,0.016832,4,45932
Mar 12 2018,0.016703,0.019288,0.016703,0.018831,30,40976
Mar 11 2018,0.017024,0.017024,0.014832,0.016755,45,41764
Mar 10 2018,0.022501,0.022643,0.016928,0.017083,20,55200
Mar 09 2018,0.023327,0.023602,0.016891,0.022491,549,57225
Mar 08 2018,0.024628,0.026039,0.018125,0.023475,949,60417
Mar 07 2018,0.032264,0.032749,0.024094,0.024663,344,79151
Mar 06 2018,0.040614,0.040614,0.031927,0.032306,310,99635
Mar 05 2018,0.049440,0.058889,0.040711,0.040726,488,121287
Mar 04 2018,0.026884,0.096400,0.026079,0.049476,8589,65952
Mar 03 2018,0.026006,0.027008,0.026006,0.026930,68,63798
Mar 02 2018,0.025733,0.027801,0.025607,0.026038,28,63128
Mar 01 2018,0.024367,0.026110,0.024177,0.025799,24,59778
Feb 28 2018,0.025061,0.026038,0.024310,0.024331,5,61482
Feb 27 2018,0.025264,0.025481,0.024138,0.025091,37,61978
Feb 26 2018,0.025884,0.028321,0.024849,0.025191,19,63499
Feb 25 2018,0.023945,0.026144,0.023414,0.025850,195,58743
Feb 24 2018,0.024961,0.025826,0.023115,0.023923,10,61235
Feb 23 2018,0.024120,0.025409,0.023525,0.024992,12,59172
Feb 22 2018,0.026266,0.026723,0.023886,0.024143,62,64437
Feb 21 2018,0.030284,0.030341,0.028852,0.029778,2,74295
Feb 20 2018,0.029269,0.031739,0.027202,0.030322,3,71805
Feb 19 2018,0.026489,0.031050,0.026303,0.029243,45,64983
Feb 18 2018,0.024850,0.040063,0.023414,0.026611,1613,60962
Feb 17 2018,0.031600,0.033631,0.024005,0.024774,1168,77522
Feb 16 2018,0.030069,0.031707,0.029161,0.031607,4,73768
Feb 15 2018,0.027667,0.030304,0.027353,0.030198,11,67874
Feb 14 2018,0.021530,0.027721,0.019772,0.027652,154,52818
Feb 13 2018,0.023401,0.023507,0.021461,0.021594,122,57407
Feb 12 2018,0.025859,0.028273,0.022712,0.023358,52,63439
Feb 11 2018,0.022229,0.026735,0.020429,0.025695,55,54534
Feb 10 2018,0.021809,0.033479,0.021268,0.022248,572,53503
Feb 09 2018,0.018243,0.025104,0.017181,0.021793,4,44756
Feb 08 2018,0.018564,0.018683,0.017823,0.018188,4,45543
Feb 06 2018,0.015963,0.016770,0.013657,0.016292,5,39161
Feb 05 2018,0.018068,0.019279,0.015330,0.015943,5,44324
Feb 04 2018,0.025699,0.026080,0.017437,0.018245,4,63046
