Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.012812,0.013454,0.010463,0.010583,59,-
Mar 30 2018,0.010057,0.012971,0.009375,0.012810,782,-
Mar 29 2018,0.013487,0.014639,0.009789,0.010082,920,-
Mar 28 2018,0.016733,0.017235,0.011230,0.013471,967,-
Mar 27 2018,0.015918,0.017495,0.013310,0.016737,477,-
Mar 26 2018,0.015563,0.016577,0.015301,0.015942,1747,-
Mar 25 2018,0.015618,0.016242,0.012203,0.015575,1132,-
Mar 24 2018,0.017667,0.018213,0.013230,0.015836,1715,-
Mar 23 2018,0.018775,0.018775,0.016604,0.017413,1825,-
Mar 22 2018,0.017193,0.019002,0.013421,0.018775,1521,-
Mar 21 2018,0.016911,0.017649,0.014287,0.017223,1296,-
Mar 20 2018,0.015821,0.017222,0.013182,0.016879,1916,-
Mar 19 2018,0.014443,0.016194,0.013383,0.015646,2780,-
Mar 18 2018,0.012273,0.014533,0.011687,0.014504,420,-
Mar 17 2018,0.016166,0.016166,0.012185,0.012303,1973,-
Mar 16 2018,0.014721,0.016903,0.012795,0.016140,1242,-
Mar 15 2018,0.014626,0.014907,0.012991,0.014729,1747,-
Mar 14 2018,0.019320,0.019762,0.014247,0.014632,1193,-
Mar 13 2018,0.019149,0.020413,0.015411,0.019317,3507,-
Mar 12 2018,0.022156,0.022645,0.016957,0.019260,2508,-
Mar 11 2018,0.016688,0.033681,0.015443,0.022227,6398,-
Mar 10 2018,0.021320,0.021596,0.013776,0.016746,1384,-
Mar 09 2018,0.023146,0.023419,0.016585,0.021311,905,-
Mar 08 2018,0.022489,0.027270,0.014063,0.023293,1278,-
Mar 07 2018,0.029631,0.030074,0.018134,0.022521,4197,-
Mar 06 2018,0.033348,0.033348,0.021807,0.029669,4325,-
Mar 05 2018,0.032878,0.034866,0.024213,0.033441,776,-
Mar 04 2018,0.037139,0.037288,0.022093,0.032902,1521,-
Mar 03 2018,0.035151,0.038904,0.025560,0.037203,2641,-
Mar 02 2018,0.036597,0.038067,0.031904,0.035194,3511,-
Mar 01 2018,0.037711,0.039100,0.011530,0.036692,5927,-
Feb 28 2018,0.046674,0.049170,0.031016,0.037655,2420,-
Feb 27 2018,0.044327,0.047253,0.031459,0.046729,3854,-
Feb 26 2018,0.032702,0.044690,0.032597,0.044200,2381,-
Feb 25 2018,0.037512,0.037882,0.028758,0.032660,312,-
Feb 24 2018,0.039161,0.040844,0.029687,0.037569,2921,-
Feb 23 2018,0.029546,0.039351,0.029011,0.039210,1268,-
Feb 22 2018,0.031663,0.042717,0.029474,0.029573,2636,-
Feb 21 2018,0.044603,0.047513,0.031674,0.031803,3042,-
Feb 20 2018,0.040125,0.051823,0.038046,0.047702,12804,-
Feb 19 2018,0.037707,0.043561,0.035035,0.040088,1890,-
Feb 18 2018,0.050235,0.051161,0.037793,0.037881,2060,-
Feb 17 2018,0.048321,0.053110,0.046518,0.050082,8225,-
Feb 16 2018,0.045948,0.049749,0.039700,0.048331,7215,-
Feb 15 2018,0.046285,0.052375,0.041375,0.046304,10608,-
Feb 14 2018,0.046836,0.055196,0.045362,0.046257,9047,-
Feb 13 2018,0.054915,0.055301,0.041392,0.048604,4312,-
Feb 12 2018,0.037750,0.058498,0.035681,0.054801,57345,-
Feb 11 2018,0.059513,0.059513,0.036951,0.037667,58558,-
Feb 10 2018,0.054394,0.095141,0.046910,0.059568,54053,-
Feb 09 2018,0.109734,0.109734,0.041747,0.054393,89349,-
Feb 08 2018,0.056926,0.206754,0.052061,0.105765,126470,-
Feb 07 2018,0.032507,0.064039,0.024892,0.057155,32045,-
Feb 06 2018,0.038161,0.043363,0.025945,0.032836,8532,-
Feb 05 2018,0.061570,0.079858,0.031343,0.038113,12510,-
Feb 04 2018,0.085132,0.095466,0.060065,0.062174,19742,-
Feb 03 2018,0.313272,0.328333,0.051748,0.093914,103422,-
Feb 02 2018,0.027202,0.664170,0.014158,0.327578,831288,-
Feb 01 2018,0.004582,0.028824,0.003476,0.027934,131351,-
Jan 31 2018,0.008737,0.008774,0.002672,0.004571,2947,-
Jan 30 2018,0.010600,0.011121,0.007759,0.008724,312,-
Jan 29 2018,0.019952,0.020798,0.010451,0.010602,918,-
Jan 28 2018,0.012408,0.020603,0.009427,0.020435,164,-
Jan 27 2018,0.016787,0.016886,0.009441,0.012345,1270,-
Jan 26 2018,0.008276,0.016851,0.007091,0.016798,50,-
Jan 25 2018,0.016718,0.018156,0.008253,0.008298,2385,-
Jan 24 2018,0.007869,0.016457,0.006652,0.016447,1624,-
Jan 23 2018,0.007741,0.008126,0.005349,0.007874,3170,-
Jan 22 2018,0.011527,0.016576,0.007280,0.007761,4834,-
Jan 21 2018,0.010823,0.011922,0.007006,0.011371,553,-
Jan 20 2018,0.016414,0.018484,0.009399,0.010798,3148,-
Jan 19 2018,0.016679,0.018879,0.014239,0.016237,1482,-
Jan 18 2018,0.008050,0.016922,0.007906,0.016857,185,-
Jan 17 2018,0.017161,0.017600,0.006039,0.008019,1336,-
Jan 16 2018,0.019834,0.023014,0.015256,0.017249,207,-
Jan 15 2018,0.016056,0.022799,0.015382,0.019810,114,-
Jan 14 2018,0.020792,0.021028,0.010547,0.016174,281,-
Jan 13 2018,0.018260,0.023751,0.014082,0.020778,2628,-
Jan 12 2018,0.013468,0.022379,0.009165,0.018280,1045,-
