Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.198750,0.214942,0.198119,0.201398,1895650,9850580
Mar 30 2018,0.189826,0.202611,0.179511,0.198936,2011910,9408280
Mar 29 2018,0.216836,0.219754,0.189102,0.190372,2017330,10747000
Mar 28 2018,0.215783,0.219975,0.207131,0.219294,2447460,10694800
Mar 27 2018,0.218229,0.220060,0.205597,0.214681,2322430,10816000
Mar 26 2018,0.236992,0.240464,0.197746,0.218093,2098170,11746000
Mar 25 2018,0.231383,0.240611,0.230420,0.238327,836509,11468000
Mar 24 2018,0.238574,0.259900,0.201754,0.233062,4485750,11824400
Mar 23 2018,0.222476,0.263932,0.208918,0.219871,4419180,11026500
Mar 22 2018,0.214585,0.224191,0.210523,0.223135,1010030,10635400
Mar 21 2018,0.222846,0.222846,0.203349,0.214652,1612620,11044900
Mar 20 2018,0.224979,0.232213,0.213379,0.222333,788078,11150600
Mar 19 2018,0.223036,0.230736,0.199507,0.224629,347951,11054300
Mar 18 2018,0.223358,0.235112,0.184296,0.224678,485976,11070200
Mar 17 2018,0.221614,0.243026,0.216468,0.222228,1637810,10983800
Mar 16 2018,0.223382,0.241975,0.221044,0.221508,848921,11071400
Mar 15 2018,0.220078,0.238157,0.201684,0.223358,1080150,10907700
Mar 14 2018,0.238238,0.245717,0.208170,0.219242,660034,11807700
Mar 13 2018,0.243697,0.248868,0.222356,0.238549,575359,12078300
Mar 12 2018,0.250427,0.265746,0.238729,0.244927,723940,12411800
Mar 11 2018,0.241514,0.261319,0.223575,0.250562,608285,11970100
Mar 10 2018,0.259678,0.266086,0.238357,0.242658,698384,12870300
Mar 09 2018,0.239903,0.276758,0.238877,0.247850,530661,11890200
Mar 08 2018,0.238538,0.279429,0.234432,0.240619,645597,11822600
Mar 07 2018,0.286615,0.290523,0.224655,0.239713,499629,14205400
Mar 06 2018,0.308107,0.310795,0.274188,0.286785,654276,15270600
Mar 05 2018,0.318925,0.321696,0.293461,0.311892,421547,15788800
Mar 04 2018,0.314061,0.321532,0.301572,0.317259,734368,15547900
Mar 03 2018,0.315534,0.325302,0.279576,0.316585,780904,15620900
Mar 02 2018,0.313623,0.325791,0.275808,0.315951,583132,15526200
Mar 01 2018,0.325518,0.325518,0.303749,0.314595,1164090,16115100
Feb 28 2018,0.330451,0.336709,0.308060,0.325452,758929,16359300
Feb 27 2018,0.354295,0.359149,0.321228,0.330482,485368,17539800
Feb 26 2018,0.316405,0.357311,0.315503,0.350358,522318,15664000
Feb 25 2018,0.348750,0.349941,0.312056,0.316385,648033,17265300
Feb 24 2018,0.372796,0.379365,0.341939,0.350468,1543200,18455700
Feb 23 2018,0.342354,0.389539,0.337327,0.373259,1614580,16948600
Feb 22 2018,0.350664,0.368547,0.336788,0.344095,1237050,17360000
Feb 21 2018,0.369205,0.375497,0.338618,0.350488,794754,18277900
Feb 20 2018,0.383502,0.387446,0.357042,0.370136,474866,18985700
Feb 19 2018,0.374680,0.406380,0.371429,0.383763,661319,17478200
Feb 18 2018,0.405818,0.407424,0.370135,0.375771,1204100,18930700
Feb 17 2018,0.402600,0.428232,0.400686,0.405618,658078,18780600
Feb 16 2018,0.395274,0.415263,0.382168,0.401907,1190190,18438800
