Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.196879,0.267063,0.186270,0.195313,643199,6934930
Mar 30 2018,0.202443,0.253330,0.186838,0.192795,1015940,7130930
Mar 29 2018,0.290107,0.339521,0.197119,0.199662,995068,10218700
Mar 28 2018,0.293107,0.313311,0.216901,0.285787,1411070,10322400
Mar 27 2018,0.292116,0.320621,0.243922,0.293147,1452170,10248500
Mar 26 2018,0.289099,0.301667,0.248845,0.293182,1561260,10137100
Mar 25 2018,0.294549,0.299417,0.276132,0.289520,1276090,10328200
Mar 24 2018,0.293780,0.322562,0.292472,0.297539,1655710,10156600
Mar 23 2018,0.270656,0.305071,0.270358,0.289840,1228000,9357000
Mar 22 2018,0.216264,0.309178,0.213811,0.293369,1308830,7476580
Mar 21 2018,0.261618,0.310975,0.201366,0.223646,987222,9022860
Mar 20 2018,0.234410,0.302100,0.214152,0.258195,1103260,8084300
Mar 19 2018,0.141241,0.233092,0.137060,0.231614,1278620,4871080
Mar 18 2018,0.197385,0.209106,0.123234,0.147679,173427,6807390
Mar 17 2018,0.193093,0.273474,0.191048,0.194670,889573,6659370
Mar 16 2018,0.222254,0.267172,0.192916,0.192916,520297,7665060
Mar 15 2018,0.366895,0.366895,0.159185,0.225235,237284,7676670
Mar 14 2018,0.352879,0.388156,0.270398,0.366993,898761,7383410
Mar 13 2018,0.367245,0.407864,0.345268,0.351332,2248930,7684000
Mar 12 2018,0.390301,0.401467,0.354572,0.368620,2423140,8166400
Mar 11 2018,0.381281,0.400209,0.367116,0.389453,563092,7977680
Mar 10 2018,0.410203,0.434630,0.368848,0.382471,444634,8582810
Mar 09 2018,0.425135,0.443115,0.359227,0.409431,603548,8895240
Mar 08 2018,0.514217,0.552859,0.423757,0.430860,1425950,10759100
Mar 07 2018,0.643296,0.655284,0.481508,0.519676,2018460,13459900
Mar 06 2018,0.784679,0.784679,0.638992,0.643926,1986900,16418100
Mar 05 2018,0.682286,0.810230,0.668094,0.790022,2184080,14275700
Mar 04 2018,0.776558,0.842711,0.648687,0.681336,1800920,16248200
Mar 03 2018,0.750241,0.829099,0.707823,0.776001,2648080,15697600
Mar 02 2018,0.825439,0.843992,0.744919,0.753250,1713160,17271000
Mar 01 2018,0.814646,0.854697,0.743972,0.827817,2291540,17045100
Feb 28 2018,0.637849,0.832596,0.602110,0.814336,2196350,13345900
Feb 27 2018,0.553986,0.647347,0.536175,0.638749,1665430,11591200
Feb 26 2018,0.483640,0.562662,0.475621,0.552573,2284460,10119400
Feb 25 2018,0.489514,0.563350,0.409713,0.483372,1275870,10242300
Feb 24 2018,0.577581,0.624404,0.472586,0.490228,1236080,12084900
Feb 23 2018,0.553074,0.708989,0.519570,0.577070,1494460,11572200
Feb 22 2018,0.590146,1.18,0.540743,0.554613,2566280,12347800
Feb 21 2018,0.677420,0.731043,0.588826,0.588826,1759840,14173900
Feb 20 2018,0.762838,0.800149,0.598860,0.677458,1699240,15961100
Feb 19 2018,0.676228,0.838814,0.665576,0.763694,1903680,14149000
Feb 18 2018,0.831335,0.831335,0.677517,0.678714,2355150,17394300
Feb 17 2018,0.837040,0.884254,0.768791,0.829525,3393190,17513700
Feb 16 2018,0.898082,0.909313,0.777131,0.837121,3101580,18790900
Feb 15 2018,0.849958,0.905961,0.749109,0.900611,3322940,17784000
Feb 14 2018,0.734835,0.851119,0.734835,0.849580,2751880,15375200
Feb 13 2018,0.822150,0.834358,0.708866,0.736727,3039970,17202100
Feb 12 2018,0.801763,0.846795,0.722752,0.822658,2826170,16775600
Feb 11 2018,0.854245,0.862097,0.726837,0.797081,1919450,17873700
Feb 10 2018,0.952633,0.984712,0.829827,0.854811,2794820,19932300
Feb 09 2018,0.824698,0.964926,0.767157,0.951279,3550980,17255400
Feb 08 2018,0.905965,1.02,0.447731,0.821585,1700210,18955800
Feb 07 2018,0.944479,1.03,0.820775,0.909702,1568300,19761700
Feb 06 2018,0.850660,0.988700,0.628305,0.948237,211247,17798700
Feb 05 2018,1.19,1.27,0.816994,0.849490,4518360,24796200
Feb 04 2018,1.43,1.49,1.14,1.20,1675580,-
Feb 03 2018,1.41,1.48,1.13,1.43,1492620,-
Feb 02 2018,1.46,1.50,0.831650,1.40,3603680,-
Feb 01 2018,2.10,2.10,1.28,1.46,4652610,-
Jan 31 2018,2.11,2.17,1.79,2.09,4522020,-
Jan 30 2018,2.63,2.72,2.09,2.11,1753180,-
Jan 29 2018,2.38,2.84,1.99,2.63,8692950,-
Jan 28 2018,2.37,2.83,2.35,2.38,7481280,-
Jan 27 2018,2.27,2.60,2.16,2.39,6569140,-
Jan 26 2018,2.42,2.65,2.04,2.28,7966840,-
Jan 25 2018,2.41,2.67,2.39,2.55,4973090,-
Jan 24 2018,2.10,2.73,1.97,2.45,20644200,-
Jan 23 2018,1.57,2.33,1.57,2.10,8282920,-
Jan 22 2018,1.17,1.71,1.16,1.57,11124300,-
Jan 21 2018,1.42,1.42,1.16,1.19,5921440,-
Jan 20 2018,1.25,1.44,1.14,1.42,7251590,-
Jan 19 2018,1.18,1.30,1.02,1.18,5781670,-
Jan 18 2018,1.17,1.30,1.00,1.19,2251350,-
Jan 17 2018,1.02,1.24,0.907367,1.17,1792080,-
