Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.032408,0.033586,0.025496,0.025918,24,-
Mar 30 2018,0.028689,0.033123,0.026744,0.032403,14,-
Mar 29 2018,0.037642,0.037703,0.027924,0.028761,1,-
Mar 28 2018,0.036909,0.038386,0.036704,0.037597,1,-
Mar 27 2018,0.038721,0.038845,0.036776,0.036918,2,-
Mar 26 2018,0.038403,0.038994,0.037219,0.038780,5,-
Mar 25 2018,0.040815,0.041368,0.040206,0.040884,1,-
Mar 24 2018,0.042777,0.043168,0.038232,0.041384,1,-
Mar 23 2018,0.038199,0.042163,0.036504,0.042163,1,-
Mar 22 2018,0.038103,0.038379,0.037587,0.038200,35,-
Mar 19 2018,0.043081,0.044356,0.042816,0.043417,2,-
Mar 18 2018,0.040282,0.043712,0.038467,0.043263,2,-
Mar 16 2018,0.039155,0.040665,0.037689,0.040508,1,-
Mar 15 2018,0.052443,0.052773,0.038741,0.039177,1,-
Mar 14 2018,0.059539,0.059689,0.039097,0.052467,56,-
Mar 13 2018,0.041354,0.043146,0.040377,0.041714,4,-
Mar 12 2018,0.041900,0.071571,0.040096,0.041593,142,-
Mar 11 2018,0.038462,0.042699,0.037658,0.042032,2323,-
Mar 10 2018,0.040557,0.041544,0.038218,0.038674,9,-
Mar 09 2018,0.040798,0.045535,0.036825,0.040540,19,-
Mar 08 2018,0.043048,0.044307,0.039785,0.041058,5,-
Mar 07 2018,0.048235,0.048961,0.042502,0.043887,1,-
Mar 06 2018,0.048034,0.048646,0.047815,0.048298,1,-
Mar 05 2018,0.051854,0.052642,0.051499,0.052498,9,-
Mar 04 2018,0.049992,0.051892,0.048496,0.051892,8,-
Mar 03 2018,0.068981,0.069508,0.045149,0.050078,56,-
Mar 02 2018,0.071092,0.072522,0.045030,0.069066,15,-
Mar 01 2018,0.071862,0.074389,0.041593,0.071275,1264,-
Feb 28 2018,0.039992,0.072828,0.039059,0.071756,427,-
Feb 27 2018,0.039184,0.041157,0.038647,0.040039,6,-
Feb 26 2018,0.042756,0.046449,0.039071,0.039071,111,-
Feb 25 2018,0.069714,0.070398,0.041467,0.042701,6,-
Feb 24 2018,0.071027,0.073489,0.039935,0.069820,6,-
Feb 23 2018,0.041250,0.072593,0.040232,0.071117,105,-
Feb 22 2018,0.084046,0.088539,0.041289,0.041289,214,-
Feb 21 2018,0.078291,0.096844,0.064365,0.084131,3178,-
Feb 20 2018,0.031727,0.075639,0.031727,0.065923,6376,-
Feb 19 2018,0.029501,0.031971,0.029410,0.031698,3,-
Feb 18 2018,0.029561,0.030950,0.029513,0.029637,3,-
Feb 16 2018,0.036830,0.037498,0.035583,0.036463,13,-
Feb 15 2018,0.037219,0.037219,0.036157,0.036988,23,-
Feb 13 2018,0.032565,0.032713,0.030715,0.031170,1,-
Feb 12 2018,0.029750,0.032879,0.025089,0.032506,13,-
Feb 11 2018,0.031634,0.031634,0.022124,0.029562,95,-
Feb 10 2018,0.032862,0.032953,0.030430,0.031661,24,-
Feb 09 2018,0.030709,0.030709,0.029263,0.029368,1,-
Feb 08 2018,0.031249,0.031449,0.030000,0.030614,1,-
Feb 06 2018,0.025679,0.026978,0.021969,0.026209,97,-
Feb 05 2018,0.026949,0.029597,0.024662,0.025647,95,-
Feb 04 2018,0.025792,0.026174,0.022113,0.023440,5,-
