Date,Open,High,Low,Close,Volume,Market Cap
Mar 30 2018,0.002479,0.002520,0.002311,0.002421,7,243819
Mar 29 2018,0.002779,0.002784,0.002413,0.002485,8,273333
Mar 28 2018,0.002725,0.002834,0.002710,0.002776,19,268017
Mar 27 2018,0.002859,0.002868,0.002716,0.002726,4,281174
Mar 26 2018,0.002912,0.003444,0.002678,0.002864,60,286396
Mar 25 2018,0.003146,0.003179,0.003120,0.003135,21,309395
Mar 24 2018,0.003297,0.003328,0.003182,0.003190,21,324269
Mar 23 2018,0.003182,0.003250,0.003077,0.003250,22,312948
Mar 20 2018,0.002846,0.002853,0.002754,0.002790,42,279846
Mar 19 2018,0.003604,0.003710,0.002693,0.002814,68,354395
Mar 18 2018,0.003549,0.003656,0.003145,0.003619,99,349008
Mar 17 2018,0.003736,0.003776,0.003486,0.003558,2,367367
Mar 16 2018,0.003800,0.003838,0.003658,0.003729,1,373684
Mar 15 2018,0.003611,0.003867,0.003387,0.003802,16,355121
Mar 14 2018,0.004117,0.004212,0.003518,0.003613,1,404890
Mar 13 2018,0.003908,0.004177,0.003886,0.004117,3,384333
Mar 12 2018,0.004125,0.004254,0.003789,0.003931,13,405619
Mar 11 2018,0.003598,0.003833,0.003475,0.003801,5,353818
Mar 10 2018,0.003704,0.005117,0.003577,0.003610,21,364243
Mar 09 2018,0.003531,0.004814,0.003188,0.003702,394,347291
Mar 08 2018,0.005341,0.005409,0.003444,0.003554,1,525232
Mar 07 2018,0.005431,0.005435,0.005327,0.005348,6,534086
Mar 04 2018,0.004118,0.004138,0.003995,0.004138,5,405002
Mar 03 2018,0.003967,0.005987,0.003967,0.004125,376,390117
Mar 02 2018,0.003983,0.004009,0.003890,0.003972,25,391733
Feb 28 2018,0.003733,0.003862,0.003645,0.003715,31,367063
Feb 27 2018,0.003609,0.003862,0.003560,0.003737,51,354921
Feb 26 2018,0.004889,0.004981,0.003133,0.003599,46,480802
Feb 25 2018,0.003878,0.005638,0.002986,0.004883,610,381407
Feb 24 2018,0.003450,0.003892,0.003257,0.003884,1,339264
Feb 23 2018,0.003840,0.004039,0.003374,0.003454,142,377582
Feb 22 2018,0.003977,0.004145,0.003736,0.003843,14,391128
Feb 21 2018,0.004262,0.004270,0.003941,0.003981,1,419157
