Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,4.10,4.46,4.09,4.16,16892,1409350
Mar 30 2018,4.11,4.13,3.55,4.10,26956,1411510
Mar 29 2018,5.25,5.25,4.00,4.12,35485,1802010
Mar 28 2018,4.31,5.27,4.29,5.24,32998,1482200
Mar 27 2018,4.08,4.45,3.92,4.32,41770,1403240
Mar 26 2018,3.97,4.69,3.93,4.09,24353,1363470
Mar 25 2018,4.02,5.01,3.95,3.97,2246,1380580
Mar 24 2018,5.32,5.35,4.06,4.07,1170,1827360
Mar 23 2018,5.22,5.24,3.65,5.24,121371,1793610
Mar 22 2018,3.91,5.39,3.74,5.22,98533,1342130
Mar 21 2018,5.34,5.46,3.88,3.91,78234,1821720
Mar 20 2018,5.25,5.40,4.04,5.33,27529,1791090
Mar 19 2018,4.73,5.22,4.54,5.19,24582,1612150
Mar 18 2018,4.55,5.00,4.28,4.75,820,1552370
Mar 17 2018,5.31,5.32,4.47,4.56,28713,1812440
Mar 16 2018,4.96,5.53,4.89,5.30,31454,1690800
Mar 15 2018,3.49,5.37,3.43,4.96,23644,1189950
Mar 14 2018,5.86,6.25,3.40,3.49,20379,1997560
Mar 13 2018,5.91,6.41,5.23,5.85,32644,2015340
Mar 12 2018,6.20,6.79,5.70,5.94,30036,2114060
Mar 11 2018,5.69,6.98,5.51,6.22,2837,1940510
Mar 10 2018,5.74,6.17,5.50,5.71,1898,1957100
Mar 09 2018,5.40,6.78,5.03,5.74,30958,1840790
Mar 08 2018,6.92,7.01,5.27,5.44,26981,2355810
Mar 07 2018,7.61,7.72,5.95,6.93,31728,2589510
Mar 06 2018,8.32,8.32,6.97,7.62,29543,2830690
Mar 05 2018,9.17,9.17,6.86,8.34,24117,3120180
Mar 04 2018,8.07,9.18,5.37,9.18,4048,2744280
Mar 03 2018,4.53,9.32,4.53,8.08,561,1541060
Mar 02 2018,8.94,9.14,4.51,4.53,1010,3042330
Mar 01 2018,10.32,10.74,6.59,8.96,3613,3513250
Feb 28 2018,12.00,12.41,8.54,10.31,1019,4081990
Feb 27 2018,10.49,12.18,10.34,12.01,960,3568330
Feb 26 2018,11.22,11.77,10.46,10.46,709,3816520
Feb 25 2018,11.34,11.54,10.90,11.20,1186,3860110
Feb 24 2018,11.87,12.33,7.92,11.36,1203,4039170
