Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.014495,0.015186,0.014384,0.014622,4,111884
Mar 30 2018,0.015018,0.015264,0.013852,0.014493,7,115919
Mar 29 2018,0.017947,0.018045,0.014950,0.015055,33,138532
Mar 28 2018,0.016196,0.018047,0.016107,0.017926,31,125019
Mar 27 2018,0.020178,0.020199,0.015983,0.016200,183,155748
Mar 26 2018,0.021691,0.021809,0.017840,0.020208,15,167426
Mar 25 2018,0.018027,0.022301,0.018013,0.021707,34,139145
Mar 24 2018,0.019339,0.020167,0.018149,0.018278,62,149274
Mar 23 2018,0.018882,0.019061,0.018044,0.019061,10,145747
Mar 22 2018,0.020193,0.020594,0.018493,0.018882,144,155866
Mar 21 2018,0.021370,0.021847,0.019280,0.020230,87,164956
Mar 20 2018,0.022679,0.022822,0.020365,0.021332,728,175057
Mar 19 2018,0.024325,0.025045,0.021327,0.022429,45,187763
Mar 18 2018,0.019007,0.024681,0.017625,0.024428,285,146710
Mar 17 2018,0.023825,0.023825,0.018848,0.019053,41,183903
Mar 16 2018,0.019908,0.024622,0.019163,0.023786,59,153668
Mar 15 2018,0.019697,0.020259,0.018477,0.019919,25,152039
Mar 14 2018,0.021958,0.023774,0.019190,0.019706,140,169494
Mar 13 2018,0.026448,0.027700,0.021784,0.021955,314,204151
Mar 12 2018,0.027774,0.029907,0.025644,0.026601,197,214384
Mar 11 2018,0.025536,0.028304,0.024664,0.027862,81,197110
Mar 10 2018,0.026946,0.027601,0.025392,0.025624,130,207990
Mar 09 2018,0.027044,0.027363,0.024410,0.026934,10,208748
Mar 08 2018,0.028782,0.029471,0.026373,0.027216,136,222162
Mar 07 2018,0.033550,0.035252,0.027485,0.028822,365,258970
Mar 06 2018,0.036012,0.036012,0.033258,0.033594,40,277969
Mar 05 2018,0.037827,0.037892,0.035760,0.036111,370,291983
Mar 04 2018,0.033976,0.037855,0.032960,0.037855,172,262259
Mar 03 2018,0.036033,0.037696,0.033558,0.034035,65,278137
Mar 02 2018,0.033910,0.036347,0.032375,0.036077,265,261750
Mar 01 2018,0.032111,0.035259,0.031861,0.033998,56,247859
Feb 28 2018,0.034233,0.034365,0.032035,0.032064,43,264239
Feb 27 2018,0.033100,0.034767,0.032646,0.034273,393,255498
Feb 26 2018,0.031156,0.033431,0.030387,0.033005,90,240491
Feb 25 2018,0.031318,0.031664,0.029912,0.031116,219,241741
Feb 24 2018,0.037543,0.038228,0.030350,0.031366,341,289787
Feb 23 2018,0.032685,0.037725,0.031843,0.037590,538,252292
Feb 22 2018,0.039354,0.039354,0.032660,0.032716,84,303768
Feb 21 2018,0.036902,0.039602,0.034074,0.039394,321,284844
Feb 20 2018,0.041781,0.045326,0.036553,0.036948,514,322505
Feb 19 2018,0.038227,0.041990,0.033447,0.041743,2733,295067
Feb 18 2018,0.040713,0.043891,0.037379,0.038403,307,314260
Feb 17 2018,0.039959,0.043402,0.039177,0.040589,412,308435
Feb 16 2018,0.044902,0.045717,0.038498,0.040376,630,346597
Feb 15 2018,0.038184,0.045605,0.037751,0.045095,67,294739
Feb 14 2018,0.033784,0.044329,0.033784,0.038163,1022,260775
Feb 13 2018,0.044755,0.044755,0.032613,0.033885,2874,345456
Feb 12 2018,0.031453,0.064761,0.031453,0.044673,9164,242779
Feb 11 2018,0.032232,0.036623,0.031253,0.031253,1023,248799
Feb 10 2018,0.031628,0.036301,0.030633,0.032260,2553,244129
Feb 09 2018,0.031782,0.058369,0.028079,0.031604,8554,245319
Feb 08 2018,0.030528,0.033959,0.026329,0.029462,781,235639
Feb 07 2018,0.032375,0.033389,0.028217,0.030650,409,249896
Feb 06 2018,0.033591,0.034449,0.024370,0.032702,1677,259286
Feb 05 2018,0.037532,0.050592,0.029212,0.033549,1127,289702
Feb 04 2018,0.046406,0.046406,0.036811,0.037899,174,358205
Feb 03 2018,0.033324,0.069456,0.033324,0.046383,2827,257222
Feb 02 2018,0.043409,0.048035,0.031468,0.033210,1522,335072
Feb 01 2018,0.058683,0.058937,0.041223,0.043499,832,452970
Jan 31 2018,0.062304,0.067042,0.057359,0.058547,1692,480921
Jan 30 2018,0.071902,0.075526,0.061175,0.062207,227,555006
Jan 29 2018,0.083403,0.085107,0.068546,0.071879,1145,643778
Jan 28 2018,0.070901,0.084394,0.070901,0.083483,198,547274
Jan 27 2018,0.078325,0.078788,0.067590,0.070540,1644,604580
Jan 26 2018,0.081136,0.084695,0.075592,0.078377,476,626277
Jan 25 2018,0.083079,0.088270,0.080899,0.081352,1577,641274
Jan 24 2018,0.088344,0.092697,0.079281,0.081734,922,681919
Jan 23 2018,0.075257,0.097636,0.072618,0.088395,1040,580902
Jan 22 2018,0.083113,0.109179,0.070702,0.075457,1718,641541
Jan 21 2018,0.111670,0.117586,0.081031,0.081992,2824,861965
Jan 20 2018,0.084672,0.125495,0.078807,0.111410,2662,653573
Jan 19 2018,0.089538,0.094035,0.075616,0.083762,4781,691135
Jan 18 2018,0.085549,0.100609,0.077625,0.090490,640,660342
Jan 17 2018,0.090806,0.109391,0.064035,0.085220,4824,700920
Jan 16 2018,0.116154,0.116154,0.080828,0.091269,841,896576
Jan 15 2018,0.114030,0.119466,0.108732,0.108776,2017,880188
Jan 14 2018,0.117760,0.129115,0.108703,0.114863,1293,908973
Jan 13 2018,0.098509,0.135378,0.098509,0.117683,10539,760382
Jan 12 2018,0.087584,0.110811,0.081780,0.098622,3782,676048
Jan 11 2018,0.099028,0.108245,0.084137,0.087009,1128,764386
Jan 10 2018,0.113769,0.117953,0.087803,0.112488,7648,878167
Jan 09 2018,0.093974,0.119413,0.089841,0.113620,16948,725371
Jan 08 2018,0.093801,0.096999,0.071784,0.094230,9265,724042
Jan 07 2018,0.075691,0.101119,0.064327,0.093933,12825,584251
Jan 06 2018,0.066734,0.085988,0.065309,0.075747,3915,515115
Jan 05 2018,0.054948,0.067246,0.054112,0.066682,11631,424133
Jan 04 2018,0.046810,0.059264,0.043052,0.054931,1278,361321
Jan 03 2018,0.041146,0.049459,0.038244,0.046571,792,317600
Jan 02 2018,0.034387,0.044237,0.034387,0.041177,815,265429
Jan 01 2018,0.029342,0.041171,0.028531,0.034393,4741,226490
Dec 31 2017,0.027036,0.030823,0.026726,0.029231,313,208687
Dec 30 2017,0.028985,0.028993,0.024416,0.027302,606,223730
Dec 29 2017,0.029726,0.030635,0.014954,0.029058,1213,229454
Dec 28 2017,0.027883,0.029433,0.024377,0.029433,57,215229
Dec 27 2017,0.027440,0.030491,0.025622,0.027938,81,211804
Dec 26 2017,0.030819,0.033816,0.027134,0.027408,287,237886
Dec 25 2017,0.029097,0.032146,0.026829,0.030840,1175,224593
Dec 24 2017,0.028043,0.029097,0.024063,0.028915,209,216465
Dec 23 2017,0.028804,0.031355,0.027727,0.027793,116,222333
Dec 22 2017,0.029952,0.031657,0.022621,0.028494,25,231198
Dec 21 2017,0.031064,0.036243,0.028185,0.029869,439,239782
Dec 20 2017,0.031878,0.092696,0.024458,0.030998,1648,246064
Dec 19 2017,0.031517,0.109943,0.029909,0.031851,98,243276
Dec 18 2017,0.030505,0.089482,0.029113,0.031511,340,235463
Dec 17 2017,0.038299,0.041258,0.021062,0.030439,1762,295629
Dec 16 2017,0.032156,0.042169,0.032008,0.038244,395,248211
Dec 15 2017,0.033075,0.035867,0.031904,0.032140,194,255300
Dec 14 2017,0.032446,0.035819,0.032089,0.033023,89,250446
Dec 13 2017,0.034221,0.038034,0.032318,0.032551,1049,264151
Dec 12 2017,0.030181,0.039044,0.029855,0.034191,791,232963
Dec 11 2017,0.014778,0.048341,0.014727,0.030083,1322,114072
Dec 10 2017,0.022889,0.022889,0.011666,0.014908,96,176680
Dec 09 2017,0.019937,0.029388,0.012012,0.022799,277,153890
Dec 08 2017,0.014742,0.019957,0.011959,0.019957,205,113793
