Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.023116,0.026399,0.022793,0.023577,3606710,15915000
Mar 30 2018,0.023300,0.023872,0.021029,0.023098,2865780,16041100
Mar 29 2018,0.028242,0.033549,0.023324,0.023391,3978380,16251900
Mar 28 2018,0.025388,0.029510,0.025022,0.028076,4026990,14609800
Mar 27 2018,0.026437,0.026550,0.024502,0.025273,3430630,15213000
Mar 26 2018,0.027220,0.028060,0.025484,0.026370,4280480,15663700
Mar 25 2018,0.028972,0.029738,0.027227,0.027288,3972620,16671900
Mar 24 2018,0.028067,0.031719,0.027644,0.029458,3426070,16151400
Mar 23 2018,0.028037,0.028150,0.025411,0.027791,3720390,16134100
Mar 22 2018,0.029670,0.032585,0.026519,0.028037,3267670,17073600
Mar 21 2018,0.030900,0.034532,0.028950,0.029648,3290840,17781300
Mar 20 2018,0.029733,0.031622,0.025674,0.030808,3535120,17110100
Mar 19 2018,0.027432,0.030366,0.025737,0.029792,3064580,15785500
Mar 18 2018,0.028005,0.028204,0.022676,0.027606,3616770,16115800
Mar 17 2018,0.031352,0.031352,0.027652,0.028048,2860660,18041800
Mar 16 2018,0.030806,0.034831,0.029013,0.031315,3510870,17727300
Mar 15 2018,0.030994,0.033732,0.027594,0.030835,3723510,17835300
Mar 14 2018,0.034641,0.035417,0.030570,0.030934,3618580,19934000
Mar 13 2018,0.033564,0.035668,0.032512,0.034606,2823700,19314400
Mar 12 2018,0.034546,0.038261,0.032554,0.033731,7198220,19879200
Mar 11 2018,0.032791,0.036420,0.031352,0.034621,4231760,18869300
Mar 10 2018,0.031889,0.041237,0.031889,0.032911,4305880,18350200
Mar 09 2018,0.033012,0.033203,0.026644,0.032188,4057600,15265500
Mar 08 2018,0.042051,0.043871,0.028196,0.033160,4161630,19445200
Mar 07 2018,0.049150,0.049484,0.025667,0.042259,3599430,22728300
Mar 06 2018,0.051157,0.051166,0.047979,0.049182,4269900,23656300
Mar 05 2018,0.054068,0.055424,0.051086,0.051086,5851950,25002300
Mar 04 2018,0.054989,0.056277,0.053578,0.054064,6763260,25428200
Mar 03 2018,0.054726,0.056320,0.053646,0.055124,6939600,25306400
Mar 02 2018,0.056879,0.057468,0.052426,0.054768,6498570,26301900
Mar 01 2018,0.054917,0.057635,0.052298,0.056957,7050230,25394400
Feb 28 2018,0.057749,0.058978,0.053874,0.054903,7039320,26702600
Feb 27 2018,0.059052,0.060803,0.056968,0.057771,7440760,27305200
Feb 26 2018,0.057907,0.060379,0.053173,0.058874,7102740,26775300
Feb 25 2018,0.057581,0.059211,0.056546,0.057856,7342900,26624700
Feb 24 2018,0.060534,0.061509,0.055142,0.057425,7552840,28027900
Feb 23 2018,0.056248,0.061756,0.053976,0.060548,8083380,22676200
Feb 22 2018,0.064592,0.064592,0.056724,0.056773,7068460,22566300
Feb 21 2018,0.069425,0.070095,0.063587,0.064662,9159130,24254700
Feb 20 2018,0.073444,0.076019,0.069007,0.069499,10742800,25659000
Feb 19 2018,0.070855,0.077275,0.070785,0.073535,9775700,24754300
Feb 18 2018,0.079013,0.079013,0.070774,0.071170,10806400,27604400
Feb 17 2018,0.074687,0.079293,0.074149,0.078839,10517800,26093100
Feb 16 2018,0.074330,0.075988,0.072290,0.074692,10172700,25968600
Feb 15 2018,0.071879,0.077069,0.071468,0.074616,10293500,25112200
Feb 14 2018,0.064989,0.072789,0.064828,0.072276,10587400,22704800
Feb 13 2018,0.069193,0.069502,0.063439,0.064863,9283720,24173600
Feb 12 2018,0.064393,0.070355,0.064393,0.069080,9453800,22496900
Feb 11 2018,0.068435,0.068435,0.062430,0.064041,8545330,23909100
Feb 10 2018,0.070576,0.072499,0.065530,0.068532,9093880,24656800
Feb 09 2018,0.068205,0.070900,0.062597,0.070900,8603680,23828700
Feb 08 2018,0.061180,0.069772,0.061180,0.067939,6121560,21374300
Feb 07 2018,0.065233,0.071284,0.058396,0.061376,7633490,22790400
Feb 06 2018,0.055884,0.066166,0.046098,0.065734,17491800,19524200
Feb 05 2018,0.066413,0.071560,0.053681,0.056262,15852600,23202400
Feb 04 2018,0.082195,0.082195,0.066268,0.067227,17997600,28716300
Feb 03 2018,0.074991,0.087194,0.070717,0.082195,22762000,26199400
Feb 02 2018,0.083203,0.083265,0.068352,0.074521,16717200,29068300
Feb 01 2018,0.085314,0.091003,0.079839,0.083341,16944500,29806000
Jan 31 2018,0.078344,0.085741,0.076387,0.085108,20656600,18516500
Jan 30 2018,0.100759,0.111974,0.074834,0.078048,17607900,23814200
Jan 29 2018,0.102376,0.102470,0.092497,0.100600,18301800,24196400
Jan 28 2018,0.104006,0.107385,0.098845,0.101951,26444200,24581500
Jan 27 2018,0.114459,0.114918,0.098938,0.103420,26808900,27052000
Jan 26 2018,0.118278,0.120203,0.094793,0.114578,26497500,27954600
Jan 25 2018,0.116778,0.144070,0.104823,0.118433,33191800,27600300
Jan 24 2018,0.092427,0.115000,0.084462,0.115000,23396800,21844900
Jan 23 2018,0.089296,0.093725,0.076642,0.092275,5667560,21105000
Jan 22 2018,0.094334,0.102704,0.083347,0.089624,4205240,22287200
Jan 21 2018,0.133291,0.133652,0.090816,0.093698,2394570,31491200
Jan 20 2018,0.117097,0.142196,0.116238,0.132943,3217160,27665100
Jan 19 2018,0.111791,0.126096,0.096136,0.116231,4338660,26411700
Jan 18 2018,0.089969,0.124468,0.086467,0.112688,6420800,20896100
Jan 17 2018,0.090067,0.094741,0.069168,0.089119,4666440,20914900
Jan 16 2018,0.114492,0.114651,0.078171,0.090696,5242270,26586800
Jan 15 2018,0.117015,0.120616,0.102968,0.114308,6170420,-
Jan 14 2018,0.119398,0.129830,0.102401,0.117320,7533430,-
Jan 13 2018,0.097591,0.123728,0.094198,0.119192,11443000,-
Jan 12 2018,0.101895,0.102310,0.095606,0.097682,6923350,-
