Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.263773,0.289134,0.246949,0.268087,9845,1830630
Mar 30 2018,0.269205,0.269912,0.251819,0.263899,2746,1868330
Mar 29 2018,0.267491,0.278372,0.253393,0.269537,5330,1856430
Mar 28 2018,0.287005,0.349705,0.265683,0.267096,8706,1991860
Mar 27 2018,0.315403,0.330963,0.260822,0.286930,63124,2188950
Mar 26 2018,0.341195,0.370798,0.307414,0.315678,23428,2367950
Mar 25 2018,0.372982,0.375397,0.312359,0.341444,17295,2588550
Mar 24 2018,0.359632,0.396545,0.346419,0.377901,3757,2495900
Mar 23 2018,0.389474,0.389474,0.350462,0.357540,12346,2703020
Mar 22 2018,0.374389,0.392194,0.353207,0.389482,3479,2598320
Mar 21 2018,0.351803,0.669154,0.350276,0.374373,56240,2441570
Mar 20 2018,0.391286,0.391286,0.310831,0.351120,3369,2715590
Mar 19 2018,0.270113,0.638463,0.266836,0.387575,86272,1874620
Mar 18 2018,0.355788,0.363435,0.255481,0.271194,8904,2469230
Mar 17 2018,0.330697,0.378880,0.295509,0.356199,8182,2295090
Mar 16 2018,0.318693,0.396884,0.303175,0.330283,15974,2210970
Mar 15 2018,0.383094,0.384840,0.303436,0.318890,2766,2657760
Mar 14 2018,0.391285,0.398529,0.345644,0.381994,2015,2714590
Mar 13 2018,0.349134,0.406753,0.346719,0.384254,17545,2422160
Mar 12 2018,0.419356,0.425249,0.306266,0.351233,35498,2909340
Mar 11 2018,0.348885,0.422794,0.340412,0.419729,17663,2420430
Mar 10 2018,0.343034,0.365463,0.325431,0.349770,9981,2379840
Mar 09 2018,0.382812,0.383933,0.265823,0.342973,26623,2655810
Mar 08 2018,0.397128,0.447601,0.378240,0.383062,21283,2755130
Mar 07 2018,0.509494,0.515476,0.390359,0.396045,17792,3534680
Mar 06 2018,0.574696,0.578335,0.499961,0.509944,13179,3869920
Mar 05 2018,0.594532,0.610520,0.568152,0.580811,52480,4003490
Mar 04 2018,0.614340,0.659907,0.589575,0.594690,10323,4136870
Mar 03 2018,0.711447,0.713884,0.612020,0.614931,24601,4790780
Mar 02 2018,0.552380,0.783707,0.549591,0.712038,40144,3719050
Mar 01 2018,0.526229,0.589052,0.525673,0.553261,12418,3542980
Feb 28 2018,0.575210,0.579085,0.506907,0.525668,16171,3872760
Feb 27 2018,0.569923,0.597199,0.565849,0.575484,9299,3837160
Feb 26 2018,0.531682,0.595260,0.521525,0.569066,11445,3579700
Feb 25 2018,0.522711,0.563957,0.516302,0.531222,1468,3519300
Feb 24 2018,0.586238,0.590332,0.513201,0.523655,1184,3947010
Feb 23 2018,0.546643,0.586935,0.539369,0.586536,4022,3680420
Feb 22 2018,0.600902,0.611163,0.546904,0.546998,4855,4045740
Feb 21 2018,0.698374,0.712557,0.589114,0.601536,76795,4702000
Feb 20 2018,0.784704,0.814256,0.693108,0.699148,18583,5283240
Feb 19 2018,0.764223,0.828201,0.754556,0.784373,27608,5145350
Feb 18 2018,0.886403,0.886403,0.728917,0.755347,119974,5967950
Feb 17 2018,0.747373,0.956249,0.743428,0.889951,58591,5031900
