Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.070349,0.073474,0.069338,0.070269,10218,3734330
Mar 30 2018,0.071802,0.074319,0.066106,0.070338,10430,3808640
Mar 29 2018,0.088671,0.089210,0.068938,0.071981,46560,4687130
Mar 28 2018,0.084947,0.090600,0.082289,0.088568,33387,4490270
Mar 27 2018,0.089931,0.091399,0.084858,0.084967,44991,4753720
Mar 26 2018,0.098897,0.099440,0.086520,0.090067,22175,5227680
Mar 25 2018,0.093145,0.103776,0.089904,0.099058,53364,4907400
Mar 24 2018,0.099381,0.102228,0.091941,0.094445,36485,5235950
Mar 23 2018,0.098414,0.102974,0.094470,0.097955,9922,5184980
Mar 22 2018,0.107189,0.113130,0.096842,0.098416,38491,5632850
Mar 21 2018,0.104167,0.113497,0.104016,0.107563,23900,5474050
Mar 20 2018,0.100202,0.108855,0.097875,0.103978,37112,5262300
Mar 19 2018,0.098150,0.104087,0.096095,0.099097,3152,5143210
Mar 18 2018,0.092784,0.098849,0.084830,0.098566,16229,4862010
Mar 17 2018,0.100934,0.102890,0.090136,0.093010,16326,5289050
Mar 16 2018,0.100288,0.111964,0.096695,0.100767,39009,5245350
Mar 15 2018,0.099650,0.103463,0.088178,0.100345,34971,5211970
Mar 14 2018,0.116575,0.121178,0.096144,0.099695,31122,6061990
Mar 13 2018,0.124780,0.125461,0.113055,0.116559,58926,6488630
Mar 12 2018,0.126036,0.142279,0.122321,0.125590,43373,6553940
Mar 11 2018,0.118823,0.129117,0.111538,0.126434,6887,6169570
Mar 10 2018,0.123343,0.130415,0.116501,0.119235,12818,6402100
Mar 09 2018,0.133582,0.135158,0.114590,0.123290,36053,6920060
Mar 08 2018,0.140289,0.145767,0.129862,0.134433,29870,7262800
Mar 07 2018,0.150551,0.156067,0.132758,0.140488,21043,7794070
Mar 06 2018,0.159730,0.188933,0.145547,0.150746,61093,8248810
Mar 05 2018,0.167055,0.168904,0.159574,0.160173,27611,8627050
Mar 04 2018,0.171567,0.172835,0.156720,0.172341,56595,8860080
Mar 03 2018,0.166022,0.175311,0.163145,0.171864,52093,8565150
Mar 02 2018,0.148346,0.183005,0.148014,0.166225,180106,7628590
Mar 01 2018,0.132223,0.153639,0.130383,0.148728,50528,6793090
Feb 28 2018,0.140146,0.143281,0.131911,0.132028,31490,7200170
Feb 27 2018,0.142011,0.150315,0.136388,0.140312,37522,7295960
Feb 26 2018,0.140414,0.148426,0.136597,0.141602,41003,7213900
Feb 25 2018,0.143200,0.145650,0.135459,0.140234,12570,7335350
Feb 24 2018,0.146169,0.152523,0.136534,0.143418,23118,7487430
Feb 23 2018,0.136836,0.160412,0.129652,0.146354,22406,6996700
Feb 22 2018,0.150136,0.158056,0.129720,0.136964,48752,7676790
Feb 21 2018,0.152858,0.172194,0.138497,0.150307,108958,7784930
Feb 20 2018,0.169635,0.178302,0.153957,0.154232,68142,8639400
