Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000019,0.000051,0.000019,0.000048,554,-
Mar 30 2018,0.000043,0.000044,0.000018,0.000019,482,-
Mar 29 2018,0.000076,0.000077,0.000019,0.000043,180,-
Mar 28 2018,0.000038,0.000077,0.000038,0.000076,1757,-
Mar 27 2018,0.000065,0.000066,0.000038,0.000039,833,-
Mar 26 2018,0.000033,0.000066,0.000013,0.000066,472,-
Mar 25 2018,0.000064,0.000064,0.000033,0.000033,125,-
Mar 24 2018,0.000073,0.000083,0.000018,0.000065,89,-
Mar 23 2018,0.000035,0.000075,0.000013,0.000072,1104,-
Mar 22 2018,0.000062,0.000082,0.000034,0.000035,143,-
Mar 21 2018,0.000036,0.000067,0.000019,0.000063,321,-
Mar 20 2018,0.000014,0.000037,0.000009,0.000036,63,-
Mar 19 2018,0.000060,0.000064,0.000016,0.000017,257,-
Mar 18 2018,0.000052,0.000061,0.000015,0.000061,842,-
Mar 17 2018,0.000047,0.000071,0.000045,0.000052,462,-
Mar 16 2018,0.000063,0.000069,0.000009,0.000047,1918,-
Mar 15 2018,0.000052,0.000064,0.000009,0.000063,162,-
Mar 14 2018,0.000066,0.000067,0.000018,0.000052,461,-
Mar 13 2018,0.000063,0.000072,0.000057,0.000066,760,-
Mar 12 2018,0.000021,0.000068,0.000018,0.000063,1525,-
Mar 11 2018,0.000031,0.000035,0.000014,0.000021,326,-
Mar 10 2018,0.000030,0.000061,0.000022,0.000032,627,-
Mar 09 2018,0.000027,0.000047,0.000022,0.000030,328,-
Mar 08 2018,0.000056,0.000056,0.000016,0.000027,1445,-
Mar 07 2018,0.000070,0.000088,0.000054,0.000055,1971,-
Mar 06 2018,0.000015,0.000079,0.000012,0.000070,1142,-
Mar 05 2018,0.000023,0.000024,0.000015,0.000015,269,-
Mar 04 2018,0.000028,0.000040,0.000011,0.000023,330,-
Mar 03 2018,0.000078,0.000078,0.000028,0.000028,400,-
Mar 02 2018,0.000028,0.000081,0.000026,0.000078,850,-
Mar 01 2018,0.000026,0.000029,0.000018,0.000028,1224,-
Feb 28 2018,0.000040,0.000044,0.000018,0.000026,1261,-
Feb 27 2018,0.000091,0.000093,0.000040,0.000040,2324,-
Feb 26 2018,0.000048,0.000092,0.000019,0.000091,1937,-
Feb 25 2018,0.000027,0.000048,0.000017,0.000048,644,-
Feb 24 2018,0.000032,0.000074,0.000027,0.000027,759,-
Feb 23 2018,0.000017,0.000040,0.000014,0.000032,298,-
Feb 22 2018,0.000073,0.000076,0.000034,0.000040,918,-
Feb 21 2018,0.000014,0.000083,0.000013,0.000073,1689,-
Feb 20 2018,0.000022,0.000027,0.000012,0.000014,1179,-
Feb 19 2018,0.000051,0.000059,0.000018,0.000022,384,-
Feb 18 2018,0.000051,0.000075,0.000045,0.000051,486,-
Feb 17 2018,0.000049,0.000069,0.000038,0.000055,1568,-
Feb 16 2018,0.000016,0.000049,0.000014,0.000049,402,-
Feb 15 2018,0.000017,0.000027,0.000014,0.000016,290,-
Feb 14 2018,0.000015,0.000047,0.000013,0.000017,1357,-
Feb 13 2018,0.000016,0.000018,0.000014,0.000015,171,-
Feb 12 2018,0.000017,0.000018,0.000015,0.000016,685,-
Feb 11 2018,0.000019,0.000019,0.000013,0.000017,355,-
Feb 10 2018,0.000019,0.000031,0.000018,0.000019,166,-
Feb 09 2018,0.000018,0.000019,0.000014,0.000019,142,-
Feb 08 2018,0.000023,0.000025,0.000017,0.000017,107,-
Feb 06 2018,0.000019,0.000019,0.000019,0.000019,359,-
Feb 05 2018,0.000025,0.000028,0.000019,0.000019,358,-
Feb 04 2018,0.000030,0.000034,0.000022,0.000025,1174,-
Feb 03 2018,0.000038,0.000039,0.000022,0.000030,1339,-
Feb 02 2018,0.000060,0.000060,0.000030,0.000038,1782,-
Feb 01 2018,0.000085,0.000085,0.000058,0.000060,11313,-
Jan 31 2018,0.000059,0.000096,0.000059,0.000085,41169,-
Jan 30 2018,0.000071,0.000082,0.000034,0.000056,2723,-
Jan 29 2018,0.000022,0.000071,0.000017,0.000070,461,-
Jan 28 2018,0.000057,0.000057,0.000022,0.000022,519,-
Jan 27 2018,0.000078,0.000081,0.000051,0.000057,923,-
Jan 26 2018,0.000072,0.000090,0.000071,0.000078,2218,-
Jan 25 2018,0.000026,0.000079,0.000025,0.000072,767,-
Jan 24 2018,0.000033,0.000040,0.000024,0.000025,153,-
Jan 23 2018,0.000017,0.000033,0.000014,0.000033,130,-
Jan 07 2018,0.000031,0.000031,0.000031,0.000031,86,-
Jan 06 2018,0.000029,0.000036,0.000029,0.000031,596,-
Jan 05 2018,0.000027,0.000030,0.000021,0.000029,29184,-
Jan 04 2018,0.000022,0.000029,0.000020,0.000027,77044,-
Jan 03 2018,0.000018,0.000031,0.000016,0.000024,37666,-
Jan 02 2018,0.000011,0.000020,0.000010,0.000018,36638,-
Jan 01 2018,0.000009,0.000013,0.000008,0.000011,13798,-
Dec 31 2017,0.000008,0.000010,0.000007,0.000009,7434,-
Dec 30 2017,0.000008,0.000009,0.000007,0.000008,1826,-
Dec 29 2017,0.000010,0.000010,0.000008,0.000008,3700,-
Dec 28 2017,0.000008,0.000010,0.000006,0.000009,8153,-
Dec 27 2017,0.000008,0.000009,0.000006,0.000008,4643,-
Dec 26 2017,0.000005,0.000008,0.000005,0.000008,1812,-
Dec 25 2017,0.000007,0.000008,0.000004,0.000005,1455,-
Dec 24 2017,0.000008,0.000008,0.000005,0.000008,2073,-
Dec 23 2017,0.000008,0.000008,0.000003,0.000007,1844,-
Dec 22 2017,0.000008,0.000008,0.000003,0.000007,1903,-
Dec 21 2017,0.000006,0.000009,0.000005,0.000008,4004,-
Dec 20 2017,0.000005,0.000008,0.000004,0.000006,1223,-
Dec 19 2017,0.000004,0.000005,0.000004,0.000005,315,-
Dec 18 2017,0.000004,0.000006,0.000004,0.000004,256,-
Dec 17 2017,0.000005,0.000006,0.000004,0.000004,1310,-
Dec 16 2017,0.000004,0.000006,0.000004,0.000005,378,-
Dec 15 2017,0.000003,0.000005,0.000003,0.000003,158,-
Dec 14 2017,0.000004,0.000004,0.000003,0.000003,122,-
Dec 13 2017,0.000003,0.000005,0.000003,0.000004,136,-
Dec 12 2017,0.000004,0.000006,0.000003,0.000003,498,-
Dec 11 2017,0.000004,0.000005,0.000003,0.000004,230,-
Dec 10 2017,0.000004,0.000004,0.000003,0.000004,248,-
Dec 09 2017,0.000003,0.000004,0.000003,0.000004,293,-
Dec 08 2017,0.000003,0.000003,0.000002,0.000003,71,-
Dec 07 2017,0.000002,0.000003,0.000002,0.000003,49,-
Dec 06 2017,0.000003,0.000003,0.000002,0.000002,145,-
Dec 05 2017,0.000003,0.000003,0.000002,0.000003,148,-
Dec 04 2017,0.000002,0.000003,0.000001,0.000003,226,-
Dec 03 2017,0.000003,0.000003,0.000002,0.000002,37,-
Dec 02 2017,0.000002,0.000003,0.000002,0.000003,54,-
Dec 01 2017,0.000002,0.000003,0.000002,0.000002,216,-
Nov 30 2017,0.000002,0.000003,0.000002,0.000002,125,-
Nov 29 2017,0.000003,0.000003,0.000002,0.000002,771,-
Nov 28 2017,0.000003,0.000003,0.000002,0.000003,158,-
