Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.84,4.55,2.32,4.54,220866,9851620
Mar 30 2018,3.02,3.02,2.81,2.84,192054,10487600
Mar 29 2018,3.50,3.51,2.98,3.02,111502,12154400
Mar 28 2018,3.67,3.72,3.49,3.50,246774,12716600
Mar 27 2018,3.91,3.91,3.65,3.67,201642,13564500
Mar 26 2018,4.13,4.19,3.79,3.92,263254,14314000
Mar 25 2018,4.11,4.25,3.97,4.13,378913,14252400
Mar 24 2018,4.08,4.54,3.93,4.16,459013,14147900
Mar 23 2018,4.20,4.21,3.95,4.04,229974,14553000
Mar 22 2018,4.45,4.49,4.18,4.20,240592,15438800
Mar 21 2018,4.44,4.81,4.37,4.47,445508,15392500
Mar 20 2018,4.28,4.46,4.11,4.43,202611,14826500
Mar 19 2018,4.07,4.64,3.61,4.24,731228,14112300
Mar 18 2018,3.48,4.59,3.03,4.25,719857,12052100
Mar 17 2018,3.94,3.94,3.47,3.49,104116,13642000
Mar 16 2018,3.89,4.00,3.74,3.93,140419,13461000
Mar 15 2018,3.93,4.04,3.67,3.89,198683,13618600
Mar 14 2018,4.72,4.78,3.90,3.93,141368,16334700
Mar 13 2018,5.05,5.18,4.68,4.72,614936,17488500
Mar 12 2018,5.32,5.38,4.94,5.07,293306,18436500
Mar 11 2018,5.18,5.50,5.03,5.34,476518,17950700
Mar 10 2018,5.39,5.44,5.17,5.18,549535,18671900
Mar 09 2018,5.38,5.57,4.63,5.39,671532,18608900
Mar 08 2018,5.77,6.15,5.27,5.41,1435680,19967700
Mar 07 2018,6.20,6.42,5.49,5.79,910888,21467600
Mar 06 2018,6.96,6.96,6.20,6.27,564470,24078100
Mar 05 2018,7.36,7.36,6.71,6.96,1559250,25454400
Mar 04 2018,6.64,7.30,6.27,6.89,1413110,22985300
Mar 03 2018,6.79,7.55,6.50,6.57,1969570,23488600
Mar 02 2018,6.61,9.18,6.38,6.89,9898100,22859700
Mar 01 2018,5.73,6.73,5.63,6.63,950702,19808000
Feb 28 2018,5.84,6.05,5.66,5.72,398992,20190300
Feb 27 2018,5.88,6.06,5.72,5.84,244142,20321400
Feb 26 2018,5.60,5.97,5.41,5.86,456938,19360100
Feb 25 2018,5.96,6.88,5.54,5.61,1299980,20590000
Feb 24 2018,5.94,6.93,5.69,5.95,678903,20541300
Feb 23 2018,5.39,6.06,5.29,5.95,234238,18620500
Feb 22 2018,5.78,6.26,5.38,5.39,227160,19976700
Feb 21 2018,6.61,6.64,5.71,5.79,181617,22851800
Feb 20 2018,7.15,7.27,6.62,6.62,321214,24721000
Feb 19 2018,6.58,7.25,6.56,7.14,253269,22721800
Feb 18 2018,7.34,7.48,6.58,6.61,150566,25365100
Feb 17 2018,6.98,7.49,6.82,7.32,224659,24103200
Feb 16 2018,6.55,7.04,6.19,6.91,471360,22600800
Feb 15 2018,6.24,6.67,6.08,6.57,194277,21523100
Feb 14 2018,5.63,6.25,5.60,6.23,215231,19432600
Feb 13 2018,6.03,6.06,5.56,5.64,201406,20798800
Feb 12 2018,5.65,6.17,5.65,6.02,147862,19477900
Feb 11 2018,6.30,6.33,5.42,5.59,206630,21719600
Feb 10 2018,6.07,6.57,6.00,6.25,468600,20921500
Feb 09 2018,5.77,6.25,5.35,6.06,206788,19879200
Feb 08 2018,5.27,6.36,5.24,5.75,724136,18163600
Feb 07 2018,5.32,5.86,4.94,5.28,297850,18320800
Feb 06 2018,4.42,6.02,3.73,5.31,2464670,15233900
Feb 05 2018,5.92,5.97,4.31,4.41,210457,20409900
Feb 04 2018,7.13,7.22,5.74,5.98,162273,24553600
Feb 03 2018,6.44,7.42,5.86,7.12,416706,22179200
Feb 02 2018,6.59,6.75,5.36,6.42,861339,22692800
Feb 01 2018,8.06,8.67,6.23,6.59,594639,27739500
Jan 31 2018,8.47,8.54,7.48,8.05,616855,29149200
Jan 30 2018,10.41,10.45,8.43,8.48,1121920,35801600
Jan 29 2018,10.35,11.81,9.83,10.22,5115720,35596800
Jan 28 2018,10.41,12.37,10.34,10.34,6899550,35792600
Jan 27 2018,9.99,10.64,9.45,10.35,849082,34346800
Jan 26 2018,10.12,10.75,9.07,10.00,1439320,34786200
Jan 25 2018,9.49,13.25,9.28,10.26,11634600,32630300
Jan 24 2018,9.59,9.70,8.74,9.49,417131,32961400
Jan 23 2018,9.57,9.88,8.58,9.60,768007,32889700
Jan 22 2018,10.20,10.33,8.81,9.70,556114,35035100
Jan 21 2018,11.36,11.99,9.53,10.06,1965480,39009900
Jan 20 2018,10.12,12.66,9.93,11.32,1514600,34748800
Jan 19 2018,9.96,10.87,9.76,9.98,722360,34191000
Jan 18 2018,9.52,11.02,9.34,10.13,1027710,32671500
Jan 17 2018,9.87,10.09,6.92,9.48,523918,33857500
Jan 16 2018,12.62,12.64,8.63,9.80,1478620,43289500
Jan 15 2018,14.44,14.72,12.62,12.63,1476790,49538300
Jan 14 2018,16.18,16.38,13.73,14.36,1084840,55501800
Jan 13 2018,16.15,17.47,15.91,16.17,1367190,55386500
Jan 12 2018,15.29,16.66,14.76,16.40,1607430,52431000
Jan 11 2018,17.43,21.32,14.75,15.11,10600400,59738800
Jan 10 2018,13.10,21.73,11.64,17.55,17029300,44893000
