Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000068,0.000072,0.000068,0.000069,1,-
Mar 30 2018,0.000071,0.000072,0.000066,0.000068,1,-
Mar 29 2018,0.000079,0.000080,0.000069,0.000071,1,-
Mar 28 2018,0.000078,0.000081,0.000077,0.000079,2,-
Mar 27 2018,0.000082,0.000082,0.000078,0.000078,7,-
Mar 26 2018,0.000084,0.000085,0.000079,0.000082,10,-
Mar 25 2018,0.000085,0.000087,0.000084,0.000084,38,-
Mar 24 2018,0.000089,0.000090,0.000086,0.000086,19,-
Mar 23 2018,0.000087,0.000088,0.000083,0.000088,1,-
Mar 22 2018,0.000089,0.000091,0.000085,0.000087,178,-
Mar 21 2018,0.000091,0.000092,0.000088,0.000089,135,-
Mar 20 2018,0.000086,0.000086,0.000084,0.000085,1,-
Mar 19 2018,0.000082,0.000087,0.000081,0.000085,10,-
Mar 18 2018,0.000079,0.000083,0.000073,0.000082,1,-
Mar 17 2018,0.000083,0.000083,0.000077,0.000079,3,-
Mar 16 2018,0.000083,0.000086,0.000080,0.000083,11,-
Mar 15 2018,0.000082,0.000084,0.000077,0.000083,239,-
Mar 14 2018,0.000091,0.000094,0.000080,0.000082,8,-
Mar 13 2018,0.000091,0.000095,0.000089,0.000091,14,-
Mar 12 2018,0.000095,0.000099,0.000088,0.000091,14,-
Mar 11 2018,0.000088,0.000097,0.000085,0.000096,1,-
Mar 10 2018,0.000093,0.000095,0.000087,0.000088,3,-
Mar 09 2018,0.000093,0.000094,0.000084,0.000087,4,-
Mar 08 2018,0.000099,0.000100,0.000091,0.000094,5,-
Mar 07 2018,0.000107,0.000109,0.000094,0.000099,1,-
Mar 06 2018,0.000108,0.000109,0.000106,0.000107,2,-
Mar 05 2018,0.000115,0.000117,0.000114,0.000116,2,-
Mar 04 2018,0.000114,0.000115,0.000111,0.000115,22,-
Mar 03 2018,0.000110,0.000115,0.000110,0.000115,183,-
Mar 02 2018,0.000109,0.000112,0.000108,0.000110,5,-
Mar 01 2018,0.000103,0.000111,0.000102,0.000109,7,-
Feb 28 2018,0.000107,0.000110,0.000103,0.000103,44,-
Feb 27 2018,0.000103,0.000108,0.000102,0.000107,4,-
Feb 26 2018,0.000096,0.000104,0.000094,0.000103,35,-
Feb 25 2018,0.000097,0.000099,0.000093,0.000096,155,-
Feb 24 2018,0.000101,0.000105,0.000094,0.000097,13,-
Feb 23 2018,0.000098,0.000102,0.000096,0.000102,3,-
Feb 22 2018,0.000105,0.000109,0.000097,0.000099,88,-
Feb 21 2018,0.000112,0.000112,0.000103,0.000105,43,-
Feb 20 2018,0.000112,0.000118,0.000111,0.000112,99,-
Feb 19 2018,0.000106,0.000113,0.000104,0.000112,27,-
Feb 18 2018,0.000111,0.000113,0.000105,0.000105,11,-
Feb 17 2018,0.000108,0.000111,0.000106,0.000111,11,-
Feb 16 2018,0.000101,0.000103,0.000097,0.000101,1,-
Feb 15 2018,0.000095,0.000102,0.000094,0.000101,117,-
Feb 14 2018,0.000085,0.000095,0.000085,0.000095,38,-
Feb 13 2018,0.000089,0.000089,0.000084,0.000085,11,-
Feb 12 2018,0.000081,0.000090,0.000081,0.000089,63,-
Feb 11 2018,0.000085,0.000085,0.000079,0.000081,10,-
Feb 10 2018,0.000087,0.000091,0.000082,0.000086,167,-
Feb 09 2018,0.000080,0.000087,0.000078,0.000087,38,-
Feb 08 2018,0.000084,0.000085,0.000081,0.000083,1,-
Feb 06 2018,0.000069,0.000073,0.000059,0.000071,408,-
Feb 05 2018,0.000082,0.000084,0.000067,0.000069,399,-
Feb 04 2018,0.000092,0.000094,0.000079,0.000083,271,-
Feb 03 2018,0.000089,0.000095,0.000082,0.000092,442,-
Feb 02 2018,0.000091,0.000091,0.000077,0.000088,2229,-
Feb 01 2018,0.000102,0.000204,0.000086,0.000091,1716,-
Jan 31 2018,0.000200,0.000204,0.000096,0.000101,1774,-
Jan 30 2018,0.000224,0.000224,0.000098,0.000200,669,-
Jan 29 2018,0.000232,0.000235,0.000111,0.000224,5933,-
Jan 28 2018,0.000114,0.000238,0.000114,0.000232,1050,-
Jan 27 2018,0.000111,0.000230,0.000109,0.000114,1120,-
Jan 26 2018,0.000112,0.000232,0.000105,0.000111,1651,-
Jan 25 2018,0.000114,0.000228,0.000110,0.000112,4592,-
Jan 24 2018,0.000108,0.000218,0.000105,0.000112,1196,-
Jan 23 2018,0.000112,0.000114,0.000108,0.000108,630,-
Jan 22 2018,0.000116,0.000119,0.000113,0.000118,2653,-
Jan 21 2018,0.000256,0.000256,0.000112,0.000115,2572,-
Jan 20 2018,0.000232,0.000261,0.000117,0.000255,2810,-
Jan 19 2018,0.000113,0.000231,0.000110,0.000230,2150,-
Jan 18 2018,0.000111,0.000239,0.000107,0.000114,2437,-
Jan 17 2018,0.000114,0.000227,0.000093,0.000111,7714,-
Jan 16 2018,0.000137,0.000269,0.000102,0.000115,9912,-
Jan 15 2018,0.000274,0.000286,0.000136,0.000136,3207,-
Jan 14 2018,0.000144,0.000290,0.000133,0.000276,1889,-
Jan 13 2018,0.000278,0.000292,0.000142,0.000144,3545,-
Jan 12 2018,0.000135,0.000284,0.000132,0.000279,19353,-
Jan 11 2018,0.000150,0.000295,0.000132,0.000134,38021,-
Jan 10 2018,0.000146,0.000297,0.000137,0.000150,19279,-
Jan 09 2018,0.000151,0.000154,0.000144,0.000146,15806,-
Jan 08 2018,0.000163,0.000163,0.000142,0.000151,5409,-
Jan 07 2018,0.000172,0.000172,0.000159,0.000163,4309,-
Jan 06 2018,0.000170,0.000173,0.000164,0.000172,1942,-
Jan 05 2018,0.000152,0.000171,0.000149,0.000170,8350,-
Jan 04 2018,0.000152,0.000155,0.000144,0.000152,1381,-
Jan 03 2018,0.000148,0.000155,0.000147,0.000151,453,-
Jan 02 2018,0.000135,0.000152,0.000130,0.000149,1684,-
Jan 01 2018,0.000140,0.000140,0.000129,0.000135,135,-
Dec 31 2017,0.000127,0.000142,0.000126,0.000139,362,-
Dec 30 2017,0.000145,0.000145,0.000122,0.000129,233,-
Dec 29 2017,0.000145,0.000151,0.000141,0.000145,496,-
Dec 28 2017,0.000155,0.000156,0.000136,0.000143,1332,-
Dec 27 2017,0.000158,0.000318,0.000147,0.000155,2243,-
Dec 26 2017,0.000139,0.000321,0.000139,0.000158,30394,-
Dec 25 2017,0.000141,0.000145,0.000133,0.000139,793,-
Dec 24 2017,0.000146,0.000146,0.000126,0.000139,34,-
Dec 23 2017,0.000138,0.000157,0.000136,0.000144,70,-
Dec 22 2017,0.000157,0.000159,0.000114,0.000137,40,-
Dec 21 2017,0.000165,0.000174,0.000151,0.000157,2,-
Dec 20 2017,0.000176,0.000178,0.000158,0.000164,115,-
Dec 19 2017,0.000191,0.000192,0.000171,0.000176,313,-
Dec 18 2017,0.000191,0.000193,0.000183,0.000191,2264,-
Dec 17 2017,0.000195,0.000200,0.000189,0.000191,632,-
Dec 16 2017,0.000176,0.000196,0.000174,0.000195,123,-
Dec 15 2017,0.000166,0.000181,0.000166,0.000176,45,-
Dec 14 2017,0.000164,0.000171,0.000162,0.000166,6,-
Dec 13 2017,0.000173,0.000175,0.000159,0.000164,5,-
Dec 12 2017,0.000168,0.000178,0.000164,0.000173,1659,-
Dec 11 2017,0.000152,0.000175,0.000152,0.000168,32,-
Dec 10 2017,0.000150,0.000158,0.000132,0.000154,273,-
Dec 09 2017,0.000163,0.000165,0.000135,0.000150,1015,-
Dec 08 2017,0.000174,0.000176,0.000141,0.000163,3481,-
Dec 07 2017,0.000137,0.000173,0.000136,0.000173,19,-
Dec 06 2017,0.000117,0.000138,0.000117,0.000138,189,-
Dec 05 2017,0.000117,0.000119,0.000115,0.000117,70,-
Dec 04 2017,0.000112,0.000116,0.000109,0.000116,15,-
Dec 03 2017,0.000109,0.000118,0.000106,0.000112,238,-
Dec 02 2017,0.000109,0.000112,0.000107,0.000109,336,-
Dec 01 2017,0.000100,0.000110,0.000095,0.000109,37,-
Nov 30 2017,0.000098,0.000107,0.000090,0.000100,181,-
Nov 29 2017,0.000099,0.000227,0.000091,0.000097,2986,-
Nov 28 2017,0.000098,0.000100,0.000097,0.000099,655,-
Nov 27 2017,0.000093,0.000097,0.000093,0.000097,663,-
Nov 26 2017,0.000087,0.000095,0.000087,0.000093,279,-
Nov 25 2017,0.000082,0.000087,0.000082,0.000087,447,-
Nov 24 2017,0.000080,0.000083,0.000079,0.000082,44,-
Nov 23 2017,0.000082,0.000083,0.000080,0.000080,512,-
Nov 22 2017,0.000081,0.000083,0.000081,0.000082,1027,-
Nov 21 2017,0.000082,0.000084,0.000078,0.000081,750,-
Nov 20 2017,0.000161,0.000165,0.000079,0.000082,996,-
Nov 19 2017,0.000078,0.000161,0.000077,0.000161,1895,-
Nov 18 2017,0.000077,0.000079,0.000075,0.000078,241,-
Nov 17 2017,0.000078,0.000160,0.000076,0.000077,673,-
Nov 16 2017,0.000073,0.000158,0.000072,0.000157,4340,-
Nov 15 2017,0.000132,0.000146,0.000068,0.000073,2682,-
Nov 14 2017,0.000065,0.000133,0.000064,0.000132,475,-
Nov 13 2017,0.000059,0.000135,0.000058,0.000065,3992,-
Nov 12 2017,0.000064,0.000064,0.000055,0.000059,56,-
Nov 11 2017,0.000066,0.000136,0.000062,0.000064,4194,-
Nov 10 2017,0.000071,0.000073,0.000065,0.000066,6987,-
Nov 09 2017,0.000075,0.000075,0.000071,0.000071,322,-
Nov 08 2017,0.000071,0.000078,0.000071,0.000075,1085,-
Nov 07 2017,0.000070,0.000072,0.000070,0.000071,632,-
Nov 06 2017,0.000074,0.000074,0.000069,0.000070,51,-
