Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003909,0.004134,0.003842,0.003904,1281040,112597000
Mar 30 2018,0.004086,0.004138,0.003629,0.003908,2245570,117692000
Mar 29 2018,0.004532,0.004583,0.004007,0.004096,2120310,130542000
Mar 28 2018,0.004405,0.004694,0.004344,0.004525,1788720,126886000
Mar 27 2018,0.004698,0.004837,0.004369,0.004369,2606590,135312000
Mar 26 2018,0.005276,0.005344,0.004478,0.004671,3466800,151947000
Mar 25 2018,0.005101,0.005462,0.004895,0.005319,5070130,146901000
Mar 24 2018,0.005081,0.005451,0.004975,0.005087,4191050,146324000
Mar 23 2018,0.005391,0.005463,0.004857,0.005009,3055880,155252000
Mar 22 2018,0.005515,0.005701,0.005047,0.005390,2974940,158814000
Mar 21 2018,0.005692,0.006061,0.005474,0.005611,4369540,163911000
Mar 20 2018,0.005476,0.005908,0.005040,0.005639,4703740,157578000
Mar 19 2018,0.004748,0.005815,0.004532,0.005456,6836500,136623000
Mar 18 2018,0.004775,0.004819,0.003739,0.004690,5152360,137408000
Mar 17 2018,0.005228,0.005417,0.004681,0.004788,3318220,150428000
Mar 16 2018,0.005451,0.005640,0.005193,0.005223,2401610,156859000
Mar 15 2018,0.005583,0.005656,0.005040,0.005454,5217570,160649000
Mar 14 2018,0.006727,0.006787,0.005369,0.005588,4728660,193561000
Mar 13 2018,0.006280,0.007071,0.006126,0.006680,5435030,180698000
Mar 12 2018,0.006645,0.007084,0.005993,0.006403,3838560,191209000
Mar 11 2018,0.006014,0.006799,0.005734,0.006619,2064370,173062000
Mar 10 2018,0.006206,0.006716,0.005938,0.006035,2795000,178569000
Mar 09 2018,0.006466,0.006571,0.005393,0.006205,5577150,186050000
Mar 08 2018,0.006830,0.007110,0.006215,0.006553,4870290,196530000
Mar 07 2018,0.007934,0.008152,0.006430,0.006934,8351070,228292000
Mar 06 2018,0.008630,0.008741,0.007865,0.007945,4866980,248331000
Mar 05 2018,0.008569,0.009377,0.008370,0.008655,14230400,246562000
Mar 04 2018,0.008696,0.009110,0.008246,0.008514,6578360,250232000
Mar 03 2018,0.009036,0.009209,0.008476,0.008709,10437600,260001000
Mar 02 2018,0.009115,0.009374,0.008561,0.009049,20675300,262272000
Mar 01 2018,0.008365,0.009688,0.008227,0.009230,35645000,240659000
Feb 28 2018,0.009492,0.009502,0.008252,0.008252,15891700,273078000
Feb 27 2018,0.010104,0.010104,0.009302,0.009606,17084900,290661000
Feb 26 2018,0.010026,0.010882,0.009792,0.010177,28506700,288425000
Feb 25 2018,0.010608,0.011944,0.009521,0.010056,63700100,305157000
Feb 24 2018,0.009639,0.011086,0.009579,0.010677,43162400,277268000
Feb 23 2018,0.008621,0.010341,0.007987,0.009851,34756000,247976000
Feb 22 2018,0.009478,0.010006,0.008351,0.008574,17764100,272608000
Feb 21 2018,0.010036,0.011024,0.008876,0.009533,54710800,288659000
Feb 20 2018,0.007594,0.012066,0.007100,0.009879,112243000,218370000
Feb 19 2018,0.007381,0.007968,0.007361,0.007484,1471970,212242000
Feb 18 2018,0.008217,0.008495,0.007362,0.007519,1599690,236283000
Feb 17 2018,0.007760,0.008392,0.007651,0.008199,2008600,223128000
Feb 16 2018,0.008070,0.008206,0.007528,0.007845,1673010,232044000
Feb 15 2018,0.007674,0.008162,0.007495,0.008098,2075020,220631000
Feb 14 2018,0.006470,0.007817,0.006431,0.007668,3425160,186029000
Feb 13 2018,0.006756,0.006787,0.006324,0.006488,1128910,194244000
Feb 12 2018,0.006154,0.006894,0.006067,0.006750,1117430,176936000
Feb 11 2018,0.006506,0.006550,0.005750,0.006049,994505,186992000
Feb 10 2018,0.006621,0.007143,0.006177,0.006503,2007490,190302000
Feb 09 2018,0.006109,0.006850,0.005704,0.006679,2060010,175571000
Feb 08 2018,0.005902,0.006807,0.005824,0.006138,3182880,169613000
Feb 07 2018,0.006150,0.006934,0.005419,0.005863,2679380,176760000
Feb 06 2018,0.005055,0.006295,0.004180,0.006204,3339890,145269000
Feb 05 2018,0.006483,0.006674,0.004791,0.005055,2641780,186321000
Feb 04 2018,0.007689,0.007930,0.006213,0.006628,2791290,220970000
Feb 03 2018,0.007307,0.008112,0.006397,0.007648,5781240,209996000
Feb 02 2018,0.007353,0.007615,0.005241,0.007278,4880270,211334000
Feb 01 2018,0.008967,0.009366,0.006653,0.007377,3682130,257711000
Jan 31 2018,0.009232,0.009555,0.008583,0.008843,4339240,265261000
Jan 30 2018,0.011082,0.011082,0.009172,0.009303,3362160,318416000
Jan 29 2018,0.011730,0.011914,0.010785,0.010893,2658930,337039000
Jan 28 2018,0.011892,0.012418,0.011641,0.011823,3276890,341692000
Jan 27 2018,0.011798,0.012704,0.011172,0.011843,6767200,338978000
Jan 26 2018,0.010496,0.012016,0.009755,0.011977,5025740,301575000
Jan 25 2018,0.011287,0.011516,0.010194,0.010620,4822310,324302000
Jan 24 2018,0.010942,0.011573,0.010565,0.011134,3006670,314397000
Jan 23 2018,0.010922,0.011905,0.010101,0.010939,3968120,313814000
Jan 22 2018,0.011638,0.012768,0.009683,0.010968,5704550,334365000
Jan 21 2018,0.014050,0.014711,0.011267,0.011606,5847200,403564000
Jan 20 2018,0.014372,0.015281,0.013842,0.013912,7202110,412814000
Jan 19 2018,0.015203,0.016103,0.013221,0.014114,10762700,436691000
Jan 18 2018,0.012430,0.016879,0.011828,0.015467,20949900,357038000
Jan 17 2018,0.010526,0.012768,0.007862,0.012058,16040600,302352000
Jan 16 2018,0.015158,0.015193,0.008344,0.010908,22247000,435390000
Jan 15 2018,0.018504,0.019169,0.014888,0.015238,13581600,531494000
Jan 14 2018,0.020854,0.021118,0.017769,0.018613,10141800,598981000
Jan 13 2018,0.019650,0.021961,0.019518,0.021095,16441400,564306000
Jan 12 2018,0.018641,0.020424,0.017828,0.019538,13342500,535328000
Jan 11 2018,0.023114,0.023215,0.017416,0.018621,21120000,663799000
Jan 10 2018,0.022036,0.023344,0.017993,0.022999,35833800,632840000
Jan 09 2018,0.025267,0.025572,0.021861,0.021942,27157200,725630000
Jan 08 2018,0.025506,0.028092,0.021027,0.025354,45192300,732452000
Jan 07 2018,0.029209,0.032391,0.025941,0.026297,99560700,838769000
Jan 06 2018,0.018857,0.029635,0.018829,0.029256,86278800,541450000
Jan 05 2018,0.019138,0.020998,0.015771,0.018711,69929000,549525000
Jan 04 2018,0.018011,0.021345,0.017953,0.019460,79646300,517128000
Jan 03 2018,0.013027,0.020094,0.012433,0.018056,135084000,374009000
Jan 02 2018,0.010263,0.013286,0.009625,0.013080,35460200,294657000
Jan 01 2018,0.011586,0.012226,0.010134,0.010134,27199400,332647000
Dec 31 2017,0.008787,0.011719,0.008589,0.011546,30462400,252265000
Dec 30 2017,0.010450,0.010674,0.008649,0.008891,14883000,300021000
Dec 29 2017,0.010735,0.011868,0.009627,0.010611,29663400,308179000
Dec 28 2017,0.012876,0.012878,0.009402,0.010879,34008100,369496000
Dec 27 2017,0.016135,0.016135,0.012483,0.012761,44206000,463023000
Dec 26 2017,0.013547,0.017118,0.011918,0.015858,90064100,388754000
Dec 25 2017,0.016162,0.022578,0.012460,0.013671,158042000,463784000
Dec 24 2017,0.010125,0.019156,0.009134,0.015346,174617000,290544000
Dec 23 2017,0.008277,0.012943,0.008076,0.010284,77540400,237530000
Dec 22 2017,0.010235,0.010235,0.004826,0.007947,58049300,293718000
Dec 21 2017,0.009061,0.014089,0.008035,0.010049,184486000,260013000
Dec 20 2017,0.003346,0.010412,0.002646,0.008710,148392000,96013600
Dec 19 2017,0.002882,0.003610,0.002664,0.003182,13528700,82698800
Dec 18 2017,0.002877,0.003056,0.002462,0.002886,7872790,82568500
Dec 17 2017,0.002725,0.003484,0.002497,0.002865,21482700,78189400
Dec 16 2017,0.001599,0.002743,0.001577,0.002724,12212500,45892900
Dec 15 2017,0.001814,0.001863,0.001546,0.001756,1228770,52056000
Dec 14 2017,0.001482,0.001846,0.001462,0.001812,2361400,42515400
Dec 13 2017,0.001719,0.001738,0.001449,0.001634,939991,49298100
Dec 12 2017,0.001519,0.001770,0.001346,0.001718,1426780,43565400
Dec 11 2017,0.001522,0.001747,0.001383,0.001665,532787,43642600
Dec 10 2017,0.001503,0.001630,0.001194,0.001532,750447,43110600
Dec 09 2017,0.001622,0.001660,0.001262,0.001497,1102540,46530400
Dec 08 2017,0.001568,0.001786,0.001272,0.001471,1097550,44981800
Dec 07 2017,0.001644,0.001794,0.001376,0.001729,2024320,47155500
Dec 06 2017,0.001518,0.001646,0.001246,0.001646,1706450,43534300
Dec 05 2017,0.001512,0.001632,0.001389,0.001521,1591410,43374000
Dec 04 2017,0.001233,0.001504,0.001130,0.001399,1566390,35372000
Dec 03 2017,0.001103,0.001298,0.001077,0.001125,620908,31646400
Dec 02 2017,0.001195,0.001222,0.001082,0.001198,358454,34273300
Dec 01 2017,0.001096,0.001250,0.000951,0.001093,674677,31433900
Nov 30 2017,0.001084,0.001280,0.000905,0.001102,555738,31085600
Nov 29 2017,0.001195,0.001409,0.001005,0.001068,1059710,34278700
Nov 28 2017,0.001268,0.001376,0.001166,0.001197,541741,36364100
Nov 27 2017,0.001215,0.001361,0.001142,0.001267,925893,34831100
Nov 26 2017,0.001224,0.001331,0.001137,0.001303,522660,35086500
Nov 25 2017,0.001150,0.001232,0.001065,0.001139,523048,32986100
Nov 24 2017,0.001204,0.001238,0.001036,0.001153,827451,34535400
Nov 23 2017,0.001072,0.001237,0.001055,0.001206,1314890,30726100
Nov 22 2017,0.001054,0.001156,0.000976,0.001072,707296,30215100
Nov 21 2017,0.000990,0.001143,0.000937,0.000973,589948,28394700
Nov 20 2017,0.001047,0.001156,0.000984,0.000991,676891,30024800
Nov 19 2017,0.001166,0.001168,0.001004,0.001125,402688,33433600
Nov 18 2017,0.001152,0.001176,0.000998,0.001094,466378,33036700
Nov 17 2017,0.001177,0.001284,0.001006,0.001081,1319400,33752300
Nov 16 2017,0.001168,0.001269,0.001040,0.001179,1265180,33488200
Nov 15 2017,0.001123,0.001204,0.001026,0.001162,1108540,32204600
Nov 14 2017,0.001044,0.001238,0.000971,0.001123,2738760,29919300
Nov 13 2017,0.000882,0.001068,0.000874,0.000979,340337,25273800
Nov 12 2017,0.001017,0.001028,0.000833,0.000881,583416,29159200
Nov 11 2017,0.001051,0.001089,0.000945,0.001018,488123,30138100
Nov 10 2017,0.001282,0.001306,0.000980,0.000991,746393,36741400
Nov 09 2017,0.001122,0.001302,0.001080,0.001209,1177340,32157600
Nov 08 2017,0.001137,0.001217,0.001027,0.001195,510361,32581400
Nov 07 2017,0.001044,0.001154,0.001044,0.001072,276514,29926800
Nov 06 2017,0.001111,0.001185,0.001013,0.001046,628583,31828800
Nov 05 2017,0.001034,0.001217,0.001034,0.001179,338810,29621600
Nov 04 2017,0.001146,0.001196,0.001031,0.001108,380309,32837400
Nov 03 2017,0.001053,0.001175,0.000973,0.001149,463621,30184400
Nov 02 2017,0.001078,0.001163,0.000977,0.000985,1526460,30882400
Nov 01 2017,0.001095,0.001143,0.001020,0.001141,356745,31373100
Oct 31 2017,0.001163,0.001172,0.001010,0.001096,803903,33338400
Oct 30 2017,0.001231,0.001231,0.001036,0.001107,752761,35280400
Oct 29 2017,0.000917,0.001277,0.000916,0.001177,19297100,26277100
Oct 28 2017,0.001037,0.001056,0.000965,0.000975,372075,29703700
Oct 27 2017,0.001060,0.001079,0.000934,0.001034,295701,30357100
Oct 26 2017,0.001036,0.001132,0.000940,0.001001,770654,29680300
Oct 25 2017,0.001158,0.001161,0.000984,0.001036,778020,33183800
Oct 24 2017,0.000823,0.001249,0.000807,0.001158,2455390,23588900
Oct 23 2017,0.001015,0.001023,0.000818,0.000825,754277,29081200
Oct 22 2017,0.001021,0.001030,0.000920,0.001017,257149,29250400
Oct 21 2017,0.001021,0.001092,0.000910,0.001021,381382,29240800
Oct 20 2017,0.001082,0.001144,0.000963,0.000964,686888,31002000
Oct 19 2017,0.001007,0.001088,0.000971,0.001028,357106,28845000
Oct 18 2017,0.001064,0.001107,0.000932,0.001061,319439,30482400
Oct 17 2017,0.001156,0.001158,0.001003,0.001064,564014,33100500
Oct 16 2017,0.001194,0.001200,0.001059,0.001098,870225,34211300
Oct 15 2017,0.001111,0.001215,0.000983,0.001139,855285,31832000
Oct 14 2017,0.001131,0.001153,0.001012,0.001052,521398,32390500
Oct 13 2017,0.001088,0.001146,0.001001,0.001075,839497,31173600
Oct 12 2017,0.001062,0.001148,0.001010,0.001085,863314,30424200
Oct 11 2017,0.001048,0.001156,0.001040,0.001061,887243,30013400
Oct 10 2017,0.001004,0.001128,0.000913,0.001095,1217310,28762500
Oct 09 2017,0.001013,0.001060,0.000895,0.001004,778517,29003500
Oct 08 2017,0.001023,0.001115,0.000967,0.000968,744284,29300800
Oct 07 2017,0.000964,0.001072,0.000954,0.001026,519021,27597200
Oct 06 2017,0.001037,0.001061,0.000918,0.000963,765870,29698200
Oct 05 2017,0.001055,0.001061,0.000957,0.000996,388977,30218300
Oct 04 2017,0.001081,0.001122,0.000948,0.001054,2140740,30943100
Oct 03 2017,0.001188,0.001195,0.001063,0.001078,546129,34022600
Oct 02 2017,0.001143,0.001239,0.001099,0.001188,993862,32714400
Oct 01 2017,0.001217,0.001266,0.001083,0.001143,1257630,34857000
Sep 30 2017,0.001168,0.001369,0.001128,0.001217,1916440,33450800
Sep 29 2017,0.001300,0.001304,0.001122,0.001127,1417990,37221000
Sep 28 2017,0.001431,0.001431,0.001245,0.001301,6459750,40955300
Sep 27 2017,0.001322,0.001476,0.001289,0.001389,5750970,37839600
Sep 26 2017,0.001416,0.001540,0.001286,0.001287,5841420,40531700
Sep 25 2017,0.001175,0.001782,0.001069,0.001416,22814900,33631500
Sep 24 2017,0.001023,0.001219,0.000919,0.001176,5040800,29272000
Sep 23 2017,0.000938,0.001030,0.000929,0.000985,899244,26844600
Sep 22 2017,0.000977,0.001015,0.000890,0.000941,2437060,27970400
Sep 21 2017,0.001009,0.001164,0.000866,0.000943,1591360,28893000
